"titlu_proiect","nume_beneficiar","nume_operatiune","fonduri_ue","buget_national","contributie_beneficiar","Cheltuieli neeligibile","total_valoare_proiect"
"Achizi?ia de utilaje tehnologice pentru produc?ia de mase plastice","SC BALCANIC BOPP SRL","Axa    Prioritar?    1/    DMI    1.1.1.    Investi?ii productive ?i preg?tirea pentru competi?ia de pia?? a �ntreprinderilor, �n special IMM/ A2-Sprijin financiar de p�n? la 920.000 lei pentru investi?ii pentru IMM",786968,133032,397157,250260,1567417
"Cre?terea    competitivit??ii     activit??ii     S.C.     PLAST DESIGN S.R.L. prin retehnologizarea liniei de prelucrat PVC","SC PLAST DESIGN SRL","Axa    Prioritar?    1/    DMI    1.1.1.    Investi?ii productive ?i preg?tirea pentru competi?ia de pia?? a �ntreprinderilor, �n special IMM/ A2-Sprijin financiar de p�n? la 920.000 lei pentru investi?ii pentru IMM",786968,133032,443746,262182,1625928
"Achizi?ia        de         utilaje         performante         pentru produc?ia/construc?ia caselor din lemn","SC PROMILEN SRL","Axa    Prioritar?    1/    DMI    1.1.1.    Investi?ii productive ?i preg?tirea pentru competi?ia de pia?? a �ntreprinderilor, �n special IMM/ A2-Sprijin financiar de p�n? la 920.000 lei pentru investi?ii pentru IMM",786968,133032,398411,253568,1571979
"Modernizarea unit??ii de produc?ie a SC Norvinia SRL prin achizi?ionarea de echipamente, utilaje  si aplica?ii informatice   in   vederea   optimiz?rii    si    rentabiliz?rii fluxului de produc?ie","SC NORVINIA SRL","Axa    Prioritar?    1/    DMI    1.1.1.    Investi?ii productive ?i preg?tirea pentru competi?ia de pia?? a �ntreprinderilor, �n special IMM/ A2-Sprijin financiar de p�n? la 920.000 lei pentru investi?ii pentru IMM",786968,133032,394286,249852,1564137
"LA VARO - MODERNIZARE PENTRU CALITATE SI PERFORMANTA","SC LA VARO SRL","Axa    Prioritar?    1/    DMI    1.1.1.    Investi?ii productive ?i preg?tirea pentru competi?ia de pia?? a �ntreprinderilor, �n special IMM/ A2-Sprijin financiar de p�n? la 920.000 lei pentru investi?ii pentru IMM",786968,133032,417680,254159,1591839
"ACHIZI?IONARE    UTILAJE     TEHNOLOGICE     SI MIJLOC   DE   TRANSPORT   TEHNOLOGIC   LA   SC LASZLO-CONSTR SRL","SC LASZLO-CONSTR SRL","Axa    Prioritar?    1/    DMI    1.1.1.    Investi?ii productive ?i preg?tirea pentru competi?ia de pia?? a �ntreprinderilor, �n special IMM/ A2-Sprijin financiar de p�n? la 920.000 lei pentru investi?ii pentru IMM",786968,133032,394286,315390,1629675
"ACHIZI?IONAREA UNUI  CONCASOR MOBIL  CU F?LCI LA SC TIP-AUTOIMPEX SRL","SC TIP-AUTOIMPEX SRL","Axa    Prioritar?    1/    DMI    1.1.1.    Investi?ii productive ?i preg?tirea pentru competi?ia de pia?? a �ntreprinderilor, �n special IMM/ A2-Sprijin financiar de p�n? la 920.000 lei pentru investi?ii pentru IMM",786968,133032,394286,315390,1629675
"DOTAREA FABRICII DE MOBILA CU UTILAJE SI ECHIPAMENTE TEHNOLOGICE LA SC SZEL-MOB SRL","SC SZEL-MOB SRL","Axa    Prioritar?    1/    DMI    1.1.1.    Investi?ii productive ?i preg?tirea pentru competi?ia de pia?? a �ntreprinderilor, �n special IMM/ A2-Sprijin financiar de p�n? la 920.000 lei pentru investi?ii pentru IMM",786968,133032,602542,306090,1828633
"Achizi?ie     utilaje     pentru     m?rirea     capacit??ii     de productie,loc.Targu-Mures, jud.Mures","SCROLLOTOURS.R.L.","Axa    Prioritar?    1/    DMI    1.1.1.    Investi?ii productive ?i preg?tirea pentru competi?ia de pia?? a �ntreprinderilor, �n special IMM/ A2-Sprijin financiar de p�n? la 920.000 lei pentru investi?ii pentru IMM",786968,133032,394287,261239,1575526
"Achizi?ie    utilaje    pentru    m?rirea    si    diversificarea capacit??ii de produc?ie loc. Reghin, jud. Mure?","SC ATLAS TRANS S.R.L.","Axa    Prioritar?    1/    DMI    1.1.1.    Investi?ii productive ?i preg?tirea pentru competi?ia de pia?? a �ntreprinderilor, �n special IMM/ A2-Sprijin financiar de p�n? la 920.000 lei pentru investi?ii pentru IMM",786968,133032,394286,280164,1594449
"Modernizarea    SC    TECHNIC    GLASS    SRL    prin achizi?ionarea de echipamente si utilaje","SC TECHNIC GLASS SRL","Axa    Prioritar?    1/    DMI    1.1.1.    Investi?ii productive ?i preg?tirea pentru competi?ia de pia?? a �ntreprinderilor, �n special IMM/ A2-Sprijin financiar de p�n? la 920.000 lei pentru investi?ii pentru IMM",786968,133032,601061,697553,2218615
"Modernizarea ADISS SA. prin achizi?ionarea de utilaje","SC ADISS SA","Axa    Prioritar?    1/    DMI    1.1.1.    Investi?ii productive ?i preg?tirea pentru competi?ia de pia?? a �ntreprinderilor, �n special IMM/ A2-Sprijin financiar de p�n? la 920.000 lei pentru investi?ii pentru IMM",786968,133032,912088,348097,2180185
"Modernizarea     SC     M3     IZOGLASS     SRL     prin achizi?ionarea de echipamente si utilaje","SC M3 IZOGLASS SRL","Axa    Prioritar?    1/    DMI    1.1.1.    Investi?ii productive ?i preg?tirea pentru competi?ia de pia?? a �ntreprinderilor, �n special IMM/ A2-Sprijin financiar de p�n? la 920.000 lei pentru investi?ii pentru IMM",786968,133032,394286,792587,2106873
"Modernizarea unit??ii de produc?ie a SC Electro Sistem SRL prin achizi?ionarea de echipamente si utilaje","SC ELECTRO SISTEM SRL","Axa    Prioritar?    1/    DMI    1.1.1.    Investi?ii productive ?i preg?tirea pentru competi?ia de pia?? a �ntreprinderilor, �n special IMM/ A2-Sprijin financiar de p�n? la 920.000 lei pentru investi?ii pentru IMM",786968,133032,613333,627664,2160998
"Modernizarea SC Metalindustrie SRL prin achizi?ionarea de echipamente si utilaje","SC METALINDUSTRIE SRL","Axa    Prioritar?    1/    DMI    1.1.1.    Investi?ii productive ?i preg?tirea pentru competi?ia de pia?? a �ntreprinderilor, �n special IMM/ A2-Sprijin financiar de p�n? la 920.000 lei pentru investi?ii pentru IMM",786968,133032,394286,525253,1839539
"Modernizarea activit??ii desf??urate de SC Termo Plus SRL prin achizi?ionarea de utilaje tehnologice","SC TERMO PLUS SRL","Axa    Prioritar?    1/    DMI    1.1.1.    Investi?ii productive ?i preg?tirea pentru competi?ia de pia?? a �ntreprinderilor, �n special IMM/ A2-Sprijin financiar de p�n? la 920.000 lei pentru investi?ii pentru IMM",786968,133032,394286,418011,1732297
"Modernizarea activit??ii productive a SC Prefabet SRL prin achizi?ionarea unei linii automate pentru produc?ia prefabricatelor din beton","SC PREFABET SRL","Axa    Prioritar?    1/    DMI    1.1.1.    Investi?ii productive ?i preg?tirea pentru competi?ia de pia?? a �ntreprinderilor, �n special IMM/ A2-Sprijin financiar de p�n? la 920.000 lei pentru investi?ii pentru IMM",786968,133032,394286,444629,1758915
"TEHNICA PERFORMANTA IN BALASTIERA","SC AGREMIN SRL","Axa    Prioritar?    1/    DMI    1.1.1.    Investi?ii productive ?i preg?tirea pentru competi?ia de pia?? a �ntreprinderilor, �n special IMM/ A2-Sprijin financiar de p�n? la 920.000 lei pentru investi?ii pentru IMM",786968,133032,485800,110861,1516661
"MODERNIZAREA SI CRE?TEREA CAPACIT??II DE PRODUC?IE A SC SETRO METAL GROUP SA","SC SETRO METAL GROUP SA","Axa    Prioritar?    1/    DMI    1.1.1.    Investi?ii productive ?i preg?tirea pentru competi?ia de pia?? a �ntreprinderilor, �n special IMM/ A2-Sprijin financiar de p�n? la 920.000 lei pentru investi?ii pentru IMM",786968,133032,984400,46000,1950400
"Competitivitate prin tehnologie inovativa de tipar","SC GRAFOPRINT S.R.L.","Axa    Prioritar?    1/    DMI    1.1.1.    Investi?ii productive ?i preg?tirea pentru competi?ia de pia?? a �ntreprinderilor, �n special IMM/ A2-Sprijin financiar de p�n? la 920.000 lei pentru investi?ii pentru IMM",786968,133032,969680,499787,2389467
"CRE?TEREA       COMPETITIVITATE       SC       BKD ELECTRONIC           SA           PETRO?ANI          PRIN ACHIZI?IONAREA  UNEI  LINE  DE  ASAMBLARE AUTOMATA A COMPONENTELOR ELECTRONICE","SC BKD ELECTRONIC SA","Axa    Prioritar?    1/    DMI    1.1.1.    Investi?ii productive ?i preg?tirea pentru competi?ia de pia?? a �ntreprinderilor, �n special IMM/ A2-Sprijin financiar de p�n? la 920.000 lei pentru investi?ii pentru IMM",786959,133031,407784,252277,1580052
"Modernizarea activit??ii de construc?ii a SC Marcotim Impex   SRL   prin   achizi?ia   de   mijloace   de   transport tehnologice","SC Marcotim Impex SRL","Axa    Prioritar?    1/    DMI    1.1.1.    Investi?ii productive ?i preg?tirea pentru competi?ia de pia?? a �ntreprinderilor, �n special IMM/ A2-Sprijin financiar de p�n? la 920.000 lei pentru investi?ii pentru IMM",786882,133018,401388,251045,1572332
"Cre?terea competitivit??ii firmei prin achizi?ia de utilaje performante","SC PLASTICOM IMPEX SRL","Axa    Prioritar?    1/    DMI    1.1.1.    Investi?ii productive ?i preg?tirea pentru competi?ia de pia?? a �ntreprinderilor, �n special IMM/ A2-Sprijin financiar de p�n? la 920.000 lei pentru investi?ii pentru IMM",786873,133016,452260,264383,1636532
"Dezvoltarea sectorului productiv din domeniul electric prin m?rirea capacit??ii de produc?ie pentru SC AMIRAS C&L IMPEX SRL Targoviste","SC AMIRAS C&L IMPEX SRL","Axa    Prioritar?    1/    DMI    1.1.1.    Investi?ii productive ?i preg?tirea pentru competi?ia de pia?? a �ntreprinderilor, �n special IMM/ A2-Sprijin financiar de p�n? la 920.000 lei pentru investi?ii pentru IMM",786857,133013,780130,329171,2029171
"RETEHNOLOGIZAREA FABRICII DE C?R?MIDA A SC CERAMUS SA","SC CERAMUS SA","Axa    Prioritar?    1/    DMI    1.1.1.    Investi?ii productive ?i preg?tirea pentru competi?ia de pia?? a �ntreprinderilor, �n special IMM/ A2-Sprijin financiar de p�n? la 920.000 lei pentru investi?ii pentru IMM",786653,132979,394128,249614,1563374
"MODERNIZARE   LINTE   PRODUC?IE   AMBALAJE CARTON","SC PENTAROM SRL","Axa    Prioritar?    1/    DMI    1.1.1.    Investi?ii productive ?i preg?tirea pentru competi?ia de pia?? a �ntreprinderilor, �n special IMM/ A2-Sprijin financiar de p�n? la 920.000 lei pentru investi?ii pentru IMM",786653,132979,394128,249614,1563374
"Modernizarea   SC   GIP   SRL   prin   achizi?ionare   de echipamente   si   utilaje   pentru  produc?ia   si   de   geam termoizolant","SC GIP SRL","Axa    Prioritar?    1/    DMI    1.1.1.    Investi?ii productive ?i preg?tirea pentru competi?ia de pia?? a �ntreprinderilor, �n special IMM/ A2-Sprijin financiar de p�n? la 920.000 lei pentru investi?ii pentru IMM",786338,132925,918235,349125,2186622
"CONSTRUIREA INSTALA?IE NOUA DE SORTARE SI      CONCASARE      AGREGATE      CU      STA?IE RECICLARE    APE    UZATE    SI    DESHIDRATARE N?MOL,       LA        SEC?IA       DE       PRODUC?IE PREFABRICATE DIN BETON SI MTNISTATiE DE DISTRIBU?IE CARBURAN?I A SC EUROPEXPRES SRL ALBA IULIA","SC EUROREXPRES SRL","Axa    Prioritar?    1/    DMI    1.1.1.    Investi?ii productive ?i preg?tirea pentru competi?ia de pia?? a �ntreprinderilor, �n special IMM/ A2-Sprijin financiar de p�n? la 920.000 lei pentru investi?ii pentru IMM",786260,132912,422069,729343,2070585
"ACHIZI?IONARE         UTILAJE         TEHNOLOGICE PERFORMANTE        PENTRU        MODERNIZAREA ACTIVIT??II    DE    PRODUC?IE    IN    DOMENIUL CONSTRUC?IILOR A SC SEVICRIS SRL ABRUD","SC SIMCRIS SRL","Axa    Prioritar?    1/    DMI    1.1.1.    Investi?ii productive ?i preg?tirea pentru competi?ia de pia?? a �ntreprinderilor, �n special IMM/ A2-Sprijin financiar de p�n? la 920.000 lei pentru investi?ii pentru IMM",786260,132912,422069,473871,1815113
"ACHIZI?IONARE         UTILAJE         TEHNOLOGICE PERFORMANTE        PENTRU        MODERNIZAREA ACTIVIT??II    DE    PRODUC?IE    IN    DOMENIUL CONSTRUC?IILOR A SC TOBIMAR CONSTRUCT SRL ALBA IULIA","SC TOBIMAR CONSTRUCT SRL","Axa    Prioritar?    1/    DMI    1.1.1.    Investi?ii productive ?i preg?tirea pentru competi?ia de pia?? a �ntreprinderilor, �n special IMM/ A2-Sprijin financiar de p�n? la 920.000 lei pentru investi?ii pentru IMM",786260,132912,640923,741495,2301592
"ACHIZI?IONARE         UTILAJE         TEHNOLOGICE PERFORMANTE        PENTRU        MODERNIZAREA ACTIVIT??II    DE    PRODUC?IE    IN    DOMENIUL CONSTRUC?IILOR A SC ADDA CONSTRUCT SRL ALBA IULIA","SC ADDA CONSTRUCT SRL","Axa    Prioritar?    1/    DMI    1.1.1.    Investi?ii productive ?i preg?tirea pentru competi?ia de pia?? a �ntreprinderilor, �n special IMM/ A2-Sprijin financiar de p�n? la 920.000 lei pentru investi?ii pentru IMM",786260,132912,422069,301284,1642526
"Dezvoltarea   sectorului   productiv   al   companiei   prin achizi?ia de echipamente","SC Printex SRL","Axa    Prioritar?    1/    DMI    1.1.1.    Investi?ii productive ?i preg?tirea pentru competi?ia de pia?? a �ntreprinderilor, �n special IMM/ A2-Sprijin financiar de p�n? la 920.000 lei pentru investi?ii pentru IMM",786064,127964,391727,248094,1553849
"ACHIZI?II         UTILAJE         SI         ECHIPAMENTE TEHNOLOGICE","SC ATERO SRL","Axa    Prioritar?    1/    DMI    1.1.1.    Investi?ii productive ?i preg?tirea pentru competi?ia de pia?? a �ntreprinderilor, �n special IMM/ A2-Sprijin financiar de p�n? la 920.000 lei pentru investi?ii pentru IMM",786057,132878,612624,292662,1824222
"MODERNIZAREA SI DEZVOLTAREA DURABILA A SC         TITAN         CONSTRUCT         SRL         PRIN ACHIZI?IONAREA DE UTILAJE SI ECHIPAMENTE NOI","SC TITAN CONSTRUCT SRL","Axa    Prioritar?    1/    DMI    1.1.1.    Investi?ii productive ?i preg?tirea pentru competi?ia de pia?? a �ntreprinderilor, �n special IMM/ A2-Sprijin financiar de p�n? la 920.000 lei pentru investi?ii pentru IMM",785583,132798,781694,323764,2023839
"Instala?ie de zincare termica repere","SC BETAK SA","Axa    Prioritar?    1/    DMI    1.1.1.    Investi?ii productive ?i preg?tirea pentru competi?ia de pia?? a �ntreprinderilor, �n special IMM/ A2-Sprijin financiar de p�n? la 920.000 lei pentru investi?ii pentru IMM",785262,132744,630065,388208,1936278
"T?LPI STRATIFICATE","SC EPA-FLEX MILOVA SRL","Axa    Prioritar?    1/    DMI    1.1.1.    Investi?ii productive ?i preg?tirea pentru competi?ia de pia?? a �ntreprinderilor, �n special IMM/ A2-Sprijin financiar de p�n? la 920.000 lei pentru investi?ii pentru IMM",784157,132557,1006238,371110,2294062
"Dezvoltarea capacit??ii de prelucrare a lemnului in cadrul SC Elmob International SRL","SC ELMOB INTERNATIONAL SRL","Axa    Prioritar?    1/    DMI    1.1.1.    Investi?ii productive ?i preg?tirea pentru competi?ia de pia?? a �ntreprinderilor, �n special IMM/ A2-Sprijin financiar de p�n? la 920.000 lei pentru investi?ii pentru IMM",782829,132332,392212,253931,1561303
"Cre?terea competitivit??ii ?i performan?ei economice a SC �MP?RAT      SRL     prin     investi?ii      care      vizeaz? retehnologizarea ?i cre?terea capacit??ii de produc?ie","SC �MP?RAT SRL","Axa    Prioritar?    1/    DMI    1.1.1.    Investi?ii productive ?i preg?tirea pentru competi?ia de pia?? a �ntreprinderilor, �n special TMM/ A2-Sprijin financiar de p�n? la 920.000 lei pentru investi?ii pentru IMM",782600,127400,401429,249171,1560600
"ACHIZI?IONARE  UTILAJE  SI  ECHIPAMENTE  IN VEDEREA   MODERNIZ?RII   ACTIVIT??ILOR   DE PRODUC?IE IN DOMENIUL DE CONSTRUC?II A CAILOR FERATE DE SUPRAFA?A SI SUBTERANE A SC CONSTRUCT INVEST SRL","SC CONSTRUCT INVEST SRL","Axa    Prioritar?    1/    DMI    1.1.1.    Investi?ii productive ?i preg?tirea pentru competi?ia de pia?? a �ntreprinderilor, �n special IMM/ A2-Sprijin financiar de p�n? la 920.000 lei pentru investi?ii pentru IMM",781436,127210,636671,115830,1661147
"Achizi?ie     de     echipamente      ?i      utilaje     la     SC MASCHJNENBAU TIMI?OARA SRL din Municipiul Timi?oara, Jude?ul Timi?","SC MASCHTNENBAU TIMI?OARA SRL","Axa    Prioritar?    1/    DMI    1.1.1.    Investi?ii productive ?i preg?tirea pentru competi?ia de pia?? a �ntreprinderilor, �n special IMM/ A2-Sprijin financiar de p�n? la 1.075.000 lei pentru investi?ii pentru IMM",780513,127060,388960,246341,1542875
"ACHIZI?IONARE         UTILAJE         TEHNOLOGICE PERFORMANTE        PENTRU        MODERNIZAREA ACTIVIT??II             DE             PRODUC?IE            A PREFABRICATELOR DPN BETON A SC MICHAEL & KEVIN SRL VALEA LUNGA","SC MICHAEL & KEVIN SRL","Axa    Prioritar?    1/    DMI    1.1.1.    Investi?ii productive ?i preg?tirea pentru competi?ia de pia?? a �ntreprinderilor, �n special IMM/ A2-Sprijin financiar de p�n? la 920.000 lei pentru investi?ii pentru IMM",780147,131879,417453,282218,1611697
"M?RIREA       CAPACIT??II       DE       PRODUC?IE, DIVERSIFICAREA      PRODUC?IEI,      CRE?TEREA PRODUCTIVIT??II,   REALIZAREA   UNUI   SISTEM TNOVATIV    ?I    ECOEFICIENT    DE    PRODUC?IE PENTRU TIMPLARIE DTN LEMN STRATIFICAT CU GEAM TERMOPAN, FA?ADE ?I TERASE DE IARN?","UNIROM SA","Axa    Prioritar?    1/    DMI    1.1.1.    Investi?ii productive ?i preg?tirea pentru competi?ia de pia?? a �ntreprinderilor, �n special IMM/ A2-Sprijin financiar de p�n? la 920.000 lei pentru investi?ii pentru IMM",779807,126945,388608,252118,1547478
"RECICLARE EUROPEAN?","ELECTROCLEM SRL","Axa    Prioritar?    1/    DMI    1.1.1.    Investi?ii productive ?i preg?tirea pentru competi?ia de pia?? a �ntreprinderilor, �n special TMM/ A2-Sprijin financiar de p�n? la 920.000 lei pentru investi?ii pentru IMM",779581,126909,604326,315026,1825842
"Inhibitori   de   crust?   ?i   coroziune   -   solu?ia   perfect? �mpotriva durit??ii apei de r?cire","EDICHTM SRL","Axa    Prioritar?    1/    DMI    1.1.1.    Investi?ii productive ?i preg?tirea pentru competi?ia de pia?? a �ntreprinderilor, �n special IMM/ A2-Sprijin financiar de p�n? la 920.000 lei pentru investi?ii pentru IMM",779529,126900,650743,300482,1857654
"Diversificarea      productiei-mijloc      de      cre?tere      a competitivit??ii firmei Forex","SC Forex SA","Axa    Prioritar?    1/    DMI    1.1.1.    Investi?ii productive ?i preg?tirea pentru competi?ia de pia?? a �ntreprinderilor, �n special IMM/ A2-Sprijin financiar de p�n? la 920.000 lei pentru investi?ii pentru IMM",779326,131740,745418,314732,1971217
"Achizi?ie de utilaje ?i echipamente pentru fabricarea de profile din aluminiu la SC Rico SRL, Loc. Constan?a, jud. Constan?a","SC RICO SRL","Axa    Prioritar?    1/    DMI    1.1.1.    Investi?ii productive ?i preg?tirea pentru competi?ia de pia?? a �ntreprinderilor, �n special TMM/ A2-Sprijin financiar de p�n? la 1.075.000 lei pentru investi?ii pentru IMM",778880,126794,603783,345469,1854926
"Achizi?ia de utilaje pentru lucr?ri de construc?ii","SC Clio Srl","Axa    Prioritar?    1/    DMI    1.1.1.    Investi?ii productive ?i preg?tirea pentru competi?ia de pia?? a �ntreprinderilor, �n special IMM/ A2-Sprijin financiar de p�n? la 920.000 lei pentru investi?ii pentru IMM",778315,131569,389951,339147,1638983
"Cre?terea productivit??ii  companiei  prin achizi?ia unui router CNC in 5 axe cu schimbarea automata de scule","SC Digital Grafix Grup SRL","Axa    Prioritar?    1/    DMI    1.1.1.    Investi?ii productive ?i preg?tirea pentru competi?ia de pia?? a �ntreprinderilor, �n special IMM/ A2-Sprijin financiar de p�n? la 920.000 lei pentru investi?ii pentru IMM",777884,131496,389734,246832,1545946
"Dezvoltarea   sectorului   productiv   al   companiei   prin achiiztia   de   echipamente   si   construc?ia   unei   cl?diri industriale","SC Calmar Com SRL","Axa    Prioritar?    1/    DMI    1.1.1.    Investi?ii productive ?i preg?tirea pentru competi?ia de pia?? a �ntreprinderilor, �n special IMM/ A2-Sprijin financiar de p�n? la 920.000 lei pentru investi?ii pentru IMM",777216,131384,389400,246620,1544620
"SERVICIU  AUTOMATIZAT   DE   AUTENTIFICARE PRIN SEMN?TURA BIOMETRICA","SC SOFTWIN SRL Bucure?ti","Axa Prioritar? 2/ O 2.1.2: Proiecte C-D de inalt nivel ?tiin?ific la care vor participa speciali?ti din str?in?tate",776542,159052,1182657,219193,2337444
"CONCEP?IA, PROIECTAREA SI IMPLEMENTAREA UNUI  SISTEM GENERAL DE DEZAMBIGUIZARE CU   APLICA?IE   PENTRU   LIMBA   ROMANA   SI ENGLEZA","SC SOFTWIN SRL Bucure?ti","Axa Prioritar? 2/ O 2.1.2: Proiecte C-D de inalt nivel ?tiin?ific la care vor participa speciali?ti din str?in?tate",776393,159020,1050823,214471,2200707
"Dezvoltarea   sectorului   productiv   al   companiei   prin achizi?ia   de   echipamente   si   construc?ia   unei   cl?diri industriale","SC Aluminium Construction SRL","Axa    Prioritar?    1/    DMI    1.1.1.    Investi?ii productive ?i preg?tirea pentru competi?ia de pia?? a �ntreprinderilor, �n special IMM/ A2-Sprijin financiar de p�n? la 920.000 lei pentru investi?ii pentru IMM",775420,131080,388500,246050,1541050
"ACHIZI?IONAREA DE UTILAJE ?I ECHIPAMENTE �N    VEDEREA     CRE?TERE     COMPETITIVIT??II ECOMOMICE   ?I   DIVERSIFIC?RII   SERVICIILOR OFERITE DE S.C. APOPI & BLUMEN S.R.L.","SC APOPI & BLUMEN SRL","Axa    Prioritar?    1/    DMI    1.1.1.    Investi?ii productive ?i preg?tirea pentru competi?ia de pia?? a �ntreprinderilor, �n special IMM/ A2-Sprijin financiar de p�n? la 920.000 lei pentru investi?ii pentru IMM",774318,126052,600247,288078,1788695
"Achizi?ia    de    active   tangibile    pentru   modernizarea activit??ii de construc?ii","SC DB CONSTRUCT SRL","Axa    Prioritar?    1/    DMI    1.1.1.    Investi?ii productive ?i preg?tirea pentru competi?ia de pia?? a �ntreprinderilor, �n special IMM/ A2-Sprijin financiar de p�n? la 920.000 lei pentru investi?ii pentru IMM",773998,130839,387787,249546,1542171
"Achizi?ionarea ?i modernizarea unei unit??i de produc?ie, achizi?ionare de echipamente ?i utilaje","SC LEOCRIDA PRODCOM SRL","Axa    Prioritar?    1/    DMI    1.1.1.    Investi?ii productive ?i preg?tirea pentru competi?ia de pia?? a �ntreprinderilor, �n special IMM/ A2-Sprijin financiar de p�n? la 920.000 lei pentru investi?ii pentru IMM",773757,125960,394858,552751,1847327
"Linie  de  produc?ie  pentru  drenaje �n  cadrul  Europal Construct SRL","SC Europal Construct SRL","Axa    Prioritar?    1/    DMI    1.1.1.    Investi?ii productive ?i preg?tirea pentru competi?ia de pia?? a �ntreprinderilor, �n special IMM/ A2-Sprijin financiar de p�n? la 1.075.000 lei pentru investi?ii pentru IMM",773230,125875,385331,269018,1553453
"Crearea unei noi unit??i de produc?ie in ora?ul Filiasi","SC Motoare Electrice SRL","Axa    Prioritar?    1/    DMI    1.1.1.    Investi?ii productive ?i preg?tirea pentru competi?ia de pia?? a �ntreprinderilor, �n special IMM/ A2-Sprijin financiar de p�n? la 920.000 lei pentru investi?ii pentru IMM",772750,130628,602253,164469,1670100
"Modernizarea SC SOMECO SA prin investi?ii in utilaje performante","SC SOMECO S.A.","Axa    Prioritar?    1/    DMI    1.1.1.    Investi?ii productive ?i preg?tirea pentru competi?ia de pia?? a �ntreprinderilor, �n special IMM/ A2-Sprijin financiar de p�n? la 920.000 lei pentru investi?ii pentru IMM",772610,130605,489942,269086,1662242
"Dezvoltarea sectorului productiv al SC Flamiv Company SRL","SC Flamiv Company SRL","Axa    Prioritar?    1/    DMI    1.1.1.    Investi?ii productive ?i preg?tirea pentru competi?ia de pia?? a �ntreprinderilor, �n special IMM/ A2-Sprijin financiar de p�n? la 920.000 lei pentru investi?ii pentru IMM",772575,125768,598895,284475,1781713
"CRE?TEREA      COMPETITIVIT??II      SOCIET??II WILLEX SRL PRIN ACHIZI?IONAREA MA?INII DE �MBINAT COMPLET AUTOMATIZATE","SC WILLEX SRL","Axa    Prioritar?    1/    DMI    1.1.1.    Investi?ii productive ?i preg?tirea pentru competi?ia de pia?? a �ntreprinderilor, �n special IMM/ A2-Sprijin financiar de p�n? la 1.075.000 lei pentru investi?ii pentru IMM",771162,125538,384300,243390,1524390
"ACHIZI?IONARE         UTILAJE         TEHNOLOGICE PERFORMANTE        PENTRU        MODERNIZAREA ACTIVIT??II    DE    PRODUC?IE    IN    DOMENIUL CONSTRUC?IILOR  A   SC   MARIUS   CONSTRUCT SRL ALBA IULIA","SC MARIUS CONSTRUCT SRL","Axa    Prioritar?    1/    DMI    1.1.1.    Investi?ii productive ?i preg?tirea pentru competi?ia de pia?? a �ntreprinderilor, �n special IMM/ A2-Sprijin financiar de p�n? la 920.000 lei pentru investi?ii pentru IMM",769749,130121,411893,279270,1591034
"Achizi?ii de utilaje ?i echipamente la SC FLEXIBIL SRL din Localitatea S?sar, Jude?ul Maramure?","SC FLEXIBE, SRL","Axa    Prioritar?    1/    DMI    1.1.1.    Investi?ii productive ?i preg?tirea pentru competi?ia de pia?? a �ntreprinderilor, �n special IMM/ A2-Sprijin financiar de p�n? la 1.075.000 lei pentru investi?ii pentru IMM",769111,125204,592044,257167,1743526
"Crearea unei noi unit??i de produc?ie in Filiasi","SC Piovaneli Impex SRL","Axa    Prioritar?    1/    DMI    1.1.1.    Investi?ii productive ?i preg?tirea pentru competi?ia de pia?? a �ntreprinderilor, �n special IMM/ A2-Sprijin financiar de p�n? la 920.000 lei pentru investi?ii pentru IMM",766202,129522,597150,167746,1660620
"AUTOMATIZAREA PROCESELOR DE PRODUC?IE DESF??URATE �N CADRUL SC MODULO MEX SRL CU     SCOPUL     CRE?TERII     CAPACIT??II     DE PRODUC?IE","MODULO MEX SRL","Axa    Prioritar?    1/    DMI    1.1.1.    Investi?ii productive ?i preg?tirea pentru competi?ia de pia?? a �ntreprinderilor, �n special IMM/ A2-Sprijin financiar de p�n? la 920.000 lei pentru investi?ii pentru IMM",763126,124230,716823,150535,1754714
"Modernizarea S.C. Moragroind S.R.L prin achizi?ionarea de echipamente si utilaje in vederea optimiz?rii activit??ii de construc?ii","SC MORAGROIND SRL","Axa    Prioritar?    1/    DMI    1.1.1.    Investi?ii productive ?i preg?tirea pentru competi?ia de pia?? a �ntreprinderilor, �n special IMM/ A2-Sprijin financiar de p�n? la 920.000 lei pentru investi?ii pentru IMM",762725,128934,641674,850046,2383379
"Extindere capacitate produc?ie ?i m?rirea productivit??ii -construc?ie   hal?   nou?   de   produc?ie   ?i   achizi?ionare echipamente destinate produc?iei","S.C. INDA S.RL.","Axa    Prioritar?    1/    DMI    1.1.1.    Investi?ii productive ?i preg?tirea pentru competi?ia de pia?? a �ntreprinderilor, �n special IMM/ A2-Sprijin financiar de p�n? la 920.000 lei pentru investi?ii pentru IMM",762692,124159,866272,362843,2115966
"TEHNOLOGII     MODERNE     �N     CONSTRUC?IA CL?DIRILOR","S.C.AG SANINVEST S.R.L.","Axa    Prioritar?    1/    DMI    1.1.1.    Investi?ii productive ?i preg?tirea pentru competi?ia de pia?? a �ntreprinderilor, �n special IMM/ A2-Sprijin financiar de p�n? la 920.000 lei pentru investi?ii pentru IMM",760658,123828,403913,244796,1533195
