ID,name_des_begunstigten,bezeichnung_des_vorhabens,jahr_der_bewilligung,jahr_der_abschliessenden_restzahlung, gewahrte_betrage, bei_abschluss_des_vorhabens_gezahlte_gesamtbetrage ,
456,"""Haus der Küchen"" Waldschmidt","Ausbau und Stärkung der wirtschaftlichen Eigenkraft des
Unternehmens durch zielgruppenorientiertes Marketing",2008,,"4,800.00",,
808,"*NOKA"" Holzverarbeitungs GmbH","Neubau einer Lagerhalle, Maschinen- und Softwareinvestitionen",2008,,"32,700.00",,
1224,1. Motorsportclub Wolfsburg e.V.,"Yachthafen Wolfsburg - Förderung des Wassersporttourismus
durch Qualitätssteigerung des Hafens und des Hafengeländes",2009,,"69,000.00",,
1,A. Gerdes GmbH & Co. KG,Ausbau der Marktposition des Unternehmens,2008,2009,,"4,000.00",
2,A. Obenauf GmbH & Co. KG,Einwerbung von Eigenkapital ggf. ergänzendem Fremdkapital,2008,,"10,000.00",,   
3,ABG Allgemeine Baumaschinen- Gesellschaft mbH,"Grunderwerb, bauliche Investitionen, Maschinenerwerb",2008,,"3,031,200.00",,
4,ABR Metallguß GmbH,"Verbesserung der Marktposition, Marketing und Werbung für
Neukundengewinnung",2008,2009,,"4,400.00",
5,Abwasserentsorgung Helmstedt,Umstellung von Misch- auf Trennkanalisation in Helmstedt,2009,,"1,832,600.00",,
6,Abwasserverband Raum Katlenburg,"Ausbau der Kläranlage Elvershausen Erweiterung der Stickstoff-
und Phosphatelimination",2008,2009,,"250,000.00",
7,ACS International GmbH,Entwicklung eines Marketing-und Vertriebskonzeptes,2008,2009,,"3,790.00",
8,ACS-Vertrieb GmbH,"Strategische und umfassende Beratung zu den Designprozessen
im Status der Produktentwicklung",2008,2008,,"5,600.00",
441,Hannover Fabrik e.V.,Kooperationsnetzwerk für Produktion und Produktionstechnik in H,2009,,"270,000.00",
444,Hannoverimpuls GmbH,"Richtlinie zur Förderung von Investitionen in kleinen und mittle ren
Unternehmen (KMU) in der Region Hannover",2009,,"840,000.00",
445,Hannoverimpuls GmbH,"Richtlinie zur Förderung von Investitionen in kleinen und mittleren
Unternehmen (KMU) in der Region Hannover",2007,,"1,120,000.00",
446,Hannoversche Solarwerke GmbH,Einwerbung von Eigen- und Fremdkapital,2008,,"10,000.00",
447,"Hansa Polytechnik GmbH Hans Egon Sandvoß und Thomas
Sandvoß","Erweiterung einer bestehenden Betriebsstätte in 26802
Moormerland / bauli. Invest. und Einrichtungen",2008,,"30,000.00",
448,"Hansa Ventilatoren- und Maschinenbau Neumann GmbH
Rolf Neumann und Inge Fenne","Entwicklung der langfristigen Strategie und des Marktauftrittes des
Unternehmens",2008,2009,,"2,062.50"
449,Harald Meyer Brandschutz-Elektro GmbH,"Konzeptionelle Beratung zum Aufbau eines betrieblichen
Marketingkonzeptes",2008,2008,,"10,000.00"
450,Hardenberg Burghotel Hotelbetriebsgesellschaft mbH,"Übernahme des Hotels ""Gesundbrunnen""",2008,2009,,"676,500.00"
451,Hartmann GmbH,Entwicklung einer Marketingstrategie,2009,,"4,000.00",
452,Hartmann Lebensmitteltechnik Anlagenbau GmbH,"Erwerb einer von der Stilllegung bedrohten Betriebsstätte und
Erweiterung",2007,2009,,"459,100.00"
453,Hartmut Hardieck Gartenbau GmbH,"Zielgruppen und Produktauswahl, Erarbeitung des Marketing-
konzeptes",2008,2008,,"4,400.00"
454,Harzhotel Regina,Entwicklung eines Marketing- und Vertriebskonzeptes,2008,2008,,"2,800.00"
455,"Harzklub e. V. Heimat-, Wander- und Naturschutzbund",Harzer-Förster-Stieg,2009,,"34,350.00",
457,Häusliche Krankenpflege Preusse-Sc,Ausbauen des Marketing im Pflegedienst,2008,,"7,200.00",
458,Haustechnik Oltmanns e. K.,"Erarbeitung eines an Marketingzielen orientierten Maßnahmeplans
zur Schärfung des Unternehmensprofils",2008,,"6,000.00",
459,HD Bau GmbH,Entwicklung der langfristigen Strategie und des Marktauftrittes,2008,,"1,600.00",
460,HDL Technologies GmbH,"Entwicklung eines innovativen Fertigungsverfahrens für langlebige,
brillante Hochleistungsdiodenlaser",2008,,"368,000.00",
461,Heiko Posegga,"Wandsystem für die Errichtung von Einfamilien- und Mehrfamilien-
häusern, Gewerbebauten, kommuale Bauten usw.",2007,,"52,400.00",
462,Heineking Handel & Immobilien GmbH & Co.,"Marketingberatung zur Anpassung an die aktuelle Marktsituation u
nd zur Weiterentwicklung der Immobilienmarke Heineking",2009,,"6,800.00",
463,Heineking Service GmbH,"Steigerung des Bekanntheitsgrades und Verbesserung der
Kundenbin dung",2009,,"6,800.00",
466,Heino Meyer Möbelwerkstätten GmbH,"Konzeptionelle Beratung und Prozessmoderation im Rahmen der
Vorb ereitungsphase zur Nachfolgeregelung",2009,,"10,000.00",
467,Heinrich Becker GbR,Betriebsverlagerung mit Erweiterung,2007,2009,,"6,786.41"
468,Heinrich Döpke GmbH & Co. KG Maschinenfabrik,"Neues Vertikal-Umlauftrockensystem für Klärschlamm mit Hilfe
von erwärmten Stahlkugeln mittels eines Spezialsförderers",2008,,"95,400.00",
469,Heinrich Schröder Landmaschinen KG,Erwerb einer stillgelegten Betriebsstätte,2007,,"107,200.00",
470,Heinrich-Wilhelm Müller Kartoffel- und Gemüseschälbetrieb,"Beratung zur zielgerichteten Gestaltung der
Unternehmensnachfolge",2008,2008,,"4,800.00"
471,Heinz Sielmann Stiftung,"Ideen auf Gut Herbigshaben für Naturschützer von heute und
morgen!",2008,,"251,100.00",
472,Heise,Professionalisierung der Marketing- und Vertriebsprozesse,2008,,"6,000.00",
473,Helmholtz-Zentrum für Infektions- forschung GmbH,Testsysteme für die pharmazeutische Wirkstoffentwicklung,2009,,"302,980.00",
474,Helms Feinwerktechnik,Konzept zum Aufbau einer umfassenden Internetpräsentation,2008,2008,,"4,800.00"
475,"Helmstedter Präzisions Maschinen und Anlagenbau GmbH &
Co KG",Errichtung eines Gebäudes und Anschaffung von Maschinen,2008,,"4,269,100.00",
476,Helmut Himstedt GmbH & Co. KG,Vorbereitung und Begleitung des Nachfolgeprozesses,2008,,"2,200.00",
477,Helmut Hornig Ingenieurbüro,"Konzeptionelle und begleitende Beratung zur Vorbereitung und
Durchführung der Unternehmensnachfolge;
Unternehmensbewertung",2008,2009,,"4,800.00"
478,Hemmers / Itex Textil Import Export GmbH,Erweiterung der Betriebsstätte,2007,2009,,"174,351.05"
479,Herbert Richter,"Optimierung der Kundenansprache durch gezielte
Marketingmaßnahme",2007,2008,,"6,000.00"
480,Herdejürgen&Harmsen Baugesellschaft mbH & Co. KG,"Beratung bei der  Entwicklung des Internetangebots und des Onlin
e-Angebots",2009,,"7,200.00",
481,Herder Sitzmöbel GmbH,"Erwerb einer stillgelegten / von Stilllegung bedrohten Betriebs-
stätte",2007,,"28,100.00",
482,Hermann Hake GmbH Theda Hake,Darstellung der Unternehmensnachfolge bzw. - übergabe,2009,,"4,000.00",
483,Hermann Perk Metallbau,Betriebsverlagerung mit Erweiterung,2007,,"89,100.00",
484,Hermann Witte GmbH & Co. KG,Entwicklung des Marktauftrittes des Unternehmens,2008,2009,,"1,400.00"
485,Hermes Systeme GmbH,"Entwicklung einer Systemumgebung u. a. auf Basis der LWL-
Technik",2008,,"100,000.00",
486,HGI Objektdesign GmbH & Co. KG,Grundstückskauf & Errichtung e. Produktions- halle mit Sozial- und Büroräumen,2008,,"61,800.00",
490,hhw ingenieurgesellschaft GmbH & Co KG,"Begelitung und konzeptionelle Beratung zur Planung und
Durchführung einer Unternehmensübergabe",2008,2008,,"4,000.00"
496,HI-TEC-GLAS GRÜNENPLAN GmbH,"Entwicklung eines 2-schaligen Glasverbundrohrs mit Spezialstahl-
köpfen für statische Zwecke",2007,2009,,"59,800.00"
497,HI-TEC-GLAS GRÜNENPLAN GmbH,Errichtung einer Betriebsstätte,2007,,"56,000.00",
491,Hieke Logistik GmbH,Planung und Vorbereitung einer Nachfolgelösung,2009,,"10,000.00",
492,"Historisch-Ökologische Bildungsstätte Emsland in Papenburg
e.V.",Entrepreneurship für Nachhaltigkeit,2008,,"41,100.00",
493,HIT Hafen- und Industrietechnik GmbH,Erweiterung einer bestehenden Betriebsstätte,2008,,"79,200.00",
494,"HIT High Tech Ingenieurgesellschaft mbH Herr Ralf
Kleinwechter",Einstellung eines Hochschulabsolventen,2009,,"12,000.00",
495,"HIT High Tech Ingenieurgesellschaft mbH Herr Ralf
Kleinwechter",Einstellung eines Hochschulabsolventen,2009,,"12,000.00",
498,HL Teileservice GmbH,Erweiterung einer Betriebsstätte,2007,,"64,320.00",
499,HM Anlagentechnik GmbH,"Entwicklung eines Marketingkonzeptes zum Aufbau eines neuen
Internetauftritts sowie Onlinemarketingaktivitäten",2008,2008,,"10,000.00"
500,"Hochschule für angewandte Wissenschaft und Kunst -
HAWK - Fachhochschule Hildesheim/Holzminden/ Göttingen","Forschungsnetz ""Bildgebende Sensortechnik""",2008,,"106,737.44",
501,"Hochschule für angewandte Wissenschaft und Kunst -
HAWK - Fachhochschule Hildesheim/Holzminden/ Göttingen","Gärrestbehandlung zur gezielten Rückführung von
Spurenelementen in den Fermenter und Erschließung des
Restgaspotenzials",2008,,"85,016.50",
502,"Hochschule für angewandte Wissenschaft und Kunst -
HAWK - Fachhochschule Hildesheim/Holzminden/ Göttingen","Initiative zur Förderung einer Kultur der Selbstständigkeit an d er
HAWK",2008,,"132,851.86",
503,"Hochschule für angewandte Wissenschaft und Kunst -
HAWK - Fachhochschule Hildesheim/Holzminden/ Göttingen",Mikroinvasiver Schnellnachweis holzzerstörender Pilze,2008,,"160,610.00",
504,Hochschule Vechta Zentrum Altern und Gesellschaft,Alternsmanagement im Betrieb,2008,,"147,600.00",
505,Hochschule Vechta Zentrum Altern und Gesellschaft,"""Sportpsychologisch orientierte Weiterbildungsmaßnahmen für
Führ ungskräfte in der Wirtschaftsregion Niedersachsen""",2008,,"24,013.00",
506,Höhl-Leuchten GmbH,Entwicklung von strategischen Marketingmaßnahmen,2008,2008,,"4,000.00"
507,Holger Kirchhoff GmbH,"Entwicklung einer langfristigen Strategie des Marktauftrittes de
Unternehmens",2007,2008,,"2,600.00"
508,Hören und Sehen GmbH,Startpositionierung und Entwicklung von einem Marketingkonzept,2008,2008,,"10,000.00"
511,Horst Kaminski GmbH,"Marketingberatung zur langfristigen Weiterentwicklung des Untern
ehmens",2009,,"10,000.00",
512,Hotel & Restaurant Nickisch GmbH & Co KG,Erweiterung einer bestehenden Betriebsstätte,2007,,"303,600.00",
513,Hotel Am Stadtring GmbH,Erweiterung einer neuen Betriebsstätte,2008,,"600,600.00",
514,Hotel Bayrischer Hof,"Beurteilung und Optimierung des derzeitigen Marketingkonzeptes;
Ableitung von geeigneten Marketingmaßnahmen",2008,2008,,"9,000.00"
515,Hotel Görtler,Erstellung eines Marketingkonzeptes,2008,2009,,"2,000.00"
516,Hotel Kaiserworth Betriebs GmbH,Erweiterung einer bestehenen Betriebsstätte,2008,,"338,600.00",
517,Hotel Reichshof,Beratung zur mittelfristigen Übergabe des Unternehmens,2007,2008,,"4,000.00"
518,Hotel Stähle Inhaberin Eva Stähle e. K.,Erweiterung einer Betriebsstätte,2007,,"222,000.00",
519,"Hotel Zur Tanne Hans und Rüdiger Fleischhacker GmbH &
Co. KG","Entwicklung u.a. von einem Marketingkonzept und von Corporate
Design",2008,2009,,"10,000.00"
520,Hotel-Restaurant Berliner Hof KG,Marktfestigung durch Entwicklung eines Marketingkonzeptes,2009,,"3,000.00",
521,HPH Placke & Co. GmbH,Neuausrichtung auf veränderte Märkte in der Baubranche,2008,,"4,024.00",
522,HPMA GmbH & Co. KG,"Stärkung der Eigenkapitalbasis für das langfristige Unternehmens
wachstum",2009,,"8,000.00",
523,"HS CAD/CAE Dienstleistung Sudholz & Müller
Partnergesellschaft",Erweiterung einer Betriebsstätte,2007,2009,,"11,672.82"
524,HSG mbH (in Gründung),Errichtung einer Betriebsstätte,2008,,"29,300.00",
526,HTO-Handel und Transport Oker GmbH & Co. KG,Entwicklung eines Marketing- und Vertriebskonzeptes,2009,,"10,000.00",
527,Hubschrauberzentrum e.V.,"Erweiterungsbau Hubschraubermuseum in Bückeburg und
konzeptionelle Neugestaltung",2008,,"1,884,900.00",
528,Hulco Trailers GmbH i.G.,Errichtung einer Betriebsstätte,2007,,"811,800.00",
529,Huneck GmbH,Markenbildung und Vermarktungskonzept,2008,2009,,"5,532.00"
530,Husen Stahlbau GmbH & Co. KG,"Anpassung des Markteingkonzeptes; Stärkung der Marktposition
des Unternehmens",2008,2009,,"10,000.00"
531,Husmann Stahlbau GmbH,Errichtung einer Betriebsstätte,2008,,"174,100.00",
532,Husmann Umwelt-Technik GmbH,"Standortbestimmung des Unternehmens im Markt; Erforderliche
Maßnahmen bezügl. Organisation und Personal",2008,2009,,"9,600.00"
535,HYNOVA GmbH,Erstellung eines Marketingkonzeptes; Ausbau der Marktposition,2008,2009,,"7,200.00"
536,IBA GmbH,Erweiterung der Betriebsstätte,2007,,"125,000.00",
537,IBA GmbH,"Modulares Klonierungssystem zur schnellen und effizienten
Expression rekombinanter Proteine in verschiedenen
Wirtsorganism",2007,,"412,700.00",
538,Icb Holding GbR,"Unterstützung bei Marketingmaßnahmen zur Steigerung des
Bekannth eitsgrades",2009,,"3,000.00",
539,IGEA Ingenieurgesellschaft GmbH,Neubau eines Bürogebäudes mit Fertigungshalle,2007,,"116,900.00",
540,IHR Ideal Home Range,"Erstellung einer aussagekräftigen Konzeption zur Unternehmens-
nachfolge",2008,2009,,"2,100.00"
541,IKM Integrative Kunst- und Musikschulen,Verbesserung des strategischen Marketings,2008,2009,,"2,800.00"
542,Image Group,"Erstellung von Marketingkonzepten zur Neukundengewinnung und
Mar ktentwicklung",2009,,"9,450.00",
543,IMAP Dienste Viktor Markus,"Analyse der Wettbewerbssituation, Marketingkonzept",2007,2008,,"6,000.00"
544,Industriebedarf Dammann-Funke GbR,"Unterstützung bei der Entwicklung und Umsetzung einer
Marketing- und Vertriebsstrategie",2008,,"6,000.00",
545,InfoMantis GmbH,mobile Push- und Alerting Applikationen,2008,,"69,900.00",
546,Ing. Büro Ludwig & Partner,Einstellung eines Hochschulabsolventen,2009,,"12,000.00",
547,Inge Schüler Vermietung,Entwicklung eines Universal Designs,2009,,"8,000.00",
548,Ingenieur- und Planungsbüro Palandt,Vorbereitung der Unternehmensnachfolge,2009,,"5,600.00",
549,Ingenieurbüro Hans Tovar & Partner GbR,"Begleitung und konzeptionelle Beratung zur Planung und
Durchführung einer Unternehmensnachfolge",2008,2009,,"4,000.00"
550,Ingenieurbüro Pabsch & Partner GmbH,Einführung von Mechanismen zur Unternehmensnachfolge,2008,2009,,"8,800.00"
551,Innolight - Innovative Laser und Systemtechnik GmbH,Einstellung eines Hochschulabsolventen,2009,,"6,000.00",
552,Innova Holding GmbH,"Entwicklung eines Marketingkonzeptes sowie
Umsetzungsbegleitung",2008,2009,,"10,000.00"
553,Institut Dr. Schrader-Creachem GmbH,Erweiterung der Betriebsstätte,2007,,"484,400.00",
554,Institut für Pharmakogenetik und Genetische Disposition,"Entwicklung eines Verfahrens zum Nachweis der Genexpression
von Tumorzellen im Blut",2007,,"155,391.74",
555,Internationaler Naturpark Bourtanger Moor - Bargerveen e. V.,"Errichtung eines dezentralen Besucher-Informationssystems über
interaktive Informationsstationen",2007,,"49,028.00",
558,Internationaler Naturpark Bourtanger Moor - Bargerveen e. V.,"Errichtung von Naturerlebnisstationen für den neuen
internationalen Naturpark Bourtanger Moor - Bargerveen",2007,,"149,940.00",
559,internetConcept GmbH,Einstellung eines Hochschulabsolventen,2008,,"12,000.00",
560,INTESA Ingenieurgesellschaft mbH,"Entwicklung einer Marketingstrategie zur langfrisitgen Ent-
wicklung und Erweiterung des Geschäftsbereiches Metallbau",2008,,"6,000.00",
561,INVENT GmbH,Einstellung eines Hochschulabsolventen,2008,,"12,000.00",
562,Irmgards Haarstudio,Entwicklung einer individuellen Marketingstrategie,2008,,"5,000.00",
563,ITD Informationstechnologie GmbH & Co. KG,Einstellung eines Hochschulabsolventen,2009,,"6,000.00",
564,ITD Informationstechnologie GmbH & Co. KG,Einstellung eines Hochschulabsolventen,2009,,"6,000.00",
565,Itek-Nord GmbH,Errichtung einer Betriebsstätte,2008,,"173,400.00",
566,J. H. Meyer Bäckerei GmbH,Markterkundung,2007,2008,,"10,000.00"
567,Jetzlaff Großküchen- und Gaststätten- fachhandel GmbH,"Entwicklung einer langfristigen Strategie und des Marktauftrittes
des Unternehmens",2008,2009,,"1,600.00"
568,Johannes Scheurer GmbH Bäckereitechnik,"Entwicklung eines Etagenbackofens mit Holzpellets- bzw.
Holzhackschnitzelbefeuerung",2007,2008,,"27,300.00"
569,ju-net GmbH,"Neuentwicklung eines energie- und umweltschonenden
Verfahrens zur Produktion von Backwaren-Teiglingen",2008,,"82,900.00",
570,Junker Reisen e.K.,"Anaylye, Erstellung und Umsetzung des Marketinkonzeptes/
Marketingmixes",2008,2008,,"9,200.00"
571,Jürgen Börjes,Errichtung und Erweiterung der Betriebsstätte,2007,2009,,"62,578.72"
572,Jürgen Heykes,Entwicklung der langfristigen Strategie und des Marktauftrittes,2008,2009,,"4,500.00"
573,Jürgen Witte Nederland B.V.,Erweiterung einer Betriebsstätte,2008,,"238,400.00",
574,Kamei GmbH & Co. KG,Erstellung eines umfassenden Marketing-Konzeptes,2008,,"10,000.00",
575,Kamei GmbH & Co. KG,"Schaffung eines unverwechselbaren Marken- und
Leistungsportfolio s",2008,,"10,000.00",
576,Karnath Elektrotechnik und Sanitär GmbH,"Erstellung einer aussagefähigen Konzeption zur
Unternehmensnach- folge",2008,2009,,"2,100.00"
577,Karosseriewerk Heinrich Meyer GmbH,"Nachfolgeberatung für altersbedingte Übergabe des
Unternehmens",2008,,"10,000.00",
578,Kaufhold & Pulina CNC-Metallbearbeitung GmbH,Kundenbindung,2008,2009,,"1,974.80"
579,KES Keschwari Electronic Systems GmbH & Co. KG,Innovatives Brems- und Überwachungssystem für Schienenfahrzeuge,2008,,"544,000.00",
583,Kessens Technik mit System,Erweiterung einer Betriebsstätte,2008,,"15,400.00",
584,KFU Kontor für Umwelttechnik GmbH,"Erstellen einer Unternehmens-Marketingkonzeption zur Positionier
ung des Unternehmens und der Produkte",2009,,"9,200.00",
586,Ki-Ka Lager GmbH,Erstellung und Überwachung von Marketingkonzepten,2008,2009,,"3,200.00"
585,Kibra Verlag & Medienservice I. Schreiber e.K.,"Erarbeitung einer geeigneten Marketingstrategie für eine Unterne
hmenswachstum",2009,,"4,000.00",
587,Kinder in Bewegung,Findung eines geeigneten Namens,2008,2009,,"2,800.00"
588,Klarmann Edelstahlverarbeitung GmbH,Erweiterung der Betriebsstätte,2008,,"159,000.00",
589,Klaus Meyer Metallbau GmbH,Erweiterung einer Betriebsstätte,2008,,"102,000.00",
590,Klaus Meyer Tischlerei GmbH,Erweiterung einer Betriebsstätte,2008,,"102,000.00",
591,Klaus-Dieter Otten,"Intensive Marktbearbeitung und Förderung der
Unternehmensentwick lung",2009,,"4,000.00",
592,Klingele Papierwerke GmbH & Co. KG Papierfabrik Weener,"Umstellung oder grundlegende Rationalisierung / Modernisierung
einer Betriebsstätte",2007,,"1,890,000.00",
593,KMH-Kammann Metallbau GmbH & Co. KG,Entwicklung eines Schnellspannrings für Rohrleitungssysteme,2008,,"41,600.00",
594,Kodal & Partner,Entwicklung eines Marketingkonzeptes,2008,2009,,"7,243.84"
595,Koithahn¿s Landwurst-Spezialtitäten GmbH,"Optimierung der Produktion und der Kosten um eine merkliche
Um- satz- und Gewinnsteigerung zu erzielen",2007,2009,,"4,705.04"
596,"Kommunalbetriebe ""Altes Amt Lemförde"" GmbH",Ausbau der Kläranlage Lembruch zur Zentral-Kläranlage,2008,,"1,201,100.00",
597,KonTech Gmbh,Einstellung eines Hochschulabsolventen,2009,,"6,000.00",
598,Koop Haustechnik GmbH,"Konzeptionelle Beratung und Prozessmoderation im Rahmen der
Vorb ereitungsphase zur Nachfolgeregelung",2009,,"10,000.00",
599,Koopmann & Hermes Elementbau GmbH,Neubau einer Produktionshalle mit Büro- und Ausstellungsräumen,2007,,"110,900.00",
600,Koordinierungsstelle Frau & Betrieb e.V.,Koordinierungsstelle Frau & Betrieb e.V.,2007,2009,,"133,521.00"
601,Koordinierungsstelle Frau & Betrieb e.V.,Koordinierungsstelle Frau & Betrieb e.V.,2008,,"143,352.00",
602,Körber Feinmechanik,"Vertriebsaufbau, um sich am Markt besser zu positionieren;
Marketing und Werbung für Neukundengewinnung",2008,2009,,"2,765.00"
603,Köster Bauchemie AG,Erweiterung einer Betriebsstätte,2007,,"594,700.00",
604,Köttermann GmbH & Co. KG,"Entwicklung, Bau und Test neuer Labormöbel",2009,,"943,000.00",
607,Kreishandwerkerschaft Cloppenburg,"Modernisierung des Bildungszentrum Handwerk der
Kreishandwerkerschaft Cloppenbuurg",2009,,"824,211.00",
608,Kreishandwerkerschaft Vechta,"Modernisierung div. Werkstätten im BBZ Vechta der
Kreishandwerkerschaft Vechta",2009,,"490,140.00",
609,Kreisvolkshochschule Goslar,"Innovative Informations- und Bildungsplattform für zukunftsorien
tierte Energietechnologien BIENE",2008,,"372,934.00",
610,Kronenkamp Werk GmbH,"Entwicklung von modularen, rechnerüberwachten und energieopti-
mierten aktiven Warmhaltebehältern für den flexiblen Einbau in",2007,,"50,000.00",
611,Kronenkamp Werk GmbH,Erweiterung einer Betriebsstätte,2007,2008,,"43,800.00"
612,Krumfuß Systeme,"Konzeptionelle und begleitende Beratung zur Erstellung eines
Marketingkonzeptes",2008,2009,,"6,500.00"
613,Kruse Agrartechnik GmbH,Durchführung einer optimalen Nachfolge,2008,,"7,500.00",
614,Kubald GmbH,"Erstellung eines Marketingkonzeptes zur Image- und
Verkaufsförde rung",2009,,"10,000.00",
615,Küchenstudio Neumann GmbH,"Entwicklung einer passenden Marketingstrategie für den
bestehend en Onlin-Shop",2009,,"10,000.00",
616,Kühling Stahl- und Metallbau GmbH,"Strukturelle konzeptionsentwicklung und Coaching im Rahmen der
Vorbereitungsphase zur Nachfolgeregelung",2007,,"10,000.00",
617,Kuhlmann Werkzeugmaschinen + Service GmbH,Entwicklung/Implementierung einer Marketingkonzeption,2009,,"10,000.00",
618,Kunststoff-Fröhlich GmbH,Erweiterung der Produktionshalle und Maschinenkauf,2007,,"110,100.00",
619,Kurpark-Apotheke,Neupositionierung am Markt,2009,,"10,000.00",
620,Kurt Erxleben GmbH & Co. KG,Erweiterung einer Betriebsstätte,2008,2009,,"333,700.00"
621,KVHS Peine,Soziale Arbeit und Schule,2008,,"61,259.00",
725,L-Druck GmbH,Erweiterung einer Betriebsstätte,2008,,"249,420.00",
622,Labotect Labor-Technik-Göttingen GmbH,Errichtung einer neuer Betriebsstätte,2008,,"218,500.00",
623,Lachsförderverein Niedersachsen e. V.,"""Fluss ohne Grenzen""- Informations- und Monitoringstation am
Fischpass in Meinersen",2008,,"22,800.00",
624,Lack-Profis,Entwicklung von Marketingstrategie und-konzept,2008,2008,,"6,000.00"
625,Lamprecht-Verpackungen GmbH,Erweiterung der Betriebsstätte,2007,,"375,000.00",
626,Landbäckerei Tönjes OHG,Erweiterung der Betriebsstätte,2008,,"33,700.00",
627,Landguth Heimtiernahrung,Erweiterung einer Betriebsstätte,2007,,"726,225.00",
628,Landkreis Ammerland,Förderung von Investitionen und investitionsvorbereitenden Maßna hmen in Unternehmen im Landkreis Ammerland,2009,,"727,720.00",
632,Landkreis Ammerland,"Richtlinie des Landkreises Ammerland zur Förderung von Investi-
tionen und investitionsvorbereitenden Maßnahmen in KMU",2008,,"572,280.00",
633,Landkreis Ammerland,Wissens- und Technologietransfer,2008,,"100,000.00",
634,Landkreis Aurich,"Errichtung eines Aussichtsturms an der Naturschutzstation
Fehntjer Tief",2007,,"12,500.00",
635,Landkreis Aurich,"Richtlinie zur einzelbetrieblichen Förderung produktiver In-
vestitionen und investitionsvorbereitender Maßnahmen von KMU",2009,,"654,337.52",
636,Landkreis Aurich,"Richtlinie zur einzelbetrieblichen Förderung produktiver
Investitionen und investitionsvorbereitenden Maßnahmen von
KMU",2007,,"719,166.66",
637,Landkreis Aurich,Technologietransfer im Landkreis Aurich,2008,,"54,000.00",
638,Landkreis Cloppenburg,"Richtlinie des Landkreises Cloppenburg zur Förderung produktiver
Investitionen und investitionsvorbereitender Maßnahmen von KMU",2007,,"659,022.78",
639,Landkreis Cloppenburg,"Richtlinie des Landkreises Cloppenburg zur Förderung produktiver
Investitionen und investitonsvorbereitender Maßnahmen von KMU",2009,,"440,000.00",
640,Landkreis Cloppenburg,Technologietransfer im Landkreis Cloppenburg,2008,,"300,000.00",
641,Landkreis Diepholz,"Förderung von Investitionen in kleinen und mittleren Unternehmen
(KMU) und sonstigen Unternehmen im Landkreis Diepholz",2007,,"990,000.00",
642,Landkreis Diepholz,"Richtlinie zur Förderung von Investitionen in kleinen und mittle ren
Unternehmen (KMU) und sonstigen Unternehmen",2009,,"450,000.00",
643,Landkreis Diepholz,Technologietransfer im Landkreis Diepholz,2008,,"360,000.00",
644,Landkreis Emsland,"Förderung produktiver Investitionen kleiner und mittlerer Untern
ehmen (KMU) im Landkreis Emsland",2009,,"700,000.00",
645,Landkreis Emsland,"Förderung produktiver Investitionen kleiner und mittlerer
Unternehmen (KMU) Im Landkreis Emsland",2007,,"1,396,771.40",
646,Landkreis Emsland,Koordinierungsstelle Frauen und Wirtschaft,2007,2009,,"90,859.63"
647,Landkreis Emsland,Koordinierungsstelle Frauen und Wirtschaft,2008,,"116,900.56",
648,Landkreis Emsland,"Weiterentwicklung des EmsRadweges (Rfw1 EmsRadweg Rheine-
Emden) zu einem deutschen Premium-Flussradfernweg",2008,,"580,192.00",
649,Landkreis Friesland,"Richtlinie des Landkreises Friesland zur Förderung von Investi-
tionen in Unternehmen (speziell KMU)",2008,,"400,000.00",
650,Landkreis Gifhorn,"Förderung von Investitionen in kleinen und mittleren Unternehmen
(KMU)",2007,,"1,300,000.00",
653,Landkreis Gifhorn,"Förderung von Investitionen in kleinen und mittleren Unternehmen
(KMU)",2009,,"1,199,387.24",
654,Landkreis Goslar,Förderung zur Entwicklung von Unternehmen im Landkreis Goslar,2008,,"642,639.11",
655,Landkreis Goslar,Koordinierungsstelle Frau und Wirtschaft beim Landkreis Goslar,2008,,"141,700.00",
656,Landkreis Goslar,Koordinierungsstelle Frau und Wirtschaft Goslar,2007,2009,,"127,965.25"
657,Landkreis Goslar,"Richtlinie ""Förderung zur Entwicklung von Unternehmen im
Landkre is Goslar""",2009,,"655,000.00",
658,Landkreis Göttingen,"Förderung kleiner und mittlerer Unternehmen aus dem
Europäischen Fonds für Regionale Entwicklung (EFRE) im
Landkreis Göttingen",2007,,"960,000.00",
659,Landkreis Göttingen,"Förderung kleiner und mittlerer Unternehmen aus dem
Europäischen Fonds für Regionale Entwicklung (EFRE) im
Landkreis Göttingen",2009,,"1,400,000.00",
660,Landkreis Grafschaft Bentheim,Erweiterung Museum Kunstwegen- Kunst im öffentlichen Raum,2008,,"1,571,000.00",
661,Landkreis Grafschaft Bentheim,Koordinierungsstelle Chance,2007,2009,,"99,180.19"
662,Landkreis Grafschaft Bentheim,"Koordinierungsstelle CHANCE beim Landkreis Grafschaft
Bentheim",2008,,"120,548.46",
663,Landkreis Grafschaft Bentheim,Kunststoffnetzwerk in der Wachstumsregion Ems-Achse e.V.,2008,,"187,500.00",
664,Landkreis Grafschaft Bentheim,"Richtlinie des Landkreises Grafschaft Bentheim über die
Gewährung von Zuwendungen zur einzelbetrieblichen Förderung",2007,,"919,300.00",
665,Landkreis Grafschaft Bentheim,"Richtlinie des Landkreises Grafschaft Bentheim über die
Gewährung von Zuwendungen zur einzelbetrieblichen Förderung",2009,,"610,700.00",
