cod,org_int,titolo,asse,anno,stato,ente_gestore,costo,finanziamento,fund_type,currency,uri
137,FI,MEC.AUTO: CORSO DI FORMAZIONE PER MECCANICO DI AUTO,II Occupabilit‡,2007,Finanziato,ENAIP TOSCANA E FORMAZIONE LAVORO SOCIETA' CONSORTILE A R.L.,"146.151,50","146.151,50",ESF,EUR,http://www.rete.toscana.it/sett/orient/fp/ListaProgetti.pdf
2217,FP,"MISSIONE A BRUXELLES DI LUCIANO FALCHINI E RICCARDO PETRELLA, GG. 14- 16 SETTEMBRE 2008 PER SEMINARIO RIVOLTO ALLE ADG DEI PROGR. OPERATIVI",VI Assistenza Tecnica,2008,Finanziato,SETTORE FSE SISTEMA DELLA FORMAZIONE E DELL'ORIENTAMENTO,"2.228,27","2.228,27",ESF,EUR,http://www.rete.toscana.it/sett/orient/fp/ListaProgetti.pdf
182,PI,MOST,I Adattabilit‡,2008,Finanziato,BLOOM,"24.945,00","14.945,00",ESF,EUR,http://www.rete.toscana.it/sett/orient/fp/ListaProgetti.pdf
179,PI,MUSICA BAMBINA - PERCORSO DI FORMAZIONE PER OPERATORI MUSICALI NELLA SCUOLA DELL'INFANZIA E DELLA PRIMARIA,IV Capitale Umano,2008,Finanziato,CONSORZIO COPERNICO S.C.A.R.L.,"29.708,88","29.708,88",ESF,EUR,http://www.rete.toscana.it/sett/orient/fp/ListaProgetti.pdf
178,PI,MUSICA E COMUNICAZIONE,IV Capitale Umano,2008,Finanziato,LICEO CLASSICO SCIENTIFICO E SOCIO PSICO PEDAGOGICO G CARDUCCI DI VOLTERRA (PI),"5.997,38","5.997,38",ESF,EUR,http://www.rete.toscana.it/sett/orient/fp/ListaProgetti.pdf
44,GR,NONLY NON SOLO QUALITA' ECOLOGICA,I Adattabilit‡,2008,Finanziato,CIPA-AT GROSSETO,"75.950,00","51.450,00",ESF,EUR,http://www.rete.toscana.it/sett/orient/fp/ListaProgetti.pdf
496,CE,NUOVE OPPORTUNITA' DI FORMAZIONE LAVORO OCCUPAZIONE E PARI OPPORTUNITA',III Inclusione Sociale,2008,Finanziato,CO & SO EMPOLESE VALDELSA VALDARNO,"110.398,00","110.398,00",ESF,EUR,http://www.rete.toscana.it/sett/orient/fp/ListaProgetti.pdf
1660,PO,OCCUPABILITA' - LAVORO,II Occupabilit‡,2008,Finanziato,PROVINCIA DI PRATO UFFICIO FORMAZIONE PROFESSIONALE,"1.270.608,37","1.270.608,37",ESF,EUR,http://www.rete.toscana.it/sett/orient/fp/ListaProgetti.pdf
52,GR,OCRA-OPERATORI CASE DI RIPOSO,I Adattabilit‡,2008,Finanziato,ENAIP TOSCANA E FORMAZIONE LAVORO SOCIETA' CONSORTILE A R.L.,"44.450,00","44.450,00",ESF,EUR,http://www.rete.toscana.it/sett/orient/fp/ListaProgetti.pdf
934,AR,OPERARE NELL'ACCOGLIENZA TURISTICA,I Adattabilit‡,2008,Finanziato,CORTONA SVILUPPO SRL,"14.130,00","14.130,00",ESF,EUR,http://www.rete.toscana.it/sett/orient/fp/ListaProgetti.pdf
90,GR,OPERATORE DI SISTEMI DI RAPPRESENTAZIONE PER LA COMUNICAZIONE ARCHEOLOGICA,IV Capitale Umano,2008,Finanziato,Heimat servizi ambientali societ‡ cooperativa,"37.500,00","37.500,00",ESF,EUR,http://www.rete.toscana.it/sett/orient/fp/ListaProgetti.pdf
208,PI,"ORGANIZZAZIONE DELLA PRODUZIONE DEL LAVORO: ELIMINAZIONE DEGLI SPRECHI, FINALIZZATA ALL'OTTIMIZZAZIONE DELLA COMPETITIVIT¿",I Adattabilit‡,2008,Finanziato,PO.TE.CO. S.C.R.L.,"23.400,00","18.720,00",ESF,EUR,http://www.rete.toscana.it/sett/orient/fp/ListaProgetti.pdf
437,CE,ORGANIZZAZIONE E GESTIONE DEL SERVIZIO FARMACIA,I Adattabilit‡,2008,Finanziato,Ti Forma s.c.r.l.,"35.937,00","35.937,00",ESF,EUR,http://www.rete.toscana.it/sett/orient/fp/ListaProgetti.pdf
1423,AR,ORGANIZZAZIONE INTERNA: STRUMENTO DI CRESCITA AZIENDALE,I Adattabilit‡,2008,Finanziato,Calvelli RSP s.a.s. di Calvelli Federico e C.,"15.000,00","15.000,00",ESF,EUR,http://www.rete.toscana.it/sett/orient/fp/ListaProgetti.pdf
1346,AR,"ORIENT.AR.SI 89/09 - TIPOLOGIA B (CLASSI III, IV, V)",II Occupabilit‡,2008,Finanziato,ASSOSERVIZI,"12.960,00","12.960,00",ESF,EUR,http://www.rete.toscana.it/sett/orient/fp/ListaProgetti.pdf
996,AR,ORIENTAMENTO DI I E II LIVELLO (TRIO - ACCOGLIENZA - SPORTELLO IMPRENDITORIA - COUNSELING - ACCERTAMENTO DI QUALIFICA),I Adattabilit‡,2008,Finanziato,CENTRO PER L`INNOVAZIONE ORGANIZZATIVA E GESTIONALE NELLE PUBBLICHE AMMINISTRAZIONI,"663.479,16","663.479,16",ESF,EUR,http://www.rete.toscana.it/sett/orient/fp/ListaProgetti.pdf
1503,AR,ORIENTAMENTO DI I E II LIVELLO PER DISOCCUPATI (TRIO-ACCOGLIENZA- SPORTELLO IMPRENDITORIA- SVANTAGGIO-COUNSELING- ACCERTAMENTO QUALIFICA),II Occupabilit‡,2008,Finanziato,CENTRO PER L`INNOVAZIONE ORGANIZZATIVA E GESTIONALE NELLE PUBBLICHE AMMINISTRAZIONI,"2.218.474,00","2.218.474,00",ESF,EUR,http://www.rete.toscana.it/sett/orient/fp/ListaProgetti.pdf
1513,AR,ORIENTAMENTO DISABILI - INSERIMENTO LAVORATIVO EX L.68,III Inclusione Sociale,2008,Finanziato,CENTRO PER L`INNOVAZIONE ORGANIZZATIVA E GESTIONALE NELLE PUBBLICHE AMMINISTRAZIONI,"446.944,00","446.944,00",ESF,EUR,http://www.rete.toscana.it/sett/orient/fp/ListaProgetti.pdf
718,LI,ORIENTAMENTO E FORMAZIONE,III Inclusione Sociale,2008,Finanziato,PEGASO NETWORK DELLA COOPERAZIONE SOCIALE TOSCANA - SEDE DI FIRENZE,"200.000,00","200.000,00",ESF,EUR,http://www.rete.toscana.it/sett/orient/fp/ListaProgetti.pdf
1524,AR,ORIENTAMENTO I E II LIVELLO (TRIO-ACCOGLIENZA- SPORTELLO IMPRENDITORIA- SVANTAGGIO-COUNSELING- ACCERTAMENTO QUALIFICA),IV Capitale Umano,2009,Finanziato,CENTRO PER L`INNOVAZIONE ORGANIZZATIVA E GESTIONALE NELLE PUBBLICHE AMMINISTRAZIONI,"200.000,00","200.000,00",ESF,EUR,http://www.rete.toscana.it/sett/orient/fp/ListaProgetti.pdf
1353,AR,"ORIENTARSI - TIPOLOGIA B (CLASSI III,IV,V)",II Occupabilit‡,2008,Finanziato,APISERVIZI PSCARL,"11.880,00","11.880,00",ESF,EUR,http://www.rete.toscana.it/sett/orient/fp/ListaProgetti.pdf
935,AR,ORTOFRUTTA,I Adattabilit‡,2008,Finanziato,CORTONA SVILUPPO SRL,"14.915,00","14.915,00",ESF,EUR,http://www.rete.toscana.it/sett/orient/fp/ListaProgetti.pdf
1526,AR,OSSERVATORIO MERCATO DEL LAVORO,IV Capitale Umano,2009,Finanziato,CENTRO PER L`INNOVAZIONE ORGANIZZATIVA E GESTIONALE NELLE PUBBLICHE AMMINISTRAZIONI,"10.000,00","10.000,00",ESF,EUR,http://www.rete.toscana.it/sett/orient/fp/ListaProgetti.pdf
1506,AR,OSSERVATORIO MERCATO DEL LAVORO,I Adattabilit‡,2008,Finanziato,CENTRO PER L`INNOVAZIONE ORGANIZZATIVA E GESTIONALE NELLE PUBBLICHE AMMINISTRAZIONI,"104.503,00","104.503,00",ESF,EUR,http://www.rete.toscana.it/sett/orient/fp/ListaProgetti.pdf
1510,AR,OSSERVATORIO MERCATO DEL LAVORO,II Occupabilit‡,2008,Finanziato,CENTRO PER L`INNOVAZIONE ORGANIZZATIVA E GESTIONALE NELLE PUBBLICHE AMMINISTRAZIONI,"125.000,00","125.000,00",ESF,EUR,http://www.rete.toscana.it/sett/orient/fp/ListaProgetti.pdf
83,GR,PER COMPETERE - FORMAZIONE TECNICA E COMUNICAZIONE PER PMI,IV Capitale Umano,2008,Finanziato,Cooperativa Scuola Lavoro,"89.900,00","89.900,00",ESF,EUR,http://www.rete.toscana.it/sett/orient/fp/ListaProgetti.pdf
213,PI,PERCORSI DI AGGIORNAMENTO PER TECNICI/ADDETTI AI BOTTALI E RIFINIZIONE CON PARTICOLARE ATTENZIONE ALLE TEMATICHE DELL'AMBIENTE EDELLA SICUR,I Adattabilit‡,2008,Finanziato,PO.TE.CO. S.C.R.L.,"24.000,00","19.200,00",ESF,EUR,http://www.rete.toscana.it/sett/orient/fp/ListaProgetti.pdf
29,LU,PERCORSI E STRUMENTI AZIENDALI PER LA QUALIT¿ E LA SICUREZZA,I Adattabilit‡,2008,Finanziato,ITINERA SERVIZI ALLE IMPRESE SRL,"47.245,00","47.245,00",ESF,EUR,http://www.rete.toscana.it/sett/orient/fp/ListaProgetti.pdf
448,CE,PERCORSI PERSONALIZZATI PER LAVORATORI ATIPICI,I Adattabilit‡,2008,Finanziato,Agenzia per lo Sviluppo dell'Empolese Valdelsa S.p.A.,"23.250,00","23.250,00",ESF,EUR,http://www.rete.toscana.it/sett/orient/fp/ListaProgetti.pdf
477,CE,PERCORSI PLURI- PROFESSIONALIZZANTI PER ADDETTI ALLE LAVORAZIONI IN MAGAZZINO,II Occupabilit‡,2008,Finanziato,Agenzia per lo Sviluppo dell'Empolese Valdelsa S.p.A.,"59.632,00","59.632,00",ESF,EUR,http://www.rete.toscana.it/sett/orient/fp/ListaProgetti.pdf
458,CE,PERCORSO FORMATIVO PER LA VALORIZZAZIONE DELLA NAUTICA LIMITESE,II Occupabilit‡,2008,Finanziato,Agenzia per lo Sviluppo dell'Empolese Valdelsa S.p.A.,"44.350,00","44.350,00",ESF,EUR,http://www.rete.toscana.it/sett/orient/fp/ListaProgetti.pdf
463,CE,PERCORSO PROFESSIONALIZZANTE PER ADDETTO ALLA SALDATURA,II Occupabilit‡,2008,Finanziato,AMBIENTE IMPRESA SRL,"39.197,00","39.197,00",ESF,EUR,http://www.rete.toscana.it/sett/orient/fp/ListaProgetti.pdf
457,CE,PERCORSO PROFESSIONALIZZANTE PER FORNAI PANIFICATORI/PASTICCERI,II Occupabilit‡,2008,Finanziato,AMBIENTE IMPRESA SRL,"37.277,00","37.277,00",ESF,EUR,http://www.rete.toscana.it/sett/orient/fp/ListaProgetti.pdf
916,AR,"PICCOLA AZIENDA, GRANDE FORMAZIONE",I Adattabilit‡,2008,Finanziato,CE.S.CO.T. AREZZO,"14.399,00","14.399,00",ESF,EUR,http://www.rete.toscana.it/sett/orient/fp/ListaProgetti.pdf
443,CE,PICCOLA RICETTIVITA' E STRUMENTI DI GESTIONE,I Adattabilit‡,2008,Finanziato,CENTRO STUDI TURISTICI,"10.975,00","8.780,00",ESF,EUR,http://www.rete.toscana.it/sett/orient/fp/ListaProgetti.pdf
1358,AR,"POF PROGETTO ORIENTAMENTO FUTURO - TIPOLOGIA B (CLASSI III,IV,V)",II Occupabilit‡,2008,Finanziato,Associazione PratiKa,"19.278,00","19.278,00",ESF,EUR,http://www.rete.toscana.it/sett/orient/fp/ListaProgetti.pdf
936,AR,PRODURRE IL TESSUTO IN QUALITA',I Adattabilit‡,2008,Finanziato,CORTONA SVILUPPO SRL,"14.988,00","14.988,00",ESF,EUR,http://www.rete.toscana.it/sett/orient/fp/ListaProgetti.pdf
939,AR,PROFESSIONISTI PER ENERGIE ALTERNATIVE,I Adattabilit‡,2008,Finanziato,CORTONA SVILUPPO SRL,"14.950,00","14.950,00",ESF,EUR,http://www.rete.toscana.it/sett/orient/fp/ListaProgetti.pdf
917,AR,PROGETTI AZIENDALI E PROGETTI FORMATIVI,I Adattabilit‡,2008,Finanziato,CE.S.CO.T. AREZZO,"15.000,00","15.000,00",ESF,EUR,http://www.rete.toscana.it/sett/orient/fp/ListaProgetti.pdf
540,LI,"PROGETTO EXCELSIOR, RICERCA SULLE PREVISIONI OCCUPAZIONALI E FABBISOGNI PROFESSIONALI",II Occupabilit‡,2008,Finanziato,PROVINCIA DI LIVORNO - UFFICIO FORMAZIONE PROFESSIONALE,"25.000,00","25.000,00",ESF,EUR,http://www.rete.toscana.it/sett/orient/fp/ListaProgetti.pdf
2061,PI,PROGETTO GALGANI 1,III Inclusione Sociale,2008,Finanziato,"PROVINCIA DI PISA - DIPARTIMENTO DELLE POLITICHE TERRITORIALI, ECONOMICHE E DEL LAVORO - SERVIZIO FORMAZIONE E LAVORO","7.000,00","7.000,00",ESF,EUR,http://www.rete.toscana.it/sett/orient/fp/ListaProgetti.pdf
2062,PI,PROGETTO GALGANI 2,IV Capitale Umano,2008,Finanziato,"PROVINCIA DI PISA - DIPARTIMENTO DELLE POLITICHE TERRITORIALI, ECONOMICHE E DEL LAVORO - SERVIZIO FORMAZIONE E LAVORO","5.000,00","5.000,00",ESF,EUR,http://www.rete.toscana.it/sett/orient/fp/ListaProgetti.pdf
192,PI,PROGETTO INTEGRATO PER GUIDE AMBIENTALI,IV Capitale Umano,2008,Finanziato,CONSORZIO COPERNICO S.C.A.R.L.,"110.069,81","110.069,81",ESF,EUR,http://www.rete.toscana.it/sett/orient/fp/ListaProgetti.pdf
384,GR,PROGETTO PER IL RECUPERO DEGLI ANTICHI MESTIERI DEL MARE E DELLA TERRA,II Occupabilit‡,2008,Finanziato,Irecoop Toscana Societ‡ Cooperativa,"37.784,00","37.784,00",ESF,EUR,http://www.rete.toscana.it/sett/orient/fp/ListaProgetti.pdf
268,PI,"PROGETTO UN'A.L.A PER I MIGRANTI: ACCOGLIENZA, LINGUA, ACCOMPAGNAMENTO",IV Capitale Umano,2008,Finanziato,CTP C/O ISTITUTO COMPRENSIVO FIBONACCI DI PISA,"25.751,80","25.751,80",ESF,EUR,http://www.rete.toscana.it/sett/orient/fp/ListaProgetti.pdf
152,PI,PROGETTO:QUALIT¿+SICUREZ ZA=ADATTABILIT¿,I Adattabilit‡,2008,Finanziato,ECOL STUDIO,"17.097,04","9.597,04",ESF,EUR,http://www.rete.toscana.it/sett/orient/fp/ListaProgetti.pdf
430,LU,PRONTO CHEF-CORSO PROFESSIONALIZZANTE PER AIUTO CUOCO,III Inclusione Sociale,2008,Finanziato,Consorzio So. & Co.,"68.660,40","68.660,40",ESF,EUR,http://www.rete.toscana.it/sett/orient/fp/ListaProgetti.pdf
135,FI,PTC: ADDETTO PASTICCERE,II Occupabilit‡,2007,Finanziato,COMUNE DI FIRENZE - CENTRO FORMAZIONE PROFESSIONALE,"285.254,30","228.203,44",ESF,EUR,http://www.rete.toscana.it/sett/orient/fp/ListaProgetti.pdf
1572,SI,PUBBLICAZIONE ESTRATTO BANDO DI GARA EX ART. 27 D.LGS. 163/2006 TRIO,IV Capitale Umano,2008,Finanziato,PROVINCIA DI SIENA - SERVIZIO FORMAZIONE E LAVORO,"1.968,00","1.968,00",ESF,EUR,http://www.rete.toscana.it/sett/orient/fp/ListaProgetti.pdf
293,SI,PUBBLICAZIONE SU GIORNALI ESTRATTO AVVISO MULTIASSE POR OB 2 2007 - 2013,I Adattabilit‡,2008,Finanziato,PROVINCIA DI SIENA - SERVIZIO FORMAZIONE E LAVORO,"2.915,11","2.915,11",ESF,EUR,http://www.rete.toscana.it/sett/orient/fp/ListaProgetti.pdf
1192,SI,PUBBLICITA' SU QUOTIDIANI E GURI APPALTO SERVIZI INCONTRO DOMANDA/OFFERTA DI LAVORO E MARKETING TERRITORIALE,II Occupabilit‡,2008,Finanziato,PROVINCIA DI SIENA - SERVIZIO FORMAZIONE E LAVORO,"6.922,26","6.922,26",ESF,EUR,http://www.rete.toscana.it/sett/orient/fp/ListaProgetti.pdf
2269,SI,PUBBLICIT¿ A CARATTERE LOCALE,II Occupabilit‡,2008,Finanziato,PROVINCIA DI SIENA - SERVIZIO FORMAZIONE E LAVORO,"648,00","648,00",ESF,EUR,http://www.rete.toscana.it/sett/orient/fp/ListaProgetti.pdf
2270,SI,PUBBLICIT¿ A CARATTERE NAZIONALE,II Occupabilit‡,2008,Finanziato,PROVINCIA DI SIENA - SERVIZIO FORMAZIONE E LAVORO,"1.320,00","1.320,00",ESF,EUR,http://www.rete.toscana.it/sett/orient/fp/ListaProgetti.pdf
1543,SI,PUBBLICIT¿ AVVISO MULTIASSE POR OB. 2 2007/2013,IV Capitale Umano,2008,Finanziato,PROVINCIA DI SIENA - SERVIZIO FORMAZIONE E LAVORO,"1.429,63","1.429,63",ESF,EUR,http://www.rete.toscana.it/sett/orient/fp/ListaProgetti.pdf
1539,SI,PUBBLICIT¿ AVVISO MULTIASSE POR OB. 2 2007/2013,III Inclusione Sociale,2008,Finanziato,PROVINCIA DI SIENA - SERVIZIO FORMAZIONE E LAVORO,"233,21","233,21",ESF,EUR,http://www.rete.toscana.it/sett/orient/fp/ListaProgetti.pdf
1517,SI,PUBBLICIT¿ AVVISO VOUCHER ASSE I,I Adattabilit‡,2008,Finanziato,PROVINCIA DI SIENA - SERVIZIO FORMAZIONE E LAVORO,"730,68","730,68",ESF,EUR,http://www.rete.toscana.it/sett/orient/fp/ListaProgetti.pdf
1567,SI,PUBBLICIT¿ BANDO DI GARA INFORMALE EX ART 27 D.LGS. 163/2006 DIVERSAMENTE ABILI,III Inclusione Sociale,2008,Finanziato,PROVINCIA DI SIENA - SERVIZIO FORMAZIONE E LAVORO,"1.968,00","1.968,00",ESF,EUR,http://www.rete.toscana.it/sett/orient/fp/ListaProgetti.pdf
1498,SI,PUBBLICIT¿ SU QUOTIDIANI E GURI APAPLTO SERVIZI DI ACCOMPAGNAMENTO AL LAVORO E POLITICHE ATTIVE PER GIOVANI E ADULTI,II Occupabilit‡,2008,Finanziato,PROVINCIA DI SIENA - SERVIZIO FORMAZIONE E LAVORO,"6.902,02","6.902,02",ESF,EUR,http://www.rete.toscana.it/sett/orient/fp/ListaProgetti.pdf
1528,SI,PUBBLICIT¿ VOUCHER ASSE II,II Occupabilit‡,2008,Finanziato,PROVINCIA DI SIENA - SERVIZIO FORMAZIONE E LAVORO,"730,70","730,70",ESF,EUR,http://www.rete.toscana.it/sett/orient/fp/ListaProgetti.pdf
1537,SI,PUBBLICIZZAZIONE AVVISO MULTIASSE 2008,II Occupabilit‡,2008,Finanziato,PROVINCIA DI SIENA - SERVIZIO FORMAZIONE E LAVORO,"5.830,21","5.830,21",ESF,EUR,http://www.rete.toscana.it/sett/orient/fp/ListaProgetti.pdf
146,PI,PUBBLICIZZAZIONE SU GAZZETTA UFFICIALE DELLA GARA PER SERVIZIO DI FORMAZIONE ADDETTO ARTIERE,II Occupabilit‡,2008,Finanziato,"PROVINCIA DI PISA - DIPARTIMENTO DELLE POLITICHE TERRITORIALI, ECONOMICHE E DEL LAVORO - SERVIZIO FORMAZIONE E LAVORO","1.300,00","1.300,00",ESF,EUR,http://www.rete.toscana.it/sett/orient/fp/ListaProgetti.pdf
1096,MS,PUBBLICIZZAZIONE SU QUOTIDIANI LOCALI DI ESTRATTO DI AVV. PUBB. PER,III Inclusione Sociale,2008,Finanziato,PROVINCIA DI MASSA CARRARA - SERVIZIO POLITICHE DEL LAVORO,"2.075,64","2.075,64",ESF,EUR,http://www.rete.toscana.it/sett/orient/fp/ListaProgetti.pdf
790,AR,QUALITA' DEI SERVIZI EDUCATIVI E BENESSERE ORGANIZZATIVO.,I Adattabilit‡,2008,Finanziato,FONDAZIONE KEPHA ONLUS,"15.000,00","15.000,00",ESF,EUR,http://www.rete.toscana.it/sett/orient/fp/ListaProgetti.pdf
45,GR,QUALITA' ED ETICA NEL SETTORE SOCIALE,I Adattabilit‡,2008,Finanziato,T PRISMA societ‡ in accomandita semplice del''ing. Sergio Misuri & C.,"21.600,00","21.600,00",ESF,EUR,http://www.rete.toscana.it/sett/orient/fp/ListaProgetti.pdf
15,LU,QUALIT¿ DELLE COMPETENZE PER UNA RICOLLOCAZIONE ATTIVA DEI LAVORATORI,I Adattabilit‡,2008,Finanziato,Italiaindustria,"136.940,00","136.940,00",ESF,EUR,http://www.rete.toscana.it/sett/orient/fp/ListaProgetti.pdf
1508,AR,REFERENTE DI PARITA',II Occupabilit‡,2008,Finanziato,CENTRO PER L`INNOVAZIONE ORGANIZZATIVA E GESTIONALE NELLE PUBBLICHE AMMINISTRAZIONI,"277.663,50","277.663,50",ESF,EUR,http://www.rete.toscana.it/sett/orient/fp/ListaProgetti.pdf
1504,AR,REFERENTE DI PARITA',I Adattabilit‡,2008,Finanziato,CENTRO PER L`INNOVAZIONE ORGANIZZATIVA E GESTIONALE NELLE PUBBLICHE AMMINISTRAZIONI,"65.000,00","65.000,00",ESF,EUR,http://www.rete.toscana.it/sett/orient/fp/ListaProgetti.pdf
1412,AR,RHINO - PROGETTO A SOSTEGNO DELL'INNOVAZIONE TECNOLOGICA NELLE AZIENDE ARETINE,I Adattabilit‡,2008,Finanziato,SSA societ‡ servizi avanzati e di formazione scrl,"15.000,00","15.000,00",ESF,EUR,http://www.rete.toscana.it/sett/orient/fp/ListaProgetti.pdf
93,GR,RISPARMIO ENERGETICO E FONTI RINNOVABILI,IV Capitale Umano,2008,Finanziato,I.F.O.A. ISTITUTO FORMAZIONE OPERATORI AZIENDALI,"63.923,96","63.923,96",ESF,EUR,http://www.rete.toscana.it/sett/orient/fp/ListaProgetti.pdf
132,FI,RISTORA: SERVIZIO DI SALA PER RISTORAZIONE DI QUALIT¿,II Occupabilit‡,2007,Finanziato,ISTITUTO PROFESSIONALE ALBERGHIERO A SAFFI DI FIRENZE,"144.204,00","129.364,00",ESF,EUR,http://www.rete.toscana.it/sett/orient/fp/ListaProgetti.pdf
181,PI,SAPERE SAPER FARE MARKETIG METODOLOGIE E STRUMENTI MARKETING PER IL SETTORE HI-TECH,I Adattabilit‡,2008,Finanziato,Polo Navacchio S.p.A. - Agenzia Formativa,"20.646,97","14.546,97",ESF,EUR,http://www.rete.toscana.it/sett/orient/fp/ListaProgetti.pdf
543,LA,SCUOLA NORMALE DI PISA - NANO-IN D.D. 2946/08,IV Capitale Umano,2008,Finanziato,SCUOLA NORMALE SUPERIORE DI PISA,"300.000,00","300.000,00",ESF,EUR,http://www.rete.toscana.it/sett/orient/fp/ListaProgetti.pdf
1692,LA,SCUOLA SUPERIORE SANT'ANNA PISA - AMPLIARE IL CIRCOLO VIRTUOSO 2008,IV Capitale Umano,2008,Finanziato,DIVISIONE ALTA FORMAZIONE - SCUOLA SUPERIORE SANT'ANNA DI PISA,"300.000,00","300.000,00",ESF,EUR,http://www.rete.toscana.it/sett/orient/fp/ListaProgetti.pdf
154,PI,SE-SICUREZZA EFFICACE,I Adattabilit‡,2008,Finanziato,ASSOCIAZIONE ULISSE,"67.142,86","47.000,00",ESF,EUR,http://www.rete.toscana.it/sett/orient/fp/ListaProgetti.pdf
358,GR,SEGRETARIO D'ALBERGO,II Occupabilit‡,2008,Finanziato,C.D.C.,"101.431,21","101.431,21",ESF,EUR,http://www.rete.toscana.it/sett/orient/fp/ListaProgetti.pdf
952,PI,SENSIBILIZZAZIONE SUI TEMI DELLA DISCRIMINAZIONE E PROMOZIONE DEI DIRITTI DI CITTADINANZA,IV Capitale Umano,2008,Finanziato,"PROVINCIA DI PISA - DIPARTIMENTO DELLE POLITICHE TERRITORIALI, ECONOMICHE E DEL LAVORO - SERVIZIO FORMAZIONE E LAVORO","58.140,00","58.140,00",ESF,EUR,http://www.rete.toscana.it/sett/orient/fp/ListaProgetti.pdf
466,LI,SERVIZI CENTRO PER IMPIEGO,II Occupabilit‡,2008,Finanziato,PROVINCIA DI LIVORNO - UFFICIO FORMAZIONE PROFESSIONALE,"808.600,00","808.600,00",ESF,EUR,http://www.rete.toscana.it/sett/orient/fp/ListaProgetti.pdf
1314,LU,SERVIZI INNOVATIVI 2008 C. I. LUCCA-SO&CO(INCLUSIONE SOCIALE),III Inclusione Sociale,2008,Finanziato,PROVINCIA DI LUCCA - DIPARTIMENTO SERVIZI ALLE PERSONE,"25.546,75","25.546,75",ESF,EUR,http://www.rete.toscana.it/sett/orient/fp/ListaProgetti.pdf
1315,LU,SERVIZI INNOVATIVI 2008 C.I. LUCCA SO&CO (ADATTABILIT¿),I Adattabilit‡,2008,Finanziato,PROVINCIA DI LUCCA - DIPARTIMENTO SERVIZI ALLE PERSONE,"31.023,82","31.023,82",ESF,EUR,http://www.rete.toscana.it/sett/orient/fp/ListaProgetti.pdf
1324,LU,SERVIZI INNOVATIVI 2008 C.I. VALLE DEL SERCHIO-NUOVI ORIZZONTI(ADATTABILIT¿),I Adattabilit‡,2008,Finanziato,PROVINCIA DI LUCCA - DIPARTIMENTO SERVIZI ALLE PERSONE,"20.887,33","20.887,33",ESF,EUR,http://www.rete.toscana.it/sett/orient/fp/ListaProgetti.pdf
1323,LU,SERVIZI INNOVATIVI 2008 C.I. VALLE DEL SERCHIO-NUOVI ORIZZONTI(INCLUSIONE SOCIALE),III Inclusione Sociale,2008,Finanziato,PROVINCIA DI LUCCA - DIPARTIMENTO SERVIZI ALLE PERSONE,"17.031,10","17.031,10",ESF,EUR,http://www.rete.toscana.it/sett/orient/fp/ListaProgetti.pdf
1325,LU,SERVIZI INNOVATIVI 2008 C.I. VALLE DEL SERCHIO-NUOVI ORIZZONTI(OCCUPABILIT¿),II Occupabilit‡,2008,Finanziato,PROVINCIA DI LUCCA - DIPARTIMENTO SERVIZI ALLE PERSONE,"134.643,09","134.643,09",ESF,EUR,http://www.rete.toscana.it/sett/orient/fp/ListaProgetti.pdf
1317,LU,SERVIZI INNOVATIVI 2008 C.I. VERSILIA- CREA IMPRESA (INCLUSIONE SOCIALE),III Inclusione Sociale,2008,Finanziato,PROVINCIA DI LUCCA - DIPARTIMENTO SERVIZI ALLE PERSONE,"25.546,75","25.546,75",ESF,EUR,http://www.rete.toscana.it/sett/orient/fp/ListaProgetti.pdf
1319,LU,SERVIZI INNOVATIVI 2008 C.I. VERSILIA- CREA IMPRESA(OCCUPABILIT¿),II Occupabilit‡,2008,Finanziato,PROVINCIA DI LUCCA - DIPARTIMENTO SERVIZI ALLE PERSONE,"175.188,79","175.188,79",ESF,EUR,http://www.rete.toscana.it/sett/orient/fp/ListaProgetti.pdf
1318,LU,SERVIZI INNOVATIVI 2008 C.I. VERSILIA-CREA IMPRESA (ADATTABILIT¿),I Adattabilit‡,2008,Finanziato,PROVINCIA DI LUCCA - DIPARTIMENTO SERVIZI ALLE PERSONE,"31.023,82","31.023,82",ESF,EUR,http://www.rete.toscana.it/sett/orient/fp/ListaProgetti.pdf
1316,LU,SERVIZI INNOVATIVI 2008 C.I.LUCCA-SO&CO (OCCUPABILIT¿),II Occupabilit‡,2008,Finanziato,PROVINCIA DI LUCCA - DIPARTIMENTO SERVIZI ALLE PERSONE,"175.188,79","175.188,79",ESF,EUR,http://www.rete.toscana.it/sett/orient/fp/ListaProgetti.pdf
1321,LU,SERVIZI INNOVATIVI 2008- AGAPE(ADATTABILIT¿),I Adattabilit‡,2008,Finanziato,PROVINCIA DI LUCCA - DIPARTIMENTO SERVIZI ALLE PERSONE,"6.150,15","6.150,15",ESF,EUR,http://www.rete.toscana.it/sett/orient/fp/ListaProgetti.pdf
1320,LU,SERVIZI INNOVATIVI 2008- AGAPE(INCLUSIONE SOCIALE),III Inclusione Sociale,2008,Finanziato,PROVINCIA DI LUCCA - DIPARTIMENTO SERVIZI ALLE PERSONE,"15.966,72","15.966,72",ESF,EUR,http://www.rete.toscana.it/sett/orient/fp/ListaProgetti.pdf
