BENEFICIARIO,DENOMINAZIONE INTERVENTO,DATA CONCESSIONE CONTRIBUTO,PROV. DI REALIZZAZIONE INTERVENTO,TIPOLOGIA DI AIUTO,CONTRIBUTO CONCESSO,QUOTA FESR DEL CONTRIBUTO,QUOTA NAZIONALE DEL CONTRIBUTO,QUOTA DI CONTRIBUTO LIQUIDATA
Calevo Prefabbricati Srl,"acquisizione di impianti, macchinari,
attrezzature per l’innovazione",22/03/2010,SP,Aiuto de minimis,"58.500,00","18.551,34","39.948,66",-
FRIGOMAR S.R.L.,"acquisizione di impianti, macchinari,
attrezzature per l’innovazione",21/04/2010,GE,Aiuto de minimis,"22.053,60","6.993,57","15.060,03",-
La Duellepi Srl,"acquisizione di impianti, macchinari,
attrezzature per l’innovazione",16/04/2010,GE,Aiuto de minimis,"50.761,80","16.097,43","34.664,37",-
Filmec Srl,"acquisizione di impianti, macchinari,
attrezzature per l’innovazione",16/04/2010,GE,Aiuto de minimis,"99.448,50","31.536,81","67.911,69",-
Pastificio Novella Sas di Giorgio e Aldo Rezzano e Paolo Cavassa,"acquisizione di impianti, macchinari,
attrezzature per l’innovazione",23/03/2010,GE,"Contributo a fondo 
perduto","76.004,00","24.102,16","51.901,84",-
Kompressor Service di Khazratova A. & C. Sas,"acquisizione di impianti, macchinari,
attrezzature per l’innovazione",20/04/2010,SV,Aiuto de minimis,"39.302,37","12.463,45","26.838,92",-
Verdina Luminarie Srl gia_ ditta Verdina Achille,"acquisizione di impianti, macchinari,
attrezzature per l’innovazione",23/03/2010,GE,Aiuto de minimis,"42.758,06","13.559,31","29.198,75",-
SMID TECHNOLOGY S.R.L.,"acquisizione di impianti, macchinari,
attrezzature per l’innovazione",23/03/2010,SP,Aiuto de minimis,"9.925,20","3.147,45","6.777,75",-
TS Tecnospamec Srl,"acquisizione di impianti, macchinari,
attrezzature per l’innovazione",23/03/2010,GE,"Contributo a fondo 
perduto","18.634,48","5.909,31","12.725,17",-
COSNAV Srl,"acquisizione di impianti, macchinari,
attrezzature per l’innovazione",23/03/2010,SP,Aiuto de minimis,"49.626,49","15.737,40","33.889,09",-
CARTIERA BORMIDA SPA,"acquisizione di impianti, macchinari,
attrezzature per l’innovazione",2/4/10,SV,Aiuto rimborsabile,"671.500,00","212.944,07","458.555,93",-
BACCINO ADRIANO,"acquisizione di impianti, macchinari,
attrezzature per l’innovazione",15/02/2010,SV,Aiuto de minimis,"14.910,00","4.728,21","10.181,79","14.910,00"
Arnaldi Centinature srl,"acquisizione di impianti, macchinari,
attrezzature per l’innovazione",18/03/2010,SV,"Contributo a fondo 
perduto","19.114,00","6.061,37","13.052,63",-
OGGIANO IMPRESA EDILE Srl,"acquisizione di impianti, macchinari,
attrezzature per l’innovazione",18/03/2010,SV,Aiuto de minimis,"13.071,00","4.145,04","8.925,96",-
Panificio Raso di Carbone MATTIA,"acquisizione di impianti, macchinari,
attrezzature per l’innovazione",18/03/2010,SP,Aiuto de minimis,"13.125,79","4.162,41","8.963,38",-
LINAS SRL,"acquisizione di impianti, macchinari,
attrezzature per l’innovazione",18/03/2010,GE,Aiuto de minimis,"13.267,07","4.207,21","9.059,86",-
WI SRL,"acquisizione di impianti, macchinari,
attrezzature per l’innovazione",18/03/2010,GE,Aiuto de minimis,"44.500,26","14.111,79","30.388,47",-
MENGHINI & BONFANTI S.R.L.,"acquisizione di impianti, macchinari,
attrezzature per l’innovazione",18/03/2010,GE,Aiuto de minimis,"30.523,31","9.679,46","20.843,85",-
PANIFICIO PASTICCERIA DIEGO DI GIOVAGNOLI DIEGO & C. SNC,"acquisizione di impianti, macchinari,
attrezzature per l’innovazione",18/03/2010,GE,Aiuto de minimis,"20.085,60","6.369,49","13.716,11",-
Silky Centro Moda Confezioni Artigianali di Dellepiane MARIA LAURA,"acquisizione di impianti, macchinari,
attrezzature per l’innovazione",16/04/2010,GE,Aiuto de minimis,"14.100,60","4.471,54","9.629,06",-
AUTOCAROZZERIA APRILE SRL,"acquisizione di impianti, macchinari,
attrezzature per l’innovazione",16/04/2010,SV,Aiuto de minimis,"22.110,00","7.011,46","15.098,54",-
A.R.C.E.D. s.r.l.,"acquisizione di impianti, macchinari,
attrezzature per l’innovazione",18/03/2010,GE,Aiuto de minimis,"52.915,38","16.780,37","36.135,01",-
MIXURA S.r.l.,"acquisizione di impianti, macchinari,
attrezzature per l’innovazione",18/03/2010,GE,Aiuto de minimis,"27.295,76","8.655,95","18.639,81",-
COPPOLA RAFFAELE,"acquisizione di impianti, macchinari,
attrezzature per l’innovazione",18/03/2010,GE,Aiuto de minimis,"45.475,80","14.421,15","31.054,65",-
SERVIZI STAMPA LIGURIA S.R.L.,"acquisizione di impianti, macchinari,
attrezzature per l’innovazione",15/02/2010,GE,Aiuto de minimis,"160.725,00","50.968,63","109.756,37",-
COMMUNICATION PRODUCTS S.N.C. DI RAVELLA LORENZO E RAVELLA VALERIA,"acquisizione di impianti, macchinari,
attrezzature per l’innovazione",18/03/2010,GE,Aiuto de minimis,"17.723,83","5.620,53","12.103,30",-
CALL WEB SAS DI VERRI FRANCESCO,"acquisizione di impianti, macchinari,
attrezzature per l’innovazione",16/04/2010,SP,Aiuto de minimis,"9.062,25","2.873,79","6.188,46",-
NUOVA POGGIO SNC di Ivana Cortolezzis & C.,"acquisizione di impianti, macchinari,
attrezzature per l’innovazione",18/03/2010,GE,Aiuto de minimis,"34.037,61","10.793,90","23.243,71",-
ENNEGI PUBBLICITA' SNC DI BARATTA MARTINA & C.,"acquisizione di impianti, macchinari,
attrezzature per l’innovazione",18/03/2010,SP,Aiuto de minimis,"9.900,00","3.139,46","6.760,54",-
Farmacia Monticelli del Dottor Quattro Roberto ROBERTO,"acquisizione di impianti, macchinari,
attrezzature per l’innovazione",15/02/2010,GE,Aiuto de minimis,"61.036,80","19.355,81","41.680,99",-
LAVAGGI AUTO SRL CON UNICO SOCIO,"acquisizione di impianti, macchinari,
attrezzature per l’innovazione",15/02/2010,SP,Aiuto de minimis,"51.000,00","16.172,97","34.827,03","51.000,00"
Meccanica San Giorgio Srl,"acquisizione di impianti, macchinari,
attrezzature per l’innovazione",18/03/2010,GE,"Contributo a fondo 
perduto","100.000,00","31.711,70","68.288,30",-
Prodotti Effe srl,"acquisizione di impianti, macchinari,
attrezzature per l’innovazione",22/03/2010,GE,Aiuto de minimis,"19.843,33","6.292,66","13.550,67",-
NET SOURCE DI AICARDI CRISTIANO E CUOMO ALESSANDRO SNC,"acquisizione di impianti, macchinari,
attrezzature per l’innovazione",22/03/2010,IM,Aiuto de minimis,"9.600,00","3.044,32","6.555,68",-
ITA SUN SRL,"acquisizione di impianti, macchinari,
attrezzature per l’innovazione",21/04/2010,IM,Aiuto de minimis,"26.040,00","8.257,73","17.782,27",-
Colliva Edilizia Srl,"acquisizione di impianti, macchinari,
attrezzature per l’innovazione",21/04/2010,SP,Aiuto de minimis,"29.400,00","9.323,24","20.076,76",-
SIGNARTS IMPIANTI DI STRANGIS VINCENZO(ex SIGNARTS DI STRANGIS VINCENZO) Vincenzo,"acquisizione di impianti, macchinari,
attrezzature per l’innovazione",21/04/2010,GE,Aiuto de minimis,"139.109,23","44.113,90","94.995,33",-
EFFE EMME CARS di Franchi Massimo Massimo,"acquisizione di impianti, macchinari,
attrezzature per l’innovazione",21/04/2010,GE,Aiuto de minimis,"17.700,00","5.612,97","12.087,03",-
LITOGRAPH SRL,"acquisizione di impianti, macchinari,
attrezzature per l’innovazione",21/04/2010,GE,Aiuto de minimis,"20.248,50","6.421,14","13.827,36",-
NUOVA CARPENTUBI SRL,"acquisizione di impianti, macchinari,
attrezzature per l’innovazione",21/04/2010,GE,Aiuto de minimis,"66.077,70","20.954,36","45.123,34",-
Autotorri Marchetti di Marchetti Alberto Sas,"acquisizione di impianti, macchinari,
attrezzature per l’innovazione",21/04/2010,GE,"Contributo a fondo 
perduto","61.000,00","19.344,14","41.655,86",-
"CM Azienda Artigiana di Ghiorzi G. e Ghiorzi
P. Snc","acquisizione di impianti, macchinari,
attrezzature per l’innovazione",21/04/2010,GE,Aiuto de minimis,"13.890,00","4.404,76","9.485,24",-
ECOBIT STRADE S.r.l.,"acquisizione di impianti, macchinari,
attrezzature per l’innovazione",21/04/2010,GE,Aiuto de minimis,"90.890,70","28.822,99","62.067,71",-
ERCOLE FOOD DI MICHELIS LUCIA,"acquisizione di impianti, macchinari,
attrezzature per l’innovazione",21/04/2010,IM,Aiuto de minimis,"38.104,07","12.083,45","26.020,62",-
"CARPENTERIA MG2 Snc di Garzia Giorgio
& C.","acquisizione di impianti, macchinari,
attrezzature per l’innovazione",21/04/2010,SP,Aiuto de minimis,"24.000,00","7.610,81","16.389,19",-
"O.C.M. Officina Costruzioni Meccaniche ed
Elettromeccaniche Sas di Frugone Antonio","acquisizione di impianti, macchinari,
attrezzature per l’innovazione",20/04/2010,GE,Aiuto de minimis,"29.715,00","9.423,13","20.291,87",-
Tecno Project S.r.l. Soc. Unipersonale,"acquisizione di impianti, macchinari,
attrezzature per l’innovazione",20/04/2010,SP,Aiuto de minimis,"23.927,46","7.587,80","16.339,66",-
"GIULIANO MARMI E GRANITI DI DELLE
MONACHE G. E C. S.A.S.","acquisizione di impianti, macchinari,
attrezzature per l’innovazione",20/04/2010,IM,Aiuto de minimis,"27.750,00","8.800,00","18.950,00",-
DIMENSIONE BENESSERE DI BAJ CRISTIANA E C. S.A.S.,"acquisizione di impianti, macchinari,
attrezzature per l’innovazione",23/03/2010,SV,Aiuto de minimis,"21.600,00","6.849,73","14.750,27",-
"AUTOCARROZZERIA DE MATTEIS DI DE
MATTEIS GIANCARLO GIANCARLO","acquisizione di impianti, macchinari,
attrezzature per l’innovazione",16/04/2010,IM,Aiuto de minimis,"31.266,91","9.915,27","21.351,64",-
"VOLTA SOCIETA' IN NOME COLLETTIVO
DI FRANCESCO VOLTA & C.","acquisizione di impianti, macchinari,
attrezzature per l’innovazione",16/04/2010,GE,Aiuto de minimis,"67.500,00","21.405,40","46.094,60",-
DOCUMENTARIA FILM DI ORLANDI DONATELLA E C. S.A.S.,"acquisizione di impianti, macchinari,
attrezzature per l’innovazione",16/04/2010,SP,Aiuto de minimis,"21.244,73","6.737,07","14.507,66",-
Seacsub S.p.a.,"acquisizione di impianti, macchinari,
attrezzature per l’innovazione",16/04/2010,GE,"Contributo a fondo 
perduto","63.960,05","20.282,82","43.677,23",-
G. ACERBI S.R.L.,"acquisizione di impianti, macchinari,
attrezzature per l’innovazione",16/04/2010,GE,Aiuto de minimis,"9.022,50","2.861,19","6.161,31",-
DRAFINSUB SURVEY S.R.L.,"acquisizione di impianti, macchinari,
attrezzature per l’innovazione",16/04/2010,GE,Aiuto de minimis,"44.160,00","14.003,89","30.156,11",-
SEAPLAST Srl,"acquisizione di impianti, macchinari,
attrezzature per l’innovazione",16/04/2010,GE,Aiuto de minimis,"57.600,00","18.265,94","39.334,06",-
EDIL FRANCO RANUCCI S.R.L.,"acquisizione di impianti, macchinari,
attrezzature per l’innovazione",16/04/2010,GE,Aiuto de minimis,"40.595,00","12.873,36","27.721,64",-
EMMEBI DENTAL S.N.C. DI L.MERLINI E N. BILANZONE,"acquisizione di impianti, macchinari,
attrezzature per l’innovazione",16/04/2010,GE,Aiuto de minimis,"11.884,65","3.768,82","8.115,83",-
CANESE DANTE S.R.L.,"acquisizione di impianti, macchinari,
attrezzature per l’innovazione",16/04/2010,SP,Aiuto de minimis,"10.172,81","3.225,97","6.946,84",-
MT AUTO SERVICE SNC di Mariano Giuseppe e Toscano Gaetano,"acquisizione di impianti, macchinari,
attrezzature per l’innovazione",16/04/2010,GE,Aiuto de minimis,"9.390,00","2.977,73","6.412,27",-
GIOCO VIAGGI S.R.L.,"acquisizione di impianti, macchinari,
attrezzature per l’innovazione",16/04/2010,GE,Aiuto de minimis,"18.319,80","5.809,52","12.510,28",-
DA U' TAPPE S.N.C. DI INSOLLITTO CONSOLATO & C.,"acquisizione di impianti, macchinari,
attrezzature per l’innovazione",16/04/2010,GE,Aiuto de minimis,"10.500,00","3.329,73","7.170,27",-
Flexopack Srl,"acquisizione di impianti, macchinari,
attrezzature per l’innovazione",16/04/2010,SV,Aiuto de minimis,"95.303,27","30.222,29","65.080,98",-
LIGURWASCH DI PALOMBO SPINELLI ROSA & C. SAS,"acquisizione di impianti, macchinari,
attrezzature per l’innovazione",16/04/2010,GE,Aiuto de minimis,"16.928,10","5.368,19","11.559,91",-
ARTE MARMI DI PAITA GIACOMO,"acquisizione di impianti, macchinari,
attrezzature per l’innovazione",22/04/2010,SP,Aiuto de minimis,"33.000,00","10.464,86","22.535,14",-
OASI DELL'AUTO SNC DI AIELLO MICHELE E GIUNTI LAURA,"acquisizione di impianti, macchinari,
attrezzature per l’innovazione",16/04/2010,SP,Aiuto de minimis,"22.842,45","7.243,73","15.598,72",-
