"beneficiaries","ALLOCATION YEAR / YEAR OF FINAL PAYMENT","Region","state","EU","total co-financing","priority axes"
"TECNOMEC DI BALICCHIA E BUSSOLETTI SNC - VIA ARCEVIESE 18/A - SENIGALLIA
 (AN)  60010
","2008/2009",10034.33,34730.91,28734.76,73500,"priority axe 1"
"S.T.M. - STRADA PROVINCIALE VALTESINO 345 - GROTTAMMARE
 (AP)  63013
","2008/2009",5692.94,19704.48,16302.58,41700,"priority axe 1"
"B.G.M. - ALTRO GUAZZETTI SNC - MONTEGRANARO
 (AP)  63014
","2008/2009",4071.07,14090.83,11658.1,29820,"priority axe 1"
"VAGNINI MARCO - VIA DELL'INDUSTRIA 5/D - SERRUNGARINA
 (PU)  61030
","2008/2009",2141.2,7411.15,6131.65,15684,"priority axe 1"
"ARTI GRAFICHE STIBU S.N.C. - VIA MOLINO DEL SIGNORE 15 - URBANIA
 (PU)  61049
","2008/2009",1965.91,6804.42,5629.67,14400,"priority axe 1"
"""SWEDLINGHAUS S.R.L."" - VIA ENRICO BERLINGUER 5 - GROTTAZZOLINA
 (AP)  63024
","2008/2009",4341.39,15026.43,12432.18,31800,"priority axe 1"
"LA TRAMA DI PASQUINI ANDREA & C. SAS - VIA NEVOLA 124 - CORINALDO
 (AN)  60013
","2008/2009",17368.28,60115.24,49736.58,127220.1,"priority axe 1"
"VETRART DI MIOLA SAURO - VIA ENRICO BERLINGUER 9/11 - GROTTAZZOLINA
 (AP)  63024
","2008/2009",1983.27,6864.53,5679.4,14527.2,"priority axe 1"
"TARGOTECNICA SRL UNIPERSONALE - VIALE A . MERLONI 12/D - FABRIANO
 (AN)  60044
","2008/2009",2900.72,10039.99,8306.63,21247.34,"priority axe 1"
"FABER VETRERIA DI CENSI ASSUNTA & C SNC - VIA LOCALITA' CAMPO DELL'OLMO - VIA G. CERESANI 11 - FABRIANO
 (AN)  60044
","2008/2009",3808.95,13183.57,10907.48,27900,"priority axe 1"
"SUOLIFICIO BURATTI SANTE DI BURATTI SANTE & C. SNC - VIA NINO BIXIO 1/B - GROTTAZZOLINA
 (AP)  63023
","2008/2009",2116.14,7324.39,6059.87,15500.4,"priority axe 1"
"
FILFER SNC DI SANGUIGNI & SPACCAPANICCIA - VIA ETE 60/A - MONSAMPIETRO MORICO
 (AP)  63020
","2008/2009",4741.94,16412.84,13579.22,34734,"priority axe 1"
"PROGETTO IDEA STELLA DI FANINI FILIPPO & C. S.A.S. - VIA VITTORIO EMANUELE 10 - SPINETOLI
 (AP)  63030
","2008/2009",21887.7,75757.9,62678.6,160324.2,"priority axe 1"
"FONDAR S.P.A. - VIA BAROCCO 20 - OSTRA VETERE
 (AN)  60010
","2008/2009",7974.23,27600.44,22835.33,58410,"priority axe 1"
"GABELLIERI ARREDAMENTI - ALTRO BORGO SANTA LUCIA 12 - MORROVALLE
 (MC)  62010
","2008/2009",3948.2,13665.55,11306.25,28920,"priority axe 1"
"SOLETTIFICIO CAPROLI DI PANICCIA' AVE - VIA RIONE DE GASPERI 31 - MONTE SAN GIUSTO
 (MC)  62015
","2008/2009",1802.08,6237.39,5160.53,13200,"priority axe 1"
"CALZATURIFICIO PIZZUTI S.R.L. - VIA VEREGRENSE 76 - MONTEGRANARO
 (AP)  63014
","2008/2009",1924.96,6662.66,5512.38,14100,"priority axe 1"
"CM DI CARDELLA LUCA - VIA BACHERO SNC - CINGOLI
 (MC)  62011
","2008/2009",20243.77,70067.9,57970.96,148282.63,"priority axe 1"
"A.S.G. SRL - VIA TOMBESI 9/A - ANCONA
 (AN)  60131

","2008/2009",15563.46,53868.35,44568.19,114000,"priority axe 1"
"Florida di Vita Floriano & C. Snc - VIA dell'Industria 3 - GROTTAZZOLINA
 (AP)  63024
","2008/2009",5324.34,18428.65,15247.01,39000,"priority axe 1"
"LUCIANO MANSERVIGI SRL - VIA MARCHE 34 - MONSANO
 (AN)  60030
","2008/2009",12404.63,42934.96,35522.41,90862,"priority axe 1"
"MEDIA PRINT 2000 DI ANTIMIANI ANNA & C. SAS - VIA ISCHIA 74 - GROTTAMMARE
 (AP)  63013
","2008/2009",4710,16302.26,13487.74,34500,"priority axe 1"
"TIPOLITO ILARI S.N.C. DI ILARI MARCO & C. - VIA CERQUETELLI 29 - CINGOLI
 (MC)  62011
","2008/2009",6757.82,23390.2,19351.98,49500,"priority axe 1"
"ANTORAF SRL - VIA SPINETO 14/O/P - FALERONE
 (AP)  63020
","2008/2009",13876.05,48027.89,39736.06,101640,"priority axe 1"
"EFFEGIEMME S.N.C. DI FOSCHI GIANCARLO E MARCO - VIA DEL LAVORO 5 - SAN BENEDETTO DEL TRONTO
 (AS)  63039
","2008/2009",4914.77,17011.06,14074.17,36000,"priority axe 1"
"FALERIA DI TRASATTI F.,DIOMEDI A. & C SNC - VIA DELL'INDUSTRIA 15 - FERMO
 (AP)  63023
","2008/2009",13147.03,45504.58,37648.39,96300,"priority axe 1"
"I BAFFETTI SRL - STRADA STATALE 16 ADRIATICA KM 314 1/A - CASTELFIDARDO
 (AN)  60022
","2008/2009",4669.04,16160.5,13370.46,34200,"priority axe 1"
"MANCINELLI MECCANICA DI MANCINELLI MIRKO - VIA DEI LAGHI FRAZIONE DI CALCINELLI SN - SALTARA
 (PU)  61030
","2008/2009",4582.94,15862.5,13123.9,33569.34,"priority axe 1"
"MEC. SYSTEM S.R.L. - VIA ROMA SN - URBANIA
 (PU)  61049
","2008/2009",13843.29,47914.48,39642.23,101400,"priority axe 1"
"MIRKO DI TURTU E C. SNC - VIA GALILEO GALILEI 328 - SANT'IPPOLITO
 (AP)  63018
","2008/2009",4218.51,14601.16,12080.33,30900,"priority axe 1"
"UTENSIL CENTRO DI BARTOLINI L. & PAZZAGLINI W. SNC - VIA DELL'INDUSTRIA 7 - SANT'ANGELO IN LIZZOLA
 (PU)  61020
","2008/2009",5897.73,20413.27,16889,43200,"priority axe 1"
"COLOR LINE SRL - VIA GRANDI 45 - ANCONA
 (AN)  60131
","2008/2009",3950.87,13674.76,11313.87,28939.5,"priority axe 1"
"FIORINI VALERIO - VIA GRANDI ACHILLE 38 - ANCONA
 (AN)  60020
","2008/2009",5201.47,18003.37,14895.16,38100,"priority axe 1"
"G.M. DI GRILLI MAURIZIO - VIA SOCCORSO SCN - MONTEGIORGIO
 (AP)  63025
","2008/2009",4570.75,15820.28,13088.97,33480,"priority axe 1"
"MICROPRESS SRL - VIA GIOVANNI DA PALESTRINA 108 - FERMO
 (AP)  63023
","2008/2009",4095.65,14175.88,11728.47,30000,"priority axe 1"
"PASTA FRESCA VADESE DI PAPI FILIPPO & C. - VIA ROBERT BADEN POWELL 31 - SANT'ANGELO IN VADO
 (PU)  61048
","2008/2009",6287.84,21763.52,18006.14,46057.5,"priority axe 1"
"RICAMIFICIO ANTONELLI DI ANTONELLI MARIO - VIA MACERATA 319 - MONTE SAN GIUSTO
 (MC)  62015
","2008/2009",10034.33,34730.91,28734.76,73500,"priority axe 1"
"C.L. CARPENTERIA LAGUNA DI GRECHI SERGIO & C. - VIA ENRICO MATTEI 5 - SASSOFELTRIO
 (PU)  61010
","2008/2009",9649.34,33398.38,27632.28,70680,"priority axe 1"
"ERCOLI GINO & C. S.A.S. - VIA PRIMO MAGGIO 38 - MONTE URANO
 (AP)  63015
","2008/2009",3325.25,11509.4,9522.35,24357,"priority axe 1"
"F.LLI MAGALOTTI ALVARO ED EMILIO S.N.C. - VIA OLMETO SN - MONTECOPIOLO
 (PU)  61014
","2008/2009",4370.05,15125.67,12514.28,32010,"priority axe 1"
"MAGLIFICIO G.M. DI GALLI IVANA E MAGRI MARA - VIA NORI DE' NOBILI 15 - RIPE
 (AN)  60010
","2008/2009",5242.43,18145.13,15012.44,38400,"priority axe 1"
"SUOLIFICIO V.S. SRL - VIA TURATI 50 - MONTEGRANARO
 (AP)  63014
","2008/2009",4505.21,15593.47,12901.32,33000,"priority axe 1"
"COSMA DI MATTIOLI LUCA & C. SAS - STRADA DELLA BRUCIATA FRAZ CESANO 8/3 - SENIGALLIA
 (AN)  60012
","2008/2009",2624.85,9085.15,7516.64,19226.64,"priority axe 1"
"TECNOMODEL S.R.L.","2009/2010",7406.29,25634.72,21208.99,54250,"priority axe 1"
"LEVIGAR DI FEDERICI GIANFRANCO & C. S.N.C.","2009/2010",13406.41,46402.39,38391.2,98200,"priority axe 1"
"COLOR SYSTEM S.N.C.","2009/2010",27304.31,94505.88,78189.81,200000,"priority axe 1"
"EBAN SRL","2009/2010",26724.09,92497.63,76528.28,195750,"priority axe 1"
"AREA SRL","2009/2010",18072.72,62553.44,51753.84,132380,"priority axe 1"
"AGOSTINI SRL","2009/2010",8669.11,30005.62,24825.27,63500,"priority axe 1"
"RI.ME.L. SRL","2009/2010",7619.4,26372.34,21819.26,55811,"priority axe 1"
"G.E.M. SRL","2009/2010",10914.22,37776.36,31254.42,79945,"priority axe 1"
"2 B.M. SRL","2009/2010",14645.98,50692.75,41940.85,107279.58,"priority axe 1"
"EUROCOLOR SRL","2009/2010",5119.56,17719.85,14660.59,37500,"priority axe 1"
"FIM SRL","2009/2010",2247.58,7779.36,6436.28,16463.22,"priority axe 1"
"EUROANT SPA","2009/2010",27304.31,94505.88,78189.81,200000,"priority axe 1"
"G & D SRL","2009/2010",5471.1,18936.62,15667.28,40075,"priority axe 1"
"EUROSUOLE S.P.A.","2009/2010",27304.31,94505.88,78189.81,200000,"priority axe 1"
"C.M.R. SRL","2009/2010",19113.02,66154.11,54732.87,140000,"priority axe 1"
"TAMENGHI ANNA RITA","2009/2010",17065.2,59066.17,48868.63,125000,"priority axe 1"
"CLOVER","2009/2010",6784.09,23481.17,19427.24,49692.5,"priority axe 1"
"kelton srl","2009/2010",13515.63,46780.41,38703.96,99000,"priority axe 1"
"DIEMME","2009/2010",16346.54,56578.78,46810.68,119736,"priority axe 1"
"VIBB","2009/2010",2709.95,9379.71,7760.34,19850,"priority axe 1"
"CRAGLIA MARMI","2009/2010",27304.31,94505.88,78189.81,200000,"priority axe 1"
"B.E.C.A.","2009/2010",22048.23,76313.5,63138.27,161500,"priority axe 1"
"MECCANICA VADESE","2009/2010",27304.31,94505.88,78189.81,200000,"priority axe 1"
"CIAMAGLIA METALARREDI DI CIAMAGLIA P. B. & C.","2009/2010",27003.97,93466.31,77329.72,197800,"priority axe 1"
"MITOGRAF SNC DI GANGONI ANTONIO & C.","2009/2010",18430.41,63791.47,52778.12,135000,"priority axe 1"
"CRAMA","2009/2010",24642.14,85291.55,70566.31,180500,"priority axe 1"
"BALDASSARRI GIUSEPPE","2009/2010",1365.22,4725.29,3909.49,10000,"priority axe 1"
"COUNTRY HOUSE CA' LANI DI ALOIGI MARIO","2009/2010",1365.22,4725.29,3909.49,10000,"priority axe 1"
"PERBACCO DI BONATTI FEDERICO","2009/2010",1365.22,4725.29,3909.49,10000,"priority axe 1"
"L'ORIZZONTE","2009/2010",1173.31,4061.06,3359.93,8594.3,"priority axe 1"
"METROPOL DI SCHULZ LIES EDELGARD E C.","2009/2010",1365.22,4725.29,3909.49,10000,"priority axe 1"
"CINQUARI STL","2009/2010",614.35,2126.38,1759.27,4500,"priority axe 1"
"FI. BA. SRL","2009/2010",1365.22,4725.29,3909.49,10000,"priority axe 1"
"PALOMBI ANTONIO","2009/2010",1365.22,4725.29,3909.49,10000,"priority axe 1"
"DE SILVESTRI RICCARDO","2009/2010",636.19,2201.99,1821.82,4660,"priority axe 1"
"MANCINI OSVALDO","2009/2010",664.65,2300.51,1903.34,4868.5,"priority axe 1"
"QUADRIFOGLIO S.R.L.","2009/2010",1365.22,4725.29,3909.49,10000,"priority axe 1"
"CAMPING FANO S.R.L.","2009/2010",614.35,2126.38,1759.27,4500,"priority axe 1"
"AIRONE COUNTRY HOUSE","2009/2010",824.59,2854.08,2361.33,6040,"priority axe 1"
"IL GIARDINO DEGLI ULIVI SNC","2009/2010",614.35,2126.38,1759.27,4500,"priority axe 1"
"AGAPE SRL - LA FORESTERIA","2009/2010",614.35,2126.38,1759.27,4500,"priority axe 1"
"VILLA COLLEPERE C.H. DI GAGLIARDI M.","2009/2010",614.35,2126.38,1759.27,4500,"priority axe 1"
"CASONI COSTRUZIONI SRL","2009/2010",614.35,2126.38,1759.27,4500,"priority axe 1"
"FORESTALE  CHIARAVALLE S.R.L.","2009/2010",614.35,2126.38,1759.27,4500,"priority axe 1"
"AL. MA. DI MARINI ANNA MARIA & S.A.S","2009/2010",824.59,2854.08,2361.33,6040,"priority axe 1"
"RELAIS - VILLA FORNARI S.R.L.","2009/2010",824.59,2854.08,2361.33,6040,"priority axe 1"
"HOTEL TETTO DELLE MARCHE","2009/2010",824.59,2854.08,2361.33,6040,"priority axe 1"
"PROGET MANAGEMENT S.R.L.","2009/2010",824.59,2854.08,2361.33,6040,"priority axe 1"
"VILLA VERDEFIORE - RECINA HOTEL","2009/2010",824.59,2854.08,2361.33,6040,"priority axe 1"
"EFFEMME SRL","2009/2010",6293.92,21784.55,18023.53,46102,"priority axe 1"
"SOC. COOPERATIVA MONDO SOLIDALE","2009/2010",7769.72,26892.59,22249.69,56912,"priority axe 1"
"C & G. S.A.S. di Chiodi Gianluca","2009/2010",6889.41,23845.65,19728.79,50463.85,"priority axe 1"
"C & G. S.A.S. di Chiodi Gianluca","2009/2010",7578.93,26232.23,21703.34,55514.5,"priority axe 1"
"Erydel SpA","2008/2009",55714.45,192839.24,159546.31,408100,"priority axe 1"
"Progetto Costruzione Qualità Srl","2008/2009",57160.64,197844.83,163687.7,418693.17,"priority axe 1"
"Sistemi innovativi biomasse Srl","2008/2009",57339.05,198462.34,164198.61,420000,"priority axe 1"
"Duepuntozero Srl","2008/2009",57339.05,198462.34,164198.61,420000,"priority axe 1"
"STRATEGIE","2008/2009",53827.04,186306.52,154141.44,394275,"priority axe 1"
"SI2G Sistemi informativi intelligenti","2008/2009",55810.01,193170.01,159819.98,408800,"priority axe 1"
"SYMBIOTEC","2008/2009",36372.07,125891.28,104156.65,266420,"priority axe 1"
"Pro Energy Systems Srl","2008/2009",57195.7,197966.19,163788.11,418950,"priority axe 1"
"IDEA Soc. Coop.","2008/2009",57339.05,198462.34,164198.61,420000,"priority axe 1"
"SEITEC Srl","2008/2009",57339.05,198462.34,164198.61,420000,"priority axe 1"
"CEDAR Solutions Srl","2008/2009",27236.05,94269.61,77994.34,199500,"priority axe 1"
"ARIELAB Srl","2008/2009",49477.46,171251.74,141685.8,362415,"priority axe 1"
"2K’SOFT, Tacchificio L.U.P.EM, Trentanni Giovanni Suolificio dal 1975 di Scoppa Gina, Cibe di Cintio Luigi Snc, Formificio Mauro di Spariglia Mauro Snc, MPM di Meandro Vincenzo & C. Snc","2008/2009",29813.92,103192.15,85376.43,218382.5,"priority axe 2"
"Comunità Montana Alto e Medio Metauro","2008/2009",10549.28,36513.27,30209.4,77271.95,"priority axe 3"
"Comune di Fiastra","2008/2009",51201.22,177218.02,146622.04,375041.28,"priority axe 3"
"Comune di Muccia","2008/2009",51594.37,178578.82,147747.89,377921.08,"priority axe 3"
"Comunità Montana Alto e Medio Metauro","2008/2009",10844.34,37534.52,31054.33,79433.19,"priority axe 3"
"Comune di Ostra","2009/2010",7674.42,26562.73,21976.78,56213.93,"priority axe 3"
"Comune di Ussita","2009/2010",42993.9,148810.78,123119.19,314923.87,"priority axe 3"
"Comune di Recanati","2009/2010",28586.92,98945.28,81862.77,209394.97,"priority axe 3"
"Comune di Montefano","2009/2010",30432.71,105333.91,87148.43,222915.05,"priority axe 3"
"E.R.S.U. di Camerino","2009/2010",59978.4,207597.7,171756.78,439332.88,"priority axe 3"
"Comune di Orciano di Pesaro","2009/2010",36346.87,125804.04,104084.48,266235.39,"priority axe 3"
"Comune di Colli del Tronto","2009/2010",14824.86,51311.9,42453.11,108589.87,"priority axe 3"
"Comune di Fermignano","2009/2010",21437.05,74198.06,61388.06,157023.17,"priority axe 3"
"Comune di Montelupone","2009/2010",55887.47,193438.12,160041.8,409367.39,"priority axe 3"
"Comune di Urbania","2009/2010",32303.79,111810.11,92506.54,236620.44,"priority axe 3"
"E.R.S.U. di Urbino","2009/2010",64154.21,222051.01,183714.78,469920,"priority axe 3"
"Comune di Urbania","2009/2010",23377.76,80915.22,66945.53,171238.51,"priority axe 3"
"Comunità Montana dell'Esino-Frasassi","2009/2010",6820.9,23608.49,19532.59,49961.98,"priority axe 3"
"Comune di Recanati","2009/2010",21154.22,73219.07,60578.1,154951.39,"priority axe 3"
"Comune di Corridonia","2009/2010",2801.32,9695.93,8021.97,20519.22,"priority axe 3"
"Comunità Montana dell'Esino-Frasassi","2009/2010",1576.83,5457.71,4515.46,11550,"priority axe 3"
"ERSU di Camerino","2009/2010",54164.08,187473.07,155106.59,396743.74,"priority axe 3"
"Comune di Corridonia","2009/2010",3296.19,11408.8,9439.12,24144.11,"priority axe 3"
"Comune di Camerano","2009/2010",2172.09,7518.04,6220.08,15910.21,"priority axe 3"
"Comunità Montana dell'Esino-Frasassi","2009/2010",892.52,3089.19,2555.86,6537.57,"priority axe 3"
"Comune di Camerano","2009/2010",1609.61,5571.18,4609.34,11790.13,"priority axe 3"
"Comune di Camerano","2009/2010",1868.32,6466.64,5350.2,13685.16,"priority axe 3"
"Comune di Camerano","2009/2010",2142.05,7414.09,6134.07,15690.21,"priority axe 3"
"Comune di Sant'Ippolito","2009/2010",1753.14,6067.99,5020.37,12841.5,"priority axe 3"
"Comune di Borgo Pace","2009/2010",10621.63,36763.65,30416.55,77801.83,"priority axe 3"
"Comune di Ancona","2009/2010",5033.64,17422.43,14414.53,36870.6,"priority axe 3"
"Comune di Ancona","2009/2010",4069.53,14085.49,11653.68,29808.7,"priority axe 3"
"Casa Protetta per Anziani – Senigallia","2009/2010",967.05,3347.13,2769.26,7083.44,"priority axe 3"
"Comune di Morrovalle","2009/2010",7437.55,25742.89,21298.48,54478.92,"priority axe 3"
"Comune di Frontone","2009/2010",2894.26,10017.62,8288.12,21200,"priority axe 3"
"Comune di Morrovalle","2009/2010",2821.33,9765.24,8079.31,20665.88,"priority axe 3"
"Comune di Cupra Marittima","2009/2010",3381.8,11705.11,9684.27,24771.18,"priority axe 3"
"Comune di Morrovalle","2009/2010",1390.16,4811.62,3980.92,10182.7,"priority axe 3"
"Comune di Belforte del Chienti","2009/2010",3330.99,11529.23,9538.76,24398.98,"priority axe 3"
"Comune di Belforte del Chienti","2009/2010",4177.23,14458.25,11962.09,30597.57,"priority axe 3"
"Comune di Monte Urano","2009/2010",2794.66,9672.89,8002.9,20470.45,"priority axe 3"
"Consorzio Intercomunale del Montefeltro – Cà Lanciarino","2009/2010",2486.66,8606.83,7120.89,18214.38,"priority axe 3"
"Comune di Morrovalle","2009/2010",2433.06,8421.32,6967.42,17821.8,"priority axe 3"
"Istituti Autonomi di Beneficienza – Ostra","2009/2010",2837.55,9821.37,8125.75,20784.67,"priority axe 3"
"Comune di Ponzano di Fermo","2009/2010",5277.95,18268.08,15114.17,38660.2,"priority axe 3"
"Comune di Peglio","2009/2010",5817.88,20136.9,16660.35,42615.13,"priority axe 3"
"Università di Camerino","2009/2010",7337.01,25394.92,21010.58,53742.51,"priority axe 3"
"Comune di Montecassiano","2009/2010",2937.77,10168.24,8412.74,21518.75,"priority axe 3"
"Comune di Montefano","2009/2010",2937.77,10168.24,8412.74,21518.75,"priority axe 3"
"Comune di Appignano","2009/2010",2909.19,10069.3,8330.87,21309.36,"priority axe 3"
"Comune di Appignano","2009/2010",1517.45,5252.2,4345.43,11115.08,"priority axe 3"
"Comune di Ripe San Ginesio","2009/2010",3644.77,12615.32,10437.34,26697.43,"priority axe 3"
"Comune di Montecassiano","2009/2010",2937.77,10168.24,8412.74,21518.75,"priority axe 3"
"Comune di Urbino","2009/2010",21634.74,74882.31,61954.18,158471.23,"priority axe 3"
"Comune di Ripe San Ginesio","2009/2010",3644.77,12615.32,10437.34,26697.43,"priority axe 3"
"Comune di Sassoferrato","2009/2010",2604.15,9013.52,7457.37,19075.04,"priority axe 3"
"Comune di Appignano","2009/2010",1888.92,6537.94,5409.19,13836.05,"priority axe 3"
"Comune di Urbino","2009/2010",10067.1,34844.33,28828.59,73740.02,"priority axe 3"
"Comune di Montecalvo in Foglia","2009/2010",3681.96,12744.02,10543.82,26969.8,"priority axe 3"
"Comune di Montecalvo in Foglia","2009/2010",3681.96,12744.02,10543.82,26969.8,"priority axe 3"
"Comune di Recanati","2009/2010",2058.92,7126.35,5896.01,15081.28,"priority axe 3"
"Comune di Recanati","2009/2010",2167.94,7503.68,6208.2,15879.82,"priority axe 3"
"Istituti Autonomi di Beneficienza – Ostra","2009/2010",41115.04,142307.68,117738.82,301161.54,"priority axe 3"
"Comune di Castelsantangelo sul Nera","2009/2010",14170.8,49048.04,40580.09,103798.93,"priority axe 3"
"Università degli Studi di Urbino ""Carlo Bo""","2009/2010",21881.21,75735.4,62659.99,160276.6,"priority axe 3"
"Provincia di Ancona","2009/2010",17859.98,61817.07,51144.6,130821.65,"priority axe 3"
"Comune di Orciano di Pesaro","2009/2010",18070.05,62544.18,51746.18,132360.41,"priority axe 3"
"Comune di Polverigi","2009/2010",14149.35,48973.82,40518.68,103641.85,"priority axe 3"
"Comune di Ussita","2009/2010",9275.14,32103.18,26560.7,67939.02,"priority axe 3"
"Comune di Ascoli Piceno","2009/2010",380912.55,1318417.25,1090797.74,2790127.54,"priority axe 3"
"Comune di Macerata","2009/2010",50828.08,175926.52,145553.51,372308.11,"priority axe 3"
"ASUR Marche Z.T. 9 – Macerata","2009/2010",151106.33,523010.31,432714.66,1106831.3,"priority axe 3"
"Università Politecnica delle Marche","2009/2010",177130.74,613086.2,507239.3,1297456.24,"priority axe 3"
"Opera Pia ""Ceci""","2009/2010",32005.77,110778.61,91653.12,234437.5,"priority axe 3"
"ASUR Marche Z.T. 13 – Ascoli Piceno","2009/2010",106596.03,368950.94,305253.03,780800,"priority axe 3"
"Comune di Treia","2009/2010",14293.87,49474.07,40932.57,104700.51,"priority axe 3"
"Comune di Monteprandone","2009/2010",7050.92,24404.7,20191.33,51646.95,"priority axe 3"
"Comune di Castel di Lama","2009/2010",7050.92,24404.7,20191.33,51646.95,"priority axe 3"
"Comune di Monteprandone","2009/2010",7050.92,24404.7,20191.33,51646.95,"priority axe 3"
"Comune di Monteprandone","2009/2010",7050.92,24404.7,20191.33,51646.95,"priority axe 3"
"Comune di Castel di Lama","2009/2010",7050.93,24404.69,20191.33,51646.95,"priority axe 3"
"Comune di Castel di Lama","2009/2010",7050.92,24404.7,20191.33,51646.95,"priority axe 3"
"Comune di Monteprandone","2009/2010",7050.92,24404.7,20191.33,51646.95,"priority axe 3"
"Comune di Monteprandone","2009/2010",7050.92,24404.7,20191.33,51646.95,"priority axe 3"
"Comune di Castel di Lama","2009/2010",7050.92,24404.7,20191.33,51646.95,"priority axe 3"
"Comune di Colli del Tronto","2009/2010",6606.16,22865.3,18917.7,48389.16,"priority axe 3"
"Comune di Civitanova Marche","2009/2010",9249.35,32013.92,26486.84,67750.11,"priority axe 3"
"SOCIETA' AGRICOLA DEL BORANICO","2009/2010",17201.72,59538.7,49259.58,126000,"priority axe 3"
"ELEMA SRL","2009/2010",16797.61,58140.02,48102.37,123040,"priority axe 3"
"MECCANICA OMBU' DI KWASNIK BENIAMINO E WALTER","2009/2010",25939.1,89780.58,74280.32,190000,"priority axe 3"
"P. & G.","2009/2010",27304.31,94505.88,78189.81,200000,"priority axe 3"
"GERMAN PLAST","2009/2010",20205.19,69934.35,57860.46,148000,"priority axe 3"
"PAER MATIC DI PALLOTTA ALFREDO & C.","2009/2010",13768.58,47655.92,39428.32,100852.82,"priority axe 3"
"OMAS","2009/2010",27304.31,94505.88,78189.81,200000,"priority axe 3"
"GIESSE STAMPI","2009/2010",22389.53,77494.82,64115.65,164000,"priority axe 3"
"GAMBINI MECCANICA","2009/2010",22333.34,77300.33,63954.74,163588.41,"priority axe 3"
"GP MODELS DI GASPARI PIETRO","2009/2010",9925.11,34352.89,28422,72700,"priority axe 3"
"CRISTIANPACK S.r.l.","2009/2010",9884.16,34211.13,28304.71,72400,"priority axe 3"
"L.M. DEI F.LLI MONTICELLI","2009/2010",27113.44,93845.23,77643.23,198601.9,"priority axe 3"
"OFFICINE CICCONI DI CICCONI FERNANDO E FIGLIO","2009/2010",10375.64,35912.23,29712.13,76000,"priority axe 3"
"GERMAN PLAST","2009/2010",6596.72,22832.62,18890.66,48320,"priority axe 3"
"FAG","2009/2010",27304.31,94505.88,78189.81,200000,"priority axe 3"
"METALFORM 2000","2009/2010",7048.77,24397.26,20185.17,51631.2,"priority axe 3"
"GRUPPO MECCANICHE LUCIANI","2009/2010",26610.26,92103.62,76202.3,194916.18,"priority axe 3"
"GIORGI","2009/2010",12097.17,41870.83,34642,88610,"priority axe 3"
"INFA INDUSTRIA NAZIONALE FONDI E ACCESSORI","2009/2010",9829.55,34022.12,28148.33,72000,"priority axe 3"
"S.T.M.","2009/2010",3385.73,11718.73,9695.54,24800,"priority axe 3"
"TORMATIC","2009/2010",27304.31,94505.88,78189.81,200000,"priority axe 3"
"OMEGA","2009/2010",10375.64,35912.23,29712.13,76000,"priority axe 3"
"PLAST-MECCANICA S.P.A","2009/2010",27304.31,94505.88,78189.81,200000,"priority axe 3"
"SOVERCHIA SRL","2009/2010",2988.94,10345.35,8559.26,21893.55,"priority axe 3"
"DE SILVESTRI RICCARDO","2009/2010",3937.81,13629.59,11276.5,28843.9,"priority axe 3"
"L'ORIZZONTE","2009/2010",3674.72,12718.98,10523.1,26916.8,"priority axe 3"
"RUVELLA SRL","2009/2010",2045.16,7078.73,5856.61,14980.5,"priority axe 3"
"AIRONE COUNTRY HOUSE","2009/2010",4895,16942.64,14017.56,35855.2,"priority axe 3"
"VILLA COLLEPERE COUNTRY HOUSE DI GAGLIARDI MARILENA","2009/2010",4095.65,14175.88,11728.47,30000,"priority axe 3"
"CASONI COSTRUZIONI","2009/2010",4685.42,16217.21,13417.37,34320,"priority axe 3"
"LA CONTRADA DI SILEONI MARIA PIA","2009/2010",4095.65,14175.88,11728.47,30000,"priority axe 3"
"MARONCINI MARIA","2009/2010",4095.65,14175.88,11728.47,30000,"priority axe 3"
"VIRGILI MARIANNA","2009/2010",4095.65,14175.88,11728.47,30000,"priority axe 3"
"SCHWARZ WOLFGANG ALFRED WILHELM","2009/2010",4095.65,14175.88,11728.47,30000,"priority axe 3"
"CALO' RENATO","2009/2010",3514.06,12162.91,10063.03,25740,"priority axe 3"
"RELAIS VILLA FORNARI","2009/2010",4095.65,14175.88,11728.47,30000,"priority axe 3"
"COUNTRY HOUSE CACCIABOCCA DI GRANCI TANIA","2009/2010",2960.84,10248.1,8478.81,21687.75,"priority axe 3"
"METROPOL SAS DI SCHULZ LIES EDELGARD EC.","2009/2010",4095.65,14175.88,11728.47,30000,"priority axe 3"
"CASELLI LUCIANO","2009/2010",1112.21,3849.58,3184.96,8146.75,"priority axe 3"
"ALBERGO MARIANI SRL","2009/2010",4095.65,14175.88,11728.47,30000,"priority axe 3"
"OSTERIA DEI SEGRETI SRL","2009/2010",4095.65,14175.88,11728.47,30000,"priority axe 3"
"HOUSE ZII RENTAL DI MAZZA RINO & C. sas","2009/2010",4095.65,14175.88,11728.47,30000,"priority axe 3"
"TEGG SOCIETA' A RESPONSABILITA' LIMITATA","2009/2010",4095.65,14175.88,11728.47,30000,"priority axe 3"
"ACANTO COUNTRY HOUSE","2009/2010",791.83,2740.67,2267.5,5800,"priority axe 3"
"HOTEL ALESSANDRA DI AMALI ANDREA & C","2009/2010",3276.51,11340.71,9382.78,24000,"priority axe 3"
"Cooperativa sociale IL POSTO DELLE VIOLE arl","2009/2010",4095.65,14175.88,11728.47,30000,"priority axe 3"
