"Asse","Obiettivo specifico","Beneficiario","Operazione","Anno","Importo impegnato","Importo pagato"
"II","E","CON.SOLIDA.societﾈ cooperativa sociale","CRESCITA SOCIALE E PROFESSIONALE",2008,68731,0
"II","E","ENTE BILATERALE ARTIGIANATO TRENTINO","MeLisSa - Mediatrici e mediatori in Lingua per la Sicurezza sul lavoro dei lavoratori immigrati",2008,174444,0
"II","E","ASSOFORM TRENTINA","Empowerment sociale delle donne migranti",2008,112441,0
"II","E","ISTITUTO REGIONALE DI STUDI E RICERCA SOCIALE","Baby Life: educatore nei nidi di infanzia e nei servizi integrativi - A",2008,236767,0
"II","E","ISTITUTO REGIONALE DI STUDI E RICERCA SOCIALE","Baby Life: educatore nei nidi di infanzia e nei servizi integrativi - B",2008,236767,0
"II","E","ISTITUTO TECNICO COMMERCIALE E PER GEOMETRI ""F. E G. FONTANA""","Esperto nella gestione e assicurazione dei rischi",2008,252563,0
"II","E","FIDIA S.R.L.","Agente di sviluppo locale",2008,243010,0
"II","E","DELTA SERVIZI S.R.L.","Responsabile della progettazione tecnica esperto in PLM",2008,249239,0
"II","E","FIDIA S.R.L.","Esperto nell'amministrazione del personale e nella gestione della contabilitﾈ aziendale",2008,280279,0
"II","E","FORMAZIONE S.P.A. - SOCIET?ﾀ CONSORTILE","TECNICO QUALIFICATO NELL'ORGANIZZAZIONE DI EVENTI SPETTACOLARI E PROMOZIONALI",2008,194251,0
"II","E","FORMAZIONE ASSINDUSTRIA TRENTO SOC. CONS. A R. L. IN SIGLA ""FORM.A.T. SOC. CONS. A R. L.""","Integrazione dei processi aziendali per una gestione innovativa dell'impresa - Controllo Economico, ...",2008,234742,0
"II","E","Simmetrie srl","Sviluppo sostenibile e gestione dei sistemi ambientali",2008,222473,0
"II","E","FORMAZIONE E SVILUPPO S.R.L.","progettazione e gestione di nuovi mezzi di comunicazione digitale a servizio delle imprese",2008,290264,0
"II","E","FORMAZIONE S.P.A. - SOCIET?ﾀ CONSORTILE","INSTALLATORE MANUTENTORE DI SISTEMI DI COMANDO E CONTROLLO (IMSCC) - TECNICO ASCENSORISTA",2008,185804,0
"II","E","FIDIA S.R.L.","Esperto nell'integrazione di sistemi di gestione nelle pmi",2008,236094,0
"II","E","SIMKI S.R.L.","PROGETTISTA OPERATIVO NELLA GESTIONE INTEGRATA DI CANTIERE",2008,244680,0
"II","E","I.T.I. ""M. BUONARROTI""","TECNICO DI PROGETTAZIONE E CANTIERIZZAZIONE EDILE IN OTTICA DI SVILUPPO SOSTENIBILE",2008,292843,0
"II","E","I.T.I. ""M. BUONARROTI""","meccatronica: dalla piccola manutenzione all'alta automazione",2008,292843,0
"II","E","FORMAZIONE ASSINDUSTRIA TRENTO SOC. CONS. A R. L. IN SIGLA ""FORM.A.T. SOC. CONS. A R. L.""","Master Industriale in Logistica e Supply Chain Project Management",2008,236676,0
"II","E","SIMKI S.R.L.","MANAGEMENT DELLA PICCOLA E MEDIA IMPRESA",2008,258779,0
"II","E","ISTITUTO TECNICO COMMERCIALE E PER GEOMETRI ""F. E G. FONTANA""","Addetto all'amministrazione e contabilitﾈ del personale in PMI e studi professionali",2008,265802,0
"II","E","ESSEDI STRATEGIE D'IMPRESA S.P.A.","Specialista nei processi e nei servizi di intermediazione assicurativa e previdenziale",2008,274029,0
"II","E","I.S.I.T. SAS DI BETTONTE LOREDANA & C.","TAL: Trattamento Automatico del Linguaggio",2008,246148,0
"II","E","DELTA SERVIZI S.R.L.","Architetture software: tecnologia, integrazione, innovazione",2008,283711,0
"II","E","A.T.O.S. SERVIZI Srl","QUALITA' SICUREZZA AMBIENTE",2008,194181,0
"II","E","CiEffe Srl","EXPORT MANAGER PER L'EST EUROPA",2008,275132,0
"II","E","CiEffe Srl","ESPERTO IN ICT PER LA RIORGANIZZAZIONE DEI PROCESSI DI SVILUPPO PRODOTTO",2008,272920,0
"II","F","FORMAZIONE E SVILUPPO S.R.L.","CORSO DI GRAFICA MULTIMEDIALE: WEB DESIGN E COMUNICAZIONE DIGITALE",2008,228073,0
"II","F","FORMAZIONE E SVILUPPO S.R.L.","ADDETTA AL COMMERCIO ESTERO PER I MERCATI DI LINGUA INGLESE",2008,297960,0
"II","F","ISTITUTO EURAM - ASSOCIAZIONE DELLE REGIONI ALPINE E MEDITERRANEE EUROPEE","Libere di telelavorare",2008,128250,0
"II","F","FORMAZIONE S.P.A. - SOCIET?ﾀ CONSORTILE","Il servizio Tagesmutter - una mamma per le mamme (A)",2008,159602,0
"II","F","FORMAZIONE S.P.A. - SOCIET?ﾀ CONSORTILE","Il servizio Tagesmutter - una mamma per le mamme (B)",2008,157607,0
"II","F","CiEffe Srl","I SISTEMI INFORMATIVI AL SERVIZIO DELLA GESTIONE DIGITALIZZATA DELLE FUNZIONI AZIENDALI",2008,193589,0
"II","F","ISTITUTO REGIONALE DI STUDI E RICERCA SOCIALE","DONNE CHE RITROVANO IL LAVORO: PERCORSI DI ORIENTAMENTO E RINFORZO DELLE COMPETENZE P�",2008,126500,0
"III","G","CON.SOLIDA.societﾈ cooperativa sociale","AM CRESCITA HC-M",2008,11280,0
"III","G","CON.SOLIDA.societﾈ cooperativa sociale","AM CRESCITA HC-F",2008,11280,0
"III","G","CON.SOLIDA.societﾈ cooperativa sociale","PO CRESCITA HC F-1",2008,11280,0
"III","G","CON.SOLIDA.societﾈ cooperativa sociale","PO CRESCITA HC F-2",2008,11280,0
"III","G","CON.SOLIDA.societﾈ cooperativa sociale","PO CRESCITA HC M",2008,11280,0
"III","G","CON.SOLIDA.societﾈ cooperativa sociale","AQ CRESCITA PD F-1",2008,11280,0
"III","G","CON.SOLIDA.societﾈ cooperativa sociale","AQ CRESCITA PD F-2",2008,11280,0
"III","G","CON.SOLIDA.societﾈ cooperativa sociale","OL CRESCITA HC F",2008,11280,0
"III","G","CON.SOLIDA.societﾈ cooperativa sociale","PR CRESCITA HC M-1",2008,11280,0
"III","G","CON.SOLIDA.societﾈ cooperativa sociale","PR CRESCITA PD M",2008,11280,0
"III","G","CON.SOLIDA.societﾈ cooperativa sociale","PR CRESCITA PD HC M-2",2008,11280,0
"III","G","CON.SOLIDA.societﾈ cooperativa sociale","PR CRESCITA HC M-3",2008,11280,0
"III","G","CON.SOLIDA.societﾈ cooperativa sociale","EL CRESCITA HC M",2008,11280,0
"III","G","CON.SOLIDA.societﾈ cooperativa sociale","KA CRESCITA HC M",2008,11280,0
"III","G","CON.SOLIDA.societﾈ cooperativa sociale","KA CRESCITA PD F",2008,11280,0
"III","G","CON.SOLIDA.societﾈ cooperativa sociale","CS LAVORARE NONOSTANTE HC F-1",2008,20556,0
"III","G","CON.SOLIDA.societﾈ cooperativa sociale","CS LAVORARE NONOSTANTE HC F-2",2008,20556,0
"III","G","CON.SOLIDA.societﾈ cooperativa sociale","CS LAVORARE NONOSTANTE HC F-3",2008,20556,0
"III","G","COOPERATIVA SOCIALE C.R.E.A. -SOCIET?ﾀ COOPERATIVA","DISABILI E INCLUSIONE LAVORATIVA: CORSO POLIVALENTE PER L'INSERIMENTO IN UFFICI PUBBLICI E PRIVATI.",2008,97906,0
"III","G","CON.SOLIDA.societﾈ cooperativa sociale","CS LAVORARE NONOSTANTE HC M",2008,20556,0
"III","G","CON.SOLIDA.societﾈ cooperativa sociale","EL LAVORARE NONOSTANTE PD M",2008,19349,0
"III","G","CON.SOLIDA.societﾈ cooperativa sociale","EL LAVORARE NONOSTANTE HC F",2008,19572,0
"III","G","CON.SOLIDA.societﾈ cooperativa sociale","KA LAVORARE NONOSTANTE JC M",2008,19572,0
"III","G","CON.SOLIDA.societﾈ cooperativa sociale","KA LAVORARE NONOSTANTE PD M-1",2008,19572,0
"III","G","CON.SOLIDA.societﾈ cooperativa sociale","KA LAVORARE NONOSTANTE PD M-2",2008,19572,0
"III","G","ISTITUTO PAVONIANO ARTIGIANELLI","Work experience - 2009",2008,68288,0
"III","G","VILLA S. IGNAZIO COOPERATIVA DI SOLIDARIETA' SOCIALE - ONLUS","PUNTONET",2008,147522,0
"III","G","SAMUELE SOCIET?ﾀ COOPERATIVA SOCIALE","Dedalo",2008,72052,0
"III","G","ASSOCIAZIONE UBALDA BETTINI GIRELLA O.N.L.U.S.","Apprendimento in situazione nell'ambito dei servizi ausiliari",2008,65365,0
"III","G","ISTITUTO DI ISTRUZIONE I.P.S.C.T. ""DON MILANI"" E ISTITUTO D'ARTE DEPERO","DALLA SCUOLA AL MONDO DEL LAVORO: LA PROFESSIONE DEL MAGAZZINIERE",2008,78950,0
"III","G","ISTITUTO PAVONIANO ARTIGIANELLI","Ingresso nel mondo del lavoro - 2009",2008,68288,0
"III","G","ASSOCIAZIONE UBALDA BETTINI GIRELLA O.N.L.U.S.","Apprendimento in situazione nell'ambito della ristorazione",2008,65365,0
"III","G","ASSOCIAZIONE UBALDA BETTINI GIRELLA O.N.L.U.S.","Apprendimento in situazione nell'ambito della segreteria",2008,46856,0
"III","G","ASSOCIAZIONE UBALDA BETTINI GIRELLA O.N.L.U.S.","Apprendimento in situazione nell'ambito delle vendite",2008,46856,0
"III","G","ANFFAS TRENTINO -Associazione Famiglie di Disabili Intelletivi e Relazionali del Trentino - ONLUS","PIIL 2008 - Percorsi Individualizzati d' Inserimento Lavorativo",2008,81625,0
"III","G","ANFFAS TRENTINO -Associazione Famiglie di Disabili Intelletivi e Relazionali del Trentino - ONLUS","A.R.CO 2008 - Addetto alla Ristorazione COllettiva",2008,52993,0
"III","G","CON.SOLIDA.societﾈ cooperativa sociale","CRESCITA - ASSISTENTE ANIMATORE PER I SERVIZI AGLI ANZIANI",2008,39778,0
"III","G","""L'ANCORA""COOPERATIVA DI SOLIDARIET?ﾀ SOCIALE","L'INFORMATICA PER IL FUTURO",2008,57887,0
"III","G","""L'ANCORA""COOPERATIVA DI SOLIDARIET?ﾀ SOCIALE","COMPRO E VENDO: COME COMPORTARSI CON IL PUBBLICO",2008,33263,0
"III","G","SAMUELE SOCIET?ﾀ COOPERATIVA SOCIALE","PROFILO",2008,48659,0
"III","G","ISTITUTO DI ISTRUZIONE I.P.S.C.T. ""DON MILANI"" E ISTITUTO D'ARTE DEPERO","CRESCERE NELL'AUTONOMIA: LAVORARE IN UN UFFICIO",2008,78950,0
"III","G","ISTITUTO DI ISTRUZIONE I.P.S.C.T. ""DON MILANI"" E ISTITUTO D'ARTE DEPERO","SAPER FARE E SAPER ESSERE CITTADINO",2008,18466,0
"III","G","CON.SOLIDA.societﾈ cooperativa sociale","CRESCITA - ADDETTO ALLA LEGATORIA",2008,43019,0
"III","G","CON.SOLIDA.societﾈ cooperativa sociale","CRESCITA - OPERATORE FLOROVIVAISTA",2008,43859,0
"III","G","VILLA S. IGNAZIO COOPERATIVA DI SOLIDARIETA' SOCIALE - ONLUS","OSPITA",2008,60754,0
"III","G","""L'ANCORA""COOPERATIVA DI SOLIDARIET?ﾀ SOCIALE","Relazionarsi in azienda",2008,23808,0
"III","G","SAMUELE SOCIET?ﾀ COOPERATIVA SOCIALE","Verde-bio",2008,39437,0
"III","G","CiEffe Srl","PROFESSIONE CAMERIERE: IL PRANZO E' SERVITO",2008,114630,0
"III","G","CiEffe Srl","""METTI LE MANI IN PASTA"": CORSO PER PIZZAIOLO",2008,114804,0
"III","G","ISTITUTO DI ISTRUZIONE I.P.S.C.T. ""DON MILANI"" E ISTITUTO D'ARTE DEPERO","PRIMA ESPERIENZA LAVORATIVA",2008,26020,0
"III","G","FORMA EUROPA S.R.L.","""Laboratorio attivo""",2008,56392,0
"III","G","ASSOCIAZIONE UBALDA BETTINI GIRELLA O.N.L.U.S.","Apprendimento in situazione nell'ambito delle autoriparazioni",2008,41986,0
"III","G","ASSOCIAZIONE UBALDA BETTINI GIRELLA O.N.L.U.S.","Apprendimento in situazione nell'ambito delle vendite",2008,41986,0
"III","G","CON.SOLIDA.societﾈ cooperativa sociale","CRESCITA - ADDETTO ALLE VENDITE",2008,43019,0
"III","G","CON.SOLIDA.societﾈ cooperativa sociale","CRESCITA - ADDETTO ALLA SANIFICAZIONE (TRENTO)",2008,14050,0
"III","G","CON.SOLIDA.societﾈ cooperativa sociale","CRESCITA - BENESSERE ATTRAVERSO LA CURA DELLA PERSONA (ROVERETO)",2008,14050,0
"III","G","CON.SOLIDA.societﾈ cooperativa sociale","CRESCITA - OPERATRICE DELLA RISTORAZIONE (ROVERETO)",2008,14050,0
"III","G","CENTRO FORMAZIONE PROFESSIONALE G. VERONESI","Orti e giardini",2008,53544,0
"III","G","ASSOCIAZIONE SAN PATRIGNANO SCUOLA E FORMAZIONE","Corso di formazione professionale per telaista artigianale di biciclette ad alto contenuto tecnologi...",2008,19800,0
"III","G","ASSOCIAZIONE SAN PATRIGNANO SCUOLA E FORMAZIONE","Corso di formazione professionale per operatore del legno e dell'arredamento",2008,22852,0
"III","G","FORMAZIONE S.P.A. - SOCIET?ﾀ CONSORTILE","ADDETTO ALLA LAVORAZIONE AGRICOLA E ALLA MANUTENZIONE DEL VERDE",2008,16577,0
"III","G","FORMAZIONE S.P.A. - SOCIET?ﾀ CONSORTILE","CUOCO SPECIALIZZATO NELLA RISTORAZIONE",2008,43528,0
"III","G","ASSOCIAZIONE SAN PATRIGNANO SCUOLA E FORMAZIONE","Addetto alla preparazione pasti e prodotti di pasticceria e panificazione",2008,27210,0
"III","G","ASSOCIAZIONE SAN PATRIGNANO SCUOLA E FORMAZIONE","Corso di formazione professionale per fabbro specializzato nella lavorazione artistica dei metalli",2008,15913,0
"III","G","ISTITUTO DI ISTRUZIONE I.P.S.C.T. ""DON MILANI"" E ISTITUTO D'ARTE DEPERO","SINTESI TEATRALE DI UN'ATTIVITA' DIDATTICA SVOLTA CON METODOLOGIE INNOVATIVE PER L'INTEGRAZIONE",2008,15389,0
"III","G","ISTITUTO DI ISTRUZIONE I.P.S.C.T. ""DON MILANI"" E ISTITUTO D'ARTE DEPERO","PERCORSI INDIVIDUALIZZATI DI INSERIMENTO IN SITUAZIONI REALI DI LAVORO PROTETTO",2008,21208,0
"III","G","OXFORD CIVEZZANO Societﾈ cooperativa","Progetto RI.E.SCO - competenze linguistiche - primo quadrimestre",2008,7439,0
"III","G","CASA MADRE DELL'ISTITUTO DELLE FIGLIE DELLA CARITA' CANOSSIANE","F.I.O.RE.",2008,20652,0
"III","G","CASA MADRE DELL'ISTITUTO DELLE FIGLIE DELLA CARITA' CANOSSIANE","F.I.O.RE.-Mondo",2008,20652,0
"III","G","""L'ANCORA""COOPERATIVA DI SOLIDARIET?ﾀ SOCIALE","il laboratorio per l'apprendere",2008,12883,0
"III","G","""L'ANCORA""COOPERATIVA DI SOLIDARIET?ﾀ SOCIALE","Ragazzi e formazione professionale",2008,10243,0
"III","G","OXFORD CIVEZZANO Societﾈ cooperativa","PROGETTO RI.E.SCO. - Primo Quadrimestre - Competenze matematiche",2008,7319,0
"III","G","OXFORD CIVEZZANO Societﾈ cooperativa","PROGETTO RI.E.SCO. - Secondo Quadrimestre - Competenze linguistiche",2008,5578,0
"III","G","OXFORD CIVEZZANO Societﾈ cooperativa","PROGETTO RI.E.SCO. - Secondo Quadrimestre - Competenze matematiche",2008,5458,0
"III","G","ISTITUTO PROFESSIONALE PER I SERVIZI COMMERCIALI E TURISTICI ""LIVIA BATTISTI""","INSERIMENTO NEL MONDO DEL LAVORO E PARI OPPORTUNITA' DELLE CATEGORIE DEBOLI",2008,16612,0
"III","G","ISTITUTO PROFESSIONALE PER I SERVIZI COMMERCIALI E TURISTICI ""LIVIA BATTISTI""","INDIVIDUAZIONE E SVILUPPO DI ABILITA' PER UN MIRATO INSERIMENTO LAVORATIVO DI UN'ALUNNA CON DISABILI...",2008,15446,0
"III","G","COLLEGIO ARCIVESCOVILE ""CELESTINO ENDRICI""","Il laboratorio di cucina",2008,27247,0
"III","G","SAMUELE SOCIET?ﾀ COOPERATIVA SOCIALE","Ventaglio",2008,22446,0
"III","G","ISTITUTO TECNICO INDUSTRIALE ""G.MARCONI""","La sfida dell'apprendimento difficoltoso al biennio",2008,22924,0
"III","G","ISTITUTO TECNICO INDUSTRIALE ""G.MARCONI""","La sfida dell'apprendimento difficoltoso al triennio",2008,22624,0
"III","G","CENTRO FORMAZIONE PROFESSIONALE - UNIVERSITA' POPOLARE TRENTINA","Progetto di sviluppo delle funzioni cognitive col ""Metodo Feuerstein""",2008,10639,0
"III","G","ISTITUTO DI ISTRUZIONE I.P.S.C.T. ""DON MILANI"" E ISTITUTO D'ARTE DEPERO","LABORATORIO TEATRALE INTEGRATO",2008,31832,0
"III","G","ISTITUTO DI ISTRUZIONE ""MARIE CURIE""","L'apprendimento operativo: percorso di formazione per facilitare l'ingresso nel mondo del lavoro",2008,23232,0
"III","G","ISTITUTO COMPRENSIVO LADINO DI FASSA","Strategie per l'inclusione di soggetti con DSA",2008,12488,0
"III","G","ISTITUTO DI ISTRUZIONE I.P.S.C.T. ""DON MILANI"" E ISTITUTO D'ARTE DEPERO","LE ATTIVITA' ESPRESSIVE COME VEICOLO DI INTEGRAZIONE E APPRENDIMENTO",2008,14621,0
"III","G","ISTITUTO DI ISTRUZIONE I.P.S.C.T. ""DON MILANI"" E ISTITUTO D'ARTE DEPERO","LE MILLE E UNA NOTTE DEL FELTRO",2008,16572,0
"III","G","ISTITUTO DI ISTRUZIONE I.P.S.C.T. ""DON MILANI"" E ISTITUTO D'ARTE DEPERO","INTEGRAZIONE NELLA SCUOLA E TRA SCUOLE: LA COSTRUZIONE DI UN GIORNALINO",2008,21474,0
"III","G","ISTITUTO DI ISTRUZIONE I.P.S.C.T. ""DON MILANI"" E ISTITUTO D'ARTE DEPERO","LA MUSICA E LA DANZA: SPAZIO E TEMPO PRIVILEGIATI",2008,16804,0
"III","G","ISTITUTO DI ISTRUZIONE I.P.S.C.T. ""DON MILANI"" E ISTITUTO D'ARTE DEPERO","AUSILI E TECNICHE DI LETTO/SCRITTURA PER ALUNNI CON DIFFICOLTA' DI APPRENDIMENTO",2008,13245,0
"III","G","ISTITUTO DI ISTRUZIONE I.P.S.C.T. ""DON MILANI"" E ISTITUTO D'ARTE DEPERO","L'INFORMATICA SUPPORTO AI PROCESSI DI APPRENDIMENTO",2008,11554,0
"IV","H","ISTITUTO PAVONIANO ARTIGIANELLI","Integrazione Grafica - sezione A",2008,17784,0
"IV","H","ISTITUTO DI ISTRUZIONE I.P.S.C.T. ""DON MILANI"" E ISTITUTO D'ARTE DEPERO","DALLA FORMAZIONE ALL'ISTRUZIONE: CORSO DI RACCORDO E ACCOMPAGNAMENTO",2008,28075,0
"IV","H","ISTITUTO DI ISTRUZIONE I.P.S.C.T. ""DON MILANI"" E ISTITUTO D'ARTE DEPERO","DALLA FORMAZIONE PROFESSIONALE AL DIPLOMA DI QUALIFICA STATALE",2008,26255,0
"IV","H","ISTITUTO PROFESSIONALE PER I SERVIZI COMMERCIALI E TURISTICI ""LIVIA BATTISTI""","PROGETTO DI RACCORDO IPSCT ""L. BATTISTI""-CFP UPT SEDE DI TRENTO - A.S.2008/2009",2008,17419,0
"IV","H","ISTITUTO DI ISTRUZIONE ""MARTINO MARTINI""","Percorso di raccordo tra formazione professionale e istruzione secondaria superiore indirizzo alber...",2008,20002,0
"IV","H","ISTITUTO DI ISTRUZIONE ""MARTINO MARTINI""","Percorso di raccordo tra post qualifica della formazione professionale e istruzione secondaria sup...",2008,11506,0
"IV","H","ISTITUTO DI ISTRUZIONE ""MARTINO MARTINI""","Percorso di raccordo tra formazione professionale e istruzione secondaria superiore indirizzo alber...",2008,22046,0
"IV","H","ISTITUTO DI ISTRUZIONE ""MARTINO MARTINI""","Percorso di raccordo tra post qualifica della formazione professionale e istruzione secondaria sup...",2008,12530,0
"IV","H","ISTITUTO DI ISTRUZIONE ""MARTINO MARTINI""","Progetto di raccordo tra CFP-UPT e Istituto ""M. Martini"" - per iniziativa formativa verso ...",2008,12562,0
"IV","H","ISTITUTO DI ISTRUZIONE I.P.S.C.T. ""DON MILANI"" E ISTITUTO D'ARTE DEPERO","DALLA QUARTA UPT ALL'ESAME DI STATO: CORSO DI ACCOMPAGNAMENTO",2008,27098,0
"IV","H","ISTITUTO DI ISTRUZIONE I.P.S.C.T. ""DON MILANI"" E ISTITUTO D'ARTE DEPERO","DALLA TERZA UPT AL QUARTO ANNO DELL'ISTRUZIONE",2008,24550,0
"IV","H","ISTITUTO PAVONIANO ARTIGIANELLI","Integrazione Grafica - sezione B",2008,17784,0
"IV","H","ISTITUTO DI ISTRUZIONE ""MARIE CURIE""","Raccordo tra IPSCT di Levico Terme ed ENAIP",2008,28847,0
"IV","H","ISTITUTO DI ISTRUZIONE ""MARTINO MARTINI""","Piano di formazione integrativa ad indirizzo turistico-aziendale fra UPT-CFP e Istituto ""Martin...",2008,19484,0
"IV","H","ASSOFORM TRENTINA","Licenza anch'io",2008,45075,0
"IV","H","CASA MADRE DELL'ISTITUTO DELLE FIGLIE DELLA CARITA' CANOSSIANE","""SLIDING DOORS"": ACCOMPAGNAMENTO ALL'ESAME DI IDONEITA' AL V ANNO DELL'IPSCT LIVIA BATTIST...",2008,24607,0
"IV","H","ASSOFORM TRENTINA","RAFFORZAMENTO DELLE COMPETENZE COGNITIVE E TECNICO-PROFESSIONALI",2008,30430,0
"IV","H","ASSOFORM TRENTINA","dal C.F.P. all'I.T.I",2008,33648,0
"IV","H","ISTITUTO PAVONIANO ARTIGIANELLI","Raccordo con l'istruzione",2008,11806,0
"IV","H","ISTITUTO DI ISTRUZIONE I.P.S.C.T. ""DON MILANI"" E ISTITUTO D'ARTE DEPERO","CORSO DI RACCORDO PER IL PASSAGGIO DALLA FORMAZIONE ALL'ISTRUZIONE PROFESSIONALE",2008,26566,0
"IV","H","ASSOFORM TRENTINA","Dalla Formazione Professionale al Liceo delle Scienze Sociali",2008,49610,0
"IV","H","ISTITUTO PROFESSIONALE PER I SERVIZI COMMERCIALI E TURISTICI ""LIVIA BATTISTI""","PROGETTO DI INTEGRAZIONE IPSCT ""LIVIA BATTISTI"" - CFP ""CENTROMODA CANOSSA"" - A.S...",2008,20344,0
"IV","H","ISTITUTO DI ISTRUZIONE I.P.S.C.T. ""DON MILANI"" E ISTITUTO D'ARTE DEPERO","DALLA FORMAZIONE ALL'ESAME DI STATO: CORSO DI RACCORDO E ACCOMPAGNAMENTO",2008,22874,0
"IV","H","COMPUTER LEARNING","Progetto per l'attuazione di modelli didattici multidisciplinari con le Lavagne Interattive e le nuo...",2008,7453,0
"IV","H","I.T.I. ""M. BUONARROTI""","ICT AL SERVIZIO DELLA DIDATTICA",2008,10087,0
"IV","H","COMPUTER LEARNING","Comunicare ed insegnare in classe con la lavagna interattiva multimediale",2008,4632,0
"IV","H","COMPUTER LEARNING","Didattica digitale e lavagne interattive: strumenti per la didattica in classe",2008,4864,0
"IV","H","COMPUTER LEARNING","INNOVAZIONE TECNOLOGICA NELLA DIDATTICA DELLA SCUOLA E DELLA FORMAZIONE PROFESSIONALE",2008,7180,0
"IV","H","COMPUTER LEARNING","La lavagna interattiva multimediale strumento per la proiezione e la manipolazione di contenuti digi...",2008,4853,0
"IV","H","COLLEGIO ARCIVESCOVILE ""CELESTINO ENDRICI""","WIKICAMPUS ""social networking and peer teaching for school innovation"": ambiente di collab...",2008,7424,0
"IV","H","ISTITUTO TECNICO COMMERCIALE E PER GEOMETRI ""F. E G. FONTANA""","La tecnologia della LIM nella didattica della scuola.",2008,8740,0
"IV","H","ISTITUTO DI ISTRUZIONE ""FABIO FILZI""","AVAC: apprendimento efficace",2008,10287,0
"IV","H","COMPUTER LEARNING","I nuovi linguaggi della comunicazione: progetto per utilizzare con efficacia le potenzialitﾈ comunic...",2008,4728,0
"IV","H","LICEO BERTRAND RUSSELL - CLES","L'NNOVAZIONE TECNOLOGICA NELL'INSEGNAMENTO DELLE MATERIE UMANISTICHE",2008,7372,0
"IV","H","ASSOFORM TRENTINA","L'innovazione tecnologica nella didattica della scuola e della formazione professionale.",2008,10865,0
"IV","H","LICEO BERTRAND RUSSELL - CLES","INNOVAZIONE TECNOLOGICA NELLO INSEGNAMENTO DELLE MATERIE SCIENTIFICHE",2008,7163,0
"IV","H","ISTITUTO TECNICO COMMERCIALE E PER GEOMETRI ""C.A.PILATI""","Utilizzo della lavagna interattiva multimediale nella didattica ordinaria e sperimentazione dei conn...",2008,9967,0
"IV","H","ISTITUTO TECNICO INDUSTRIALE ""G.MARCONI""","Tecnologie e strumenti compensativi per i Bisogni Educativi Speciali",2008,10828,0
"IV","H","LICEO ""ANDREA MAFFEI""","E-discere per ediscere:l'innovazione tecnologica per un apprendimento efficace",2008,5520,0
"IV","H","ASSOFORM TRENTINA","WIKISCHOOL ""social networking and peer teaching for school innovation"": costruire un ambi...",2008,9722,0
"IV","H","LICEO ""ANDREA MAFFEI""","Progettare innovazione didattica con la LIM",2008,5746,0
"IV","H","ISTITUTO DI ISTRUZIONE I.P.S.C.T. ""DON MILANI"" E ISTITUTO D'ARTE DEPERO","SCELTA PONDERATA DEL PROPRIO FUTURO PROFESSIONALE",2008,17487,0
"IV","H","OXFORD CIVEZZANO Societﾈ cooperativa","ORIENTAMENTO POST DIPLOMA TURISTICO",2008,4214,0
"IV","H","LICEO SCIENTIFICO ""GALILEO GALILEI""","Orientamento e mondo del lavoro",2008,794000,0
"IV","H","ISTITUTO DI ISTRUZIONE ""ANTONIO ROSMINI"" - TRENTO","IL PERCORSO ORIENTAMAT",2008,4698,0
"IV","H","ISTITUTO TECNICO INDUSTRIALE ""G.MARCONI""","Percorso di autovalutazione e orientamento",2008,2886,0
"IV","H","ISTITUTO DI ISTRUZIONE ""FABIO FILZI""","Orientativa-mente",2008,9528,0
"IV","H","COLLEGIO ARCIVESCOVILE ""CELESTINO ENDRICI""","Orientamat",2008,8872,0
"IV","H","ISTITUTO DI ISTRUZIONE ""FABIO FILZI""","Orientare le conoscenze",2008,10417,0
"IV","H","I.T.I. ""M. BUONARROTI""","LA CRITTOGRAFIA A SERVIZIO DELL'ORIENTAMENTO",2008,5359,0
"IV","H","ISTITUTO TECNICO INDUSTRIALE ""G.MARCONI""","Percorso di autovalutazione e orientamento per le classi quinte del Liceo scientifico tecnologico",2008,2800,0
"IV","H","LICEO SCIENTIFICO ""GALILEO GALILEI""","Orientamento e mondo del lavoro - classe 5B",2008,794000,0
"IV","H","LICEO SCIENTIFICO ""GALILEO GALILEI""","Orientamento e mondo del lavoro - classe 5C",2008,794000,0
"IV","H","LICEO SCIENTIFICO ""GALILEO GALILEI""","Orientamento e mondo del lavoro - classe 5D",2008,734000,0
"IV","H","LICEO SCIENTIFICO ""GALILEO GALILEI""","Orientamento e mondo del lavoro - classe 5E",2008,794000,0
"IV","H","LICEO SCIENTIFICO ""GALILEO GALILEI""","Orientamento e mondo del lavoro - classe 5F",2008,794000,0
"IV","H","ISTITUTO TECNICO INDUSTRIALE ""G.MARCONI""","Percorso di autovalutazione e orientamento, rivisitazione critica delle conoscenze e dei prerequisit...",2008,3204,0
"IV","H","LICEO SCIENTIFICO ""GALILEO GALILEI""","Orientamento e mondo del lavoro - classe 5G",2008,794000,0
"IV","H","ISTITUTO DI ISTRUZIONE La rosa bianca - weisse Rose","CASSIOPEA",2008,21018,0
"IV","H","LICEO SCIENTIFICO ""GALILEO GALILEI""","Orientamento e mondo del lavoro - classe 5H",2008,794000,0
"IV","H","LICEO SCIENTIFICO ""GALILEO GALILEI""","Orientamento e mondo del lavoro - classe 5I",2008,794000,0
"IV","H","LICEO SCIENTIFICO ""GALILEO GALILEI""","Orientamento e mondo del lavoro - classe 5L",2008,794000,0
"IV","H","LICEO SCIENTIFICO ""GALILEO GALILEI""","Orientamento e mondo del lavoro - classe 4A",2008,794000,0
