Projektin nimi,Ohjelma / osio,Tl,Viranomainen,Toiminnan tila,Aloituspvm,Päättymispvm,Toteuttajan nimi,Myönnetty EU-rahoitus,Toteutunut EU-rahoitus,Myönnetty valtion rahoitus,Toteutunut valtion rahoitus,Suunniteltu julkinen rahoitus yhteensä,Toteutunut julkinen rahoitus yhteensä
"Rakennus-ja kiinteistöklusterin koulutuksen ja yhteistoiminnan kehittämisen uudet ratkaisut (KIRAKE-projekti), PROTEK",Riksomfattande delen,1,"Närings-, trafik- och miljöcentralen i Sydöstra Finland",Verksamhet pågår,1.4.2008,30.4.2010,RT/Talonrakennusteollisuuden Lahti-Kymen Piiri ry,300 000,219 200,450 000,328 800,750 000,548 000
InnoSteel MetalOske (Metallialan osaamisen ja osaajien kehittäminen huomioiden uuden teknologian mahdollisuudet/vaatimukset),Riksomfattande delen,1,"Närings-, trafik- och miljöcentralen i Tavastland",Verksamhet pågår,1.5.2008,31.12.2011,Innosteel Factory Oy,439 200,141 478,441 800,143 204,1 530 000,423 182
Oulun seudun välityömarkkinat -toteutus ja toimeenpanovaihe,Riksomfattande delen,2,"Närings-, trafik- och miljöcentralen i Norra Österbotten",Verksamhet pågår,6.5.2008,31.12.2010,Oulun kaupunki,165 752,49 433,186 912,49 433,542 310,123 583
"EMMA -Pilottihanke (Eurooppalaisen yhteistyön lisäminen työvoima-, koulutus- ja elinkeinopolitiikkaan edistämällä työperusteista maahanmuuttoa)",Riksomfattande delen,4,"Närings-, trafik- och miljöcentralen i Sydöstra Finland",Verksamhet pågår,1.4.2008,31.3.2010,Kotkan kaupunki,80 000,57 680,120 000,86 520,200 000,144 200
MINFO - Maahanmuuttajien alkuvaiheen ohjauksen ja neuvonnan kehittäminen Kaakkois-Suomessa,Riksomfattande delen,2,"Närings-, trafik- och miljöcentralen i Sydöstra Finland",Verksamhet pågår,1.4.2008,31.3.2010,Kotkan kaupunki,244 800,177 873,367 200,266 810,612 000,444 683
Virina - naisia teknologiateollisuuteen,Riksomfattande delen,2,"Närings-, trafik- och miljöcentralen i Birkaland",Verksamhet pågår,1.5.2008,30.6.2011,Tampellan Teollisuusoppilaitos Oy,118 860,46 381,128 290,51 411,354 450,111 125
Pro Labour,Riksomfattande delen,4,"Närings-, trafik- och miljöcentralen i Birkaland",Verksamhet pågår,1.5.2008,30.6.2010,Vammalan Seudun Yrityspalvelu Oy,125 957,59 265,128 306,60 371,305 327,166 721
Varsinais-Suomalaisten yrityspalveluiden kehittämisprojekti - YPK,Riksomfattande delen,1,"Närings-, trafik- och miljöcentralen i Egentliga Finland",Verksamhet pågår,16.6.2007,31.12.2011,Yrityssalo Oy,171 800,84 069,150 300,73 535,959 500,211 067
Nyt tapahtuu- palvelutoimiala näkyväksi,Riksomfattande delen,1,"Närings-, trafik- och miljöcentralen i Tavastland",Verksamhet pågår,1.6.2008,31.12.2012,Sosiaalikehitys Oy,91 456,51 403,117 184,65 863,842 500,131 751
Vähän aikaa toimineille starttirahayrityksille suunnattu aktiivinen neuvontapalvelu Kaakkois-Suomessa,Riksomfattande delen,1,"Närings-, trafik- och miljöcentralen i Sydöstra Finland",Verksamhet pågår,2.4.2008,31.12.2010,Vise Consulting Ltd Oy,43 232,21 957,62 952,32 936,108 080,54 893
Hoiva-alan yrityksille suunnattu koulutus- ja neuvontapalvelu,Riksomfattande delen,1,"Närings-, trafik- och miljöcentralen i Sydöstra Finland",Verksamhet pågår,1.6.2008,30.6.2011,Aher Oy,51 274,20 762,76 911,31 143,128 185,51 905
Pitkäkestoinen koulutusohjelma yrityksen perustajille ja vähän aikaa yrittäjinä toimineille,Riksomfattande delen,1,"Närings-, trafik- och miljöcentralen i Sydöstra Finland",Verksamhet pågår,1.6.2008,30.6.2011,Aher Oy,34 142,12 246,51 205,18 370,85 347,30 616
Välke-projekti - Välityömarkkinoiden kehittäminen Tampereella,Riksomfattande delen,2,"Närings-, trafik- och miljöcentralen i Birkaland",Verksamhet pågår,1.4.2008,30.6.2011,Tampereen kaupunki,490 748,222 847,149 903,52 484,1 595 270,361 550
Osaamisesta kasvua - Kaakkois-Suomi,Riksomfattande delen,1,"Närings-, trafik- och miljöcentralen i Sydöstra Finland",Verksamhet pågår,1.6.2008,31.12.2013,Kaakkois-Suomen TE-keskus,365 706,21 448,412 294,24 175,1 767 000,45 623
NEO-SELMA Verkkopalvelut maahanmuuttajien ohjaus- ja neuvontapalvelujen tukena,Riksomfattande delen,2,"Närings-, trafik- och miljöcentralen i Nyland",Verksamhet pågår,1.1.2009,31.12.2010,Helsingin kaupunki,58 962,4 392,58 962,4 392,147 405,10 980
Verkonkutoja - Kehittämisverkostojen luominen verkostomanagerin koordinoimana,Riksomfattande delen,1,"Närings-, trafik- och miljöcentralen i Egentliga Finland",Verksamhet pågår,20.1.2009,31.12.2011,Turun ammattikorkeakoulu,40 980,11 071,51 270,13 851,303 725,31 214
Hymykuopat - esiselvitys hyvinvointipalveluiden monialaisista yhteistuotannoista,Riksomfattande delen,1,"Närings-, trafik- och miljöcentralen i Lappland",Verksamhet pågår,1.1.2009,30.6.2009,Salon kaupunki / Kulttuuritoimisto,8 369,4 619,9 438,5 209,21 750,11 562
ASKEL - askelia kohti työelämää,Riksomfattande delen,2,Social- och hälsovårdsministeriet,Verksamhet pågår,1.6.2008,31.5.2011,"Terveyden ja hyvinvoinnin laitos THL (entinen Stakes, 1.1.2009 alkaen THL)",156 591,68 711,182 770,80 198,820 320,162 683
Coping with Finns (COFI),Riksomfattande delen,4,"Närings-, trafik- och miljöcentralen i Nyland",Verksamhet pågår,1.9.2008,31.12.2010,"Ami-säätiö, Amiedu",275 868,13 396,371 571,18 089,689 670,34 485
Dynamo: lisää osaamista järjestöjen ja kuntien yhteistyöhön - esiselvityshanke,Riksomfattande delen,1,"Närings-, trafik- och miljöcentralen i Lappland",Verksamhet pågår,1.12.2008,31.5.2009,Nuorten Akatemia ry,9 987,9 987,11 263,11 263,21 250,21 250
PÄTÄKKÄ,Riksomfattande delen,1,"Närings-, trafik- och miljöcentralen i Nyland",Verksamhet pågår,1.10.2008,31.12.2010,"Innofocus, Länsi-Uudenmaan aikuiskoulutuskeskus",89 158,11 481,112 647,14 506,394 708,25 987
Sujuvasti suomalaiseen työelämään,Riksomfattande delen,4,"Närings-, trafik- och miljöcentralen i Nyland",Verksamhet pågår,15.11.2008,31.12.2010,Seure Henkilöstöpalvelut Oy,111 672,11 719,97 714,10 254,279 180,37 657
"Opin Ovi, Hämeen TE-keskus",Riksomfattande delen,3,"Närings-, trafik- och miljöcentralen i Tavastland",Verksamhet pågår,1.10.2008,31.12.2011,Hämeen työvoima- ja elinkeinokeskus,59 300,22 492,88 950,33 738,384 700,56 230
Protek - yhteishankintakoulutuksen ja yrityspalvelujen edistäminen,Riksomfattande delen,1,"Närings-, trafik- och miljöcentralen i Tavastland",Verksamhet pågår,1.11.2008,31.5.2011,Hämeen TE-keskus,32 440,14 281,48 660,21 422,154 400,35 703
Mosaiikki,Riksomfattande delen,2,"Närings-, trafik- och miljöcentralen i Nyland",Verksamhet pågår,1.10.2008,31.12.2010,Hyria koulutus Oy,71 444,5 875,80 066,6 584,350 260,12 459
GATEWAY - Työperusteisen maahanmuuton edistäminen,Riksomfattande delen,4,"Närings-, trafik- och miljöcentralen i Nyland",Verksamhet pågår,1.10.2008,31.12.2010,Länsi-Uudenmaan ammattikoulutuskuntayhtymä / Innofocus,391 466,18 053,449 560,22 906,1 290 395,40 959
Pro-Paja,Riksomfattande delen,2,"Närings-, trafik- och miljöcentralen i Nyland",Verksamhet pågår,1.11.2008,31.12.2010,Itä-Uudenmaan koulutuskuntayhtymä/Edupoli,138 932,4 321,150 139,4 616,450 569,8 937
Itsenäisten ammatinharjoittajien mentorointi,Riksomfattande delen,1,"Närings-, trafik- och miljöcentralen i Nyland",Verksamhet pågår,1.12.2008,31.12.2010,Akavan Erityisalat ry,15 827,6 497,23 741,9 746,93 508,16 243
KOPA-projekti,Riksomfattande delen,2,"Närings-, trafik- och miljöcentralen i Nyland",Verksamhet pågår,1.12.2008,31.12.2010,Asumispalvelusäätiö ASPA,117 699,8 837,176 549,13 256,366 551,22 093
Verkostoveturi,Riksomfattande delen,1,"Närings-, trafik- och miljöcentralen i Nyland",Verksamhet pågår,1.11.2008,31.3.2010,Teknologiateollisuus ry,38 000,1 807,57 000,2 710,124 000,4 517
Way,Riksomfattande delen,2,"Närings-, trafik- och miljöcentralen i Nyland",Verksamhet pågår,1.11.2008,31.12.2012,Hyvinkään kaupunki,193 436,11 367,217 614,12 788,2 204 681,28 418
PK-PRO,Riksomfattande delen,1,"Närings-, trafik- och miljöcentralen i Nyland",Verksamhet pågår,1.11.2008,31.12.2010,Länsi-Uudenmaan Yrityskeskus Oy,83 896,28 165,125 844,42 247,378 670,70 412
Vantaan Tarmo  - Työpajatoimintaa ja motivaatiota,Riksomfattande delen,2,"Närings-, trafik- och miljöcentralen i Nyland",Verksamhet pågår,1.11.2008,31.12.2010,"Vantaan kaupunki, Vapaa-ajan ja asukaspalvelujen tulosyksikkö",361 904,8 836,271 428,6 626,904 761,22 089
Aikuisohjausta paikallisesti,Riksomfattande delen,3,"Närings-, trafik- och miljöcentralen i Mellersta Finland",Verksamhet pågår,1.11.2008,31.10.2011,Jyväskylän koulutuskuntayhtymä,45 560,8 133,51 255,9 150,299 800,17 283
Onnistuvat opit - monialaisen yhteistyön juurruttamismalli nuorten tukemiseksi,Riksomfattande delen,2,"Närings-, trafik- och miljöcentralen i Lappland",Verksamhet pågår,1.1.2009,31.3.2011,Sosiaalikehitys Oy,300 200,41 852,350 300,48 836,1 722 000,93 918
TRAPPAN - TEMPUT,Riksomfattande delen,2,"Närings-, trafik- och miljöcentralen i Österbotten",Verksamhet pågår,1.8.2008,31.5.2011,Pohjanmaan TE- keskus,343 661,190 727,386 755,214 641,760 656,444 597
Hallinnollinen tekninen apu (ESR),Riksomfattande delen,5,Södra Österbottens förbund,Verksamhet pågår,2.1.2008,31.12.2013,Etelä-Pohjanmaan liitto,11 700,7 810,17 800,11 965,29 500,19 775
Terveyden edistämistä työpaikoille,Riksomfattande delen,1,Social- och hälsovårdsministeriet,Verksamhet pågår,1.9.2008,31.12.2011,Työterveyslaitos,195 470,71 247,286 706,104 075,1 236 540,178 197
ESR-koordinaatio Varsinais-Suomi,Riksomfattande delen,5,"Närings-, trafik- och miljöcentralen i Egentliga Finland",Verksamhet pågår,1.1.2008,31.12.2013,Varsinais-Suomen TE-keskus,196 400,57 235,284 600,85 852,1 121 000,143 087
Luova Suomi,Riksomfattande delen,1,"Närings-, trafik- och miljöcentralen i Tavastland",Verksamhet pågår,1.3.2008,31.3.2011,Teknillinen korkeakoulu,363 696,86 517,405 544,96 472,1 335 600,236 759
TOIMIALOJEN YHTEISET PELISÄÄNNÖT -HANKE,Riksomfattande delen,1,"Närings-, trafik- och miljöcentralen i Sydöstra Finland",Verksamhet pågår,1.1.2009,31.12.2011,Kouvola Innovation Oy,160 000,0,40 000,0,400 000,0
YLÖS - Ammattiteattereiden yleisötyön kehittäminen,Riksomfattande delen,1,"Närings-, trafik- och miljöcentralen i Tavastland",Verksamhet pågår,1.8.2008,31.12.2010,"Tampereen yliopisto, Tutkivan teatterityön keskus, Näyttelijäntyön laitos",95 487,23 950,106 078,26 106,511 349,50 056
UusiTaito - välityömarkkinoiden kautta avoimille työmarkkinoille,Riksomfattande delen,2,"Närings-, trafik- och miljöcentralen i Nyland",Verksamhet pågår,15.12.2008,31.12.2010,Uudenmaan TE-keskus,1 041 460,10 165,1 562 190,15 248,2 825 766,25 413
Protek Uusimaa,Riksomfattande delen,1,"Närings-, trafik- och miljöcentralen i Nyland",Verksamhet pågår,1.1.2009,31.12.2010,Uudenmaan TE-keskus,89 600,4 212,134 400,6 318,446 000,10 530
Tekninen tuki / Uudenmaan TE-keskus,Riksomfattande delen,5,"Närings-, trafik- och miljöcentralen i Nyland",Verksamhet pågår,1.1.2008,31.12.2013,Uudenmaan TE-keskus,293 000,131 346,437 000,195 899,730 000,327 245
Valmis tutkinto työelämävalttina,Riksomfattande delen,2,"Närings-, trafik- och miljöcentralen i Norra Österbotten",Verksamhet pågår,1.9.2008,31.12.2011,Oulun yliopisto,260 960,140 519,301 440,162 316,2 034 500,353 189
Keski-Suomen TE-keskuksen tekninen tuki (ESR) 2007 - 2013,Riksomfattande delen,5,"Närings-, trafik- och miljöcentralen i Mellersta Finland",Verksamhet pågår,1.1.2008,31.12.2013,Keski-Suomen TE-keskus,231 000,138 360,332 000,198 340,1 374 340,336 700
Viennin uudet horisontit,Riksomfattande delen,1,"Närings-, trafik- och miljöcentralen i Nyland",Verksamhet pågår,1.5.2008,31.12.2010,Uudenmaan TE-keskus,400 000,21 522,600 000,32 284,1 500 000,53 806
Osuustoiminnallinen yrittäminen ja yhteisötalous,Riksomfattande delen,1,Arbets- och näringsministeriet,Verksamhet pågår,1.7.2008,1.12.2013,"Työ- ja elinkeinoministeriö, Työvoima- ja yrityspalvelut ryhmä (jäljempänä myös: TYPA -ryhmä)",131 882,59 598,148 718,67 206,1 489 300,126 804
"Tervetuloa kotiin, Suupohjaan!",Riksomfattande delen,4,"Närings-, trafik- och miljöcentralen i Södra Österbotten",Verksamhet pågår,15.10.2008,14.10.2011,Suupohjan Elinkeinotoimen kuntayhtymä,51 367,26 527,56 502,29 179,256 837,69 820
Ulkomailta osaajaksi Keski-Suomeen,Riksomfattande delen,4,"Närings-, trafik- och miljöcentralen i Mellersta Finland",Verksamhet pågår,1.9.2008,31.12.2010,Jyväskylän koulutuskuntayhtymä,119 303,33 853,130 985,37 168,546 840,71 021
UraOvi,Riksomfattande delen,3,"Närings-, trafik- och miljöcentralen i Nyland",Verksamhet pågår,1.11.2008,31.12.2011,Länsi-Uudenmaan ammattikoulutuskuntayhtymä,0,0,0,0,644 961,0
Opinpolku,Riksomfattande delen,3,"Närings-, trafik- och miljöcentralen i Sydöstra Finland",Verksamhet pågår,1.8.2008,31.8.2011,Vaasan aikuiskoulutuskeskus,52 080,7 185,58 520,8 074,292 094,15 872
Suomen kielen opetukseen ohjaamisen kehittämisprojekti,Riksomfattande delen,2,"Närings-, trafik- och miljöcentralen i Nyland",Verksamhet pågår,2.1.2009,31.12.2010,Helsingin kaupunki,111 360,0,125 790,0,383 150,0
Protek: Yritysten Taitava Keski-Suomi,Riksomfattande delen,1,"Närings-, trafik- och miljöcentralen i Mellersta Finland",Verksamhet pågår,1.6.2008,31.12.2010,Keski-Suomen kauppakamari,168 690,80 268,187 692,89 310,655 933,185 706
Maahanmuuttajat suomalaisen yrittäjyyden lisäarvona - MASUUNI,Riksomfattande delen,1,"Närings-, trafik- och miljöcentralen i Nyland",Verksamhet pågår,1.10.2008,31.12.2010,Suomen Uusyrityskeskukset ry,89 900,3 571,134 851,5 357,425 984,8 928
Kotoraide - aikuisten maahanmuuttajien alkuvaiheen arviointi ja polutus,Riksomfattande delen,2,"Närings-, trafik- och miljöcentralen i Nyland",Verksamhet pågår,1.10.2008,31.12.2010,Adulta,168 116,4 821,220 414,6 491,420 290,14 587
Baltian ketju,Riksomfattande delen,4,"Närings-, trafik- och miljöcentralen i Nyland",Verksamhet pågår,1.12.2008,30.4.2010,Keski-Uudenmaan kehittämiskeskus Oy Forum,134 034,26 221,145 205,28 407,418 947,74 756
Attraktiivinen Suomi - terveydenhuollon osaajien liikkuvuuden edistäminen,Riksomfattande delen,4,"Närings-, trafik- och miljöcentralen i Nyland",Verksamhet pågår,1.11.2008,31.12.2010,"THL -Terveyden ja hyvinvoinnin laitos, omarahoitteinen kansainvälisten asiain yksikkö (KIVA)",246 963,70 543,183 602,52 638,814 715,123 181
Välityömarkkinoiden kehittämishanke Välke,Riksomfattande delen,2,"Närings-, trafik- och miljöcentralen i Tavastland",Verksamhet pågår,1.1.2009,30.6.2011,"Hämeen TE-keskus, työvoimaosasto",77 800,33 964,116 700,50 947,476 400,84 911
Yritysten Häme - seudullisen yrityspalveluverkoston koordinointihanke,Riksomfattande delen,1,"Närings-, trafik- och miljöcentralen i Tavastland",Verksamhet pågår,1.1.2009,30.6.2011,Hämeen TE-keskus,40 680,15 647,61 020,23 471,274 900,39 118
Vaikuttavuutta työpajayhteistyöhön,Riksomfattande delen,2,"Närings-, trafik- och miljöcentralen i Birkaland",Verksamhet pågår,1.8.2008,31.7.2011,Opetusalan koulutuskeskus Opeko,149 463,47 019,175 837,55 316,738 000,103 409
TAKO-projekti,Riksomfattande delen,1,"Närings-, trafik- och miljöcentralen i Nyland",Verksamhet pågår,1.1.2009,31.12.2010,Mäntsälän Yrityskehitys Oy,21 900,3 467,31 100,4 923,112 400,8 390
Liittyvä voima,Riksomfattande delen,3,"Närings-, trafik- och miljöcentralen i Birkaland",Verksamhet pågår,1.8.2008,31.7.2011,Metropolia Ammattikorkeakoulu Oy,204 831,93 007,155 031,70 395,1 229 880,170 138
Valtakunnallinen KOTTI-hanke,Riksomfattande delen,3,"Närings-, trafik- och miljöcentralen i Mellersta Finland",Verksamhet pågår,1.10.2008,31.12.2010,Keski-Suomen TE-keskus,480 800,230 395,668 300,320 243,2 200 000,550 638
Amipaja,Riksomfattande delen,2,"Närings-, trafik- och miljöcentralen i Nyland",Verksamhet pågår,1.1.2009,31.12.2010,Ami-säätiö,454 043,0,510 799,0,1 262 836,0
Get a life- tulevaisuussuuntautunut uraohjaus korkeakouluopiskelijoille,Riksomfattande delen,2,"Närings-, trafik- och miljöcentralen i Norra Österbotten",Verksamhet pågår,1.9.2008,31.12.2011,Turun kauppakorkeakoulu Tulevaisuuden tutkimuskeskus,99 397,55 244,111 095,61 746,777 250,124 425
"P-S ESR tekninen tuki 2007-2013, toimeenpano ja hallinnointi",Riksomfattande delen,5,Mellersta Österbottens förbund,Verksamhet pågår,1.1.2007,31.12.2013,Keski-Pohjanmaan liitto,43 460,5 333,62 540,7 675,106 000,13 008
"P-S ESR tekninen tuki 2007-2013, viestintä",Riksomfattande delen,5,Mellersta Österbottens förbund,Verksamhet pågår,1.1.2007,31.12.2013,Keski-Pohjanmaan liitto,6 540,1 062,8 460,1 427,15 000,2 489
Koulutusportti - Maahanmuuttajien alkuvaiheen ohjauksen kehittämishanke,Riksomfattande delen,2,"Närings-, trafik- och miljöcentralen i Nyland",Verksamhet pågår,1.1.2009,31.12.2010,Uudenmaan TE-keskus,795 340,37,1 193 010,55,2 350 600,92
Protek - Yrittäjät,Riksomfattande delen,1,"Närings-, trafik- och miljöcentralen i Mellersta Finland",Verksamhet pågår,1.6.2008,31.12.2010,Keski-Suomen Yrittäjät,53 600,23 564,56 806,24 973,212 300,54 004
ESR tekninen tuki 2007-2013,Riksomfattande delen,5,Södra Karelens förbund,Verksamhet pågår,1.1.2008,31.12.2013,Etelä-Karjalan liitto,9 000,0,13 500,0,22 500,0
Valtakunnallinen innovaatio- ja teknologiakasvatushanke - Teknokas,Riksomfattande delen,3,"Närings-, trafik- och miljöcentralen i Norra Österbotten",Verksamhet pågår,1.1.2008,31.12.2010,"Oulun yliopisto, Oulun Eteläisen instituutti",253 730,162 300,247 595,158 376,1 098 000,398 245
Pohjois-Pohjanmaan REKI-hanke (Reilua kierrätystä ja työtä sosiaalisissa yrityksissä),Riksomfattande delen,2,"Närings-, trafik- och miljöcentralen i Norra Österbotten",Verksamhet pågår,1.12.2008,30.11.2011,Nuorten Ystävät ry,86 706,29 263,96 711,32 640,427 014,73 214
"Aikuisopiskelun tieto-, neuvonta- ja ohjauspalveluiden kehittäminen",Riksomfattande delen,3,"Närings-, trafik- och miljöcentralen i Lappland",Verksamhet pågår,1.3.2009,31.7.2011,"Lapin TE-keskus, strategiat, ennakointi ja palveluverkoston ohjaus -yksikkö",35 294,11 195,39 706,12 594,231 000,23 789
Taide kohtaamisalustana sektorirajat ylittäville kulttuurisille innovaatioille (TAIKA),Riksomfattande delen,3,"Närings-, trafik- och miljöcentralen i Norra Österbotten",Verksamhet pågår,1.8.2008,31.5.2011,Helsingin yliopiston koulutus- ja kehittämiskeskus Palmenia,279 877,45 485,305 316,49 620,1 417 500,96 073
PK-raksaverkosto,Riksomfattande delen,1,"Närings-, trafik- och miljöcentralen i Nyland",Verksamhet pågår,1.11.2008,31.12.2010,Adulta Oy,99 900,7 006,113 589,7 966,470 826,18 854
"Osaamisesta kasvua -kehittämisohjelma, Keski-Suomi",Riksomfattande delen,1,"Närings-, trafik- och miljöcentralen i Mellersta Finland",Verksamhet pågår,1.9.2008,31.12.2011,Keski-Suomen ELY-keskus,203 900,73 673,303 100,109 516,510 000,183 189
VETO - Verkostojen Ennakoiva Työssä Oppiminen,Riksomfattande delen,1,"Närings-, trafik- och miljöcentralen i Nyland",Verksamhet pågår,25.9.2008,31.12.2010,Teknologiakeskus TechVilla Oy,108 474,14 487,162 711,21 731,587 305,36 218
Valtaväylä 2 - Highway 2,Riksomfattande delen,2,Social- och hälsovårdsministeriet,Verksamhet pågår,1.6.2008,31.5.2012,"Seinäjoen koulutuskuntayhtymä, Sosiaali-ja terveysalan yksikkö",73 580,36 472,74 949,37 151,514 500,85 401
Maaseudun muutosvalmennus ja Protek-verkostot,Riksomfattande delen,1,"Närings-, trafik- och miljöcentralen i Nyland",Verksamhet pågår,15.2.2009,31.12.2010,Maa- ja metsätaloustuottajain Keskusliitto MTK ry,88 026,0,132 038,0,268 028,0
TE-nelonen,Riksomfattande delen,4,"Närings-, trafik- och miljöcentralen i Mellersta Finland",Verksamhet pågår,1.8.2008,30.4.2010,Keski-Suomen TE-keskus / Jyväskylän työ- ja elinkeinotoimisto,32 000,15 571,48 000,23 357,80 000,38 928
KULTAHANKE,Riksomfattande delen,1,"Närings-, trafik- och miljöcentralen i Tavastland",Verksamhet pågår,1.1.2009,31.12.2011,Suomen Yrittäjäopisto,158 954,21 358,175 686,23 606,521 137,52 901
Järjestöosaajana työmarkkinoille,Riksomfattande delen,3,"Närings-, trafik- och miljöcentralen i Birkaland",Verksamhet pågår,1.9.2008,30.6.2012,"Suomen Humanistinen Ammattikorkeakoulu Oy, Humanistinen ammattikorkeakoulu",164 599,33 740,185 542,38 033,751 501,74 018
Lapin aloittavien yrittäjien ja pk-yritysten liiketoimintaosaamisen kehittämisohjelma (APAKE),Riksomfattande delen,1,"Närings-, trafik- och miljöcentralen i Lappland",Verksamhet pågår,1.1.2009,31.12.2013,Lapin työ- ja elinkeinokeskus,141 000,11 029,159 000,12 437,700 000,23 466
PATE - Pitkäaikaistyöttömien aktivointi työelämään,Riksomfattande delen,2,"Närings-, trafik- och miljöcentralen i Norra Österbotten",Verksamhet pågår,1.4.2009,31.1.2012,Haapajärven kaupunki,135 116,17 398,152 364,19 618,573 900,46 270
PATE - Pitkäaikaistyöttömien aktivointi työelämään - TYÖVOIMAPOLIITTISET TOIMENPITEET,Riksomfattande delen,2,"Närings-, trafik- och miljöcentralen i Norra Österbotten",Verksamhet pågår,1.4.2009,31.1.2012,Pohjois-Pohjanmaan TE - keskus,55 084,0,62 116,0,372 050,0
SILLANRAKENTAJAT - luovien alojen agenttien ja vientiammattilaisten valmennusohjelma,Riksomfattande delen,1,"Närings-, trafik- och miljöcentralen i Tavastland",Verksamhet pågår,1.1.2009,31.12.2011,Adulta Oy,288 890,18 383,309 168,19 673,968 985,46 374
"Tekninen tuki 2007-2013, Kaakkois-Suomi",Riksomfattande delen,5,"Närings-, trafik- och miljöcentralen i Sydöstra Finland",Verksamhet pågår,1.1.2007,31.12.2013,Kaakkois-Suomen TE-keskus,139 480,47 466,199 520,67 674,995 000,115 140
Lapin seudulliset yrityspalvelut; hallinnointi ja koordinointi,Riksomfattande delen,1,"Närings-, trafik- och miljöcentralen i Lappland",Verksamhet pågår,1.5.2008,31.12.2013,Lapin TE-keskus,141 179,54 904,158 821,61 764,1 028 000,116 668
KOLMAS LÄHDE,Riksomfattande delen,1,"Närings-, trafik- och miljöcentralen i Lappland",Verksamhet pågår,4.2.2008,31.12.2010,"Teatterikorkeakoulu, koulutus- ja kehittämispalvelut",375 812,108 197,423 788,122 010,1 216 800,230 207
Tekninen tuki ESR 07-13,Riksomfattande delen,5,Tavastlands förbund,Verksamhet pågår,1.1.2008,31.12.2013,Hämeen liitto,8 000,1 252,12 000,1 878,20 000,3 130
"ESR tekninen tuki, toimeenpano ja hallinnointi, OLH STO",Riksomfattande delen,5,"Närings-, trafik- och miljöcentralen i Norra Österbotten",Verksamhet pågår,1.1.2007,31.12.2009,"Oulun lääninhallitus, sosiaali- ja terveysosasto",38 240,28 255,55 760,37 770,94 000,66 025
Satakunnan TE-keskuksen tekninen tuki (ESR) 2007 - 2013,Riksomfattande delen,5,"Närings-, trafik- och miljöcentralen i Satakunta",Verksamhet pågår,1.1.2008,31.12.2013,Satakunnan TE-keskus,163 800,100 020,234 200,143 778,911 000,243 798
Satakunnan TE-keskuksen tekninen tuki (ESR) 2007 - 2013,Riksomfattande delen,5,"Närings-, trafik- och miljöcentralen i Satakunta",Verksamhet pågår,1.1.2008,31.12.2013,Satakunnan TE-keskus,8 200,3 608,11 800,5 192,60 000,8 800
"Hämeen TE-keskuksen tekninen tuki, koordinaatio",Riksomfattande delen,5,"Närings-, trafik- och miljöcentralen i Tavastland",Verksamhet pågår,1.1.2007,31.12.2013,Hämeen TE-keskus,282 372,135 618,403 747,192 682,588 000,328 300
"Hämeen TE-keskuksen tekninen tuki, muut",Riksomfattande delen,5,"Närings-, trafik- och miljöcentralen i Tavastland",Verksamhet pågår,1.1.2007,31.12.2013,Hämeen TE-keskus,27 628,14 574,39 253,20 707,104 881,35 281
"Tekninen tuki ESR, toimeenpano/hallinnointi",Riksomfattande delen,5,Kymmenedalens förbund,Verksamhet pågår,1.1.2007,31.12.2013,Kymenlaakson Liitto,12 000,0,18 000,0,30 000,0
"Tekninen tuki ESR, tiedotus ja viestintä",Riksomfattande delen,5,Kymmenedalens förbund,Verksamhet pågår,1.1.2007,31.12.2013,Kymenlaakson Liitto,4 000,0,6 000,0,10 000,0
Keski-Suomen liiton ESR:n tekninen tuki 2007 - 2013,Riksomfattande delen,5,Mellersta Finlands förbund,Verksamhet pågår,3.1.2008,31.12.2013,Keski-Suomen liitto,10 700,8 668,16 300,13 341,27 000,22 009
"ESR tekninen tuki, tiedotus ja viestintä, OLH STO",Riksomfattande delen,5,"Närings-, trafik- och miljöcentralen i Norra Österbotten",Verksamhet pågår,1.1.2007,31.12.2009,"Oulun lääninhallitus, sosiaali- ja terveysosasto",4 760,0,7 240,0,12 000,0
Pohjanmaan TE-keskus Tekninen tuki - Tiedotus ja viestintä,Riksomfattande delen,5,"Närings-, trafik- och miljöcentralen i Österbotten",Verksamhet pågår,1.1.2007,31.12.2013,Pohjanmaan TE-keskus,1 643,0,2 357,0,4 000,0
Manner-Suomen ESR-ohjelman tietohallinto (pl. Itä-Suomi),Riksomfattande delen,5,Arbets- och näringsministeriet,Verksamhet pågår,1.1.2008,31.12.2013,Työ- ja elinkeinoministeriö,369 002,177 981,595 998,315 596,2 323 851,493 577
Satakuntaliiton tekninen tuki ESR 2007-2013,Riksomfattande delen,5,Satakundaförbundet,Verksamhet pågår,1.1.2007,31.12.2013,Satakuntaliitto,11 200,1 658,15 800,2 321,63 000,3 979
ESR-koordinaatio Pohjois-Pohjanmaalla,Riksomfattande delen,5,"Närings-, trafik- och miljöcentralen i Norra Österbotten",Verksamhet pågår,1.1.2007,31.12.2013,Pohjois-Pohjanmaan TE-keskus,322 550,153 607,460 450,219 510,783 000,373 117
TRAPPAN - Portaittain töihin välityömarkkinoiden kautta,Riksomfattande delen,2,"Närings-, trafik- och miljöcentralen i Österbotten",Verksamhet pågår,1.8.2008,31.5.2011,Kokkotyö-säätiö,142 642,83 493,160 528,93 963,913 584,238 658
