Goedgekeurde EFRO-projecten Doelstelling 2 ‘Regionaal Concurrentievermogen en Werkgelegenheid’ 2007-2013,,,,,,,
Projectnaam,Promotor,,EFRO,Totale kost,EFRO-%,Startdatum,Einddatum
GameHUB,Provinciale Hogeschool Limburg,"Het project GameHUB van de Provinciale Hogeschool Limburg beoogt de valorisatie van bestaande kennis op het vlak van de ontwikkeling van games en wil (startende) KMO's de nodige kennistools bieden om vernieuwende producten en/of diensten met economische meerwaarde te ontwikkelen. Het project focust op drie primaire doelstellingen: kennisdiffusie, kennistoepassing en kennisverwerking. ","505,967.00","1,264,917.50",40.00%,1/1/10,12/31/12
Mobiele pilootopstellingen voor waterbehandeling,Katholieke Hogeschool Brugge-Oostende,KaHo West-Vlaanderen beoogt met het project Mobiele pilootopstellingen voor waterbehandeling moderne waterbehandelingstechnieken mobiel in te zetten bij KMO’s en land- en tuinbouwbedrijven. Verscheidene technieken en combinaties kunnen zo gedurende een korte periode getest worden op maat van de deelnemende bedrijven. Nadien worden deze bedrijven verder begeleid in het vinden van vergelijkbare technologie op de markt. Het uiteindelijke doel is de watervraag van de begeleide bedrijven te verminderen en hen te helpen de milieunormen voor lozing te respecteren. ,"120,000.00","300,000.00",40.00%,3/1/10,2/28/11
ISSI - Innovatie Systeem voor Systeem Innovatie,I-PROPELLER,"Het project ISSI-Innovatie Systeem voor Systeem Innovatie van I-PROPELLER wil een continue samenwerking uitbouwen tussen twee bestaande innovatienetwerken Plan C (duurzaam materiaal-beheer) en DuWoBo (duurzaam wonen en bouwen) door het ontwikkelen van een gemeenschappelijke methodologie voor het ondersteunen van transitie-experimenten, een participatieve kennisdatabank over de innovatienetwerken heen en een toolkit die een multiplicator effect genereert voor systeeminnovaties en die de innovatienetwerken versterkt in hun management","295,506.18","738,765.45",40.00%,11/1/09,11/1/11
Duurzame verpakkingstechnologie,PROCTER & GAMBLE EUROCOR,"Kunststof flessen zijn een populaire verpakking van consumentenproducten. Procter & Gamble is er vorig jaar in geslaagd om een technologie te ontwikkelen die toelaat om flessen in polypropyleen (PP), die milieuvriendelijker zijn dan PET-flessen, te produceren via de ISBM-technologie, wat een ecologischer proces is dan de gangbare EBM-technologie. Tot op heden was de ISBM-technologie enkel bruikbaar voor de productie van PET-flessen. De gecombineerde voordelen (productie van PP-flessen met de ISBM-technologie) leveren een flinke ecologische meerwaarde op (15 tot 20% Met het project Duurzame verpakkingstechnologie willen Procter & Gamble en ESSENCIA de voordelen van de nieuwe technologie demonstreren aan de Vlaamse bedrijven, de onderwijs-, opleidings- en onderzoeksinstellingen en aan hun intermediairen aan de hand van een demonstratielijn. ","307,826.50","769,566.30",40.00%,1/1/10,12/31/12
"Closing the Circle, een demonstratie van Enhanced Landfill Mining (ELFM)",Universiteit Hasselt - Instituut CMK,"Met het project Closing the Circle, een demonstratie van Enhanced Landfill Mining (ELFM) wil Universiteit Hasselt- Instituut CMK demonstreren dat het integraal valoriseren van materialen en energie uit stortplaatsen mogelijk. Het project is een voorstel om een afvalopslagplaats van de Remo Milieubeheer (dochter Group Machiels), te valoriseren door maximale recyclage van materialen en valorisatie van het energiepotentieel van het recyclageresidu voor de productie van duurzame elektriciteit en warmte. Naar schatting 45% van de aanwezige 15 miljoen ton afvalstoffen kunnen rechtstreeks of na behandeling als materiaal gerecupereerd worden. ","200,000.00","500,000.00",40.00%,10/1/09,9/30/11
Hybride Ventilatie @ Creative Minds,Den Hoorn,"Actieve koeling en mechanische ventilatie zijn in kantoorgebouwen verantwoordelijk voor een zeer grote energieconsumptie en meestal weinig comfortabel. Het project Hybride Ventilatie @ Creative Minds van Den Hoorn nv introduceert ‘hybride ventilatie’, een cleantech oplossing die op een intelligente manier de mogelijkheid van natuurlijke ventilatie maximaal benut. Ze bestaat uit een computergestuurde bediening van raammotoren met permanente meting van buiten- en binnencondities. ","159,350.00","398,376.00",40.00%,4/1/10,3/30/12
VEHIKel,Groep T,Elektrisch vervoer wordt steeds duidelijker als essentieel onderdeel van duurzame mobiliteit ervaren. In Vlaanderen laat de doorbraak echter op zich wachten. Geïnteresseerde gebruikers zijn terughoudend door het onbekende en het gebrek aan degelijk uitgebouwde oplaadinfrastructuur. Omgekeerd wordt de oplaadinfrastructuur niet grootschalig uitgebouwd wegens het beperkt aantal bestaande gebruikers. In het project VEHIKeL van Campus Vesalius wordt de elektrische scooter als betaalbaar en technisch rijp voorbeeld naar voren geschoven. ,"210,982.17","527,455.42",40.00%,11/1/09,10/31/11
Ondersteuning en coördinatie van het actieplan 'De Romeinse Weg',Provincie Limburg,"Dit project wil de realisatie van het actieplan 'De Romeinse Weg' faciliteren: d.w.z. de nodige ondersteuning, coördinatie en gemeenschappelijke bovenlokale aspecten bieden die nodig zijn voor het welslagen van de realisatie van het actieplan door de lokale actoren. Het project beperkt zich in de pilootfase.","144,087.16","360,217.90",40.00%,1/1/08,12/31/09
Landbouwwegen in de Westhoek,Vlaamse Landmaatschappij,"De mobiliteit in de Westhoek is belangrijk en draagt bij tot de economische en sociale cohesie van het platteland. De laatste jaren is het gebruik van de landbouwwegen fel gewijzigd. Door evoluties in de landbouw is de mobiliteitsdruk op de landelijke wegen gevoelig toegenomen (toenemend zwaar verkeer van en naar een landbouwbedrijf o.a. omwille van grotere omvang bedrijven en nieuwe functies o.a. mestverwerking). Ook profileert de Westhoek zich meer en meer als een regio met belangrijke economische troeven inzake plattelands- en cultuurtoerisme. M.a.w. door een veranderende situatie in de plattelandseconomie (toeristisch/recreatief en (para-) agrarisch) wijzigt het gebruik van de landbouwwegen. Naast bovenstaande worden de landbouwwegen meer en meer gebruikt als sluipweg. Al deze functies zijn niet wenselijk op een landelijke weg. Met dit project is het de bedoeling in de Westhoekgemeenten de landbouwwegen met bijhorend verkeer te inventariseren, aan de landbouwwegen een functie toe te kennen en vervolgens een aantal knelpunten op te lijsten. Dit zal gebeuren aan de hand van een studie waarbij een gebiedsdekkende visie met betrekking tot de mobiliteit en het beheer van de landbouwwegen in de Westhoek zal ontwikkeld worden. Aan de hand van die studie worden richtlijnen opgemaakt voor gemeentebesturen voor een goed beheer van hun landelijk wegennet. Naast de studie worden in 4-tal gemeenten pilots voor investeringen in landbouwwegen uitgevoerd.","504,210.48","1,260,526.48",40.00%,11/1/08,10/31/10
Regionale branding,Rurant,"Er is nood aan een totaalconcept op basis van streekidentiteit waarin economische initiatieven kunnen ontwikkeld worden en hun marktwaarde verhogen. Primaire doelgroepen: plattelandsondernemers en intermediaire organisaties. Secondair: inwoners en consumenten. Met dit project wil met van de streekidentiteit een economische hefboom maken voor plattelandsondernemers. Andere doelstellingen zijn het delen van bestaande kennis, het verwerken ervan in de ontwikkeling van regiobrands en de toepassing in productontwikkeling.","318,560.00","796,400.00",40.00%,7/1/08,6/30/10
Kempen Duurzaam,Strategische Projectenorganisatie Kempen,"Eén van de pijlers waarop de Kempen zich het komende decennium sterk kan ontwikkelen is die van 'duurzame energie- en milieutechnologie'. Om een sterke kenniseconomie uit te bouwen, is een gecoördineerd strategisch toekomstprogramma nodig, waarvoor dit projectvoorstel bedoeld is. Het beoogt de creatie van dit strategische toekomstprogramma - onder de werktitel 'Kempen Duurzaam' - de coördinatie en uitbouw van het programma, en de externe communicatie. 'Kempen Duurzaam' is een toekomstprogramma om de Kempen tegen 2020 uit te bouwen tot een internationaal toonaangevende regio op het vlak van duurzame energie- en milieutechnologie. Deze ambitie kan worden vertaald voor de kenniscentra, de bedrijven als voor de duurzaamheidsprestatie in de regio zelf.","152,983.00","382,456.00",40.00%,7/1/08,6/30/10
Masterplan Mijnstreek,Provincie Limburg,"Het masterplan Mijnstreek moet een visie, doelstellingen en strategieën aanreiken voor het ontsluiten van de Mijnstreek. Belangrijk hierbij is dat het masterplan een beleidsmatig en theoretisch kader aanbiedt voor het omgaan met erfgoed. Onderdelen van het masterplan zijn: (1) Hoe omgaan met welke delen van het erfgoed (2) actoren en hun rol (3) bewoners en hun rol (4) het ontwikkelen van een huisstijl, een eigen identiteit voor de Mijnstreek (5) het formuleren van beleidsaanbevelingen.","31,040.00","77,600.00",40.00%,11/4/07,3/31/09
ECO_,B B Consult,"Dit project richt zich op het ontwikkelen van nieuwe marktgerichte activiteiten en ontwikkelingsstrategieën voor plattelandsgebieden die de typische plattelandskwaliteiten vrijwaren en versterken. Dit gebeurt door (agrarisch) natuurbeheer in de economische sfeer te trekken, wat enerzijds een economische meerwaarde creëert en anderzijds duurzaamheid in de tijd garandeert.","652,640.00","1,631,600.00",40.00%,10/1/08,9/30/10
Green Valley Kempen,GPB Kamp C - Provinciebestuur Antwerpen,Green Valley Kempen van GPB Kamp C - Provinciebestuur Antwerpen heeft als doel de regio Kempen te promoten als toonaangevende duurzame regio via het bekend maken van duurzame voorbeeldprojecten. ,"117,680.00","294,200.00",40.00%,1/1/10,12/31/11
De kolonies in de Noorderkempen,Kempens Landschap,De voormalige landloperskolonies van Wortel en Merksplas hebben door hun uniek landschappelijk karakter een enorm ecologisch en toeristisch-recreatief potentieel. Het project De Kolonies in de Noorderkempen van Kempens Landschap wil een aanzet geven om dit potentieel te ontwikkelen via innovatieve landinrichting en zo een hefboom creëren voor de regio; doch steeds met respect voor het landschap en de landschappelijke eenheid.,"152,522.64","500,238.25",30.49%,1/1/10,12/31/11
De Westhoek inspireert,Provincie West-Vlaanderen,Centraal in het project De Westhoek Inspireert van Streekhuis Essenkasteel staat hoe de streek de Westhoek kan gepromoot worden en hoe die eigenheid vervolgens kan omgezet worden in een economische ontwikkeling. ,"313,328.00","783,320.00",40.00%,11/1/09,10/31/11
Regional Branding Hageland,Leaderwerking Hageland vzw,"Het project Regional Branding Hageland van Leaderwerking Hageland vzw heeft twee doelstellingen. Ten eerste wordt in een zo breed mogelijk forum een nieuw regionaal merk ontwikkeld, waarin de eigenheid van het Hageland tot uitdrukking komt. De tweede doelstelling betreft de implementatie en optimale benutting van het merk, via tal van concrete activiteiten.","199,800.00","499,500.00",40.00%,1/1/10,12/31/11
Thought 4 Food,Provincie West-Vlaanderen,"Bottum-up vertrekkend vanuit de concrete behoefte aan een grotere maatschappelijke en economische visibiliteit in het betrokken projectgebied en steunend op de feitelijkheid van de enorme toegevoegde waarde die het agrocomplex er genereert, beoogt het project Thought 4 food van Provinciehuis Olympia de creatie van een aantrekkelijk en wervend imago voor de regio Midden-West-Vlaanderen - Westhoek. Het project zet bijkomend in op de versterking van de economische dynamiek via de detectie en ondersteuning van innovatieve toepassingen in de land- en tuinbouwsector en de voedingsindustrie en op landschapsherwaardering in zowel agrarische als agro-industriële gebieden, vertrekkend vanuit een globale geïntegreerde visie.","552,000.00","1,380,000.00",40.00%,2/1/10,1/31/12
GENT BLOEMENREGIO,Boerenbondvereniging voor Projecten,De stad Gent en haar omgeving is van oudsher de bakermat van de sierteeltsector in Vlaanderen. Nochtans is dit gegeven nooit optimaal benut als merknaam waarrond gezamenlijk promotie gevoerd kon worden. Boerenbond Vereniging voor Projecten wil met het project Gent Bloemenregio een regionale merknaam creëren waaronder verschillende activiteiten kunnen gebundeld worden tot een totaalconcept dat van streekidentiteit een economische hefboom maakt.,"410,653.44","1,026,633.61",40.00%,1/1/10,12/31/11
ondernemers.tv,Unie van Zelfstandige Ondernemers,"Ondernemers.TV wil het ondernemerschap in een positief daglicht stellen. Een positiever beeld van ondernemers en correcte en aantrekkelijk weergegeven informatie kan mensen ertoe brengen om toch de stap naar het ondernemerschap te zetten. De promotor wil een innovatief project ontwikkelen dat ondernemende en jonge mensen kennis laat maken met de uitdagingen en mogelijkheden van het ondernemerschap door middel van attractieve communicatievormen. Ze richten zich tot jonge en dynamische mensen met zin om hun creativiteit te uiten die spontaan neigen naar webmedia (webtv, blog, discussiefora, ...); bestaande ondernemers op zoek naar een extra informatiekanaal op hun maat boven de traditionele media.","138,224.00","345,560.00",40.00%,10/1/08,9/30/10
Proleron,Epon,"Er is een groot gebrek aan ondernemerscultuur op school en bij de leraren zelf. Het project beoogt de professionalisering van leraren en docenten op het vlak van ondernemerschapsonderwijs door het aanbieden van specifieke workshops, infosessies, kortlopende stages, kennismakingsessies en werkplekleren. Die professionalisering leidt automatisch naar een efficiënter ondernemerschapsonderwijs. Het aanbieden van deze navormingen en stages waarbij de ondernemerscompetenties bij de leraren worden aangescherpt zal gebeuren in nauwe samenwerking met de verschillende beroepsfederaties, werkgeversorganisaties en toonaangevende ondernemingen.","59,772.10","149,430.24",40.00%,2/1/09,1/31/11
COCON,SYNTRA WEST,"Ondernemerscompetenties verstevigen door een individueel en collectief coachingstraject. De zwakte van menig (startende) ondernemer zit hem niet zozeer in een goede product- en vakkennis maar eerder in het gebrek aan ondernemerscompetenties. Hierdoor missen ze een aantal kansen, benutten ze hun potentieel niet ten volle en in het slechtste geval betekent dit het faillissement. Dit project beoogt ondernemingszin en ondernemerscompetenties bij te brengen aan (potentiële) starters in 3 uiteenlopende sectoren, zijnde de bouw, de voeding en de personenverzorging waarbinnen 3 beroepen als piloot dienen: brood- en banketbakker, kapper en tegelzetter.","81,682.49","204,206.22",40.00%,3/1/09,2/28/11
Battle of Talents,ADDESTINO INNOVATION MANAGEMENT,"Dit project stimuleert ondernemerschap bij onderzoekers aan universiteiten en hogescholen door middel van een competitie tussen teams van verschillende universiteiten en hogescholen die door een jury beoordeeld worden op hun vermogen om kennis in te zetten en te vertalen in commerciële producten en diensten volgens het principe: kennis, kunde, kassa!","93,976.32","234,940.80",40.00%,10/1/08,9/30/10
Zorg voor Ondernemerschap,VOKA - Kamer van Koophandel Limburg,"Het project focust op de niet-corebusiness van zorginstellingen, zijnde bedrijfsprocessen en het bevorderen van (intern) ondernemerschap. Ondernemerschap wordt aangemoedigd via netwerking, rolmodellen én kruisbestuiving met de private sector.","97,588.48","243,971.17",40.00%,1/1/09,12/31/10
Ondernemen is goed voor u,VKW Limburg,"VKW-Limburg wil met dit project een belangrijke bijdrage leveren aan het verder verbeteren van het imago van ondernemingen en van het ondernemerschap en tegelijkertijd aan het versterken van vaardigheden van familiale ondernemers op vlak van groei, overname en opvolging.","232,843.00","582,102.00",40.00%,9/1/08,8/31/10
Knap in ondernemerschap,UNIZO - VORMING,"Unizo-Vorming zal met Knap in ondernemerschap provinciale onderwijsacties realiseren met de klemtoon op ondernemerschap in de technologische en technische sector. Doelstellingen van dit project zijn het verbeteren van het imago van de ondernemer, het stimuleren van competenties van jongeren naar ondernemerschap toe en het meten van het effect inzake ondernemingszin.","409,415.60","1,023,539.00",40.00%,1/1/09,12/31/10
HUMIN,vzw Humanovation,Het Humin project van de vzw Humanovation richt zich op startende ondernemingen en KMO‘s en reikt hen innovatie-instrumenten en intensieve ondersteuning aan om hun ondernemersvaardigheden te stimuleren en versterken.,"456,743.00","1,141,857.00",40.00%,5/4/09,5/3/11
De Hogeschool Gent Bedenkers,Hogeschool Gent,"Het project omvat de organisatie van een wedstrijd ‘De Hogeschool Gent Bedenkers’ geïnspireerd op het format van het VRT-programma ‘De Bedenkers’. De wedstrijd richt zich tot alle personeelsleden en studenten van de Hogeschool Gent en wil zoveel mogelijk ideeën verzamelen. Ideeën die al leven bij de mensen maar ook ideeën die maar pas ontstaan doordat de mensen binnen deze wedstrijd worden aangespoord om een creatieve oplossing te vinden voor technologische of maatschappelijke vraagstukken. Door intensieve begeleiding van een aantal geselecteerde ideeën wordt ernaar gestreefd om het traject door te trekken tot op het niveau van een startende onderneming. Voor de begeleiding wordt beroep gedaan op zowel interne als externe technologische, artistieke en ondernemingsexpertise.","123,835.97","309,589.92",40.00%,11/1/08,10/31/10
De Gentse ondernemer,Stad Gent,Met de verkiezing van twee Gentse ondernemers in een representatieve functie wil de Stad Gent met het project De Gentse Ondernemer positieve rolmodellen voor het Gentse ondernemerschap tonen en op die manier ondernemerszin stimuleren en starters aanmoedigen.,"64,000.00","160,000.00",40.00%,3/16/09,3/15/11
Uitbouw dienst lokale economie en uniek gemeentelijk loket voor ondernemers,Vereniging van Vlaamse Steden en Gemeenten,Dit project wil een ondersteunings- en begeleidingpakket aanbieden aan alle Vlaamse lokale besturen die een dienst lokale economie of een uniek loket wensen op te zetten. Voor heel wat gemeenten kan een externe ondersteuning vanuit de koepelorganisatie een hefboom zijn om dit te realiseren. De ervaringen en kennis uit de begeleiding en ondersteuning van de lokale besturen worden gedissemineerd naar alle 308 gemeenten door de opmaak van een praktische leidraad en/of checklist voor de opzet van een dienst lokale economie of een uniek loket voor ondernemers.,"124,484.90","311,212.29",40.00%,2/15/09,2/14/11
Harmonisering en kwaliteitsverhoging van lokale reglementen binnen het beleidsdomein economie,Vereniging van Vlaamse Steden en Gemeenten,"VVSG zal lokale modelreglementen en -documenten m.b.t. het beleidsdomein economie opmaken, gekoppeld aan het sensibiliseren van lokale besturen om deze te gebruiken, samen met uitwisseling van goede praktijken, in functie van kwaliteitsvolle regelgeving. Goede voorbeelden van reglementen en formulieren worden geïnventariseerd en ter beschikking gesteld van lokale besturen. Dit gebeurt op een interactieve manier samen met de ondernemingswereld als 'klanten' en de lokale besturen die vanuit hun eigen situatie en ervaringen, hun inzichten inbrengen. Verder is er een continue wisselwerking met de regelgevende centrale overheden om de juridische correctheid na te checken. Hiervoor wordt een platform opgezet met enerzijds structurele, goed voorbereide (met externe expertise), bijeenkomsten/studiedagen en anderzijds een digitaal platform (extranet).","95,574.88","238,937.28",40.00%,1/1/08,12/31/09
KMO Quality Tools,Unie van Zelfstandige Ondernemers,"UNIZO stelde vast dat KMO’s geen praktische instrumenten en begeleidingsformules hebben om verbeteringen te detecteren en realiseren. KMO’s ervaren wijzigende omgevingsfactoren en moeten zich wapenen tegen risico’s maar ook oog hebben voor verbeteringen in bedrijfsstructuur en methoden. KMO’s zijn nu onvoldoende omkaderd inzake organisatiemanagement waardoor hun acties zich vaak op 1 aspect van de bedrijfsvoering richten. Hierdoor evolueert de bedrijfscultuur en bijgevolg het hele bedrijf onvoldoende. UNIZO wil een hiaat vullen in de KMO-omkadering door praktische instrumenten en een vernieuwende KMO-begeleidingsmethodiek te ontwikkelen om verbeteringen te realiseren inzake organisatiemanagement en kwaliteitszorg (proces van waardecreatie) om zo de groei, internationalisatie en innovatie van de KMO te bevorderen.","132,496.00","331,239.00",40.00%,10/1/08,9/30/10
Strategisch Ondernemen 2009 - 2011,Agentschap Ondernemen,"Strategisch Ondernemen 2009-2011 van het Agentschap Ondernemen zal KMO‘s strategisch begeleiden via eigen doorlichting en via de inschakeling van professionele adviesbureaus of de aanwerving van een verantwoordelijke. Het project wil de KMO‘s een brede waaier van ondersteunende acties bieden, waaruit ze de voor hen meest relevante topics kunnen kiezen.","1,505,859.00","5,311,718.00",28.35%,6/17/09,6/16/11
BEBEO,Economische Raad voor Oost-Vlaanderen,Begeleiding van bedrijfsoverdracht van KMO's en zelfstandige ondernemers in Oost-Vlaanderen.,"67,443.61","168,609.03",40.00%,3/1/09,2/28/11
Sociaal Ondernemerschap,KANAAL 127,Het samenbrengen van expertise en het aanbieden van kwaliteitsvolle dienstverlening in functie van het stimuleren en faciliteren van (sociaal) ondernemerschap.,"155,457.00","388,642.00",40.00%,10/1/08,9/30/10
flexplekken,BEDRIJVENCENTRUM DE PUNT,"Uitwisselings- en groeiplatform voor startende zelfstandige ondernemers De Punt is een broedplaats voor ondernemers met aandacht voor mens en milieu. De Punt richt zich tot startende ondernemers en groeiende bedrijven in de Gentse regio. Centraal in de diensten van De Punt staan de ondersteuning van het ondernemerschap, het creëren van tewerkstelling voor personen die het moeilijk hebben op de arbeidsmarkt en de realisatie van maatschappelijk verantwoord ondernemen. Starters hebben toegang nodig tot betaalbare ruimte, middelen en marktgerichte kansen om te groeien. De Punt wil haar kennis, dienstverlening, fysieke ruimte en netwerk inzetten om starters te faciliteren in hun groei. Met een aantal startende zelfstandige ondernemers wil De Punt een 'community' organiseren in een werkruimte die uitnodigt tot samenwerken. Deze flexibele professionele werkplekken dragen massa's uitwisselingskansen in zich. De bijhorende managementondersteuning en dienstverlening faciliteren de groei van deze prille ondernemingen. Flexplekkers kunnen de vruchten plukken van 'collectieve kennis en dynamiek' die in de Flexplek aanwezig is. De nadruk ligt op van elkaar leren, inspireren, coachen, begeleiden, samenwerken, gebruikmaken van elkaars netwerk...","82,423.84","206,059.60",40.00%,3/1/09,2/28/11
VESTA2,VOKA - Kamer van Koophandel Oost-Vlaanderen,"Het project beoogt een aantal verbeterprojecten met het oog op een administratieve vereenvoudiging bij lokale besturen, ervaringsuitwisseling hierover in een lerend netwerk van KMO-ambtenaren en diverse netwerkactiviteiten met lokale bedrijven.","58,368.00","145,920.00",40.00%,3/1/09,2/28/11
Digitaal Infopunt voor (startende) ondernemers,Stad Brugge,"Ontwikkelen van een nieuwe website voor ondernemers en kandidaat-investeerders in Brugge of regio Brugge. De bedoeling is een kader te creëren om vlotter een onderneming te kunnen opstarten. Ondernemers hebben nood aan unieke en uniforme website, waar ze alle nodige informatie kunnen vinden. Tegenwoordig kunnen de ondernemers in het bos van de verscheidene websites de juiste boom niet meer terugvinden. Met dit project wil men hieraan tegemoetkomen en de regio promoten, starters en groeiers begeleiden en een ondernemersvriendelijk klimaat creëren met een betere dienstverlening vanuit de gemeente naar de ondernemers toe. Om dit concreet te verwezenlijken ontwikkelt de Stad Brugge een website die een aantal inhoudelijke modaliteiten bevat, zoals algemene informatie voor de regio, een intelligent zoeksysteem met doorverwijsfunctie naar diverse organisaties, de invoeging van een pandenbestand en eventueel nog andere toepassingen. Daarnaast zal de website ervoor zorgen dat heel wat papierwerk en bijhorende frustratie bij de ondernemer of starter wordt weggenomen. Bovendien is de website meertalig zodat buitenlandse investeerders hier ook de nodige informatie kunnen vinden en op deze manier wordt ook de Brugse regio gepromoot.","80,000.00","200,000.00",40.00%,10/1/08,10/1/10
Centrum voor Ondernemen: kandidaat-starters en -groeiers,Hogeschool Gent,Coaching van de kandidaat-starter en begeleiding van de potentiële kandidaat-groeier.,"86,408.40","216,021.00",40.00%,12/1/08,11/30/10
Administratieve vereenvouding op provinciaal niveau,Provincie Limburg,Dit project omvat acties met het oog op het wegwerken van de administratieve overlast die ondernemers ervaren in hun contacten met het provinciebestuur om tot een administratieve vereenvoudiging van de procedures te komen.,"299,973.68","749,934.20",40.00%,3/1/09,2/28/09
Duurzame doorstart en groei voor starters en jonge KMO's in het arrondissement Mechelen,VOKA - Kamer van Koophandel Mechelen,"Het project wil het aantal voortijdige stopzettingen van starters en jonge KMO's verminderen. Het project is een pilot binnen de provincie Antwerpen dat hiervoor financiering heeft vastgelegd. Er wordt een specifiek opleidings- en begeleidingstraject uitgevoerd om ‘jonge KMO’s’ cq. een bedrijfsactiviteit jonger dan 3 jaar, te begeleiden naar een grondige professionele bedrijfsvoering. Met dit project wil men vermijden dat starters, in de eerste levenscyclus van het bedrijf, hun activiteiten omwille van mismanagement voortijdig dienen stop te zetten. Het project is gericht op het faciliteren van de (door)groei van de jonge KMO.","45,472.00","113,680.00",40.00%,3/16/09,3/15/11
Digitale dienstverlening voor ondernemers in de gemeente,UNIZO - VORMING,Dit project wil gemeenten stimuleren en adviseren tot meer digitale dienstverlening voor ondernemers. ICT maakt een vlotte en klantgerichte dienstverlening mogelijk. Gemeenten scoren niet goed op dit vlak veelal door een beperkte kennis en inzicht over de wijze waarop dit ondernemersvriendelijk kan en wat als digitale dienstverlening aangeboden kan worden. Het project omvat volgende acties: inventarisatie van de door de gemeente aangeboden digitale dienstverlening / kwalitatieve screening van de aangeboden digitale dienstverlening in functie van ondernemingsvriendelijkheid / gemeentelijke rapporten over de aangeboden dienstverlening / advisering van gemeenten bij de verbetering van het aanbod digitale dienstverlening via ondernemerpanels en samenbrengen van gemeenten.,"177,791.20","444,478.00",40.00%,3/1/09,2/28/11
Creatieve starters,KORTRIJKS ONDERNEMERSCENTRUM,"Innovatieve starterbegeleiding op maat van de individuele creatieve starter. Geconfronteerd met een starterratio die onder het Europese én Vlaamse gemiddelde ligt, wil dit project op korte termijn een aantrekkelijk startersklimaat helpen ontwikkelen in de provincie West-Vlaanderen. De ‘creatieve starters’ - startende ondernemers met sterk vernieuwende concepten en/of producten - worden als voorbeeldtrekkers uitgespeeld. Professionele begeleiding en ondersteuning in management- en vakspecifieke (technologische) domeinen op maat van de individuele starter, moet de juiste voorwaarden creëren om de vooruitstrevende ideeën van deze starters te vertalen in succesvolle, groeiende ondernemingen. Naast deze individuele starterbegeleiding zullen bestaande formele en informele netwerken van bedrijvencentra, KMO loketten, bedrijfsadviseurs en academici verder uitgebouwd en versterkt worden om voor deze startersactie een performant raamwerk van experts en faciliteiten te verzekeren voor de toekomst.","319,520.00","798,800.00",40.00%,3/15/09,3/14/11
Actie voor Starters - immateriële component,Provincie West-Vlaanderen,"Met Actie voor Starters beoogt de provincie West-Vlaanderen samen met Ondernemerscentrum Kortrijk, Syntra West, Unizo West-Vlaanderen en VOKA West-Vlaanderen de realisatie van fijnmazige en hoogstaande netwerken voor startende ondernemers, via een matrix van immateriële starterfaciliteiten.","615,800.00","1,539,500.00",40.00%,3/15/09,3/14/11
eLINK,Stad Mechelen,eLink is een vernieuwend ICT project gericht op administratieve vereenvoudiging voor ondernemingen en starters door middel van het koppelen van overheidsgegevensbanken. De stad Mechelen wil zo de relaties tussen het bedrijfsleven en de overheid anders inrichten en een klantgerichtere benadering realiseren.,"221,442.00","553,605.00",40.00%,3/1/09,2/28/11
Eén loket voor ondernemers in Gent,Stad Gent,"Ontwikkeling en implementatie van het één loketsysteem in Stad Gent. Doorheen hun bestaan komen zelfstandigen, handelszaken en ondernemingen veelvuldig in contact met de stedelijke overheid: bij bouwaanvragen, milieuvergunningen, subsidies, het zoeken naar industriegronden, beschikbare winkelpanden, mobiliteit,... Een kwaliteitsvolle dienstverlening zorgt ervoor dat dit zo efficiënt mogelijk gebeurt en dat de ondernemer gemakkelijk zijn weg vindt binnen de stadsdiensten. Deze kwaliteitsvolle dienstverlening kan al in belangrijke mate vorm krijgen door de invoering van een één loketsysteem. Het is de ambitie van Stad Gent om één loketsysteem uit te bouwen, waar de ondernemer zowel fysisch als digitaal terecht kan met zijn vragen voor de stedelijke overheid. Dit één loketsysteem plaatst de ondernemer centraal en vertrekt vanuit zijn noden. Het is het centrale aanspreekpunt voor de ondernemer, van klein tot groot, die aanklopt bij de Stad Gent. Het garandeert dat de ondernemer de juiste informatie krijgt en precies weet tot welke bevoegde dienst hij zich richt voor specifieke afhandeling van zijn dossier. Voor meer gespecialiseerde vragen zal het één loket kunnen terugvallen op een uitgebouwde back-office van accountmanagers. Deze accountmanagers staan in voor een verdere opvolging en begeleiding op maat van de ondernemer.","178,000.00","445,000.00",40.00%,3/16/09,3/15/11
Regionaal Economisch Loket op maat van de regio Oostende,ECONOMISCH HUIS OOSTENDE,"Ontwikkeling van een regionaal loket waar elke ondernemer terecht kan met vragen met de bedoeling de administratieve lasten te verminderen en vereenvoudigen. De vragen kunnen gaan over: ruimtelijk-economische informatie, contact met de bevoegde administratie, versnelde administratieve voorbereiding van de dossiers, informeren over wettelijke invullingen, ... m.a.w. verlaging van de overheadkosten in een bedrijf. De dossiers worden van A tot Z opgevolgd via dit Regionaal Economisch Loket.","123,975.00","309,938.00",40.00%,3/1/09,2/28/11
Pecunia,VOKA - Kamer van Koophandel Oost-Vlaanderen,Het project Pecunia biedt 12 bedrijven opleiding en begeleiding aan bij overname en bij aantrekken van extern kapitaal. Naast dit lerend netwerk worden praktische instrumenten ontwikkeld en seminaries georganiseerd voor een ruim netwerk van bedrijven.,"48,010.00","120,025.00",40.00%,1/1/09,6/30/10
