Nazwa beneficjenta,Tytul projektu,Program Operacyjny,Dzialanie,Poddzialanie,Wartosc ogolem,Dofinansowanie publiczne,Rok przyznania dofinansowania,Rok wyplacenia ostatniej raty
Metrum Cryoflex Spółka z ograniczoną odpowiedzialnością Spółka komandytowa,Przygotowanie Planu rozwoju eksportu spółki Metrum Cryoflex.,Program Operacyjny Innowacyjna Gospodarka,6.1. Paszport do eksportu,,"12,500.00","10,000.00",2009,2010
mggm Grzegorz Marszałek,Rozszerzenie oferty firmy mggm o nowe produkty oraz doposażenie parku maszynowego,Regionalny Program Operacyjny Województwa Świętokrzyskiego,"1.1. Bezpośrednie wsparcie sektora mikro, małych i średnich przedsiębiorstw",,"258,407.36","91,759.44",2009,2010
MGGP Aero Sp. z o.o.,Wyszkoleni i kompetentni pracownicy jako podstawa rozwoju i sukcesu innowacyjnego przedsiębiorstwa.,Program Operacyjny Kapitał Ludzki,8.1. Rozwój pracowników i przedsiębiorstw w regionie,8.1.1 Wspieranie rozwoju kwalifikacji zawodowych i doradztwo dla przedsiębiorstw,"260,046.35","201,129.48",2008,2010
MGJ Consulting Group,Nowe kwalifikacje- większe szanse,Program Operacyjny Kapitał Ludzki,6.3. Inicjatywy lokalne na rzecz podnoszenia poziomu aktywności zawodowej na obszarach wiejskich,,"46,320.00","44,693.68",2008,2009
Mgr Gałczyński Leszek Hotelarstwo i Gastronomia Ośrodek Wypoczynkowy „Peters”,Unowocześnienie zaplecza gastronomicznego Ośrodka „Peters” w Turawie,Regionalny Program Operacyjny Województwa Opolskiego,1.4 Rozwój infrastruktury turystycznej i rekreacyjno-sportowej,1.4.1 Wsparcie usług turystycznych i rekreacyjno-sportowych świadczonych przez przedsiębiorstwa,"214,158.80","77,237.60",2008,2009
Miasto Białystok,Przedszkolna rodzinka.,Program Operacyjny Kapitał Ludzki,9.1. Wyrównywanie szans edukacyjnych i zapewnienie wysokiej jakości usług edukacyjnych świadczonych w systemie oświaty,9.1.1 Zmniejszanie nierówności w stopniu upowszechnienia edukacji przedszkolnej,"154,078.00","150,480.54",2008,2010
Miasto Białystok,Wiedza szansą na dobrą przyszłość,Program Operacyjny Kapitał Ludzki,9.1. Wyrównywanie szans edukacyjnych i zapewnienie wysokiej jakości usług edukacyjnych świadczonych w systemie oświaty,9.1.2 Wyrównywanie szans edukacyjnych uczniów z grup o utrudnionym dostępie do edukacji oraz zmniejszanie różnic w jakości usług edukacyjnych,"655,580.00","611,292.71",2008,2010
Miasto Białystok,Właściwa terapia szansą lepszego rozwoju osób ze specjalnymi potrzebami edukacyjnymi,Program Operacyjny Kapitał Ludzki,9.1. Wyrównywanie szans edukacyjnych i zapewnienie wysokiej jakości usług edukacyjnych świadczonych w systemie oświaty,9.1.2 Wyrównywanie szans edukacyjnych uczniów z grup o utrudnionym dostępie do edukacji oraz zmniejszanie różnic w jakości usług edukacyjnych,"99,910.00","99,283.48",2009,2010
Miasto Białystok,SZKOłA RÓWNYCH SZANS,Program Operacyjny Kapitał Ludzki,9.1. Wyrównywanie szans edukacyjnych i zapewnienie wysokiej jakości usług edukacyjnych świadczonych w systemie oświaty,9.1.2 Wyrównywanie szans edukacyjnych uczniów z grup o utrudnionym dostępie do edukacji oraz zmniejszanie różnic w jakości usług edukacyjnych,"100,000.00","99,945.90",2009,2010
Miasto Białystok,Nowoczesne kształcenie zawodowe - szansa na dobry start.,Program Operacyjny Kapitał Ludzki,9.2. Podniesienie atrakcyjności i jakości szkolnictwa zawodowego,,"1,431,090.00","1,259,145.26",2008,2010
Miasto Białystok/ Centrum Kształcenia Ustawicznego w Białymstoku,"Aktywni, Zaangażowani, Wyedukowani.",Program Operacyjny Kapitał Ludzki,9.5. Oddolne inicjatywy edukacyjne na obszarach wiejskich,,"49,997.45","49,997.45",2008,2009
Miasto Bielsko - Biała,Restrukturyzacja wraz z modernizacją Szpitala Ogólnego im. dr Edmunda Wojtyły w Bielsku-Białej,Regionalny Program Operacyjny Województwa Śląskiego,9.1. Infrastruktura lecznictwa zamkniętego,,"5,897,554.95","4,500,288.40",2009,2009
Miasto Bielsko-Biała,Budowa ul. Sarni Potok w Bielsku-Białej,Regionalny Program Operacyjny Województwa Śląskiego,7.1. Modernizacja i rozbudowa sieci drogowej,7.1.2. Modernizacja i rozbudowa infrastruktury uzupełniającej kluczową  sieć drogową,"3,783,515.59","3,185,625.79",2009,2010
Miasto Bielsko-Biała,Przebudowa ul. Sobieskiego w Bielsku-Białej etap II i V,Regionalny Program Operacyjny Województwa Śląskiego,7.1. Modernizacja i rozbudowa sieci drogowej,7.1.2. Modernizacja i rozbudowa infrastruktury uzupełniającej kluczową  sieć drogową,"4,082,008.65","2,336,332.21",2008,2010
Miasto Bielsko-Biała,Przebudowa ul. Karbowej w Bielsku-Białej,Regionalny Program Operacyjny Województwa Śląskiego,7.1. Modernizacja i rozbudowa sieci drogowej,7.1.2. Modernizacja i rozbudowa infrastruktury uzupełniającej kluczową  sieć drogową,"13,773,643.16","10,141,838.72",2008,2009
Miasto Bydgoszcz,Zawodówki na start,Program Operacyjny Kapitał Ludzki,9.2. Podniesienie atrakcyjności i jakości szkolnictwa zawodowego,,"1,063,715.00","933,326.42",2008,2010
Miasto Bydgoszcz,„Marka lokalna „Bydgoski Węzeł Wodny” gwarancją jakości – produkcja filmu promującego produkty i usługi związane z Bydgoskim Węzłem Wodnym”,Regionalny Program Operacyjny Województwa Kujawsko-Pomorskiego,5.5. Promocja i rozwój markowych produktów,,"20,000.00","14,000.00",2008,2010
Miasto Bydgoszcz,Bądź naszym gościem - Bydgoszcz na międzynarodowych imprezach targowo-wystawienniczych,Regionalny Program Operacyjny Województwa Kujawsko-Pomorskiego,5.5. Promocja i rozwój markowych produktów,,"401,412.08","256,583.04",2009,2010
Miasto Bydgoszcz,Bądź naszym gościem - międzynarodowe działania informacyjno-promocyjne Miasta Bydgoszczy w latach 2007-2009,Regionalny Program Operacyjny Województwa Kujawsko-Pomorskiego,5.5. Promocja i rozwój markowych produktów,,"56,492.25","39,544.57",2009,2010
"Miasto Bydgoszcz, Powiat Bydgoski – Powiatowy Urząd Pracy w Bydgoszczy","""Nowa jakość usług rynku pracy w PUP Bydgoszcz""",Program Operacyjny Kapitał Ludzki,6.1. Poprawa dostępu do zatrudnienia oraz wspieranie aktywności zawodowej w regionie,6.1.2 Wsparcie powiatowych i wojewódzkich urzędów pracy w realizacji zadań na rzecz aktywizacji zawodowej osób bezrobotnych w regionie,"444,986.95","378,121.65",2009,2010
Miasto Chełm/Centrum Integracji Społecznej,Spróbujmy jeszcze raz...,Program Operacyjny Kapitał Ludzki,7.2. Przeciwdziałanie wykluczeniu i wzmocnienie sektora ekonomii społecznej,7.2.1 Aktywizacja zawodowa i społeczna osób zagrożonych wykluczeniem społecznym,"858,195.00","734,640.91",2008,2010
Miasto Chełmno,Budowa asfaltowej nawierzchni ulicy Podgórnej w Chełmnie wraz z chodnikami oraz jej odwodnieniem i oswietleniem,Regionalny Program Operacyjny Województwa Kujawsko-Pomorskiego,1.1. Infrastruktura drogowa,,"4,396,689.92","1,399,477.10",2009,2009
Miasto Chorzów,Budowa boiska sportowego przy ul. Rębaczy w Chorzowie,Regionalny Program Operacyjny Województwa Śląskiego,9.3. Lokalna Infrastruktura sportowa,,"366,633.87","292,972.77",2009,2010
Miasto Darłowo,Aktywnośc zawodowa w praktyce czyli jak odnaleźć się w nowej rzeczywistości,Program Operacyjny Kapitał Ludzki,6.3. Inicjatywy lokalne na rzecz podnoszenia poziomu aktywności zawodowej na obszarach wiejskich,,"48,090.00","48,090.00",2008,2009
Miasto Dęblin,Klucz do pracy - rozwój kluczowych kompetencji osób młodych,Program Operacyjny Kapitał Ludzki,6.1. Poprawa dostępu do zatrudnienia oraz wspieranie aktywności zawodowej w regionie,6.1.1 Wsparcie osób pozostających bez zatrudnienia na regionalnym rynku pracy,"424,900.00","409,874.28",2008,2009
Miasto Dęblin,Komputerowy ekspert - podnoszenie kwalifikacji pracowników w powiatach ryckim i puławskim,Program Operacyjny Kapitał Ludzki,8.1. Rozwój pracowników i przedsiębiorstw w regionie,8.1.1 Wspieranie rozwoju kwalifikacji zawodowych i doradztwo dla przedsiębiorstw,"207,100.00","206,594.02",2008,2009
Miasto Dęblin,Wykorzystaj swoją szansę! (cz.II) - Rozwijanie umiejętności zawodowych osób pracujących na terenie powiatów ryckiego i puławskiego,Program Operacyjny Kapitał Ludzki,8.1. Rozwój pracowników i przedsiębiorstw w regionie,8.1.1 Wspieranie rozwoju kwalifikacji zawodowych i doradztwo dla przedsiębiorstw,"700,150.00","685,335.01",2008,2010
Miasto Ełk,"Mogę wiele, tylko mi pomóż",Program Operacyjny Kapitał Ludzki,9.1. Wyrównywanie szans edukacyjnych i zapewnienie wysokiej jakości usług edukacyjnych świadczonych w systemie oświaty,9.1.1 Zmniejszanie nierówności w stopniu upowszechnienia edukacji przedszkolnej,"414,798.06","347,992.05",2008,2009
Miasto Gliwice,"""Wiem, co robić, gdy…"" - cykl warsztatów psychoedukacyjnych dla dzieci",Program Operacyjny Kapitał Ludzki,9.1. Wyrównywanie szans edukacyjnych i zapewnienie wysokiej jakości usług edukacyjnych świadczonych w systemie oświaty,9.1.2 Wyrównywanie szans edukacyjnych uczniów z grup o utrudnionym dostępie do edukacji oraz zmniejszanie różnic w jakości usług edukacyjnych,"158,742.35","157,975.38",2008,2009
Miasto Gliwice,W przyszłość z klasą - utworzenie sieci nowoczesnych pracowni przedmiotowych i specjalistycznych w gliwickich placówkach kształcenia ponadgimnazjalnego,Regionalny Program Operacyjny Województwa Śląskiego,8.2. Infrastruktura placówek oświaty,,"2,194,965.67","1,865,490.60",2008,2010
Miasto Gliwice,Rozbudowa sieci ścieżek rowerowych na terenie Miasta Gliwice,Regionalny Program Operacyjny Województwa Śląskiego,9.3. Lokalna Infrastruktura sportowa,,"2,694,896.36","1,999,887.59",2009,2010
Miasto Gorzów Wielkoplski/Zespół Szkół Gastronomicznych,Przepis na dobrą szkołę,Program Operacyjny Kapitał Ludzki,9.2. Podniesienie atrakcyjności i jakości szkolnictwa zawodowego,,"317,697.60","277,191.16",2008,2010
Miasto Gorzów Wielkopolski,Kolega z pracy - szanse osób niepełnosprawnych na aktywne życie zawodowe,Program Operacyjny Kapitał Ludzki,6.1. Poprawa dostępu do zatrudnienia oraz wspieranie aktywności zawodowej w regionie,6.1.1 Wsparcie osób pozostających bez zatrudnienia na regionalnym rynku pracy,"54,100.00","53,145.50",2009,2010
Miasto Gorzów Wielkopolski,Wiedza - najpewniejszy kapitał ludzki - dodatkowe zajęcia dydaktyczno-wyrównawcze i specjalistyczne dla uczniów gorzowskich szkół kształcenia zawodowego w roku szkolnym 2008/2009,Program Operacyjny Kapitał Ludzki,9.2. Podniesienie atrakcyjności i jakości szkolnictwa zawodowego,,"204,328.00","175,751.00",2008,2010
Miasto Grajewo ,Przebudowa historycznego budynku po Straży Pożarnej w Grajewie na cele kulturalno - społeczne,Regionalny Program Operacyjny Województwa Podlaskiego,6.3 Infrastruktura z zakresu kultury i ochrony dziedzictwa historycznego i kulturowego,,"1,012,832.88","560,035.99",2008,2010
Miasto Grajewo/ Publiczne Gimnazjum nr 3,Śmielej ku przyszłośći ,Program Operacyjny Kapitał Ludzki,9.1. Wyrównywanie szans edukacyjnych i zapewnienie wysokiej jakości usług edukacyjnych świadczonych w systemie oświaty,9.1.2 Wyrównywanie szans edukacyjnych uczniów z grup o utrudnionym dostępie do edukacji oraz zmniejszanie różnic w jakości usług edukacyjnych,"100,000.00","100,000.00",2009,2010
Miasto i Gmina Chodecz,"Przebudowa nawierzchni jezdni i chodników drogi gminnej - ulicy Lipowej o długości 0,443 km w mieście Chodecz.",Regionalny Program Operacyjny Województwa Kujawsko-Pomorskiego,1.1. Infrastruktura drogowa,,"1,015,660.48","499,937.70",2008,2010
Miasto i Gmina Debrzno,Wykonanie opracowań studyjno - koncepcyjnych dla terenu Zielonego Parku Przemysłowego Cierznie,Program Operacyjny Innowacyjna Gospodarka,6.2. Rozwój sieci centrów obsługi inwestorów i eksporterów oraz powstawanie nowych terenów inwestycyjnych,"6.2.2. Wsparcie działań studyjno-koncepcyjnych w ramach przygotowania terenów inwestycyjnych dla projektów inwestycyjnych ""od podstaw""","261,740.00","162,067.07",2008,2010
Miasto i Gmina Dobrzyń nad Wisłą,Wdrożenie markowego produktu Dobrzyń nad Wisłą,Regionalny Program Operacyjny Województwa Kujawsko-Pomorskiego,5.5. Promocja i rozwój markowych produktów,,"36,116.03","25,281.22",2008,2010
Miasto i Gmina Działoszyn,Zintegrowanie i aktywizacja społeczności lokalnych wokół Strategii Zrównoważonego Zagospodarowania Wielkiego Łuku Warty,Program Operacyjny Kapitał Ludzki,7.3. Inicjatywy lokalne na rzecz aktywnej integracji,,"49,848.00","48,569.25",2008,2009
Miasto i Gmina Krotoszyn,Efektywne zarządzanie systemem oświaty w gminie Krotoszyn,Program Operacyjny Kapitał Ludzki,9.4. Wysoko wykwalifikowane kadry systemu oświaty,,"99,257.60","84,368.96",2008,2010
Miasto i Gmina Krotoszyn,Od kurendy do maila,Program Operacyjny Kapitał Ludzki,9.5. Oddolne inicjatywy edukacyjne na obszarach wiejskich,,"49,166.50","48,241.77",2008,2009
Miasto i Gmina Lipsko,Wiedza twoją szansą - program wyrównywania szans edukacyjnych uczniów z terenów wiejskich,Program Operacyjny Kapitał Ludzki,9.1. Wyrównywanie szans edukacyjnych i zapewnienie wysokiej jakości usług edukacyjnych świadczonych w systemie oświaty,9.1.2 Wyrównywanie szans edukacyjnych uczniów z grup o utrudnionym dostępie do edukacji oraz zmniejszanie różnic w jakości usług edukacyjnych,"131,300.00","129,976.74",2008,2010
Miasto i Gmina Lipsko,Punkt informacji Oświatowej w Lipsku ,Program Operacyjny Kapitał Ludzki,9.5. Oddolne inicjatywy edukacyjne na obszarach wiejskich,,"49,610.00","49,507.38",2007,2009
Miasto i Gmina Lubień Kujawski,Budowa drogi gminnej w miejscowości Błędowo  gmina  Lubień Kujawski. ,Regionalny Program Operacyjny Województwa Kujawsko-Pomorskiego,1.1. Infrastruktura drogowa,,"1,535,214.94","482,232.47",2008,2010
Miasto i Gmina Łasin,"Przebudowa drogi gminnej nr 041338C relacji Łasin – Szonowo Szlacheckie na odcinku 3523,29 m.",Regionalny Program Operacyjny Województwa Kujawsko-Pomorskiego,1.1. Infrastruktura drogowa,,"1,706,129.06","500,000.00",2008,2010
Miasto i Gmina Łosice/Urząd Miasta i Gminy Łosice,Przygotowanie nauczycieli i kadry zarządzającej oświatą do wyzwań jakie stoją przed edukacją w Mieście i Gminie Łosice,Program Operacyjny Kapitał Ludzki,9.4. Wysoko wykwalifikowane kadry systemu oświaty,,"96,950.00","80,982.55",2008,2010
Miasto i Gmina Myślenice,Integracja od Przedszkola do Seniora,Program Operacyjny Kapitał Ludzki,7.3. Inicjatywy lokalne na rzecz aktywnej integracji,,"50,000.00","49,839.10",2009,2010
Miasto i Gmina Myślenice,Przedszkolacy z Seniorami odkrywają świat,Program Operacyjny Kapitał Ludzki,7.3. Inicjatywy lokalne na rzecz aktywnej integracji,,"49,930.00","49,575.79",2008,2009
Miasto i Gmina Nowa Sarzyna,Wyrównywanie szans edukacyjnych dzieci wiejskich poprzez poszerzenie oferty edukacyjnej  przedszkola w Woli Zarczyckiej,Program Operacyjny Kapitał Ludzki,9.1. Wyrównywanie szans edukacyjnych i zapewnienie wysokiej jakości usług edukacyjnych świadczonych w systemie oświaty,9.1.1 Zmniejszanie nierówności w stopniu upowszechnienia edukacji przedszkolnej,"85,477.64","83,393.90",2008,2010
Miasto i Gmina Nowa Sarzyna,Wiedza przyrodniczo-matematyczna szansą na rozwój edukacyjny dzieci i młodzieży wsi Wola Zarczycka,Program Operacyjny Kapitał Ludzki,9.1. Wyrównywanie szans edukacyjnych i zapewnienie wysokiej jakości usług edukacyjnych świadczonych w systemie oświaty,9.1.2 Wyrównywanie szans edukacyjnych uczniów z grup o utrudnionym dostępie do edukacji oraz zmniejszanie różnic w jakości usług edukacyjnych,"139,480.00","129,675.51",2008,2009
Miasto i Gmina Pleszew,SMYK,Program Operacyjny Kapitał Ludzki,9.1. Wyrównywanie szans edukacyjnych i zapewnienie wysokiej jakości usług edukacyjnych świadczonych w systemie oświaty,9.1.1 Zmniejszanie nierówności w stopniu upowszechnienia edukacji przedszkolnej,"400,000.00","339,704.46",2008,2010
Miasto i Gmina Radzyń Chełmiński,Szansa dla każdego,Program Operacyjny Kapitał Ludzki,6.1. Poprawa dostępu do zatrudnienia oraz wspieranie aktywności zawodowej w regionie,6.1.1 Wsparcie osób pozostających bez zatrudnienia na regionalnym rynku pracy,"208,866.06","204,589.83",2008,2010
Miasto i Gmina Uzdrowiskowa Muszyna ,Kompleksowe zagospodarowanie przestrzeni publicznej w centrum wsi Złockie w Gminie Muszyna zgodnie z funkcją turystyczno-uzdrowiskową,Regionalny Program Operacyjny Województwa Małopolskiego,6.2. Rozwój obszarów wiejskich,Schemat A: Odnowa centrów wsi,"4,045,325.28","2,812,939.70",2008,2010
Miasto i Gmina Wronki,Rzemiosło artystyczne w Gminie Wronki jako czynnik rozwoju kulturowego i gospodarczego,Program Operacyjny Kapitał Ludzki,7.3. Inicjatywy lokalne na rzecz aktywnej integracji,,"40,240.00","39,534.14",2008,2010
Miasto Inowrocław,Uzdrowisko Inowrocław (rozwój funkcji uzdrowiskowej) – I etap,Regionalny Program Operacyjny Województwa Kujawsko-Pomorskiego,6.2. Rozwój usług turystycznych i uzdrowiskowych,,"5,842,206.73","3,505,324.04",2009,2010
Miasto Jasło,Poprawa powiązań komunikacyjnych obszarów gospodarczych i przemysłowych Miasta Jasła,Regionalny Program Operacyjny Województwa Podkarpackiego,2.1. Infrastruktura komunikacyjna,,"6,473,757.86","3,287,520.70",2008,2010
Miasto Jastrzębie Zdrój,Rozwiń swoje możliwości - wsparcie szkoleniowo - doradcze osób zagrożonych wykluczeniem społecznym na obszarze Jastrzębia Zdroju,Program Operacyjny Kapitał Ludzki,7.2. Przeciwdziałanie wykluczeniu i wzmocnienie sektora ekonomii społecznej,7.2.1 Aktywizacja zawodowa i społeczna osób zagrożonych wykluczeniem społecznym,"551,995.00","444,167.25",2008,2010
Miasto Jastrzębie Zdrój,Budowa obwodnicy os. Staszica wraz z parkingiem w Jastrzębiu Zdroju,Regionalny Program Operacyjny Województwa Śląskiego,7.1. Modernizacja i rozbudowa sieci drogowej,7.1.2. Modernizacja i rozbudowa infrastruktury uzupełniającej kluczową  sieć drogową,"2,017,452.57","1,288,470.87",2009,2010
Miasto Jaworzno,"Infrastruktura służąca przedsiębiorcom, teren byłej kopalni Kościuszko w ramach projektu kluczowego dla woj. śląskiego Gospodarcza Brama Śląska Etap I - uruchomienie Zagłębiowskiej Strefy Gospodarczej",Regionalny Program Operacyjny Województwa Śląskiego,1.1. Wzmocnienie atrakcyjności inwestycyjnej regionu,1.1.1. Infrastruktura rozwoju gospodarczego,"20,227,579.69","13,317,356.41",2009,2010
Miasto Katowice,Podwyższanie kwalifikacji nauczycieli oraz administracyjnej kadry oświatowej,Program Operacyjny Kapitał Ludzki,9.4. Wysoko wykwalifikowane kadry systemu oświaty,,"494,000.00","263,385.25",2008,2010
Miasto Katowice, Przebudowa Miejskiego Domu Kultury Zawodzie przy ul. Marcinkowskiego 13,Regionalny Program Operacyjny Województwa Śląskiego,4.1. Infrastruktura kultury,,"2,076,102.66","1,764,687.26",2009,2010
Miasto Katowice,Przebudowa ul.Słowackiego od ul.Mikołowskiej/Matejki do ul.Dworcowej,Regionalny Program Operacyjny Województwa Śląskiego,7.1. Modernizacja i rozbudowa sieci drogowej,7.1.2. Modernizacja i rozbudowa infrastruktury uzupełniającej kluczową  sieć drogową,"1,009,099.94","841,728.84",2009,2010
Miasto Katowice,Budowa kompleksu boisk z ogrodzeniem dla Szkoły Podstawowej Nr 44 w Katowicach,Regionalny Program Operacyjny Województwa Śląskiego,8.2. Infrastruktura placówek oświaty,,"860,352.97","707,917.37",2008,2010
Miasto Kielce/Zespół Szkół Ogólnokształcących nr 28 w Kielcach,Mogę więcej,Program Operacyjny Kapitał Ludzki,9.1. Wyrównywanie szans edukacyjnych i zapewnienie wysokiej jakości usług edukacyjnych świadczonych w systemie oświaty,9.1.2 Wyrównywanie szans edukacyjnych uczniów z grup o utrudnionym dostępie do edukacji oraz zmniejszanie różnic w jakości usług edukacyjnych,"149,692.26","148,068.49",2009,2010
Miasto Kielce-Miejski Zarząd Dróg w Kielcach,"Budowa drogi gminnej, przecznicy ul. Kusocińskiego dla obsługi Oddziału Wojewódzkiego Szpitala Zespolonego oraz Archiwum Państwowego w Kielcach.",Regionalny Program Operacyjny Województwa Świętokrzyskiego,3.1. Rozwój nowoczesnej infrastruktury komunikacyjnej o znaczeniu regionalnym i ponadregionalnym,,"3,014,718.52","1,675,201.03",2008,2010
Miasto Kolno,Remont Szkoły Podstawowej nr 2 wraz z budową przyszkolnej infrastruktury sportowej,Regionalny Program Operacyjny Województwa Podlaskiego,6.1 Rozwój infrastruktury z zakresu edukacji,,"1,980,037.94","1,029,500.89",2008,2010
Miasto Konin,Przebudowa ulicy Jana Pawła II w Koninie - etap II,Regionalny Program Operacyjny Województwa Wielkopolskiego na lata 2007 - 2013,"Działanie 2.2. Poprawa dostępności do regionalnego i ponadregionalnego układu drogowego (drogi wojewódzkie w miastach na prawach powiatu, powiatowe i gminne)",Schemat I Drogi w granicach administracyjnych miast powyżej 50 tys. mieszkańców.,"2,779,972.48","1,219,561.98",2009,2010
Miasto Kostrzyn nad Odrą,Miasto przyjazne inwestorom etap III - przebudowa układu komunikacyjnego w ulicy Gorzowskiej w Kostrzynie nad Odrą.,Regionalny Program Operacyjny Województwa Lubuskiego,1.1 Poprawa stanu infrastruktury transportowej w regionie.,,"4,802,529.71","4,082,149.76",2009,2010
Miasto Kowal,"Budowa układu komunikacyjnego na osiedlu mieszkaniowym ""Na Górce"" - przedłużenie ulicy Piwnej",Regionalny Program Operacyjny Województwa Kujawsko-Pomorskiego,1.1. Infrastruktura drogowa,,"256,812.73","128,406.36",2008,2009
Miasto Leszno,Zakup nowych autobusów dla Miejskiego Zakładu Komunikacji w Lesznie,Regionalny Program Operacyjny Województwa Wielkopolskiego na lata 2007 - 2013,Działanie 2.5. Rozwój miejskiego transportu zbiorowego,Schemat II: Zakup nowego taboru w ramach miejskiego systemu transportu publicznego,"9,888,100.00","7,893,968.70",2009,2010
Miasto Leżajsk,Modernizacja układu komunikacyjnego dróg miejskich w Leżajsku wzdłuż drogi wojewódzkiej nr 877 Leżajsk – Naklik w obrębie węzła Leżajsk,Regionalny Program Operacyjny Województwa Podkarpackiego,2.1. Infrastruktura komunikacyjna,,"3,059,388.79","2,124,709.92",2008,2010
Miasto Lublin,Twój start w przyszłość - rozwój szkolnictwa zawodowego w Lublinie,Program Operacyjny Kapitał Ludzki,9.2. Podniesienie atrakcyjności i jakości szkolnictwa zawodowego,,"1,131,880.00","972,625.30",2008,2010
Miasto Łomża,Ty te masz szansę !,Program Operacyjny Kapitał Ludzki,9.1. Wyrównywanie szans edukacyjnych i zapewnienie wysokiej jakości usług edukacyjnych świadczonych w systemie oświaty,9.1.2 Wyrównywanie szans edukacyjnych uczniów z grup o utrudnionym dostępie do edukacji oraz zmniejszanie różnic w jakości usług edukacyjnych,"99,350.00","98,356.74",2009,2010
Miasto Łomża/ Szkoła Podstrawowa nr 4 w łomży,Dobry Strat,Program Operacyjny Kapitał Ludzki,9.1. Wyrównywanie szans edukacyjnych i zapewnienie wysokiej jakości usług edukacyjnych świadczonych w systemie oświaty,9.1.2 Wyrównywanie szans edukacyjnych uczniów z grup o utrudnionym dostępie do edukacji oraz zmniejszanie różnic w jakości usług edukacyjnych,"78,805.00","73,762.23",2009,2010
Miasto Łomża/ Zespół Szkół Technicznych i Ogólnokształcących nr 4 ,Równy start - równe szanse,Program Operacyjny Kapitał Ludzki,9.2. Podniesienie atrakcyjności i jakości szkolnictwa zawodowego,,"158,023.00","119,628.23",2009,2010
Miasto Łódź,PUBLICZNE SŁUŻBY ZATRUDNIENIA DLA CIEBIE II,Program Operacyjny Kapitał Ludzki,6.1. Poprawa dostępu do zatrudnienia oraz wspieranie aktywności zawodowej w regionie,6.1.2 Wsparcie powiatowych i wojewódzkich urzędów pracy w realizacji zadań na rzecz aktywizacji zawodowej osób bezrobotnych w regionie,"1,104,584.48","894,043.67",2009,2010
Miasto Łódź,Wykwalifikowana kadra - sprawny urząd,Program Operacyjny Kapitał Ludzki,6.1. Poprawa dostępu do zatrudnienia oraz wspieranie aktywności zawodowej w regionie,6.1.2 Wsparcie powiatowych i wojewódzkich urzędów pracy w realizacji zadań na rzecz aktywizacji zawodowej osób bezrobotnych w regionie,"612,000.00","514,598.31",2009,2010
Miasto Łódź,Społeczna Strategia Rewitalizacji,Program Operacyjny Kapitał Ludzki,7.2. Przeciwdziałanie wykluczeniu i wzmocnienie sektora ekonomii społecznej,7.2.1 Aktywizacja zawodowa i społeczna osób zagrożonych wykluczeniem społecznym,"291,365.00","289,590.02",2008,2010
Miasto Łódź,Doskonalenie umiejętności stosowania posiadanej wiedzy przez uczniów przygotowujących się do matury w zakresie rozszerzonym.,Program Operacyjny Kapitał Ludzki,9.1. Wyrównywanie szans edukacyjnych i zapewnienie wysokiej jakości usług edukacyjnych świadczonych w systemie oświaty,9.1.2 Wyrównywanie szans edukacyjnych uczniów z grup o utrudnionym dostępie do edukacji oraz zmniejszanie różnic w jakości usług edukacyjnych,"153,740.00","153,740.00",2008,2010
Miasto Międzyrzec Podlaski,Sposób na wiedzę,Program Operacyjny Kapitał Ludzki,9.1. Wyrównywanie szans edukacyjnych i zapewnienie wysokiej jakości usług edukacyjnych świadczonych w systemie oświaty,9.1.2 Wyrównywanie szans edukacyjnych uczniów z grup o utrudnionym dostępie do edukacji oraz zmniejszanie różnic w jakości usług edukacyjnych,"194,853.00","186,609.79",2008,2010
Miasto Międzyrzec Podlaski / Specjalny Ośrodek Szkolno-Wychowawczy,Zrozumieć ich świat,Program Operacyjny Kapitał Ludzki,9.5. Oddolne inicjatywy edukacyjne na obszarach wiejskich,,"48,918.00","48,669.50",2009,2010
Miasto Mława/Urząd Miasta w Mławie,Przedsiębiorczość w perspektywie zmian gospodarczych - Diagnoza dla Miasta Mława,Program Operacyjny Kapitał Ludzki,8.1. Rozwój pracowników i przedsiębiorstw w regionie,8.1.2 Wsparcie procesów adaptacyjnych i modernizacyjnych w regionie,"360,980.00","347,294.73",2008,2010
Miasto na prawach powiatu Ruda Śląska,Wspieranie aktywnej integracji oraz rozwijanie kompetencji społeczno-zawodowych szansą dla osób niepełnosprawnych oraz ich otoczenia.,Program Operacyjny Kapitał Ludzki,7.2. Przeciwdziałanie wykluczeniu i wzmocnienie sektora ekonomii społecznej,7.2.1 Aktywizacja zawodowa i społeczna osób zagrożonych wykluczeniem społecznym,"671,286.45","662,015.60",2008,2009
Miasto Nowy Sącz,Kierunek na przyszłość - lepsza jakość kształcenia uczniów sądeckich szkół zawodowych z branży budowlanej,Program Operacyjny Kapitał Ludzki,9.2. Podniesienie atrakcyjności i jakości szkolnictwa zawodowego,,"789,097.91","461,443.93",2009,2010
Miasto Nowy Sącz, „Rewaloryzacja zabytkowego układu przestrzennego nowosądeckiej Starówki – ulic Jagiellońska-Szwedzka-Wałowa.”,Regionalny Program Operacyjny Województwa Małopolskiego,3.2. Rozwój produktu dziedzictwa kulturowego,Schemat A: Dziedzictwo kulturowe i rewaloryzacja układów przestrzennych,"2,139,514.56","1,347,493.23",2009,2010
