Województwo,Numer i nazwa Priorytetu,Numer i nazwa Dzia_ania,Nazwa beneficjenta,Tytu_ projektu,Data rozpocz_cia realizacji projektu,Data zako_czenia realizacji projektu,Data podpisania umowy,Warto_ci ogó_em projektu
,,,,"""Wyrównywanie szans i jako_ci us_ug edukacyjnych uczniów szkó_ podstawowych i gimnazjalnych na terenie Gminy G_ucho_azy""",2-Sep-12,1-Jul-14,18-Oct-12,378340
,,,Gmina Gogolin,Gmina Gogolin: Inwestycja w edukacj_ - dobry pomys_ na d_ugie lata,2-Sep-12,16-Jul-13,1-Oct-12,397999
,,,Gmina Gorzów _l_ski,Niech s_o_ce _wieci dla wszystkich dzieci,2-Sep-13,1-Aug-14,3-Nov-13,170240
,,,Gmina Jemielnica,"""Jemielnickie przedszkolaki""",2-Sep-12,1-Sep-13,1-Oct-12,150000
,,,,Szcz__liwe przedszkolaki,2-Oct-13,1-Sep-14,29-Oct-13,200000
,,,Gmina Kietrz,Akademia przygody,2-Sep-12,1-Aug-13,25-Sep-12,399192
,,,Gmina Kluczbork,"""Rozwój kompetencji j_zykowych szans_ dla uczniów z obszarów wiejskich Gminy Kluczbork na lepsz_ przysz_o__""",2-Sep-12,1-Aug-13,30-Aug-12,376159
,,,Gmina Kolonowskie (Urz_d Miasta i Gminy Kolonowskie),Zajmujemy si_ uczniami o specjalnych potrzebach,2-Sep-12,1-Jul-14,28-Oct-12,399986
,,,,"""Przedszkolaki z Kolonowskiego""",2-Sep-12,2-Jun-14,28-Oct-12,150000
,,,Gmina Komprachcice,Akademia przedszkolaka,2-Oct-13,16-Aug-14,19-Dec-13,339441
,,,,Dobry start - lepsza przysz_o__,19-Aug-12,1-Aug-13,1-Oct-12,148660
,,,,Aqu@info - wyrównywanie szans edukacyjnych,2-Jan-13,1-Jul-13,27-Feb-13,183364.4
,,,Gmina Le_nica,Le_nicka szansa na lepsz_ przysz_o__,2-Sep-13,1-Jul-14,27-Nov-13,390606
,,,Gmina Lewin Brzeski,Przedszkola równych szans,2-Oct-13,1-Aug-14,24-Nov-13,199992.8
,,,,Moje Euro-Przedszkole,2-Aug-12,1-Jul-13,27-Sep-12,147744.63
,,,,W szkole si_ naucz_ - w _yciu wykorzystam,16-Sep-13,16-Jul-14,28-Oct-13,354886.12
,,,Gmina Lubsza,"'Przedszkole przyjazne dzieciom""",2-Sep-12,1-Jul-13,30-Oct-12,59982
,,,Gmina _ambinowice,Na dobry pocz_tek - program upowszechniania edukacji przedszkolnej w Gminie _ambinowice,2-Oct-13,1-Aug-14,8-Dec-13,293510
,,,,Dobry start - wdro_enie programów rozwojowych szkó_ w Gminie _ambinowice,2-Sep-13,1-Aug-14,17-Dec-13,372210
,,,Gmina _ubniany,Upowszechnienie wychowania przedszkolnego w gminie _ubniany szans_ na dobry start w przysz_o__,2-Sep-12,1-Jul-13,20-Sep-12,149960
,,,,Rozwój wychowania przedszkolnego w gminie _ubniany oraz wyrównywanie szans edukacyjnych dzieci,2-Oct-13,1-Jul-14,23-Dec-13,199960
,,,Gmina Miasto Brzeg,Szcz__liwe dzieci_stwo drog_ do sukcesu,2-Sep-12,1-Jul-13,30-Aug-12,150000
,,,Gmina Namys_ów,Ku_nia talentów,2-Sep-12,26-Jun-14,25-Oct-12,60000
,,,GMINA NIEMODLIN,Mobilna szko_a w gminie Niemodlin 2009/2010,2-Nov-13,31-Jul-14,20-Nov-13,283107
,,,,Aktywne przedszkole w gminie Niemodlin,2-Sep-13,31-Jul-14,22-Dec-13,194177
,,,Gmina Niemodlin,Upowszechnianie edukacji przedszkolnej w Gminie Niemodlin,2-Jul-12,1-Aug-13,30-Aug-12,149707
,,,,Mobilna szko_a w Gminie Niemodlin,2-Aug-12,1-Aug-13,30-Aug-12,196727
,,,Gmina Nysa - Urz_d Miejski w Nysie,Nowoczesny Przedszkolak,2-May-13,1-Jul-14,6-May-13,198133
,,,Gmina Olesno,Równy start w przysz_o__,2-Jan-13,1-Jul-13,24-Jan-13,337165
,,,,Aktywnie poznaj_ _wiat,2-Sep-13,11-Jun-14,6-Nov-13,399842
,,,Gmina Otmuchów,Swoje jutro wykuwamy dzi_,2-Sep-12,1-Sep-13,28-Nov-12,158171.43
,,,,Swoj_ przysz_o__ wykuwamy teraz,2-Oct-13,1-Jul-14,17-Dec-13,383505.19
,,,Gmina Paw_owiczki,Wzmocnienie edukacji przedszkolnej na terenie Gminy Paw_owiczki.,2-Sep-12,1-Jul-13,1-Oct-12,143614.2
,,,Gmina Pokój,Elastyczne przedszkole,2-Sep-12,1-Jul-13,30-Sep-12,55420
,,,Gmina Polska Cerekiew,Nasza przysz_o__ - lepsza przysz_o__,3-Aug-14,1-Jun-15,20-Nov-13,318080
,,,Gmina Popielów,Moje przedszkole oknem na _wiat,16-Aug-12,1-Aug-13,18-Sep-12,59950.15
,,,,Z wiedz_ w przysz_o__,2-Sep-12,1-Jul-13,22-Nov-12,325707.1
,,,Gmina Praszka,"Aktywno__, nauka, zabawa - program zaj__ dodatkowych realizowanych w szko_ach podstawowych na terenie Gminy Praszka",2-Sep-12,1-May-14,25-Sep-12,345382
,,,Gmina Prószków,Prószkowska Akademia Wiedzy i Aktywno_ci,2-Nov-13,1-Aug-14,18-Nov-13,364065.25
,,,Gmina Rad_ów,Równamy szanse ju_ od przedszkola,2-Oct-13,1-Aug-14,23-Dec-13,199825
,,,,Mamy co_ do udowodnienia,2-Sep-13,1-Jul-14,2-Dec-13,400000
,,,Gmina Re_ska Wie_,Wyrównywanie szans edukacyjnych uczniów z gminy Re_ska Wie_,2-Sep-13,1-Jul-14,20-Oct-13,187600
,,,Gmina Rudniki,Nasze przedszkole - nasz_ przysz_o_ci_,2-Sep-12,1-Aug-13,10-Oct-12,149847.6
,,,,Przedszkole na miar_ XXI wieku,2-Sep-13,19-Jun-14,8-Dec-13,194843
,,,,Moja edukacja dobrym startem w przysz_o__,6-Oct-13,18-Jun-15,17-Dec-13,388670
,,,Gmina Skoroszyce - Urz_d Gminy w Skoroszycach,Z Komputerem do Europy,2-Sep-12,1-Jul-13,11-Sep-12,145012
,,,Gmina Strzelce Opolskie,Akademia Nauk Wielu...,2-Aug-12,1-Aug-13,30-Aug-12,389123
,,,,Szansa  dla najm_odszych,2-Aug-12,1-Aug-13,30-Aug-12,148257.1
,,,Gmina _wierczów,Szcz__liwe Przedszkolaki,2-Sep-13,1-Jul-14,7-Nov-13,79999
,,,,Harmonijna i elastyczna wspó_praca cz_onków spo_eczno_ci przedszkolnej szans_ na sukces dzieci.,2-Sep-12,1-Aug-13,15-Oct-12,51361
,,,,"Wiedza, któr_ otrzymam w latach szkolnych zaowocuje w przysz_o_ci",2-Sep-12,1-Jul-13,15-Oct-12,188795
,,,Gmina Walce,U_miech przedszkolaka-zmniejszanie nierówno_ci w stopniu upowszechnienia edukacji przedszkolnej w Gminie Walce,2-Sep-13,1-Sep-14,13-Nov-13,190440
,,,Gmina Wo_czyn - Urz_d Miejski w Wo_czynie,Utworzenie dodatkowego oddzia_u przedszkolnego w Publicznym Przedszkolu w Wo_czynie,2-Sep-12,1-Jul-13,30-Aug-12,59990
,,,Gmina Zawadzkie,Ja si_ bawi_ w przedszkolu a mama chodzi do pracy,2-Sep-13,1-Aug-14,15-Dec-13,200000
,,,,Mam szanse zaistnie_ w doros_ym _yciu,2-Sep-12,1-Jul-13,29-Oct-12,379814.3
,,,Gmina Zawadzkie (Urz_d Miejski Zawadzkie),"""Przedszkolaki z Zawadzkiego""",2-Sep-12,1-Aug-13,19-Sep-12,150000
,,,Gmina Z_bowice ,Z_bowice - tutaj zostaj_!,2-Sep-12,1-Jul-14,26-Sep-12,400000
,,,,Moje przedszkole jest fajne!,2-Sep-13,1-Aug-14,28-Oct-13,80000
,,,Gmina Z_bowice (Urz_d Gminy w Z_bowicach),"""Z_bowickie przedszkolaki""",2-Sep-12,1-Sep-13,26-Sep-12,60000
,,,Miasto Opole,Przyjazne przedszkola - wsparcie edukacji przedszkolnej w mie_cie Opolu,2-Nov-13,1-Dec-14,6-Nov-13,399990
,,,,Via ad Artes - program rozwojowy liceów ogólnokszta_c_cych Miasta Opola,2-Oct-13,1-Aug-14,6-Nov-13,399999.6
,,,,"""Elastyczne przedszkola - wsparcie edukacji przedszkolnej w mie_cie Opolu""",2-Aug-12,1-Aug-13,30-Aug-12,399997
,,,"Niepubliczny O_rodek Doskonalenia Nauczycieli ,,ORBILIUSZ II"" w Brzegu","""Aktywni, oryginalni, otwarci""",26-Aug-12,21-Aug-13,16-Dec-12,191933
,,,Opolskie Centrum Demokracji Lokalnej FRDL,Wiedza - moja przysz_o__,2-Nov-13,1-Aug-14,5-Feb-14,225250
,,,Politechnika Opolska,Kreator m_odych talentów,5-Jan-14,1-Jul-15,13-Feb-14,399575.2
,,,Powiat K_dzierzy_sko Kozielski,"Otwarci na wiedz_, otwarci na ludzi, otwarci na Europ_",2-Dec-13,1-Jun-14,18-Dec-13,220695
,,,Powiat Kluczborski,"Nauka, wiedza, sukces",2-Aug-12,1-Jul-13,29-Oct-12,353822
,,,Powiat Krapkowicki,Równam do najlepszych - tutaj zostaj_ ,3-Mar-13,1-Mar-14,28-Mar-13,154370
,,,,Daj dziecku szanse - podaj mu d_o_,2-Oct-13,1-Aug-14,16-Feb-14,315506.57
,,,Powiat Nyski,Witamina o_wiatowa - dodatkowe zaj_cia s_u__ce wyrównaniu dysproporcji edukacyjnych i rozowjowi kompetencji kluczowych w szko_ach powiatu nyskiego,2-Jul-12,1-Sep-13,28-Oct-12,337630
,,,Powiat Opolski,"""Ucze_ przysz_o_ci_ Europy""",20-May-12,1-Sep-13,11-Dec-12,164508.55
,,,Powiat Prudnicki,Nasze przedszkole,2-Sep-13,13-Mar-14,9-Mar-14,79999
,,,Powiat Strzelecki,MAM SZANS_ - kreowanie i wspieranie rozwoju uczniów ze _rodowisk wiejskich i ma_omiasteczkowych.,2-Sep-13,1-Jul-15,23-Dec-13,374562.2
,,,"Prywatna Szko_a J_zyków Obcych Junior s.c., Jolanta Fr_czkowska Roman Fr_czkowski",Nauka j_zyka angielskiego - inwestycj_ w przysz_o__ dziecka,2-Jul-12,29-Aug-13,29-Nov-12,362293
,,,"Stowarzyszenie ""Brzeska Wie_ Historyczna"" ",Szko_y na pi_tk_ II,5-Jan-14,1-Mar-15,15-Dec-13,389910
,,,,Szko_y na pi_tk_,2-Apr-13,1-Apr-14,11-Mar-13,399484.1
,,,"Stowarzyszenie Lokalna Grupa Dzia_ania ""Stobrawski Zielony Szlak""",Wyrównujemy szanse uczniów na wsi!,3-Nov-13,1-Oct-14,28-Oct-13,199990
,,,Stowarzyszenie na Rzecz Rozwoju Wsi Mechnica,Szko_a ber barier,2-Sep-13,1-Jul-14,29-Oct-13,60000
,,,Stowarzyszenie Rozwoju Wsi Grodzisko,EDUKACJA GLOBALNA-PRZEDSI_BIORCZO__ LOKALNA. Szansa w zaplanowanym dzia_aniu.,2-Aug-12,1-Jan-14,19-Dec-12,59920.04
,,,Uniwersytet Opolski,Ma_y przedszkolak - wielki cz_owiek,2-Aug-12,1-Jul-13,31-Oct-12,193200
,,,,Masz szans_,2-Sep-13,1-Jun-14,16-Jan-14,395835
,,,Urz_d Gminy Izbicko,Uczniowie przysz_o_ci_ Naszej Gminy,2-Sep-12,1-Jul-13,15-Oct-12,399934
,,,Urz_d Gminy w Dobrzeniu Wielkim,"""Szansa na edukacje szns_ na sukces""",2-Sep-12,1-Aug-13,26-Sep-12,238840
,,,Urz_d Gminy w Pakos_awicach,"""Edukacja przedszkolna szans_ na sukces Twój i Twojego dziecka""",2-Sep-12,26-Jun-14,27-Sep-12,150000
,,,Urz_d Marsza_kowski Województwa Opolskiego / Departament Edukacji i Rynku Pracy,Program pomocy stypendialnej województwa opolskiego dla uczniów szczególnie uzdolnionych szkó_ gimnazjalnych i ponadgimnazjalnych,2-May-13,1-Dec-14,16-Dec-13,490210
,,,"Us_ugi Edukacyjne Krzysztof Z_bkowski, Jolanta Pietruk s.c.",Fasolka- wsparcie i rozwój dzieci_cej rzeczywisto_ci.,2-Oct-13,31-Jul-14,17-Dec-13,200000
,,,,Ku_nia m_odych talentów,2-Oct-13,31-Jul-14,6-Jan-14,199999
,,,Us_ugi w zakresie edukacji Jan _o_y_ski,TORNISTER,2-Aug-12,1-Aug-13,29-Nov-12,397014.17
,,,Województwo Opolskie/ Wojewódzki O_rodek Doskonalenia Informatycznego i Politechnicznego w Opolu,Nowe technologie na us_ugach edukacji,2-Jun-13,1-Jun-14,4-Nov-13,1200000
,,9.2. Podniesienie atrakcyjno_ci i jako_ci szkolnictwa zawodowego,Bizneslingua Centrum J_zyków Obcych,"Inwestycja w j_zyki, ICT i przedsi_biorczo__- kluczem do sukcesu uczniów PZSZ w Dobrzeniu Ma_ym",2-Sep-13,1-Jul-14,25-Jul-13,100000
,,,Izba Rzemie_lnicza w Opolu,Podr_cznik dla uczniów zawodów rzemie_lniczych - nowa jako__ kszta_cenia w trybie pozaszkolnym,2-Feb-13,1-Aug-13,6-Feb-13,59750
,,,"Ludowy Klub Je_dziecki ""Lewada""",Profesjonalna praktyka szans_ wspó_czesnego absolwenta,2-Sep-13,1-Jun-14,3-Oct-13,199893
,,,Miasto Opole,M_odzi zawodowcy - program rozwojowy szkó_ zawodowych Miasta Opola,2-Sep-13,1-Jul-14,26-Sep-13,599968.92
,,,,Program rozwojowy szkó_ zawodowych Miasta Opola,2-Aug-12,1-Aug-13,9-Aug-12,499995
,,,Powiat Brzeski,Motywacja + Praktyka = Sukces,3-Feb-13,30-Jan-14,24-Feb-13,352267
,,,Powiat g_ubczycki,Nabycie umiej_tno_ci i uprawnie_ do kierowania pojazdami zwi_kszaj_cych atrakcyjno_ci i kompetencje uczniów szkó_ zawodowych poprzez zorganizowanie kursów prawa jazdy,2-Sep-12,1-Jul-13,30-Aug-12,58775
,,,Powiat K_dzierzy_sko-Kozielski,"Uczniowie Powiatu K_dzierzy_sko-Kozielskiego - wykszta_ceni, kompetentni, zorientowani na sukces",2-Sep-13,1-Jul-14,6-Aug-13,600000
,,,Powiat K_dzierzy_sko-Kozielski / Centrum Kszta_cenia Praktycznego i Ustawicznego w K_dzierzynie - Ko_lu,Absolwenci z K_dzierzyna-Ko_la - najlepsi z najlepszych,2-Sep-12,1-Jan-14,31-Jul-12,500000
,,,Powiat Kluczborski,Ucze_ perspektywiczny,3-Feb-13,1-Jul-14,20-Mar-13,463000
,,,,Zawodowy start w przysz_o__,2-Sep-13,1-Jul-15,24-Sep-13,404210
,,,Powiat Krapkowicki,Dosi_gn__ marze_ - rozwój kompetencji m_odzie_y w powiecie,2-Sep-12,1-Aug-13,31-Jul-12,176285.4
,,,Powiat krapkowicki,Inwestujemy w swoj_ przysz_o__,2-Sep-13,31-Jul-14,2-Oct-13,229037
,,,Powiat Namys_owski,Szko_a zawodowa drog_ do ciekawej przysz_o_ci,2-Oct-13,1-Jul-15,19-Feb-14,588974
,,,,Lepsza Szko_a Zawodowa - Lepszym Jutrem,2-Sep-12,1-Jul-13,31-Jul-12,136092
,,,Powiat Nyski,Wysokie kwalifikacje-moja lepsza przysz_o__,2-Sep-13,1-Aug-14,27-Nov-13,597480
,,,,Autostrada kompetencji w Powiecie Nyskim - szkolenie dla uczniów placówek kszta_cenia zawodowego,2-Jul-12,30-Jan-14,20-Aug-12,499800
,,,Powiat Oleski,Nowoczesne kszta_cenie zawodowe w powiecie oleskim,2-Oct-13,1-Jun-14,20-Oct-13,599214.29
,,,Powiat Opolski,Nowe kompetencje uczniów Publicznego Technikum Le_nego w Tu_owicach szans_ na lepsze jutro,2-Jan-13,1-Sep-13,6-Mar-13,59839
,,,,Przysz_o__ nale_y do specjalistów,2-Sep-13,1-Mar-15,2-Oct-13,344222
,,,Powiat Prudnicki,Wzmocnienie atrakcyjno_ci i podniesienie jako_ci oferty edukacyjnej szkó_ zawodowych - Zespo_u Szkó_ w G_ogówku i Zespo_u Szkó_ Rolniczych w Prudniku,2-Sep-13,1-Jul-15,3-Oct-13,452945
,,,Powiat Strzelecki,Akademia nowych specjalno_ci zawodowych-dobry pocz_tek kariery.,2-Sep-13,1-Sep-14,3-Oct-13,406750
,,,,Przysz_y absolwent - fachowiec. Ucze_ szko_y zawodowej z mi_dzynarodowymi certyfikatami.,2-Aug-12,31-Jul-13,1-Aug-12,276000
,,,Pracownia Rozwoju Osobistego,Wzrost kompetencji spo_ecznych gwarantem sukcesu zawodowego,2-Nov-13,1-Dec-14,15-Dec-13,198465.88
,,,,Krok w lepsz_ przysz_o__- projekt realizowany na terenie szkó_ zawodowych wojewód_twa opolskiego,2-Feb-13,2-Feb-14,30-Apr-13,101000
,,,Starostwo Powiatowe w Ole_nie,Ucz si_ zawodu i realizuj marzenia,2-Sep-12,2-Jun-13,21-Aug-12,455467
,,,Stowarzyszenie Instytut _l_ski,Badanie umiej_tno_ci praktycznych absolwentów okre_lonych typów szkó_ zawodowych w_ród organizacji przedsi_biorców i pracodawców woj. Opolskiego,2-Jul-12,1-Jul-13,31-Jul-12,646519.19
,,,Województwo Opolskie/ Wojewódzki O_rodek Doskonalenia Informatycznego i Politechnicznego w Opolu,Innowacyjna szko_a zawodowa,2-Aug-13,1-Aug-14,11-Nov-13,1200000
,,9.3. Upowszechnienie formalnego kszta_cenia ustawicznego,Centrum Szkoleniowe WIEDZA,Kszta_cenie autostrad_ nowych mo_liwo_ci,2-Jan-14,1-Jul-15,16-Dec-13,470377.97
,,,CTC Polska Sp. z o.o.,Szko_a otwarta dla doros_ych. Modernizacja systemu kszta_cenia ustawicznego na potrzeby opolskiego rynku pracy.,3-Nov-13,1-Jan-15,9-Jan-14,479926.4
,,,Powiat nyski/Powiatowy Urz_d Pracy w Nysie," ""A po nocy przychodzi dzie_""",2-Mar-14,1-Jul-15,28-Oct-13,111000
,,,,WYkwalifikowani - do pracy!!!,2-May-13,1-Jul-14,19-May-13,298500
,,,Powiat Oleski,Szko_a Policealna w Gorzowie _l_skim Twoj_ szans_,3-Nov-13,1-Mar-15,24-Dec-13,180516.9
,,,Us_ugi w Zakresie Edukacji Jan _o_y_ski,Wykszta_cenie-klucz do aktywno_ci,2-Jan-14,1-Jul-15,22-Oct-13,499900
,,,VNT Communications Adam Wasio_ka,ZAWODOWY START - rozpocznij od potwierdzania kwalifikacji zawodowych,2-Oct-13,1-Aug-14,19-Dec-13,198374.35
,,,Wy_sza Szko_a Zarz_dzania i Administracji w Opolu,Usuwamy bariery. Badania potrzeb edukacyjnych pracodawców i pracobiorców w województwie opolskim.,2-Jan-13,1-Aug-13,21-Feb-13,492817.51
,,9.4. Wysoko wykwalifikowane kadry systemu o_wiaty,Gmina Krapkowice,Doskonalenie kadry o_wiatowej w gminie Krapkowice,2-Sep-13,1-Jul-15,9-Dec-13,176600
,,,Gmina Strzelce Opolskie/Urz_d Miejski w Strzelcach Opolskich,Rozwój nowoczesnych kadr zarz_dzania o_wiat_ w Gminie Strzelce Opolskie,2-Oct-13,1-Jan-14,25-Jun-13,133389.95
,,,Management Service,Psychologia stosowana dla nauczycieli,2-Jul-13,1-Jul-14,7-Aug-13,149998
,,,Miasto Opole,O_wiata jutra - kursy doskonal_ce dla kadry administracyjnej i zarz_dzaj_cej o_wiat_ w mie_cie Opolu,2-May-13,1-May-14,25-Jun-13,457500.53
,,,Powiat Brzeski,Doskonalenie kadry systemu o_wiaty szkó_ ponadgimnazjalnych i placówek o_wiatowych Powiatu Brzeskiego,16-Oct-12,1-Jul-14,5-May-13,280620
,,,Powiat Oleski,Ucz lepiej!,2-Jan-14,1-Jul-15,19-Feb-14,150000
,,,Województwo Opolskie/ Wojewódzki O_rodek Doskonalenia Informatycznego i Politechnicznego w Opolu,Kompetentne kadry o_wiaty kapita_em regionu,3-Feb-13,1-Aug-13,15-Jul-13,284943
,,,Województwo Opolskie/Wojewódzki O_rodek Doskonalenia Informatycznego i Politechnicznego w Opolu,Inwestujemy w kadry opolskiej o_wiaty,2-Aug-13,1-Dec-13,11-Nov-13,150000
,,9.5. Oddolne inicjatywy edukacyjne na obszarach wiejskich,Bizneslingua Centrum J_zyków Obcych,Aktywni mieszka_cy Gminy Chrz_stowice,2-Jan-13,1-Aug-13,25-Feb-13,50000
,,,Fundacja Euro-Country Partnerstwo dla zrównowa_onego rozwoju obszarów wiejskich,Poznajemy j_zyki - poznajemy ludzi,16-Feb-13,11-Nov-13,24-Mar-13,44427.5
,,,Gmina Branice,Wiedza oknem na _wiat,6-Mar-13,1-Oct-13,5-Jun-13,47179.99
,,,Gmina G_ogówek/ Szko_a Podstawowa nr 1 w G_ogówku,Wybieram rozwój dla mojej lepszej przysz_o_ci,2-Jan-13,1-Mar-14,6-Mar-13,49990
,,,Gmina G_ucho_azy / Publiczna Szko_a Podstawowa im. Tadeusza Ko_ciuszki w Bodzanowie,"Obcowanie z kultur_, sztuk_ i przyrod_.",2-Mar-13,1-Mar-14,26-Feb-13,36710
,,,Gmina Komprachcice,Lokalny Lider Edukacji - Wawelno 2009,3-Mar-13,1-Jan-14,21-May-13,20220
,,,Gmina Krapkowice/ Publiczne Gimnazjum Nr 2 w Krapkowicach im. Powsta_ców _l_skich,"Nasza przesz_o__, tera_niejszo__ i przysz_o__.",2-Jan-13,1-Jan-14,22-Apr-13,50000
,,,Gmina Krapkowice/ Zespó_ Szkó_ Sportowych nr 1 im. Janusza Korczaka w Krapkowicach,EDUKACJA POPRZEZ PLASTYK_ I WYCIECZKI,2-Jan-13,1-Jul-14,13-Mar-13,50000
,,,Gmina Krapkowice/Publiczna Szko_a Podstawowa im.Jana Paw_a II _ywocicach,Swoje poznajcie!,3-Feb-13,1-Dec-13,17-Mar-13,50000
,,,Gmina Krapkowice/Publiczna Szko_a Podstawowa nr 4 im. J. Brzechwy w Krapkowicach,Rozwijamy wiedz_ i umiej_tno_ci poprzez do_wiadczenie,2-Feb-13,1-Jul-14,7-Mar-13,50000
,,,Gmina Krapkowice/Zespó_ Szkolno-Przedszkolny Nr 3 w Rogowie Opolskim,Przez wiedz_ i kultur_ do rozwoju wsi.,2-Mar-13,19-Jun-14,29-Apr-13,50000
,,,Gmina Lubsza,"Oddolne inicjatywa na obszarze wiejskim ""Wiejskie Szkó_ki j_zykowe""",16-Feb-13,31-Jul-13,2-Apr-13,49995
,,,Gmina Paw_owiczki,Podniesienie umiej_tno_ci i aktywno_ci w obszarze edukacji mieszka_ców Gminy Paw_owiczki,2-Mar-13,1-Mar-14,31-Mar-13,48940
,,,Gminny O_rodek Kultury w Lubszy,"Inicjatywa edukacji pozaszkolnej na obszarze wiejskim ""Warsztaty rozwoju osobistego dzieci wiejskich""",21-May-13,31-Oct-13,10-Mar-13,50000
,,,"Ludowy Klub Sportowy ""Hetman"" Byczyna","""Miejska, szkolna liga pi_karska w Byczynie""",2-Apr-13,1-Aug-13,24-Mar-13,49990
,,,Ochotnicza Stra_ Po_arna Biestrzykowice-Miodary,Ochotnicza Stra_ Po_arna - Nasza Duma,7-Feb-13,1-Jun-13,7-Mar-13,34480
,,,Ochotnicza Stra_ Po_arna w Makowicach,Specjalistyczny kurs ratownictwa medycznego dal stra_aków - ochotników z gminy Skoroszyce.,27-Jan-13,1-Apr-13,21-Feb-13,37160
,,,Ochotnicza Stra_ Po_arna w Pakos_awicach,Wzrost wyszkolenia stra_aków sposobem na podniesienie sprawno_ci bojowej jednostek z terenu gminy Pakos_awice,3-Feb-13,1-Jul-13,7-Mar-13,48877.5
,,,Ochotnicza Stra_ Po_arna w Paruszowicach,"""Jeste_my europejczykami""",3-Mar-13,30-Dec-13,27-Feb-13,29910
,,,Ochotnicza Stra_ Po_arna w Siemys_owie,"„Mo_liwo_ci pozyskania nowych kwalifikacji dla mieszka_ców wsi Siemys_ów""",2-Mar-13,1-Jun-13,25-Apr-13,50000
,,,Ochotnicza Stra_ Po_arna w Straduni,"Uczymy si_, pomagamy, ratujemy.",2-Feb-13,1-Aug-13,25-Apr-13,48203
,,,Ochotnicza Stra_ Po_arna w Suchym Borze,WIEM JAK RATOWA_ _YCIE - Szkolenia z udzielenia pierwszej pomocy przedmedycznej.,2-Dec-12,1-Jun-13,27-May-13,48500
,,,Ochotnicza Stra_ Po_arna w Zielinie,Wiem jak pomóc,6-Jan-13,1-May-13,17-Feb-13,26250
,,,Powiat Nyski/Powiatowy Urz_d Pracy w Nysie,Kobieta z Bielic - CZAS NA NAS,2-Feb-13,1-Sep-13,28-Mar-13,48900
,,,"Stowarzyszenie ,,Brzeska Wie_ Historyczna"" ",III Sektor - stawia na Edukacj_!,6-Jan-13,1-Oct-13,24-Feb-13,50000
,,,Stowarzyszenie Dolina Ma_ej Panwi,Szerzenie wiedzy na temat historii lokalnej w_ród mieszka_ców Gminy Ozimek.,6-Jan-13,21-Jun-14,1-Apr-13,50000
,,,Stowarzyszenie Kraina _w. Anny,Si_gamy po wiedz_ o regionie,21-Feb-13,21-Sep-13,26-Feb-13,49986
,,,"Stowarzyszenie na Rzecz Odnowy i Rozwoju Wsi ""Sami Sobie"" i Mi_o_ników Sztuki Kulinarnej i Regionalnych Przysmaków w Wilamowicach Nyskich ",Ludowa Akademia Umiej_tno_ci - szans_ na perspektywiczny rozwój spo_eczno_ci wiejskiej,2-Jan-13,1-Jan-14,25-Feb-13,32383
,,,"Stowarzyszenie na Rzecz Pomocy Osobom Niepe_nosprawnym ""Siedlisko"" w Zawadzkiem",Bez barier,2-Mar-13,1-Jan-14,28-Mar-13,50000
,,,Stowarzyszenie na Rzecz Rozwoju Wsi Gadzowice i Go_uszowice,Nowe umiej_tno_ci - nowe mo_liwo_ci,21-Jan-13,6-Jul-13,13-May-13,45701.17
,,,Stowarzyszenie na Rzecz Rozwoju Wsi Mechnica,Ziarnko do ziarnka...,2-Feb-13,1-Jul-13,19-Mar-13,50000
,,,Stowarzyszenie na Rzecz Rozwoju Wsi Siemys_ów,Kurs m_odszego ratownika wodnego szans_ dla ka_dego,2-Mar-13,1-Aug-13,12-May-13,50000
,,,Stowarzyszenie na Rzecz Wspierania Rozwoju Nacz_s_awic,"Wzrost aktywno_ci spo_ecznej w obszarze edukacji w Nacz_s_awicach, Trawniku i Grodzisku",2-Feb-13,1-Mar-14,21-Mar-13,49885
,,,Stowarzyszenie Odnowy Wsi Solec,Gmina Bia_a - Przysz_o__ równych szans,2-Feb-13,16-Nov-13,18-Mar-13,49533
,,,STOWARZYSZENIE ODNOWY WSI ZAKRZÓW,SOS dla _ycia,6-Jan-13,1-Sep-13,7-Mar-13,50000
,,,"Stowarzyszenie ""Przysz_o__ Chrz_stowic""",Aktywne Chrz_stowice,2-Jan-13,1-Jan-14,27-Feb-13,47118
,,,Stowarzyszenie Rodzina Kolpinga w Kolonowskiem,Jeste_my Europejczykami,2-Mar-13,31-Oct-13,28-Feb-13,50000
,,,Stowarzyszenie Rozwoju i Odnowy Wsi B_ków,Inicjatywa wsi B_ków szans_ dla rozwoju OSP gminy Kluczbork,2-Mar-13,1-Jun-13,12-May-13,49850
,,,Stowarzyszenie Rozwoju Wsi Jasienica Dolna i Wsi Drogoszów,ZIMOWY KURS KOMPUTEROWY - INICJATYWA MIESZKA_CÓW WSI JASIENICA DOLNA I DROGOSZÓW.,2-Jan-13,1-May-13,13-Feb-13,9595
,,,Stowarzyszenie Rozwoju Wsi Kad_ub Wolny,Kad_ub Wolny - wie_ ucz_ca si_.,2-Mar-13,1-Sep-13,14-Mar-13,50000
,,,Stowarzyszenie Rozwoju Wsi Ma_kowice,MACIEK - Ma_kowice Centrum Informacyjno-Edukacyjno-Kulturalne.,2-Mar-13,1-Feb-14,5-May-13,50000
,,,Stowarzyszenie Rozwoju Wsi Stare Ko_le,Do zatrudnienia jeden krok...,2-May-13,1-Jan-14,25-Jun-13,40840.3
