"Nr.p.k.","Nosaukums","Juridiskā adrese","Projektā iesaistītie partneri","Projekta nosaukums","Projekta īstenošanas vieta","Projekta apstiprināšanas datums","Kopsavilkums par projekta ietvaros veicamajām darbībām","Kopējās apstiprinātās projekta attiecināmās izmaksas (LVL)","ERAF finansējums (LVL)","Valsts budžeta dotācija pašvaldībām (LVL)","Projekta īstenošanas laiks mēnešos"
26,"Mārupes novada Dome","Daugavas iela 29, Mārupes novads, LV-2167",,"Mārupes pagasta izglītības iestāžu informatizācija","Rīgas reģions, ",14/10/2009,"Projekta ietvaros 4 Mārupes pagasta skolas  tiks apgādātas ar 24  stacionārajiem un 5 portatīvajiem datoriem , iegādāti 3 multimediju tehnikas komplekti- ( 3 interaktīvās tāfeles un 3 projektori) , kā arī attīstīts 1 lokālais datortīkls. Līdz ar to, Jaunmārupes  sākumskola,Mārupes pamatskola,Mārupes vidusskola un Skultes pamatskola  tiks nodrošinātas ar  atbilstošu infrastruktūru, kas veicinās  un efektīvāku IKT izmantošanu izglītības iestādēs, tādējādi uzlabojot izglītības kvalitāti un efektivitāti. Projekta ietvaros iegādātie stacionārie datori tiks savienoti projekta rezultātā izveidotajā lokālajā tīklā. Projekta ietvaros attīstītais lokālais tīkls tiks savienots ar skolā jau esošo lokālo tīklu.
",29129.06,24759.69,4369.37,21
27,"Cesvaines novada dome","Pils iela 1a, Cesvaine, Cesvaines novads, LV-4871",,"Cesvaines internātpamatskolas informatizācija","Vidzeme, ",14/10/2009,"Projekta ietvaros Cesvaines internātpamatskola tiks apgādātas ar 10 stacionārajiem un 2 portatīvajiem datoriem, iegādāts 1 multimediju tehnikas komplekti (1 interaktīvā tāfele un 1 projektors), kā arī attīstīts skolas lokālais datortīkls. Līdz ar to Cesvaines internātpamatskola tiks nodrošināta ar atbilstošu infrastruktūru, kas veicinās plašāku un efektīvāku IKT izmantošanu izglītības iestādēs, tādējādi uzlabojot izglītības kvalitāti un efektivitāti. Projekta ietvaros iegādātie stacionārie datori tiks savienoti projekta rezultātā izveidotajā lokālajā tīklā. Projekta ietvaros attīstītais lokālais tīkls tiks savienots ar skolā jau esošo lokālo tīklu",11447.62,9730.47,1717.15,18
28,"Lubānas novada pašvaldība","Tilta iela 11, Lubāna, Lubānas novads, LV-4830",,"Lubānas novada izglītības iestāžu informatizācija","Vidzeme, ",14/10/2009,"Projekta ietvaros 2 Lubānas novada skolas tiks apgādātas ar 33 stacionārajiem un 4 portatīvajiem datoriem, iegādāts 2  multimediju tehnikas komplekts - 2 interaktīvās tāfeles un 2 projektori, kā arī attīstīti 2 lokālie datortīkli. Līdz ar to Lubānas vidusskola, Meirānu Kalpaka pamatskola tiks nodrošināta ar atbilstošu infrastruktūru, kas veicinās plašāku un efektīvāku IKT izmantošanu izglītības iestādēs, tādējādi uzlabojot izglītības kvalitāti un efektivitāti.
Projekta ietvaros iegādātie stacionārie datori tiks savienoti projekta rezultātā izveidotajā lokālajā tīklā. Projekta ietvaros attīstītais lokālais tīkls tiks savienots ar skolā jau esošo lokālo tīklu.
",32070.66,27260.05,4810.61,18
29,"Ikšķiles novada pašvaldība","Strēlnieku iela 10, Ikšķile, Ikšķiles novads, LV-5052",,"Ikšķiles novada Tīnūžu pamatskolas informatizācija","Rīgas reģions, ",14/10/2009,"Projekta ietvaros Ogres rajona Ikšķiles novada Tīnūžu pamatskola tiks apgādāta ar 2 portatīvajiem datoriem un 1 multimediju tehnikas komplektu, kurā ietilpst interaktīvā tāfele un projektors. Līdz ar to, Tīnūžu pamatskola tiks nodrošināta ar atbilstošu infrastruktūru, kas veicinās plašāku un efektīvāku informācijas un komunikāciju tehnoloģiju izmantošanu izglītības iestādē, tādējādi uzlabojot izglītības kvalitāti un efektivitāti.",4389.61,3731.16,658.45,18
30,"Garkalnes novada pašvaldība","Brīvības gatve 455, Rīga, LV-1024",,"Garkalnes novada izglītības iestāžu informatizācija","Rīgas reģions, ",14/10/2009,"Projekta ietvaros divas Garkalnes novada Domes skolas tiks apgādātas ar 7 stacionārajiem un 4 portatīvajiem datoriem, iegādāti 2 multimediju tehnikas komplekti (2 interaktīvās tāfeles un 2 projektori), kā arī uzlaboti 2 lokālie datortīkli. Līdz ar to, Garkalnes pamatskolā un Berģu pamatskolā tiks uzlabota infrastruktūra, kas veicinās plašāku un efektīvāku IKT izmantošanu izglītības iestādēs, tādējādi uzlabojot izglītības kvalitāti un efektivitāti. Projekta ietvaros iegādātie stacionārie datori tiks savienoti projekta rezultātā uzlabotajā lokālajā tīklā. Projekta ietvaros attīstītais lokālais tīkls tiks savienots ar skolā jau esošo lokālo tīklu.",13719.82,11661.83,2057.99,18
31,"Ērgļu novada pašvaldība","Rīgas iela 10, Ērgļu pagasts, Ērgļu novads, LV-4840",,"Ērgļu novada izglītības iestāžu informatizācija","Vidzeme, ",14/10/2009,"Projekta ietvaros 2 Ērgļu novada skolas tiks apgādātas  ar 5 stacionārajiem un 2 portatīvajiem datoriem, iegādāts 1 multimediju tehnikas komplekts (1 interaktīvā tāfele un 1 projektors), kā arī attīstīti 2 lokālie datortīkli. Līdz ar to, Ērgļu vidusskola un Jāņa Zālīša Sausnējas pamatskola tiks nodrošinātas ar atbilstošu infrastruktūru, kas veicinās plašāku un efektīvāku IKT izmantošanu izglītības iestādēs, tādējādi uzlabojot izglītības kvalitāti un efektivitāti. 
Projekta ietvaros iegādātie stacionārie datori tiks savienoti projekta rezultātā izveidotajā lokālajā tīklā. 
Projekta ietvaros attīstītie lokālie tīkli tiks savienoti ar skolās jau esošajiem lokālajiem tīkliem. ",7918.62,6730.82,1187.8,12
32,"Ciblas novada pašvaldība","c.Blonti, Blontu pagasts, Ciblas novads, LV-5706",,"Pušmucovas pamatskolas informatizācija","Latgale, ",14/10/2009,"Projekta ietvaros Pušmucovas pagasta Pušmucovas pamatskola tiks apgādāta ar 4 stacionārajiem un 2 portatīvajiem datoriem, tiks iegādāts 1 multimediju tehnikas komplekts – interaktīvā tāfele un projektors, kā arī attīstīts lokālais datortīkls. Līdz ar to Pušmucovas pamatskola tiks nodrošināta ar atbilstošu infrastruktūru, kas veicinās plašāku un efektīvāku IKT izmantošanu mācību iestādē, tādējādi uzlabojot izglītības kvalitāti un efektivitāti. 
Projekta ietvaros iegādātie stacionārie datori tiks savienoti projekta rezultātā izveidotajā lokālajā tīklā. Projekta ietvaros attīstītais tīkls tiks savienots ar skolā jau esošo lokālo tīklu
",7212.81,6130.88,1081.93,18
33,"Brocēnu novada dome","Lielcieceres iela 3, Brocēni, Brocēnu novads, LV-3851",,"Brocēnu novada izglītības iestāžu informatizācija","Kurzeme, ",14/10/2009,"Projekta ietvaros 4 Brocēnu novada skolas tiks apgādātas ar 60 stacionārajiem un 6 portatīvajiem datoriem, iegādāti 3 multimediju tehnikas komplekti (3 interaktīvās tāfeles un 3 projektori), kā arī attīstīti 4 lokālie datortīkli. Līdz ar to, Brocēnu vidusskola, Blīdenes pamatskola, Remtes pamatskola, Gaiķu pamatskola tiks nodrošināta ar atbilstošu infrastruktūru, kas veicinās plašāku un efektīvāku IKT izmantošanu izglītības iestādēs, tādējādi uzlabojot izglītības kvalitāti un efektivitāti. Projekta ietvaros iegādātie stacionārie datori tiks savienoti projekta rezultātā izveidotajā lokālajā tīklā. Projekta ietvaros attīstītais lokālais tīkls tiks savienots ar skolā jau esošo lokālo tīklu. ",55516.92,47189.38,8327.54,6
34,"Baldones novada dome","""Pārupes"", Baldone, Baldones novads, LV-2125",,"Izglītības iestāžu informatizācija ","Rīgas reģions, ",14/10/2009,"Baldones novadā ir 2 skolas, kas atrodas Baldonē. Baldones vidusskola savā darbībā vispārizglītojošā jomā ir sasniegusi augstus rezultātu un to pabeidzot skolēni sekmīgi iestājas augstākajās mācību iestādēs vai uzsāk darbu, pilnveidojot savu izglītību patstāvīgi. Ik gadus mācību olimpiādes notiek arī skolā, kuru uzvarētāji tiek izvirzīti tālākā līmenī. Visa šī darbība un augsto rezultātu sasniegšana šodienas apstākļos nav iedomājama bez informatīvo tehnoloģiju izmantošanas, tādēļ ir īsti vietā skolu informatizācijas līmeņa paaugstināšana. Baldonē vairāk kā 2/3 pamatskolu audzēkņu turpina izglītību vidusskolā un viņiem jau pamatskolas laikā nepieciešams apgūt iemaņas praktiskai datoru iespēju izmantošanai mācību procesā gan informācijas ieguvē gan uzdotā izpildē.
Baldones novada divas skolas tiks apgādātas kopā ar 23 stacionārajiem un 2 portatīvajiem datoriem, tiks iegādāts 1 multimediju tehnikas komplekts (1 interaktīvā tāfele un 1 projektors) un būs izveidoti 2 lokālie tīkli. Baldones vidusskolā un Baldones mūzikas pamatskolā iegādātie datori tiks savienoti projekta rezultātā izveidotā lokālajā tīklā. Projekta ietvaros attīstītie lokālie tīkli savukārt būs pievienoti ar skolās jau izveidotiem tīkliem un ļaus visiem datoriem darboties vienotā tīklā.
2007./2008.gadā skolēni aktīvi piedalījušies Rīgas rajona olimpiādēs (iegūtas 23 godalgotas vietas (iepriekš 2006./2007.m.g. bija 15 godalgotas vietas). 2007./2008.mācību gadā arī izvirzīti skolēni uz valsts mēroga olimpiādēm un konkursiem (iegūtas 3 godalgotas vietas). Arī šajā 2008./2009. mācību gadā jau ir sasniegti atzīstami rezultāti notikušajās mācību olimpiādēs – Rīgas rajona bioloģijas olimpiādē 9.klases skolēnam 3.vieta, matemātikas olimpiādē – 11.klases audzēknim – 1.vieta, mājturības un tehnoloģiju II 9-12.klašu olimpiādē, 9.klases audzēknis sīvā konkurencē ieguva 3.vietu rajonā.
Projekta rezultātā tiks uzlabota izglītības kvalitāte un sniegta iespēja jauniešiem vairāk izmantot datortehniku mācību vielas apguvē jau pamatskolā un lietot datorus mācību un pētniecisko projektu izstrādē skolās. Būs iespēja pilnveidot mācību procesu, kā arī paaugstināt skolēnu ieinteresētību mācību procesā un skolēnu sekmības līmeni. Sevišķi paredzēts uzdot mājas darbus un uzdevumus, kas prasītu vispusīgi izmantot datoru iespējas un interneta datu bāzes. Ir jau pierādījies, ka šodienas informācijas lielā apjoma apstākļos galvenā uzmanība skolā jāpievērš nevis, lai skolēni iemācītos konkrētu vielu, to „iekaļot”, bet gan, ka svarīgāk ir skolēniem zināt un labi pārzināt iespējas, kā sameklēt konkrētas tēmas un faktus pieejamajās datu bāzēs un interneta vidē. To reāli veicinās un attīstīts dotā iespēja papildināt skolās datoru skaitu, ko mācību procesā lietos skolēni un skolotāji.
Projekta izstrādē ir ievērotas un tiek izpildītas 05.08.2008. MK noteikumu Nr. 649. un citu uz projektu attiecināmo normatīvo aktu prasības.
",20623.04,17529.58,3093.46,18
35,"Babītes novada pašvaldība","Centra iela 4, Piņķi, Babītes pagasts, Babītes novads, LV-2107",,"Babītes vidusskolas informatizācija","Rīgas reģions, ",14/10/2009,"Projekta ietvaros Babītes pagasta Babītes vidusskola  tiks apgādāta ar 9  stacionārajiem datoriem un tiks attīstīts skolas lokālais datortīkls. Līdz ar to Babītes vidusskolas mācību kabineti  tiks nodrošināti  ar atbilstošu infrastruktūru, kas veicinās  plašāku un efektīvāku IKT izmantošanu mācību procesā, tādējādi uzlabojot izglītības kvalitāti un efektivitāti. Projekta ietvaros iegādātie stacionārie datori tiks savienoti projekta rezultātā izveidotajā lokālajā tīklā. Projekta ietvaros attīstītais lokālais tīkls tiks savienots ar skolā jau esošo lokālo tīklu.
",6352.21,5399.37,952.84,18
36,"Alsungas novada dome","Pils iela 1, Alsungas novads, LV-3306",,"Alsungas vidusskolas informatizācija","Kurzeme, ",14/10/2009,"Projekta ietvaros Alsungas vidusskola tiks apgādāta ar 22 stacionāriem datoriem, 2 portatīviem datoriem, iegādāts 1 multimediju tehnikas komplekts- 1 interaktīvā tāfele un 1 projektors, kā arī ierīkots 1 lokālais datortīkls. Līdz ar to Alsungas vidussola tiks nodrošināta ar atbilstošu infrastruktūru, kas veicinās plašāku un efektīvāku IKT izmantošanu izglītības iestādē, tādējādi uzlabojot izglītības kvalitāti un efektivitāti. 
Projekta ietvaros iegādātie stacionārie datori tiks savienoti projekta rezultātā izveidotajā lokālajā tīklā. Projekta ietvaros attīstītais lokālais tīkls tiks savienots ar skolā jau esošo lokālo tīklu.
",19917.24,16929.64,2987.6,18
37,"Aizkraukles novada pašvaldība","Lāčplēša iela 1A, Aizkraukle, Aizkraukles novads, LV-5101",,"Aizkraukles novada izglītības iestāžu informatizācija","Zemgale, ",14/10/2009,"Projekta ietvaros 3 Aizkraukles novada skolas  tiks apgādātas ar 36 stacionārajiem un 4 portatīvajiem datoriem, iegādāti 3 multimediju tehnikas komplekti (3 interaktīvās  tāfeles  un 3 projektori), kā arī attīstīti 3 lokālie datortīkli. Līdz ar to, Aizkraukles 1. vidusskola,Aizkraukles pilsētas sākumskola un Aizkraukles pagasta sākumskola tiks nodrošināta ar atbilstošu infrastruktūru, kas veicinās plašāku un efektīvāku IKT izmantošanu izglītības iestādēs, tādējādi uzlabojot izglītības kvalitāti un efektivitāti. Projekta ietvaros iegādātie stacionārie datori tiks savienoti projekta rezultātā izveidotajā lokālajā tīklā. Projekta ietvaros attīstītais lokālais tīkls tiks savienots ar skolā jau esošo lokālo tīklu. ",36619.68,31126.72,5492.96,18
38,"Ādažu novada dome","Gaujas iela 16, Ādažu novads, LV-2164",,"Ādažu vidusskolas informatizācija","Rīgas reģions, ",14/10/2009,"Projekta ietvaros Ādažu novada domes izglītības iestāde – Ādažu vidusskola tiks apgādāta ar 26 stacionāriem datoriem, kā arī tajā tiks attīstīts viens lokālais datortīkls. Līdz ar to, Ādažu vidusskola tiks nodrošināta ar atbilstošu infrastruktūru, kas veicinās plašāku un efektīvāku IKT izmantošanu izglītības iestādē, tādējādi uzlabojot izglītības kvalitāti un efektivitāti. 
Šobrīd skolā ir 2 datorklases, kas tiek noslogotas informātikas stundās un citu priekšmetu skolotāji tos var izmantot tikai tad, kad nav informātikas stundu. Īstenojot projektu, citu priekšmetu pasniedzējiem mācību stundās izmantot datorus kļūtu daudz vieglāk un vidējais datoru noslogojums palielinātos līdz aptuveni 40 stundām nedēļā. Stacionāro datoru iegāde un attīstītais lokālais tīkls sekmēs Ādažu vidusskolas pāreju uz e-pārvaldi, t.i., klašu žurnālu, liecību, skolēnu dienasgrāmatu aizstāšanu ar dokumentiem elektroniskā formātā.
Projekta ietvaros iegādātie stacionārie datori tiks savienoti projekta rezultātā izveidotajā lokālajā tīklā. Projekta ietvaros attīstītais lokālais tīkls tiks savienots ar skolā esošo lokālo tīklu.
",18350.84,15598.2,2752.64,27
39,"Aglonas novada dome","Somersetas iela 34, Aglona, Aglonas novads, LV-5304"," Šķeltovas pagasta padome,  Grāveru pagasta padome,  Aglonas novada dome, ","Izglītības iestāžu informatizācija","Latgale, ",26/11/2009,"Šķeltovas pagasta padome: Projekta ietvaros 1 Šķeltovas pagasta skola tiks apgādāta ar 2 portatīvajiem datoriem un iegādāta 1 multimēdiju tehnikas iekārta ( 1 interaktīvā tāfele un 1 projektors). Līdz ar to Šķeltovas pamatskola tiks nodrošināta ar atbilstošu infrastruktūru, kas veicinās plašāku un efektīvāku IKT izmantošanu izglītības iestādē, tādējādi uzlabojot izglītības kvalitāti un efektivitāti.
Grāveru pagasta padome: Projekta ietvaros Grāveru pamatskola tiks apgādāta ar  2 portatīvajiem datoriem un iegādāts 1 multimediju tehnikas komplekts-  1 interaktīvā tāfele un 1 projektors. Līdz ar to Grāveru pamatskola tiks nodrošināta ar atbilstošu  infrastruktūru , kas  veicinās plašāku  un efektīvāku IKT izmantošanu izglītības iestādē, tādējādi uzlabojot izglītības kvalitāti un efektivitāti. 
Aglonas novada dome: Projekta ietvaros Kastuļinas pagasta padomes Priežmalas pamatskola tiks apgādāta ar 6 stacionārajiem datoriem, 2 portatīvajiem datoriem, 1 multimediju tehniku, kā arī attīstīts viens lokālais datortīkls. Līdz ar to Priežmalas pamatskola tiks nodrošināta ar atbilstošu infrastruktūru, kas veicinās plašāku un efektīvāku IKT izmantošanu izglītības iestādē, tādējādi uzlabojot izglītības kvalitāti un efektivitāti.
Projekta ietvaros iegādātie stacionārie datori tiks savienoti projekta rezultātā izveidotajā  lokālajā tīklā. Projekta ietvaros attīstītais lokālais tīkls tiks savienots ar skolā jau esošo lokālo tīklu.
Preiļu rajona padome: Projekta ietvaros divas Preiļu rajona izglītības iestādes tiks apgādātas ar 10 stacionārajiem un 4 portatīvajiem datoriem, iegādāti 2 multimediju tehnikas komplekti (2 interaktīvās tāfeles un 2 projektori), kā arī attīstīts 1 lokālais datortīkls. Līdz ar to, Preiļu rajona vakara (maiņu) un neklātienes vidusskola un Aglonas internātvidusskola tiks nodrošināta ar atbilstošu infrastruktūru, kas veicinās plašāku un efektīvāku IKT izmantošanu izglītības iestādēs, tādējādi uzlabojot izglītības kvalitāti un efektivitāti. Projekta ietvaros iegādātie stacionārie datori tiks savienoti izveidotajā lokālajā tīklā. Projekta ietvaros attīstītais lokālais tīkls tiks savienots ar skolā jau esošo lokālo tīklu. 
Portatīvie datori: 
2 - Preiļu rajona vakara (maiņu) un neklātienes vidusskolai, 
2 - Aglonas internātvidusskolai.
Stacionārie datori: 
10 - Preiļu rajona vakara (maiņu) un neklātienes vidusskolai. 
Multimediju tehnika (projektors un interaktīvā tāfele): 
1 komplekts - Preiļu rajona vakara (maiņu) un neklātienes vidusskolai, 
1 komplekts - Aglonas internātvidusskolai.
Lokālie tīkli:
1 - Preiļu rajona vakara (maiņu) un neklātienes vidusskolai.

",17403.64,14793.09,2610.55,18
40,"Aizputes novada dome","Atmodas iela 22, Aizpute, Aizputes novads, LV-3456"," Kalvenes pagasta padome,  Cīravas pagasta padome,  Aizputes pilsētas dome,  Liepājas rajona padome,  Aizputes pagasta padome,  Kazdangas pagasta padome, ","Izglītības iestāžu informatizācija Aizputes novadā","Kurzeme, ",19/11/2009,"Kalvenes pagasta padome: Projekta ietvaros Kalvenes pamatskola tiks apgādāta ar 7 stacionārajiem datoriem un 2 portatīvajiem datoriem, tiks iegādāts viens multimediju tehnikas komplekts ( viena interaktīvā tāfele un viens projektors), kā arī attīstīts viens lokālais datortīkls. Līdz ar to Kalvenes pamatskola tiks nodrošināta ar atbilstošu infrastruktūru, kas veicinās plašāku un efektīvāku IKT izmantošanu izglītības iestādē, tādējādi uzlabojot izglītības kvalitāti un efektivitāti. 
Projekta ietvaros iegādātie stacionārie datori tiks savienoti projekta rezultātā izveidotajā lokālajā tīklā. Projekta ietveros attīstītais lokālais tīkls tiks savienots ar skolā jau esošo lokālo tīklu. 

Cīravas pagasta padome: Projektu īstenojot, Liepājas rajona Cīravas pagasta Dzērves pamatskolai iegādāsimies 9 stacionāros un divus portatīvos datorus, vienu multimediju tehnikas komplektu ( interaktīvo tāfeli un projektoru), kā arī attīstīsim vienu lokālo datortīklu. Dzērves pamatskola pēc projekta realizācijas būs nodrošināta ar atbilstošu infrastruktūru, kas veicinās plašāku un efektīvāku IKT pielietojumu izglītības procesā, tādējādi paaugstinot izglītības kvalitāti.
Stacionārie datori, kas iegādāti projekta gaitā, būs savienoti par projekta līdzekļiem izveidotajā lokālajā tīklā. Jaunizveidotais tīkls tiks savienots ar pastāvošo lokālo tīklu.
Projektu plānojam uzsākt 2009. gada 3. ceturksnī. Finansējumu paredzam 2009. gadā portatīvo datoru iegādei un multimediju komplektam, bet 2010. gadā stacionāro datoru iegādei un lokālā tīkla attīstībai. Projekts noslēdzas 2010. gada 2.ceturksnī.

Aizputes pilsētas dome: Projekta ietvaros Aizputes vidusskola tiks apgādāta ar 27 stacionārajiem datoriem, kā arī attīstīts skolas lokālais datortīkls. Līdz ar to Aizputes vidusskola tiks nodrošināta ar atbilstošu infrastruktūru, kas veicinās plašāku un efektīvāku IKT izmantošanu izglītības iestādēs, tādējādi uzlabojot izglītības kvalitāti un efektivitāti.
Projekta ietvaros iegādātie stacionārie datori tiks savienoti projekta rezultātā izveidotajā lokālajā tīklā. Projekta ietvaros attīstītais lokālais tīkls tiks savienots ar skolā jau esošo lokālo tīklu.

Liepājas rajona padome: Projekta ietvaros 2 Liepājas rajona padomes dibinātās skolas tiks apgādātas ar 29 stacionārajiem un 4 portatīvajiem datoriem, iegādāti 2 multimediju tehnikas komplekti – interaktīvā tāfele un projektors, kā arī attīstīti 2 lokālie datortīkli. Līdz ar to Liepājas rajona Neklātienes vidusskola un Vaiņodes internātpamatskola tikszveidotajā lokālajā tīklā. Projekta ietvaros attīstītais lokālais tīkls tiks savienots ar skolā jau esošo lokālo tīklu.

Aizputes pagasta padome: Projekta ietvaros Aizputes pagasta pamatskola 2009. gada III un IV ceturksnī tiks apgādāta   2 portatīvajiem datoriem, 1 multimediju tehnikas komplektu un 2010. gada I un II ceturksnī tiks attīstīts 1 lokālais datortīkls un iegadāti 6 stacionārie datori.. Tā Aizputes pagasta pamatskola tiks nodrošināta ar atbilstošu infrastruktūru, kas veicinās plašāku un efektīvāku IKT izmatošanu skolā, tādējādi uzlabojot izglītības kvalitāti un efektivitāti. Projekta ietvaros iegadātie stacionārie datori tiks savienoti projekta rezultātā izveidotajā lokālajā tīklā. Projekta ietvaros attīstītais lokālais tīkls tiks savienots ar skolā jau esošo lokālo tīklu.   
Kazdangas pagasta padome: Projekta ietvaros Māteru Jura Kazdangas pamatskola tiks apgādāta ar 13 stacionārajiem un 2 portatīvajiem datoriem, iegādāts multimediju tehnikas 1 komplekts, kā arī izveidots 1 lokālais datortīkls. Līdz ar to Māteru Jura Kazdangas pamatskola tiks nodrošināta ar atbilstošu infrastruktūru, kas veicinās plašāku un efektīvāku ITK izmantošanu izglītības iestādēs, tādējādi uzlabojot izglītības kvalitāti un efektivitāti.
Projekta ietvaros iegādātie stacionārie datori tiks savienoti projekta rezultātā izveidotajā lokālajā tīklā. Projekta ietvaros attīstītais lokālais tīkls tiks savienots ar skolā jau esošo lokālo tīklu.

",90565.57,76980.73,13584.84,21
