"Nr.p.k.","Nosaukums","Juridiskā adrese","Projektā iesaistītie partneri","Projekta nosaukums","Projekta īstenošanas vieta","Projekta apstiprināšanas datums","Kopsavilkums par projekta ietvaros veicamajām darbībām","Kopējās apstiprinātās projekta attiecināmās izmaksas (LVL)","ESF finansējums (LVL)","Valsts budžeta dotācija pašvaldībām (LVL)","Projekta īstenošanas laiks mēnešos"
46,"Daugavpils novada Demenes pagasta pārvalde","Briģenes iela 2, Demenes pagasts, Daugavpils novads, LV-5442",,"Materiāli tehniskās bāzes pilnveide vispārējās vidējās izglītības programmu īstenošanai Daugavpils rajona Zemgales vidusskolā","Latgale, ",02/02/2009,"Projekta „Materiāli tehniskās bāzes pilnveide vispārējās vidējās izglītības programmu īstenošanai Daugavpils rajona Zemgales vidusskolā” īstenošanas laikā Daugavpils rajona Zemgales vidusskolā tiks renovēti un aprīkoti četri kabineti un divas laboratorijas, iegādātas un uzstādītas iekārtas, piederumi, aprīkojums un tehnoloģijas izglītības programmas ķīmijā īstenošanai – ķīmijas kabinetā laboratorijā, izglītības programmas fizikā īstenošanai – fizikas kabinetā un laboratorijā, izglītības programmas bioloģijā īstenošanai – bioloģijas kabinetā, izglītības programmas matemātikā īstenošanai – matemātikas kabinetā, kā arī  kabineti tiks nodrošināti ar nepieciešamām mūsdienu prasībām atbilstošām mēbelēm.
 
 Projekta tiešais mērķis – Vispārējās vidējās izglītības kvalitātes paaugstināšana Zemgales vidusskolā, modernizējot un pilnveidojot materiāli tehnisko bāzi, kas nepieciešama kvalitatīvu vidējās izglītības programmu dabaszinātnēs un matemātikā īstenošanai.
 Projekta attiecināmās izmaksas – 98 392 LVL, t.sk., ERAF finansējuma apmērs ir 83 633 LVL. 
 Projekta īstenotājs – Demenes pagasta padome
 Projekta īstenošanas ilgums un laiks – 21 mēnesis, no 2009.gada aprīļa līdz 2010.gada decembrim.
 
 Lai nodrošinātu kvalitatīvas dabaszinātņu (ķīmija, bioloģija, fizika) un matemātikas (turpmāk – prioritārie priekšmeti) apguves iespējas un radītu priekšnosacījumu valsts attīstībai zinātņu un tehnoloģiju ietilpīgajās nozarēs, projekta ietvaros Daugavpils rajona Zemgales vidusskolā plānots veikt šādas aktivitātes:
 1) Prioritāro mācību priekšmetu kabinetu un laboratoriju renovācija;
 2) Materiāli tehniskās bāzes ķīmijas, fizikas, bioloģijas un matemātikas kabinetos modernizācija un pilnveide;
 3) 25 darbavietu (24 skolēniem un 1 skolotājam) izveide darbam ar datoru prioritārajos mācību priekšmetos.
 
 Projekta īstenošanas rezultātā tiks nodrošinātas kvalitatīvas dabaszinātņu (ķīmija, bioloģija, fizika) un matemātikas apguves iespējas un radīti priekšnosacījumi sekmīgai vidējās izglītības programmu īstenošanai zinātņu un tehnoloģiju ietilpīgajās nozarēs Daugavpils rajona Zemgales vidusskolā.
 ",98392,83633,0,20
47,"Riebiņu novada dome","Saules iela 8, Riebiņi, Riebiņu pagasts, Riebiņu novads, Preiļu rajons, LV-5326",,"Kvalitatīvai dabaszinātņu apguvei atbilstošas materiālās bāzes nodrošināšana Riebiņu vidusskolā","Latgale, ",11/02/2009,"Projekta pieteicējs ir Riebiņu novada dome. Projekta īstenošanas vieta ir Riebiņu vidusskola- Liepu ielā 21, Riebiņi, Riebiņu novads, Preiļu rajons. Projekts tiks īstenots 15 mēnešos, t.i. laika periodā no 01.04.2009. līdz 31.12.2010.
 Projekta vispārīgais mērķis ir vispārējās vidējās izglītības kvalitātes paaugstināšana prioritārajos(dabaszinātņu)mācību priekšmetos Preiļu rajonā, līdz ar to veicinot Latgales reģiona sociālo un ekonomisko attīstību. 
          Projekta specifiskais mērķis ir vispārējās vidējās izglītības kvalitātes paaugstināšana Preiļu rajona Riebiņu novada Riebiņu vidusskolā, modernizējot un pilnveidojot skolas materiāli tehnisko bāzi, nodrošinot kvalitatīvu vidējās izglītības programmu dabaszinātnēs un matemātikā īstenošanu.
       Projekta mērķauditorija ir vispārējās izglītības iestāde, izglītojamie un pedagogi.
      Projekta ietvaros paredzēts nodrošināt Riebiņu vidusskolā optimālus apstākļus kvalitatīvai dabaszinātņu apguvei, projektā plānots veikt šādas aktivitātes:
 1.	Telpu renovācija.
 2.	Iekārtu, piederumu, aprīkojuma, tehnoloģiju iegāde un uzstādīšana:
 2.1.	materiāli tehniskās pamatbāzes izveide;
 2.2.	aprīkojuma iegāde;
 2.3.	aprīkojuma uzstādīšana un tehniskās ekspluatācijas apmācību organizēšana.
 3.	Bibliotēku fondu pilnveide.
 4.Jaunu darba vietu izveide darbam ar datoru dabaszinātņu kabinetos.
       Projekta rezultātā mainīsies arī skolotāja un skolēna sadarbības modelis: jaunā sistēma dos iespēju skolotājam kļūt par konsultantu, bet skolēnam par pētnieku. Mācību process būs interesants un motivējošs. Ar šī projekta īstenošanu ir sperts nozīmīgs solis izglītības kvalitātes uzlabošanā.
         Projekta kopējās izmaksas sastāda 98392,00 LVL , no tā, ERAF finansējums – 83633,20 LVL, valsts budžeta dotācija - 8855,28 LVL un pašvaldības līdzfinansējums sastāda 5903,52 LVL.
 ",98392,83633,0,21
48,"Priekules novada dome","Saules iela 1, Priekule, Priekules novads, LV-3434",,"Kvalitatīvai dabaszinātņu apguvei atbilstošas materiālās bāzes nodrošināšana Priekules vidusskolā","Kurzeme, ",30/01/2009,"Lai uzlabotu Priekules vidusskolas materiāltehnisko bāzi, tādejādi veicinot izglītojamo un pedagogu interesi izglītības programmas apguvē, radot nepieciešamos priekšnosacījumus sekmīgai praktisko un teorētisko zināšanu iegūšanai, projektā iesaistītajai skolai dabaszinātņu (ķīmija, bioloģija, fizika) un matemātikas klasēs (turpmāk- prioritārie priekšmeti) paredzēts veikt šādas aktivitātes:
 1.	telpu renovācija (ķīmijas un fizikas kabinetos),
 2.	informācijas tehnoloģiju, programmatūru un aprīkojuma iegāde un uzstādīšana,
 3.	mēbeļu iegāde un uzstādīšana,
 4.	mācību materiālu, bibliotēku un mācību video fondu pilnveide.",98392,83633,0,27
49,"Vaboles pagasta padome","Vaboles pagasts, Daugavpils rajons, LV-5477",,"Kvalitatīvai dabaszinātņu apguvei atbilstošas materiālās bāzes nodrošināšana Vaboles vidusskolā","Latgale, ",11/02/2009,"Projekta mērķis ir nodrošināt kvalitatīvas dabaszinātņu (ķīmija, bioloģija, fizika) un matemātikas apguves iespējas un radītu priekšnosacījumu valsts attīstībai zinātņu un tehnoloģiju ietilpīgajās nozarēs.
 Lai sasniegtu šo mērķi šī projekta ietvaros paredzēta:
 1.	Kabinetu telpu renovācija.
 
 2.	Iekārtu, piederumu, aprīkojuma, tehnoloģiju iegāde un uzstādīšana:
 2.1.	materiāli tehniskās bāzes izveide;
 2.2.	aprīkojuma iegāde;
 2.3.	aprīkojuma uzstādīšana un tehniskās ekspluatācijas apmācību organizēšana.
 
 3.	Bibliotēku fondu pilnveide.",98392,83633,0,19
50,"Talsu novada pašvaldība","Kareivju iela 7, Talsi, Talsu novads, LV-3201",,"Kvalitatīvai dabaszinātņu apguvei atbilstošas materiālās bāzes nodrošināšana Sabiles vidusskolā","Kurzeme, ",02/02/2009,"Lai uzlabotu Sabiles vidusskolas materiāltehnisko bāzi, tādejādi veicinot izglītojamo un pedagogu interesi izglītības programmas apguvē, radot nepieciešamos priekšnosacījumus sekmīgai praktisko un teorētisko zināšanu iegūšanai, projektā iesaistītajai skolai dabaszinātņu (ķīmija, bioloģija, fizika) un matemātikas klasēs (turpmāk- prioritārie priekšmeti) paredzēts veikt šādas aktivitātes:
 1.	telpu renovācija,
 2.	informācijas tehnoloģiju, programmatūru un aprīkojuma iegāde un uzstādīšana,
 3.	mēbeļu iegāde un uzstādīšana,
 4.	mācību materiālu, bibliotēku un mācību video fondu pilnveide.
 ",98392,83633,0,20
51,"Salacgrīvas novada dome","Smilšu iela 9, Salacgrīva, Salacgrīvas novads, LV-4033",,"Kvalitatīvai dabaszinātņu apguvei atbilstošas materiālas bāzes nodrošināšana Salacgrīvas vidusskolā","Rīgas reģions, ",11/02/2009,"Lai nodrošinātu kvalitatīvas dabaszinātņu ( ķīmija, bioloģija, fizika) un matemātikas (turpmāk   - prioritārie priekšmeti) apguves iespējas un radītu priekšnosacījumu valsts attīstībai zinātņu un tehnoloģiju ietilpīgajās nozarēs, projekta ietvaros plānots veikt šādas aktivitātes:
 1.	Telpu renovācija.
 2.	Iekārtu, piederumu, aprīkojuma, tehnoloģiju iegāde un uzstādīšana:
 	Materiāli tehniskās pamatbāzes izveide
 	Aprīkojuma iegāde 
 Projekta īstenošanas periods – 9 mēneši 
 Kopējais finansējuma apmērs – 98392 LVL
 ",98392,83633,0,19
52,"Ludzas novada pašvaldība","Raiņa iela16A, Ludza, Ludzas novads, LV-5701",,"Materiāli tehniskās bāzes pilnveide kvalitatīvai dabaszinātņu apguvei Ludzas 2. vidusskolā
 ","Latgale, ",30/01/2009,"Lai nodrošinātu kvalitatīvas dabaszinātņu (ķīmija, bioloģija, fizika) un matemātikas apguves iespējas un radītu priekšnosacījumu valsts attīstībai zinātņu un tehnoloģiju ietilpīgajās nozarēs, projekta ietvaros Ludzas 2.vidusskolā plānots veikt šādas aktivitātes:
 
 1.	Telpu renovācija.
 2.	Iekārtu, piederumu, aprīkojuma, tehnoloģiju iegāde un uzstādīšana:
 2.1.	Materiāli tehniskās pamatbāzes izveide
 2.1.1. izveidotas 25 darbavietas darbam ar datoru prioritārajos priekšmetos
  2.2. Aprīkojuma iegāde
              2.3. Aprīkojuma uzstādīšana un tehniskās ekspluatācijas apmācību organizēšana.
 3.	Mācību materiālu un mācību programmatūras iegāde, kā arī bibliotēku un mācību video fondu pilnveide.
 
 Projekta mērķis ir paaugstināt vispārējās vidējās izglītības kvalitāti Ludzas 2.vidusskolā, modernizējot un pilnveidojot skolas materiāli tehnisko bāzi, nodrošinot kvalitatīvu vidējās izglītības programmu apguvi dabaszinātnēs un matemātikā.
   Lai īstenotu mūsdienīgu mācību saturu, nepieciešami arī mūsdienīgi mācību materiāli - dažādas ierīces, reaģenti un preparāti eksperimentu veikšanai, skolām nepieciešami mūsdienīgi vizuāli tehniskie mācību metodiskie līdzekļi. Projekts piedāvās ne tikai jaunu saturu dabaszinātņu apguvē, bet arī jaunas tehnoloģijas dabas pētīšanai, datu apstrādei un saglabāšanai.
 Projekta kopējās izmaksas sastāda LVL 98 392.
 ",98392,83633,0,30
53,"Jelgavas novada pašvaldība","Pasta iela 37, Jelgava, LV-3001",,"Kvalitatīvai dabaszinātņu apguvei atbilstošas materiālās bāzes nodrošināšana Kalnciema pilsētas vidusskolā
 ","Zemgale, ",30/01/2009,"Projekta tiešais mērķis – Vispārējās vidējās izglītības kvalitātes paaugstināšana Kalnciema pilsētas vidusskolā, modernizējot un pilnveidojot materiāli tehnisko bāzi, kas nepieciešama kvalitatīvu vidējās izglītības programmu dabaszinātnēs un matemātikā īstenošanai.
 Projekta attiecināmās izmaksas – 98 392 LVL, t.sk., ERAF finansējuma apmērs ir 83 633 LVL. 
 Projekta īstenotājs – Kalnciema pilsētas dome
 Projekta īstenošanas ilgums un laiks – 22 mēneši, no 2009.gada marta līdz 2010.gada decembrim.
 
 Lai nodrošinātu kvalitatīvas dabaszinātņu (ķīmija, bioloģija, fizika) un matemātikas (turpmāk – prioritārie priekšmeti) apguves iespējas un radītu priekšnosacījumu valsts attīstībai zinātņu un tehnoloģiju ietilpīgajās nozarēs, projekta ietvaros Kalnciema pilsētas vidusskolā plānots veikt šādas aktivitātes:
 1) Prioritāro mācību priekšmetu kabinetu un laboratoriju renovācija;
 2) Materiāli tehniskās bāzes ķīmijas, fizikas, bioloģijas un matemātikas kabinetos modernizācija un pilnveide;
 3) 25 darbavietu (24 skolēniem un 1 skolotājam) izveide darbam ar datoru prioritārajos mācību priekšmetos.
 ",98392,83633,0,22
54,"Vaiņodes novada dome","Raiņa iela 23a, Vaiņode, Vaiņodes pagasts, Vaiņodes novads, LV-3435",,"Kvalitatīvai dabaszinātņu apguvei atbilstošas materiālās bāzes nodrošināšana Vaiņodes vidusskolā","Kurzeme, ",30/01/2009,"Lai uzlabotu Vaiņodes vidusskolas materiāltehnisko bāzi, tādejādi veicinot izglītojamo un pedagogu interesi izglītības programmas apguvē, radot nepieciešamos priekšnosacījumus sekmīgai praktisko un teorētisko zināšanu iegūšanai, projektā iesaistītajai skolai dabaszinātņu (ķīmija, bioloģija, fizika) un matemātikas klasēs (turpmāk- prioritārie priekšmeti) paredzēts veikt šādas aktivitātes:
 1.	telpu renovācija,
 2.	informācijas tehnoloģiju, programmatūru un aprīkojuma iegāde un uzstādīšana,
 3.	mēbeļu iegāde un uzstādīšana,
 4.	mācību materiālu, bibliotēku un mācību video fondu pilnveide.
 ",98392,83633,0,27
55,"Līvānu novada dome","Rīgas iela 77, Līvāni, Līvānu novads, Preiļu rajons, LV-5316",,"Kvalitatīvai dabaszinātņu apguvei atbilstošas materiālās bāzes nodrošināšana Līvānu 2.vidusskolā","Latgale, ",30/01/2009,"Projekta vispārējais mērķis: Vispārējās vidējās izglītības kvalitātes paaugstināšana prioritārajos dabaszinātņu mācību priekšmetos Līvānu novadā, modernizējot vidējās izglītības programmu īstenošanai nepieciešamo materiāli tehnisko bāzi Līvānu 2. vidusskolā.
 Projekta specifiskais mērķis: Kvalitatīvai izglītības programmu īstenošanai nepieciešamās materiāli tehniskās bāzes modernizēšana 3 dabaszinātņu un 1 matemātikas kabinetā Līvānu 2. vidusskolā.
 Projekta mērķa grupa: Līvānu 2. vidusskolas vispārējās vidējās izglītības posma skolēni un pedagogi.
         Lai nodrošinātu kvalitatīvas dabaszinātņu (ķīmija, bioloģija, fizika) un matemātikas apguves iespējas, paaugstinātu skolēnu sekmību un radītu priekšnosacījumu valsts attīstībai zinātņu un tehnoloģiju ietilpīgajās nozarēs, projekta ietvaros plānots veikt šādas aktivitātes:
 1.	Telpu renovācija;
 2.	Iekārtu, piederumu, aprīkojuma, tehnoloģiju iegāde un uzstādīšana:
 2.1.	materiāli tehniskās pamatbāzes izveide
 2.2.	aprīkojuma (mēbeļu) iegāde
 2.3.	aprīkojuma uzstādīšana un tehniskās ekspluatācijas apmācību organizēšana;
 3.	Publicitātes pasākumi;
 4.	Projekta īstenošanas gaitā radušo materiālo vērtību apdrošināšana.
 
 Projekta kopējās izmaksas 98 392 LVL, tai skaitā Līvānu novada domes līdzfinansējums 14 759LVL.
 
 Projekta rezultāts: renovēti un aprīkoti ar atbilstošu mācību aprīkojumu (ierīcēm, piederumiem, vielām) un mēbelēm četri kabineti (ķīmijas, fizikas, bioloģijas un matemātikas), tādējādi Līvānu 2. vidusskolā 10.-12. klašu posmā tiks uzlabota izglītības kvalitāte dabaszinātnēs un radīti priekšnosacījumi reģiona attīstībai zinātņu un tehnoloģiju ietilpīgajās nozarēs.
 ",98392,83633,0,22
56,"Ventspils pilsētas dome","Jūras iela 36, Ventspils, LV-3601",,"Kvalitatīvai dabaszinātņu apguvei atbilstošas materiālās bāzes nodrošināšana Ventspils pilsētā","Kurzeme, ",12/02/2009,"Lai nodrošinātu kvalitatīvu vispārējās vidējās izglītības programmu grupu – dabaszinības (ķīmija, fizika, bioloģija) un matemātikas (turpmāk – „Prioritārās izglītības programmas”) īstenošanu un radītu priekšnosacījumus kopējai valsts attīstībai zinātnes un tehnoloģiju ietilpīgajās nozarēs, projektā plānotas šādas aktivitātes:
 
 1.	Prioritāro izglītības programmu mācību kabinetu renovācija.
 2.	Mēbeļu, un tehniskā aprīkojuma iegāde un uzstādīšana Prioritāro izglītības programmu īstenošanai:
 	katrā skolā izveidotas 25 darbavietas darbam ar datoru;
 	iegādāts mācību procesā nepieciešams IT u.c. tehniskais aprīkojums;
 	iegādātas un uzstādītas mācību procesam nepieciešamās mēbeles.
 3.	Mācību materiālu iegāde Prioritāro izglītības programmu īstenošanai.
 
 Augstāk minētās aktivitātes tiks īstenotas 4 Ventspils pilsētas vispārējās vidējās izglītības iestādēs:
 -	Ventspils 2. vidusskola;
 -	Ventspils 3. vidusskola;
 -	Ventspils 4. vidusskola;
 -	Ventspils 6. vidusskola.
 
 Projekta plānotais īstenošanas periods ir 01.03.2009. – 30.09.2010. (19 mēneši).
 
 Projekta kopējais finansējuma apjoms ir 393 568,00 LVL, t.sk. uz katru izglītības iestādi attiecināmās izmaksas – 98 392,00 LVL. 
 
 Projekta mērķa grupa ir vispārējās vidējās izglītības iestādes, izglītojamie un pedagogi.  
 ",393568,334532,0,18
57,"Jaunpiebalgas novada dome","Gaujas iela 4, Jaunpiebalga, Jaunpiebalgas novads, LV-4125",,"Kvalitatīvai dabaszinātņu apguvei atbilstošas materiālās bāzes nodrošināšana Jaunpiebalgas vidusskolā","Vidzeme, ",12/02/2009,"Projekta mērķis ir uzlabot izglītības kvalitāti dabaszinātnēs un matemātikā Jaunpiebalgas vidusskolā, kā arī sniegt ieguldījumu valsts attīstībā zinātņu un tehnoloģiju ietilpīgajās nozarēs, veicot Jaunpiebalgas vidusskolas dabaszinātņu un matemātikas kabinetu modernizēšanu un piemērošanu tehnoloģiju un mācību aprīkojuma uzstādīšanai un ekspluatācijai.
 
 Projekta mērķa grupa ir Jaunpiebalgas vidusskolas skolēni un pedagogi.
 
 Lai nodrošinātu izglītības apguves kvalitātes uzlabošanos dabaszinātnēs (ķīmija, bioloģija, fizika) un matemātikā vidējās izglītības posmā un radītu priekšnoteikumus valsts attīstībai zinātņu un tehnoloģiju ietilpīgajās nozarēs, projekta ietvaros plānots veikt šādas aktivitātes:
 
 1.	Mācību telpu renovācija.
 Bioloģijas kabineta, bioloģijas laboratorijas, dabaszinātņu un matemātikas datorklases (kopā 3 mācību telpu) renovācija.
 
 2.	Materiāli tehniskās pamatbāzes izveide.
 Dabaszinātņu un matemātikas kabinetu aprīkošanai nepieciešamo iekārtu, piederumu, aprīkojuma, tehnoloģiju iegāde un uzstādīšana, mācību materiālu un mācību programmatūras iegāde.
 25 darbavietu darbam ar datoru izveidošana matemātikas, dabaszinātņu un tehnikas virziena mācību priekšmetos.
 
 3.	Mēbeļu iegāde.
 Bioloģijas kabineta, bioloģijas laboratorijas un matemātikas kabineta aprīkošanai nepieciešamo mēbeļu iegāde.
 
 Projekta ilgums ir 19mēneši (no 2009.gada 1.jūnija līdz 2010.gada 31.decembrim).
 
 Projekta kopējās izmaksas sastāda 98 392 LVL, no kuriem 60 540 LVL tiks izlietoti 2009.gadā, bet 37 852 LVL tiks izlietoti 2010.gadā.
 ",98392,83633,0,19
58,"Dagdas novada pašvaldība","Alejas iela 4, Dagda, Dagdas novads, LV-5674",,"Kvalitatīvai dabaszinātņu apguvei atbilstošas materiālās bāzes nodrošināšana Dagdas vidusskolā","Latgale, ",30/01/2009,"      Lai nodrošinātu kvalitatīvu vispārējās vidējās izglītības matemātikas, dabaszinību un tehnikas virziena programmas īstenošanu Krāslavas rajona Dagdas vidusskolā, radot priekšnosacījumus valsts attīstībai zinātņu un tehnoloģiju ietilpīgajās nozarēs, projekta „Kvalitatīvai dabaszinātņu apguvei atbilstošas materiālās bāzes nodrošināšana Dagdas vidusskolā” ietvaros plānots veikt šādas aktivitātes:
  1.Telpu renovācija,
   2. Iekārtu, piederumu, aprīkojuma, tehnoloģiju iegāde un uzstādīšana:
     2.1. Materiāli tehniskās pamatbāzes izveide (centralizētais iepirkums),
     2.2. Aprīkojuma iegāde ( pašvaldības organizētais iepirkums),
  3. Bibliotēku fondu pilnveide.
      Projektu plānots īstenot 2009.gadā, 9 mēnešu laikā, sākot no 2009.gada janvāra līdz septembrim. Projekta kopējais finansējums (attiecināmās izmaksas) - Ls 98392, t.sk., Ls 83633 - ERAF finansējums, Ls 8855 – Valsts budžeta dotācija un Ls 5904 – Pašvaldības budžeta līdzfinansējums.
                 Projekta realizācijas rezultātā, modernizējot dabaszinātņu kabinetu materiāli tehnisko bāzi Dagdas vidusskolā, tiks veicināta skolēnu interese par dabaszinātnēm, matemātiku un tehnoloģijām agrīnā vecumā un nodrošināta kvalitatīva izglītības programmas dabaszinātnēs īstenošana.
 ",98392,83633,0,18
59,"Jelgavas novada pašvaldība","Pasta iela 37, Jelgava, LV-3001",,"Kvalitatīvai dabaszinātņu apguvei atbilstošas materiālās bāzes nodrošināšana Kalnciema vidusskolā","Zemgale, ",02/02/2009," Lai nodrošinātu kvalitatīvas dabaszinātņu (ķīmija, bioloģija, fizika) un matemātikas (turpmāk – prioritārie priekšmeti) apguves iespējas un radītu priekšnosacījumu valsts attīstībai zinātņu un tehnoloģiju ietilpīgajās nozarēs, projekta ietvaros Kalnciema vidusskolā 2009.gadā un 2010.gadā par kopējo summu Ls 98392,-  plānots veikt šādas aktivitātes:
 
 1.	Telpu renovācija (Ls 29518,-):
 1.1.	elektroinstalācijas atjaunošana un apgaismojuma ķermeņu nomaiņa ķīmijas un fizikas kabinetos;
 1.2.	grīdas segumu nomaiņa ķīmijas un fizikas kabinetos;
 1.3.	iekaramo griestu izveidošana, sienu izlīdzināšana un krāsošana ķīmijas un fizikas kabinetos;
 1.4.	ventilācijas ierīkošana ķīmijas un fizikas kabinetos.
 
 2.	Iekārtu, piederumu, aprīkojuma, tehnoloģiju iegāde un uzstādīšana (Ls 50000,-):
 2.1.	materiāli tehniskās pamatbāzes izveide;
 2.2.	aprīkojuma iegāde;
 2.3.	aprīkojuma uzstādīšana un tehniskās ekspluatācijas apmācību organizēšana.
 
 3.	Mēbeļu iegāde prioritāro priekšmetu kabinetiem (Ls 9930,-). ",98392,83633,0,21
60,"Vecpiebalgas novada pašvaldība","Alauksta iela 4, Vecpiebalga, Vecpiebalgas pagasts, Vecpiebalgas novads, LV-4122",,"Materiāli tehniskās bāzes pilnveide kvalitatīvai dabaszinātņu apguvei Vecpiebalgas vidusskolā","Vidzeme, ",30/01/2009,"Projekta tiešais mērķis – Vispārējās vidējās izglītības kvalitātes paaugstināšana Vecpiebalgas vidusskolā, modernizējot un pilnveidojot materiāli tehnisko bāzi, kas nepieciešama kvalitatīvu vidējās izglītības programmu dabaszinātnēs un matemātikā īstenošanai.
 Projekta attiecināmās izmaksas – 98 392 LVL, t.sk., ERAF finansējuma apmērs ir 83 633 LVL.
 Projekta īstenotājs – Vecpiebalgas pagasta padome.
 Projekta īstenošanas ilgums un laiks – 22 mēneši, no 2009.gada marta līdz 2010.gada decembrim.
 
 Lai nodrošinātu kvalitatīvas dabaszinātņu (ķīmija, bioloģija, fizika) un matemātikas (turpmāk – prioritārie priekšmeti) apguves iespējas un radītu priekšnosacījumu valsts attīstībai zinātņu un tehnoloģiju ietilpīgajās nozarēs, projekta ietvaros Vecpiebalgas vidusskolā plānots veikt šādas aktivitātes:
 1) Prioritāro mācību priekšmetu kabinetu un laboratoriju renovācija
 2) Materiāli tehniskās bāzes ķīmijas, fizikas, bioloģijas un matemātikas kabinetos modernizācija un pilnveide
 2.1) Materiāli tehniskās pamatbāzes izveide, t.sk., aprīkojuma uzstādīšana un tehniskās ekspluatācijas instruktāžas organizēšana;
 2.2) Aprīkojuma (mēbeļu) iegāde, - mēbeļu iegāde paredzēta 25 darba vietām (24 skolēniem un 1 skolotājam);
 3) 25 darbavietu (24 skolēniem un 1 skolotājam) izveide darbam ar datoru prioritārajos mācību priekšmetos.
 ",98392,83633,0,20
61,"Krāslavas novada dome","Rīgas iela 51, Krāslava, Krāslavas novads, LV-5601",,"Kvalitatīvai dabaszinātņu apguvei atbilstošas materiālās bāzes nodrošināšana Krāslavas Varavīksnes vidusskolā un Krāslavas vakara vidusskolā","Latgale, ",12/02/2009,"Projekts „Kvalitatīvai dabaszinātņu apguvei atbilstošas materiālās bāzes nodrošināšana Krāslavas Varavīksnes vidusskolā un Krāslavas vakara vidusskolā” tiks īstenots divās Krāslavas novada (Latgales reģions) vidusskolās. 
 Projekta specifiskais mērķis ir kvalitatīvu vispārējās vidējās izglītības programmu īstenošanai nepieciešamās materiāli tehniskās bāzes modernizēšana Krāslavas rajona Krāslavas Varavīksnes vidusskolas dabaszinātņu kabinetos.
 Projekta kopējā summa ir 98392 LVL, kur ERAF fiansējums ir 83633 LVL (85% no kopējā finansējuma) un Krāslavas novada domes līdzfinansējums – 14759 LVL (15% no kopējā finansējuma). Projekta īstenošanas laiks ir 15 mēneši un to plānots pabeigt līdz 2010. gada 3.ceturkšņa beigām.
 Lai nodrošinātu kvalitatīvas dabaszinību (ķīmija, bioloģija, fizika) un matemātikas programmu apguves iespējas Krāslavas novadā un radītu priekšnosacījumu valsts attīstībai zinātņu un tehnoloģiju ietilpīgajās nozarēs, projekta ietvaros katrā no projektā iesaistītajām skolām plānots veikt šādas aktivitātes:
 1. Telpu renovācija:
 1.1. Iepirkuma procedūras veikšana renovācijas darbiem fizikas, ķīmijas un matemātikas kabinetos Krāslavas Varavīksnes vidusskolā. 
 1.2. Iepirkuma procedūras veikšana renovācijas darbiem bioloģijas kabinetā un matemātikas kabineta papilddarbiem.
 1.3. Telpu renovācija Krāslavas Varavīksnes vidusskolā  ( fizikas, ķīmijas un matemātikas kabinetos)
 1.4. Telpu renovācija Krāslavas Varavīksnes vidusskolas bioloģijas kabinetā un matemātikas kabineta papilddarbi.
 2. Materiāli tehniskās bāzes un mēbeļu iegāde un uzstādīšana:
 2.1. Materiāli tehniskās bāzes izveide centralizētā iepirkuma rezultātā Krāslavas Varavīksnes.
 2.2. Iepirkuma procedūras veikšana mēbeļu iegādei un uzstādīšanai 4 Krāslavas Varavīksnes vidusskolas dabaszinātņu kabinetos.
 2.3. Mēbeļu iegāde un uzstādīšana 4 dabaszinātņu kabinetos Krāslavas Varavīksnes vidusskolā.
 3. Projekta vadīšana.
 ",98392,83633,0,18
62,"Dundagas novada dome","Pils iela ""Līkā muiža"", Dundagas novads, LV-3270",,"Kvalitatīvai dabaszinātņu un matemātikas apguvei atbilstošas materiālās bāzes nodrošināšana Dundagas vidusskolā","Kurzeme, ",12/02/2009,"Lai nodrošinātu kvalitatīvu vispārējās vidējās izglītības programmas dabaszinātņu mācību priekšmetu (ķīmija, bioloģija, fizika, dabaszinības) un matemātikas (turpmāk – prioritārie mācību priekšmeti) apguves iespējas un īstenošanu un radītu priekšnosacījumus valsts attīstībai zinātņu un tehnoloģiju ietilpīgajās nozarēs, projekta ietvaros katrā no projektā iesaistītajām skolām plānots veikt šādas aktivitātes:
 
 1.	Kabinetu renovācija.
 
 2.	Iekārtu, piederumu, aprīkojuma, tehnoloģiju iegāde un uzstādīšana:
 2.1.	materiāli tehniskās pamatbāzes izveide;
 2.2.	aprīkojuma (mēbeļu) iegāde;
 2.3.	aprīkojuma uzstādīšana un tehniskās ekspluatācijas apmācību organizēšana.
 
 Projekta mērķis ir nodrošināt kvalitatīvu dabaszinību (ķīmija, fizika, bioloģija, dabaszinības) un matemātikas mācību priekšmetu īstenošanu Dundagas vidusskolā. 
 Projekts paredzēts veikt no 2009.gada 1.janvāra līdz 2009.gada 31.decembrim.  Kopējais projekta finansējums Ls 98392. Projektu paredzēts īstenot Kurzemes reģionā, Talsu rajona Dundagas pagastā, Dundagas vidusskolā, Talsu ielā 18.
 ",98392,83633,0,20
