"Nr.p.k.","Finansējuma saņēmējs",,"Finansējuma saņēmēja juridiskā adrese","Projekta nosaukums","Īstenošanas vieta","Projekta apstiprināšanas datums","Darbības programmas aktivitāte","Kopsavilkums par projekta ietvaros veicamajām darbībām","Projekta kopējās attiecināmās izmaksas","Attiecināmais SF finansējums","Attiecināmais VB finansējums","Projekta īstenošanas laiks (mēn.)","Mājas lapas adrese"
51,"Studio 7PRO","SIA","Kuršu iela 32, Liepāja, LV-3401","SIA ""Studio 7PRO"" darbinieku apmācība","Liepāja ",02/10/2008,"Atbalsts nodarbināto apmācībām komersantu konkurētspējas veicināšanai - atbalsts komersantu individuāli organizētām apmācībām","SIA „Studio7 PRO” darbojas jau vairāk kā 5 gadus interneta pakalpojumu un IT sfērā sniedzot mūsu pakalpojumus gan juridiskām, gan privātpersonām. Projekta mērķis ir darbinieku kvalifikācijas celšana un jaunu zināšanu, prasmju un iemaņu apguve. Projektā plānots apmācīt 4 darbiniekus šādās apmācību programmās:
1.Personāla attīstības programma;
2.IT apmācības programma.","20,091.66","14,867.82",0,3,"www.studio7pro.lv"
52,"TEKA telekom","SIA","Vīlandes iela 3, Rīga, LV-1010","SIA ""Teka telekom"" darbinieku kvalifikācijas celšana","Rīga",02/10/2008,"Atbalsts nodarbināto apmācībām komersantu konkurētspējas veicināšanai - atbalsts komersantu individuāli organizētām apmācībām","Jaunu tehnoloģiju un produktu ienākšana telekomunikāciju  tirgū, konkurence rada nepieciešamību apmācīt darbiniekus.
Projektā paredzēts apmācīt 11 darbiniekus. Projektā plānotās apmācības: 
•Produkta „HiPath OpenOffice” instalācijas seminārs;
•Produkta „HiPath sagatavošana VoIP pakalpojuma sniegšanai;
•Produkta „HiPath OpenOffice” padziļinātais kurss;
•Lokālo vara datortīklu projektēšana un uzstādīšana izmantojot 3M Volution TM kabeļu sistēmu;
•Starptautiskie grāmatvedības standarti;
•Projektu vadība ar Microsoft Project 2003/2007;
•Uzņēmuma finanšu pārvaldības efektivitāte;
•Uzņēmuma darbības finanšu-ekonomiskā analīze ar MS Excel palīdzību;
•Pārdot dārgi!;
•Efektīvs vidējā līmeņa vadītājs;
•Pārdošanas nodaļas vadība:
•Angļu valodas kursi.","23,790.00","18,750.50",0,17,"www.teka.lv"
53,"VAIVES","SIA","Meldru 3, Rīga, LV-1015","SIA ""VAIVES"" darbinieku kvalifikācijas celšanas apmācības","Rīga",02/10/2008,"Atbalsts nodarbināto apmācībām komersantu konkurētspējas veicināšanai - atbalsts komersantu individuāli organizētām apmācībām","Kokapstrādes uzņēmumu potenciālās iespējas vietējā un eksporta tirgos pieprasa efektīvāk organizēt ražošana, pakalpojumu sniegšanas un uzņēmumu vadības procesus, kā arī modernizēt tehnoloģijas un celt darbinieku kvalifikāciju.
Projekta mērķis ir darbinieku kvalifikācijas celšana. 
Projekta ietvaros tiks apmācīti 12 darbinieki šādās programmās:
1.Līmētu koksnes materiālu pielietošanas iespējas;
2.Kokmateriālu plūsmas modelēšana;
3.Ražošanas un piegādes procesu plānošana un vadīšanas efektīvai resursu izmantošanai","11,350.00","9,080.00",0,3,
54,"Vētrasputni","SIA","Kuršu iela 32, Liepāja, LV-3401","SIA ""Vētrasputni"" darbinieku apmācība","Liepāja ",02/10/2008,"Atbalsts nodarbināto apmācībām komersantu konkurētspējas veicināšanai - atbalsts komersantu individuāli organizētām apmācībām"," Projekta mērķis ir darbinieku kvalifikācijas celšana un jaunu zināšanu, prasmju un iemaņu apguve. Projektā plānots apmācīt 29 darbiniekus šādās apmācību programmās:
1.Darba aizsardzība un drošība;
2.IT apmācība;
3.Personāla attīstības programma.","36,286.11","26,851.72",0,6,"www.vetrasputni.lv"
55,"Viesuļi","SIA","""Viesuļi"", Zasas pagasts, Jēkabpils rajons, LV-5239","SIA ""Viesuļi"" strādājošo kvalifikācijas paaugstināšana","Jēkabpils ",02/10/2008,"Atbalsts nodarbināto apmācībām komersantu konkurētspējas veicināšanai - atbalsts komersantu individuāli organizētām apmācībām","Saspringtajos ES brīvā tirgus konkurences apstākļos aktuāli nepieciešams celt nodarbināto kvalifikācijas līmeni, lai garantētu augstas kvalitātes, nekaitīgas un drošas gaļas produkcijas ražošanu un realizāciju.
Projekta mērķis ir darbinieku kvalifikācijas celšana. 
Projekta ietvaros tiks apmācīti 150 darbinieki šādās programmās: 
1.Laba ražošanas un higiēnas prakse patērētājiem drošas un kvalitatīvas gaļas ieguvē atbilstoši ES un Latvijas normatīvo aktu prasībām;
2.Darba aizsardzība;
3.Vides pārvaldības sistēmas aktuālie jautājumi atbilstoši LVS NE ISO 14001 standartam;
4.Enerģijas patēriņa efektivitātes paaugstināšanas pamatnostādnes;
5.Mārketinga prasmes","148,966.37","119,173.10",0,18,"www.viesuli.lv"
56,"WT Terminal","SIA","Flotes 3a, Rīga, LV-1016","SIA ""WT Terminal"" darbinieku kvalifikācijs celšanas apmācības","Rīga",02/10/2008,"Atbalsts nodarbināto apmācībām komersantu konkurētspējas veicināšanai - atbalsts komersantu individuāli organizētām apmācībām","Ekonomiskā situācija kokmateriālu un citos tirgos pieprasa efektīvāk organizēt ražošanas procesu un modernizēt tehnoloģijas, iegādājoties jaunas tehnikas vienības un ceļot darbinieku kvalifikāciju.
Projekta mērķis ir darbinieku kvalifikācijas celšana.
Projektā plānots apmācīt 20 darbiniekus šādās programmās:
1.Ražošanas procesu efektīva un motivējoša vadība;
2.Ražošanas un piegādes procesu plānošana un vadīšanas efektīvai tehnikas un resursu izmantošanai;
3.Uzņēmuma produkcijas un pakalpojumu pārdošana un klientu apkalpošanas vadība;
4.Ražošanas un piegādes procedūru un procesu risku vadība.","18,550.00","14,840.00",0,3,"www.wtterminal.lv"
57,"RDR metālkonstrukcijas","SIA","Tallinas iela 30 , Rīga, LV-1001","SIA ""RDR metālkonstrukcijas"" darbinieku apmācības","Salas pagasts",02/10/2008,"Atbalsts nodarbināto apmācībām komersantu konkurētspējas veicināšanai - atbalsts komersantu individuāli organizētām apmācībām","SIA „RDR metālkonstrukcijas” piedāvā būvkonstrukciju projektēšanu, standarta un nestandarta metāla konstrukciju izgatavošanu un montāžas darbus.
Uzņēmums plāno paplašināt savu darbību un veikt ieguldījumu pamatkapitālā. Projekta ietvaros plānots apmācīt 15 uzņēmuma darbiniekus šādās apmācībās:
•Klientu apkalpošana;
•Projektu vadība;
•Laika plānošana;
•Prezentācijas prasme;
•Stressa menedžments;
•Pārrunu vadīšana.","15,588.00","12,470.40",0,4,"www.rdr.lv"
58,"Regumino","SIA","Druvienas iela 18-139, Rīga, LV-1079","SIA Regumino personāla vispārējas apmācības","Rīga",02/10/2008,"Atbalsts nodarbināto apmācībām komersantu konkurētspējas veicināšanai - atbalsts komersantu individuāli organizētām apmācībām","Uzņēmums nodarbojas ar juridisko pakalpojumu sniegšanu, vadības konsultāciju pakalpojumu sniegšanu, kā arī ar tirgus un sabiedriskās doma izpēti.
Lai paaugstinātu uzņēmuma sniegto pakalpojumu kvalitāti un uzlabotu pakalpojuma pārdošanu, ir plānots paaugstināt personāla kompetenci – realizējot apmācību projektu.
Apmācību projekta ietvaros plānots apmācīt 6 uzņēmuma darbiniekus 9 vispārējo apmācību kursos:
•Pārliecināšanas māksla;
•Komunikācija un prezentācija – meistaru noslēpumi;
•Pārdošanas 10 likumi;
•Profesionāla komunikācija;
•Komandas veidošana;
•Krīzes situācijas vadība;
•Finanses vadītājiem;
•Piegādes ķēdes optimizācija;
•Profesionālās biznesa procedūras.","16,736.00","12,384.64",0,5,
59,"Silvanols","SIA","Stokholmas iela 17-1, Rīga, LV-1014","SIA ""Silvanols"" darbinieku kvalifikācijas celšana","Rīga",02/10/2008,"Atbalsts nodarbināto apmācībām komersantu konkurētspējas veicināšanai - atbalsts komersantu individuāli organizētām apmācībām","Apmācību projekts sastādīts ar mērķi celt uzņēmuma konkurētspēju ieviešot bezatlikumu ražošanas principus, kā arī uzlabot darbinieku darba organizācijas un pārdošanas prasmes. Kopumā projekta ietvaros tiks apmācīti 14 darbinieki 10 dažādos apmācību programmās. Daļa no apmācību programmām ir paredzēta divos moduļos, kur pirmais ir vispārīgs un orientēts uz plašāku darbinieku loku, bet otrais ir specializēts un orientēts uz produkcijas pārdevējiem - tirdzniecības pārstāvjiem, pārdošanas speciālistiem. Visas apmācības paredzētas uzņēmuma telpās.","40,032.11","29,999.99",0,6,"www.silvanols.lv"
60,"ZRZ","SIA","Dārza iela 25, Ogre, Ogres novads, Ogres rajons, LV-5001","SIA ""ZRZ"" darbinieku kvalifikācijas celšanas apmācības","Rīga",02/10/2008,"Atbalsts nodarbināto apmācībām komersantu konkurētspējas veicināšanai - atbalsts komersantu individuāli organizētām apmācībām","SIA „ZRZ” ir ieplānojusi ievērojami paplašināt biznesu un personāla skaitu. Attīstības periodā rodas nepieciešamība ātri un efektīvi apmācīt un pilnveidot esošo darbinieku kvalifikāciju.
Projekta mērķis ir darbinieku kvalifikācijas celšana. Projekta ietvaros tiks apmācīti 10 darbinieki šādās programmās: 
1.Uzņēmuma produkcijas realizācijas metodes;
2.Klientu apkalpošana;
3.Ražošanas procesu efektīva un motivējoša vadība.","8,620.00","6,896.00",0,3,"www.zrz.lv"
61,"Balterno","SIA","Vīlandes iela 12-4, Rīga, LV-1010","SIA ""Balterno"" darbinieku kvalifikācijas celšana","Liepāja ",02/10/2008,"Atbalsts nodarbināto apmācībām komersantu konkurētspējas veicināšanai - atbalsts komersantu individuāli organizētām apmācībām","Viena no SIA „Balterno” pamatdarbībām ir grāmatvedības pakalpojumu un finanšu konsultāciju sniegšana. 
Projekta mērķis: darbinieku kvalifikācijas celšana.
Projekta ietvaros tiks apmācīti 3 darbinieki šādās programmās: 
1.Darbs ar informācijas un komunikāciju tehnoloģijām;
2.Finanšu analīze, nodokļu optimizācija un metodes;
3.Kvalitātes sistēmas ieviešana uzņēmumā.","7,440.00","5,281.65",0,2,
62,"GEDIMO","SIA","Lazdu iela 1, Salaspils, Salaspils novads, Rīgas rajons, LV-2169","SIA GEDIMO darbinieku apmācības","Salaspils ",02/10/2008,"Atbalsts nodarbināto apmācībām komersantu konkurētspējas veicināšanai - atbalsts komersantu individuāli organizētām apmācībām","Septiņu gadu laikā uzņēmums ir sekmīgi attīstījies kokmateriālu ražošanas, apstrādes un eksporta jomās, klientiem piedāvājot augstas kvalitātes un standartiem atbilstošu produkciju.
Projekta ietvaros tiks apmācīti 28 darbinieki. Projekta īstenošanas laiks plānots 3 mēneši. Apmācību kursi: Klientu apkalpošana, Projektu vadība, Prezentācijas prasmes, Stresa menedžments, Pārrunu vadīšana, Laika plānošana.","30,151.71","22,312.26",0,3,"www.gedimo.lv"
63,"Jaunzeltiņi","SIA","""Jaunzeltiņi"", Birzgales pagasts, Ogres rajons, LV-5031","SIA ""JAUNZELTIŅI"" darbinieku kvalifikācijas celšanas apmācības","Rīga",02/10/2008,"Atbalsts nodarbināto apmācībām komersantu konkurētspējas veicināšanai - atbalsts komersantu individuāli organizētām apmācībām","SIA „Jaunzeltiņi” atrodas jaunā uzņēmuma attīstības stadijā, kas ietver nozīmīgus pārmaiņu procesus ražošanā un personāla attīstībā, kas radīja nepieciešamību organizēt vairākas apmācību programmas uzņēmuma darbiniekiem.
Projekta mērķis ir darbinieku kvalifikācijas celšana. 
Projekta ietvaros tiks apmācīti 5 darbinieki šādās programmās: 
1.Uzņēmuma attīstības projektu vadība;
2.Mārketings uzņēmuma efektīvas attīstības nodrošināšanai;
3.Produkcijas pakalpojumu pārdošanas un darījumu pārrunas;
4.Angļu valoda;
5.Datora lietotāja apmācība.","21,920.00","15,208.00",0,4,"www.jaunzeltini.lv"
64,"LATSIGN","SIA","Bauskas iela 86, Rīga, LV-1004","SIA LATSIGN nodarbināto apmācības komersanta konkurētspējas veicināšanai","Rīga",02/10/2008,"Atbalsts nodarbināto apmācībām komersantu konkurētspējas veicināšanai - atbalsts komersantu individuāli organizētām apmācībām","Lai sekmētu komersanta attīstību – klientu apkalpošanas kvalitātes paaugstināšanu, pakalpojumu un produkcijas dažādošanu, ražošanas procesa kvalitātes uzlabošanu, ražošanas apjomu pieaugumu, jaunu tirgu apgūšanu – 2008.gada sākumā tika veikts komersantā strādājošo apmācību nepieciešamības audits. 
Projekta īstenošanas laikā – 18 mēnešos – apmācībās plānots iesaistīt 15 no pašreiz komersantā nodarbinātajiem 32 darbiniekiem.
Projekta lāikā plānotas apmācības informatīvo tehnoloģiju jomā (dažādu datorprogrammu apgūšana pielietošanai ikdienas darbā); apmācības komersanta produktivitātes paaugstināšanas jomā (saskarsmes ar klientu, pārdošanas māksla, efektīva saskarsme ar klientu pa telefonu, mārketings un reklāma, auto aplīmēšanas meistarklase, elektronisko automašīnu numuru ražošanas uzskaites sistēmas un iekārtu ieviešana); apmācības komersanta kapacitātes stiprināšanas jomā (apmācības saistītas ar lēmumu pieņemšanu, vadīšanu, biroja darba organizēšanu, finanšu vadību, projektu izstrādi un vadību, publicitātes organizēšanu (sadarbība ar medijiem) un valodas apmācības (angļu)).","35,810.00","24,861.40",0,22,"www.latsign.lv"
65,"Toode","SIA","Ganību dambis 24, Rīga, LV-1005","SIA ""TOODE"" darbinieku apmācības","Ķekavas pagasts ",02/10/2008,"Atbalsts nodarbināto apmācībām komersantu konkurētspējas veicināšanai - atbalsts komersantu individuāli organizētām apmācībām","Līdz ar jaunas ražotnes atvēršanu un sabiedrības darbības paplašināšanu SIA Toode ir izlēmusi investēt līdzekļus darbinieku kvalifikācijas līmeņa celšanā, jaunu prasmju un zināšanu apguvē.
Projekta ietvaros paredzēts apmācīt 50 darbiniekus šādās programmās:
1.Situāciju vadība;
2.Nodaļas misija;
3.Galvenie biznesa rādītāj;
4.Patstāvīga procesa uzlabošana;
5.Biznesa sapulces un to kritēriji;
6.Laika vadīšana;
7.Cilvēku, procesa un rezultātu vadīšanas stratēģija;
8.Starptautiskie grāmatvedības standarti;
9.Darba likums praksē;
10.Personāla vadība;
11.Uzņēmuma iekšējais audits;
12.Ugunsdrošība un aizsardzība;
13.Ražošanas procesa efektivitātes uzlabošana;
14.Autoiekrāvējs;
15.Telferi;
16.Datorapmācība;
17.Angļu valoda;
18.Hansa World.","67,780.00","53,273.00",0,24,"www.toode.lv"
66,"ARBORD","SIA","""Jaunkļaviņi"", Mālpils pagasts, Rīgas rajons, LV-2152","SIA ""ARBORD"" darbinieku kvalifikācijas celšana un jaunu zināšanu apguve","Jersikas pagasts",02/10/2008,"Atbalsts nodarbināto apmācībām komersantu konkurētspējas veicināšanai - atbalsts komersantu individuāli organizētām apmācībām","SIA „ARBORD” mērķis ir darbiniekam drošas darba vides izveidošana un uzturēšana, lai sasniegtu maksimālu darba vides risku samazinājumu, īstenotu darba aizsardzības likumdošanas prasības un nodrošinātu drošus darba apstākļus.
Projekta ietvaros plānots apmācīt 4 darbiniekus programmā „Darba drošība un ugunsdrošība darba vietā”.
Lai pilnveidotu darbinieku zināšanas darbā ar datoriem, visiem 4 darbiniekiem tiks veiktas apmācības programmā „Datorapmācība iesācējiem ar MS Office”.","3,600.00","2,880.00",0,2,"www.arbord.lv"
67,"Bars LV","SIA","Bauskas iela 58A- 215 kab., Rīga, LV-1004","SIA ""BARS LV"" darbinieku kvalifikācijas celšana un jaunu zināšanu apguve","Mārupes pagasts ",02/10/2008,"Atbalsts nodarbināto apmācībām komersantu konkurētspējas veicināšanai - atbalsts komersantu individuāli organizētām apmācībām","Apģērbu ražošanā ir liela konkurence no importa lēto izstrādājumu puses, bet tai par laikā šai nozarē ir lielas iespējas. Lai paaugstinātu darba produktivitāti nepiecienāma jaunu zināšanu apguve un personāla kvalifikācijas celšana.
 Projekta ietvaros paredzēts apmācīt 7 darbiniekus šādās programmās:
1. Kvalitātes vadība;
2. Efektīva klientu apkalpošana;
3. Juridiskā apmācība;
4. Informācijas tehnoloģiju efektīva pielietošana;
5. Darba likumdošana un darba aizsardzība;
6. Nodokļu likumdošana un grāmatvedība;
7. Uzņēmējdarbības pamati un mārketings;
8. Personāla atlase.
Projekta mērķis: darbinieku kvalifikācijas celšana, jaunu zināšanu, prasmju un iemaņu apguve.","38,180.00","28,596.82",0,8,"www.barslv.com"
68,"JMR","SIA","Sila iela 17, Babīte, Babītes pagasts, Rīgas rajons, LV-2101","SIA JMR darbinieku apmācības","Babītes pagasts ",02/10/2008,"Atbalsts nodarbināto apmācībām komersantu konkurētspējas veicināšanai - atbalsts komersantu individuāli organizētām apmācībām","Uzņēmumam ir nepieciešamas darbinieku apmācības klientu apkalpošanas jomā un ar to saistītās jomās, kā arī stratēģiski svarīgi ir apmācīt uzņēmuma darbiniekus programmas WolfWin lietošanā.
Projekta mērķis ir jaunu zināšanu, prasmju un iemaņu apguve. Projekta ietvaros plānots apmācīt kopā 16 darbiniekus šādās programmās:
1.Klientu apkalpošana;
2.Projektu vadība;
3.Laika plānošana;
4.Prezentācijas prasme;
5.Stresa menedžments;
6.Pārrunu vadīšana;
7.WolfWin.","28,572.33","21,143.52",0,21,"www.jmr-farme.lv"
69,"Kurzemes granulas","SIA","Kustes dambis 22, Ventspils, LV-3602","SIA ""Kurzemes granulas"" darbinieku kvalifikācijas celšana","Ventspils ",02/10/2008,"Atbalsts nodarbināto apmācībām komersantu konkurētspējas veicināšanai - atbalsts komersantu individuāli organizētām apmācībām","Jaunu materiālu un tehnoloģiju ienākšana tirgū kā arī noturīgi pieaugošais pieprasījums koka granulu ražošanas tirgū kopumā, rosinājusi uzņēmu celt darbinieku kvalifikāciju un dot viņiem iespēju iegūt jaunas zināšanas, prasmes un iemaņas, lai nodrošinātu uzņēmuma un tā darbinieku konkurētspēju.
Projekta ietvaros paredzēts apmācīt 8 darbiniekus šādās programmās:
1.Apmācība darba ar automātiskās iepakošanas iekārtām;
2.Kvalitātes vadības pamati;
3.Iekšējo auditoru apmācība;
4.Projektu vadība.
Projekta mērķis: darbinieku kvalifikācijas celšana, jaunu zināšanu, prasmju un iemaņu apguve.","18,266.50","10,959.90",0,6,"www.granulas.lv"
70,"Latvijas Keramika A","SIA","Rīgas iela 67, Jelgava, LV-3004","SIA Latvijas Keramika A personāla vispārējas apmācības","Jelgava ",02/10/2008,"Atbalsts nodarbināto apmācībām komersantu konkurētspējas veicināšanai - atbalsts komersantu individuāli organizētām apmācībām","SIA „Latvijas keramika A” – lielākais keramikas izstrādājumu ražotājs Baltijas valstīs.
Projekta mērķis ir jaunu zināšanu, iemaņu un prasmju apguve. Projekta ietvaris plānots apmācīt kopā 3 darbiniekus, šādās apmācību programmās:
•Pārliecināšanas māksla;
•Komunikācija un prezentācija;
•10 pārdošanas likumi;
•Profesionāla komunikācija;
•Komandas veidošana;
•Krīzes situāciju vadība;
•Finanses vadītājiem;
•Piegādes ķēdes optimizācija;
•Profesionālas biznesa procedūras.","17,676.00","13,080.24",0,5,"www.keramika.lv"
71,"VETA","SIA","""Vītoliņi"", Valgundes novads, Jelgavas rajons, LV-3017","SIA Veta personāla vispārējas apmācības","Valgundes novads",02/10/2008,"Atbalsts nodarbināto apmācībām komersantu konkurētspējas veicināšanai - atbalsts komersantu individuāli organizētām apmācībām","SIA „Veta” viens no darbības pamatmērķiem ir pilnveidot uzņēmuma piedāvātās produkcijas klāstu, savā darbībā akcentējot bezalkoholisko dzērienu un pārtikas produktu ražošanu.  
Projekta mērķis ir jaunu zināšanu, prasmju un iemaņu apguve. Projekta ietvaros plānots apmācīt kopā 3 darbiniekus šādās apmācībās: 
•Pārdošanas māksla;
•Komunikācija un prezentācija;
•10 pārdošanas likumi;
•Profesionāla komunikācija;
•Komandas veidošana;
•Krīzes situāciju vadība;
•Piegādes ķēdes optimizācija;
•Finanses vadītājiem;
•Profesionālās biznesa procedūras.","16,745.00","12,391.30",0,5,"www.veta.lv"
72,"Leax Baltix","SIA","""Vecpagrabs"", Piņķi, Babītes pagasts, Rīgas rajons, LV-2107","SIA ""Leax Batix"" darbinieku kvalifikācijas celšana","Babītes pagasts ",02/10/2008,"Atbalsts nodarbināto apmācībām komersantu konkurētspējas veicināšanai - atbalsts komersantu individuāli organizētām apmācībām","Jaunu materiālu un tehnoloģiju ienākšana tirgū,  kā arī noturīgi pieaugošais prasījums metāla un metāla izstrādājumu rāšanas nozarē, kā arī automobiļu būvniecības tirgū kopumā rosinājusi uzņēmumu celt darbinieku kvalifikāciju un dot viņiem iespēju iegūt jaunas zināšanas, prasmes un iemaņas, lai nodrošinātu uzņēmuma un tā darbinieku konkurētspēju. 
Projekta ietvaros paredzēts apmācīt 96 darbiniekus šādās programmās:
1.Projekta vadība;
2.LPS Ražošanas vadība;
3.Griezējinstrumenti;
4.Stratēģiskā plānošana;
5.Kvalitātes sistēmas pilnveidošana un iekšējais audits;
6.Kvalitātes vadības pamatprincipi;
7.Latviešu valoda.
Projekta mērķis: darbinieku kvalifikācijas celšana, jaunu zināšanu, prasmju un iemaņu apguve.","99,237.06","57,505.90",0,15,
73,"CED","SIA","""Katrīnkalns"", Drabešu pagasts, Amatas novads, Cēsu rajons, LV-4140","SIA ""CED"" darbinieku kvalifikācijas celšana un jaunu zināšanu apguve","Drabešu pagasts ",02/10/2008,"Atbalsts nodarbināto apmācībām komersantu konkurētspējas veicināšanai - atbalsts komersantu individuāli organizētām apmācībām","Tā kā SIA CED mērķis ir drošas un darbinieku veselībai nekaitīgas darba vides izveidošana un uzturēšana, lai sniegtu maksimālu darba vides risku samazinājumu, īstenotu darba aizsardzības likumdošanas prasības un nodrošinātu drošus un veselībai nekaitīgus darba apstākļus, primāri saskatām nepieciešamību organizēt apmācību kursu saistībā ar darba drošību uzņēmumā.
Projekta mērķis: darbinieku kvalifikācijas celšana, jaunu zināšanu, prasmju un iemaņu apguve.
Projekta ietvaros tiks apmācīti 106 darbinieki šādās programmās: 
1.Drošība un veselība darbā;
2.Arodveselības pamati;
3.Pirmā palīdzība aroda negadījumos;
4.Ugunsdrošības pamati
5.Elektrodrošības pamati;
6.Datorapmācība;
7.Angļu valoda.","52,084.00","29,328.00",0,6,"www.bode.ced.lv"
74,"DADSONS","SIA","Indrānu iela 6, Ikšķile, Ikšķiles novads, Ogres rajons, LV-5052","SIA ""DADSONS"" darbinieku kvalifikācijas celšanas apmācības","Rīga",02/10/2008,"Atbalsts nodarbināto apmācībām komersantu konkurētspējas veicināšanai - atbalsts komersantu individuāli organizētām apmācībām","Kokapstrādes uzņēmumu potenciālās iespējas vietējā un eksporta tirgos pieprasa efektīvāk organizēt ražošanas, pakalpojumu sniegšanas un uzņēmumu vadības procesu, kā rī modernizēt tehnoloģijas un celt darbinieku kvalifikāciju. 
Projekta ietvaros paredzēts apmācīt 10 darbiniekus šādās programmās:
1.DiSC- sevis un citu izpratne un profesionālā klientu apkalpošana uzņēmuma efektivitātes paaugstināšanai.
Projekta mērķis ir darbinieku kvalifikācijas celšana.","7,160.00","5,728.00",0,2,"www.dadsons.lv"
75,"Fazer maiznīcas","SIA","Druvas iela 2, Ogre, Ogres novads, Ogres rajons, LV-5001","SIA ""Fazer maiznīcas"" darbinieku kvalifikācijas celšana","Ogre ",02/10/2008,"Atbalsts nodarbināto apmācībām komersantu konkurētspējas veicināšanai - atbalsts komersantu individuāli organizētām apmācībām","Apmācību nepieciešamība saistīta ar SIA ""Fazer maiznīcas"" attīstību un paplašināšanos.
Projekta ietvaros plānots apmācīt 35 darbiniekus 22 dažādās apmācībās: 
•Aktīvā pārdošana konkurences apstākļos;
•Pārliecinoša uzstāšanās;
•Rezultatīvas pārdošanas pārrunas;
•Kategoriju menedžments – efektīva preču grupas vadība;
•Efektīvs vadītājs;
•Mārketinga plānošana pārdošanas uzņēmumā;
•Papildus pārdošana apkalpojot klientu;
•Pārdošanas vadība;
•Ekonomiskā argumentācija pārdošanā;
•Komandas veidošanas treniņš;
•Tirdzniecības vadība;
•Coaching kā vadības stils;
•Darbs ar svarīgākajiem klientiem;
•Klientu apkalpošanas personāla vadība;
•Vadītāju ABC;
•Darbinieku novērtēšana, mērķu pārrunu veikšana;
•Darbinieku motivēšana;
•Vadības komandas veidošana;
•Angļu valoda;
•Darbs ar Microsoft SQL Server 2005 datubāzi;
•Microsoft Office SharePoint Server 2007 ieviešana;
•Windows Vista operētājsistēmas un programmu instalēšana un konfigurēšana.","111,096.87","59,328.16",0,20,"www.fazermaiznicas.lv"
76,"TTS-AVIO","SIA","Dārzciema iela 60, Rīga, LV-1073","Kvalifikācijas celšanas un apmācības kurss SIA ""TTS-AVIO""darbiniekiem","Rīga",02/10/2008,"Atbalsts nodarbināto apmācībām komersantu konkurētspējas veicināšanai - atbalsts komersantu individuāli organizētām apmācībām","SIA ""TTS-AVIO"" tika dibināts 1993. gadā. SIA ""TTS-AVIO"" politika personāla vadībā balstās uz vienādo iespēju nodrošināšanas un karjeras izaugsmes principiem. Projekta mērķis ir veicināt uzņēmuma cilvēkresursu attīstību, sekmēt uzņēmuma pamatkapitāla palielināšanos un ieguldījumus pamatlīdzekļos. Projekta uzdevumi ir veikt vadošo darbinieku apmācību šādas apmācību jomās: 1.Darba drošība; 2.Menedžeris un organizācija - programma vadītājiem; 3.Datoru prasmes - speciālās programmas, apmācot 45 uzņēmuma darbiniekus. Projekta ilgums ir 6 mēneši, projekta īstenošana sākās 2008.gada decembrī. Apmācības veiks Stanislavs Ļipskis, Ļubova Babiča un Staņislavs Grišins, kuriem ir atbilstoša pieredze un zināšanas. Pasniedzēju izvēle ir veikta, pamatojoties uz apmācību sniedzēju piedāvājumiem un citu komersantu atsauksmēm.","36,117.50","21,670.50",0,6,
